Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre d'établissements industriels à risque (classés Seveso) 2025
200039832;CC Pays des Vans en Cévennes;0
200039857;CA du Pays de Grasse;4
200039865;Metz Métropole;1
200039907;CC du Sud Messin;2
200039915;CA Cannes Pays de Lérins;0
200039931;CC Alpes d'Azur;0
200039949;CC Rives de Moselle;4
200040038;CC Saône Doubs Bresse;0
200040095;CC Isle Vern Salembre en Périgord;1
200040111;CC Coeur de Chartreuse;1
200040137;CC des Lacs de Champagne;0
200040178;CC de l'Outre-Forêt;0
200040202;CC Provence Verdon;0
200040210;CC Lacs et Gorges du Verdon;0
200040244;CA du Bocage Bressuirais;0
200040251;CC Bassée-Montois;0
200040277;CA Agglo du Pays de Dreux;1
200040293;CC du Clunisois;0
200040350;CC Bugey Sud;0
200040384;CC Isle Double Landais;0
200040392;CA Le Grand Périgueux;0
200040400;CC du Périgord Ribéracois;0
200040418;CC du Pays de Serres en Quercy;0
200040426;CC du Val de l'Oise;4
200040442;CA Luberon Monts de Vaucluse;0
200040459;CA Montélimar Agglomération;0
200040475;LBN Communauté;1
200040491;CC Porte de Dromardèche;5
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;0
200040558;CC Écueillé-Valençay;0
200040566;CA de l'Ouest Rhodanien;0
200040574;CC Beaujolais Pierres Dorées;0
200040590;CA Villefranche Beaujolais Saône;4
200040624;CC Pays d'Apt-Luberon;0
200040657;CC de la Matheysine;0
200040681;CC Enclave des Papes - Pays de Grignan;0
200040715;Grenoble-Alpes-Métropole;17
200040764;CC du Sud Corse;0
200040772;CC du Perche et Haut Vendômois;0
200040798;CC Val Vanoise;0
200040814;CC Briance Sud Haute Vienne;0
200040830;CC du Pays de Fénelon;0
200040889;CC de Portes Sud Périgord;0
200040905;CC Carmausin-Ségala;0
200040947;CA Coeur de Flandre;0
200040954;CC des Hauts de Flandre;0
200041010;CC Coeur de Savoie;1
200041051;CC Vallée de la Dordogne et Forêt Bessède;0
200041150;CC Terrassonnais Haut Périgord Noir;0
200041168;CC de la Vallée de l'Homme;0
200041283;CC de la Plaine du Rhin;3
200041317;CA du Niortais;4
200041325;CC du Pays Rhénan;2
200041333;CC de Parthenay-Gâtine;2
200041366;CC Rhône Crussol;0
200041416;CC Airvaudais-Val du Thouet;1
200041440;CC de Domme- Villefranche du Périgord;0
200041465;CC Val Eyrieux;0
200041499;CC Aunis Atlantique;1
200041507;CA La Riviéra du Levant;0
200041515;CC du Bassin de Pont-à-Mousson;1
200041523;CC de la Haute Saintonge;3
200041556;CC Portes de la Creuse en Marche;0
200041572;CC Dronne et Belle;0
200041614;CC Aunis Sud;1
200041622;CC Ardennes Thiérache;0
200041630;Ardenne Métropole;2
200041689;Vals de Saintonge Communauté;0
200041721;CC de la Haute Comté;1
200041762;CA Rochefort Océan;0
200041788;CA du Pays Nord Martinique;3
200041853;CC du Pays de Montbozon et du Chanois;0
200041861;CC du Triangle Vert;0
200041879;CC Terres de Saône;0
200041887;CC du Val Marnaysien;0
200041960;CC Pévèle-Carembault;3
200041994;CC Haut Val de Sèvre;0
200042000;CC Bruyères-Vallons des Vosges;0
200042174;CA Lorient Agglomération;4
200042182;CC du Mont des Avaloirs;1
200042190;CA de la Porte du Hainaut;6
200042372;CC des Coteaux Arrats Gimone;0
200042414;CC Bresse Revermont 71;0
200042463;CC de la Montagne Noire;1
200042497;CC Dombes Saône Vallée;1
200042604;CC de Granville, Terre et Mer;0
200042620;CC de la Région de Suippes;0
200042646;CC Grand Orb Communauté de Communes en Languedoc;0
200042653;CC Sud-Hérault;0
200042703;CC de l'Argonne Champenoise;0
200042729;CC de la Baie du Cotentin;0
200042901;CC Drôme Sud Provence;3
200042935;CA Haut-Bugey Agglomération;0
200042943;CC du Cap Corse;0
200042992;CC Perthois-Bocage et Der;0
200043016;CC Val de Charente;0
200043065;CC du Val d'Amboise;1
200043081;CC Chinon, Vienne et Loire;0
200043123;CC Auray Quiberon Terre Atlantique;0
200043156;CC du Pays Rethélois;1
200043172;CA du Bassin de Brive;1
200043263;CC Coeur de l'Avesnois;0
200043321;CC du Pays de Mormal;0
200043354;CC de Villedieu Intercom;0
200043396;CA Maubeuge Val de Sambre;1
200043404;CC du Sud Avesnois;0
200043438;CC de la Moivre à la Coole;3
200043495;CA du Pays de Laon;1
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;0
200043628;CC des Vallées du Clain;0
200043693;CC Terre Lorraine du Longuyonnais;0
200043776;CC Pyrénées audoises;0
200043974;CC du Sud Gironde;1
200043982;CC du Bazadais;0
200043990;CC Vallons de Haute-Bretagne Communauté;0
200044014;CC Creuse Grand Sud;0
200044030;CC des 7 Vallées;0
200044048;CC Osartis Marquion;2
200044253;CC du Bassin de Joinville en Champagne;1
200044394;CC du Réolais en Sud Gironde;1
200044469;CC du Pays de Mirepoix;0
200044618;CA Douaisis Agglo;9
200044691;CA du Nord Grande Terre;0
200046977;Métropole de Lyon;34
200048551;CC du Pays de Craon;0
200049187;CA du Grand Verdun;1
200049211;CC Conflent-Canigó;0
200049484;CC Berry Grand Sud;0
200050532;CC de Petite-Terre;0
200054807;Métropole d'Aix-Marseille-Provence;62
200055481;CC Beauce Val de Loire;0
200055655;CA Roissy Pays de France;11
200055887;CC Mayenne Communauté;1
200056232;CA Communauté Paris-Saclay;0
200056380;CA Plaine Vallée;1
200057859;CA Coeur d'Essonne Agglomération;0
200057867;Plaine Commune;1
200057875;Est Ensemble;0
200057941;#ParisEstMarne&Bois;0
200057958;CA Paris - Vallée de la Marne;2
200057966;Vallée Sud-Grand Paris;1
200057974;Grand Paris Seine Ouest;0
200057982;Paris Ouest La Défense;2
200057990;Boucle Nord de Seine;7
200058006;Grand Paris Sud Est Avenir;1
200058014;Grand-Orly Seine Bièvre;8
200058097;Paris Terres d'Envol;2
200058360;CC Entre Beauce et Perche;0
200058477;CA Val d'Yerres Val de Seine;0
200058485;CA Val Parisis;2
200058519;CA Saint Germain Boucles de Seine;2
200058782;CA de Saint Quentin en Yvelines;3
200058790;Grand Paris Grand Est;1
200059228;CA Grand Paris Sud Seine Essonne Sénart;9
200059392;CC Bièvre Isère;0
200059400;CC Porte Océane du Limousin;2
200059871;CC du Centre-Ouest;0
200059889;CU Grand Paris Seine et Oise;6
200060010;CA Mauges Communauté;1
200060457;CA de Dembeni / Mamoudzou;0
200060465;CA du Grand Nord de Mayotte;1
200060473;CC du Sud;0
200065563;CC Normandie-Cabourg-Pays d'Auge;0
200065589;CC Val ès Dunes;2
200065597;CU Caen la Mer;5
200065647;CA Pays de Montbéliard Agglomération;1
200065787;CC de Pont-Audemer / Val de Risle;0
200065886;Loire Forez Agglomération (LFA);4
200065894;CC de Forez-Est;1
200065928;CA Lannion-Trégor Communauté;0
200066009;CA Mulhouse Alsace Agglomération;11
200066017;CC Lieuvin Pays d'Auge;0
200066025;CC Alsace Rhin Brisach;1
200066033;CC Sud Alsace Largue;0
200066041;CC Sundgau;1
200066058;CA Saint-Louis Agglomération;3
200066108;CC des Portes de Meuse;0
200066116;CC Argonne-Meuse;0
200066124;CA Gaillac-Graulhet;2
200066132;CC du Pays de Stenay et du Val Dunois;0
200066140;CC de l'Aire à l'Argonne;0
200066157;CC de Commercy - Void - Vaucouleurs;0
200066165;CC Val de Meuse - Voie Sacrée;0
200066173;CC de Damvillers Spincourt;0
200066223;CC Arize Lèze;0
200066231;CC des Portes d'Ariège Pyrénées;3
200066280;CC du Pithiverais;4
200066322;CC Terres des Confluences;1
200066330;CC Terres du Haut Berry;1
200066348;CC du Minervois au Caroux;0
200066355;CA Sète Agglopôle Méditerranée;4
200066363;CC de la Haute Ariège;1
200066371;CC Causses et Vallée de la Dordogne;1
200066389;CA Saint-Lô Agglo;2
200066405;CC Roumois Seine;0
200066413;CC Intercom Bernay Terres de Normandie;2
200066462;CC Interco Normandie Sud Eure;2
200066512;CC Élan Limousin Avenir Nature;3
200066520;CC Ouest Limousin;0
200066553;CC du Haut-Languedoc;0
200066561;CC Sidobre Vals et Plateaux;0
200066587;CC des Monts du Lyonnais;0
200066603;CC du Pays de Lubersac-Pompadour;0
200066637;CC Hautes Terres;1
200066645;CC Vézère-Monédières-Millesources;0
200066652;CC Grand Sud Tarn-et-Garonne;3
200066660;CC de Saint-Flour;0
200066678;CC de la Châtaigneraie Cantalienne;0
200066710;CC Cingal-Suisse Normande;1
200066728;CC Vallées de l'Orne et de l'Odon;0
200066744;CC Haute-Corrèze Communauté;0
200066751;CC Xaintrie Val'Dordogne;0
200066769;CC Midi Corrézien;0
200066777;Ploërmel Communauté;0
200066785;CC de l'Oust à Brocéliande;0
200066793;CA du Grand Annecy;1
200066801;CC Isigny-Omaha Intercom;0
200066819;CC du Volvestre;2
200066827;CC du Pays de Honfleur-Beuzeville;0
200066835;CC de Sézanne-Sud Ouest Marnais;1
200066850;CC des Paysages de la Champagne;0
200066868;CC Presqu'île de Crozon-Aulne maritime;2
200066876;CA de Châlons-en-Champagne;4
200066884;CC Quercy Vert-Aveyron;0
200066892;CC de Vendeuvre-Soulaines;0
200066918;CA Alès Agglomération;4
200066926;CA Grand Auch Coeur de Gascogne;0
200066975;CC Senlis Sud Oise;0
200067023;CC Coutances Mer et Bocage;1
200067031;CC Côte Ouest Centre Manche;0
200067049;CC Spelunca-Liamone;0
200067064;CC Decazeville Communauté;1
200067072;CC Haut-Léon Communauté;0
200067080;CC Chablis Villages et Terroirs;0
200067106;CA du Pays Basque;0
200067114;CA de l'Auxerrois;1
200067122;CC du Pays de Lafrançaise;0
200067130;CC de Puisaye-Forterre;0
200067155;CC Saint Affricain, Roquefort, Sept Vallons;0
200067163;CC Monts, Rance et Rougier;0
200067171;CC Aubrac Carladez Viadène;0
200067189;CC Creuse Sud Ouest;0
200067197;CC Monts d'Arrée Communauté;1
200067205;CA du Cotentin;0
200067213;CU du Grand Reims;4
200067239;CC des Luys en Béarn;1
200067247;CC Pleyben-Châteaulin-Porzay;0
200067254;CA Pau Béarn Pyrénées;0
200067262;CC du Haut Béarn;1
200067288;CC du Béarn des Gaves;0
200067296;CC du Nord Est Béarn;0
200067304;CC Serein et Armance;1
200067320;CC Serre-Ponçon Val d'Avance;0
200067346;CA Pornic Agglo Pays de Retz;0
200067361;CC Grand-Figeac;1
200067379;CC Côtes de Champagne et Val de Saulx;0
200067429;CC Haut Nivernais - Val d'Yonne;1
200067437;CA Provence-Alpes-Agglomération;3
200067445;CC Buëch-Dévoluy;0
200067452;CC du Guillestrois et du Queyras;0
200067460;CC Loudéac Communauté - Bretagne Centre;4
200067478;CC Comtal Lot et Truyère;0
200067486;CC Bouzonvillois-Trois Frontières;0
200067502;CA Saint-Avold Synergie;22
200067544;CC Creuse Confluence;0
200067551;CA Thonon Agglomération;0
200067593;CC Marche et Combraille en Aquitaine;0
200067627;CC Billom Communauté;0
200067635;CA Clisson Sèvre et Maine Agglo;1
200067643;CC Meurthe Mortagne Moselle;0
200067650;CC Houve - Pays Boulageois;0
200067668;CC de la Cléry, du Betz et de l'Ouanne;1
200067676;CC Canaux et Forêts en Gâtinais;0
200067684;CA Epernay, Coteaux et Plaine de Champagne;2
200067692;CC Tannay-Brinon-Corbigny;0
200067700;CC Sud Nivernais;1
200067742;CC Serre-Ponçon;0
200067759;CC Vallées et Plateau d'Ardenne;1
200067767;CC du Royans-Vercors;0
200067783;CC de Hanau-La Petite Pierre;0
200067791;CA L'Agglo Foix-Varilhes;0
200067817;CC Saône-Beaujolais;2
200067825;CA Gap-Tallard-Durance;0
200067841;CC de l'Alsace Bossue;0
200067866;CC Sèvre et Loire;0
200067874;CA de Haguenau;1
200067882;CC Bazois Loire Morvan;0
200067890;CC Morvan Sommets et Grands Lacs;0
200067908;CC Amognes Coeur du Nivernais;0
200067916;CC Coeur de Loire;1
200067924;CC du Canton d'Erstein;2
200067932;CA Golfe du Morbihan - Vannes Agglomération;0
200067940;CC Couserans-Pyrénées;0
200067957;CC Haut Chemin - Pays de Pange;1
200067965;CA de la Région de Compiègne et de la Basse Automne;5
200067973;CC Thelloise;1
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;2
200067999;CA du Beauvaisis;5
200068005;CC de l'Oise Picarde;1
200068047;CA Creil Sud Oise;5
200068070;CC Loue-Lison;0
200068088;CC Les Bertranges;0
200068096;CC Champsaur-Valgaudemar;0
200068104;CA de la Provence Verte;1
200068112;CC du Pays de Saverne;0
200068120;CA Quimper Bretagne Occidentale;1
200068146;CC Sarrebourg Moselle Sud;1
200068229;CC des Baronnies en Drôme Provençale;0
200068278;CC Berry Loire Puisaye;1
200068294;CC des Deux Vallées Vertes;0
200068369;CC de Mirecourt Dompaire;1
200068377;CC de la Porte des Vosges Méridionales;0
200068435;CC Coeur du Perche;1
200068443;CC Andaine - Passais;1
200068450;Terres d'Argentan Interco;1
200068468;CC des Pays de L'Aigle;0
200068484;CC des Causses à l'Aubrac;0
200068500;CA de Cambrai;2
200068534;CC Terroir de Caux;0
200068542;CC Les Balcons du Dauphiné;0
200068559;CC de l'Ouest Vosgien;1
200068567;CC Les Vals du Dauphiné;0
200068625;CC Alpes-Provence-Verdon "Sources de lumière";0
200068641;CA Le Muretain Agglo;2
200068658;CA de Chaumont;0
200068666;CA du Grand Saint-Dizier Der et Vallées;2
200068674;CA Grand Lac;1
200068682;CC Terre d'Eau;0
200068757;CA d'Epinal;2
200068765;CC du Sisteronais-Buëch;1
200068773;CC des Vosges côté Sud Ouest;0
200068781;CA Valence Romans Agglo;6
200068799;CC Intercom de la Vire au Noireau;0
200068807;CC du Bassin Auterivain Haut-Garonnais;0
200068815;CC Coeur de Garonne;3
200068831;Pays Ségali Communauté;1
200068856;CC des Hauts du Perche;0
200068864;CC de la Mossig et du Vignoble;1
200068872;CC Éguzon - Argenton - Vallée de la Creuse;0
200068880;CC Champagne Boischauts;0
200068914;CC La Rochefoucauld Porte du Périgord;0
200068922;CC du Confluent et des Coteaux de Prayssas;0
200068930;CC Fumel Vallée du Lot;1
200068948;CC Albret Communauté;0
200068955;CC Anjou Loir et Sarthe;0
200068963;CC Maine Coeur de Sarthe;0
200068989;CA Dinan Agglomération;0
200068997;CA Arlysère;4
200069003;CC du Barséquanais en Champagne;0
200069029;CA des Deux Baies en Montreuillois;0
200069037;CA du Pays de Saint-Omer;2
200069052;CA Grand Belfort;0
200069060;CC des Vosges du Sud;0
200069086;CC Leff Armor Communauté;1
200069094;CC Isle et Crempse en Périgord;0
200069102;CC Randon - Margeride;0
200069110;CA du Grand Chambéry;0
200069128;CC Mont Lozère;0
200069136;CC des Cévennes au Mont Lozère;0
200069144;CC des Hautes Terres de l'Aubrac;0
200069151;CC Gorges Causses Cévennes;0
200069169;CC Dômes Sancy Artense;0
200069177;CC Mond'Arverne Communauté;0
200069185;CC des Terres d'Apcher-Margeride-Aubrac;0
200069193;CC de la Dombes;1
200069227;CC Pays Fort Sancerrois Val de Loire;0
200069235;CC du Haut Pays du Montreuillois;0
200069250;CA Troyes Champagne Métropole;3
200069268;CC Aubrac Lot Causses Tarn;0
200069300;CA Tarbes-Lourdes-Pyrénées;1
200069383;Ouest Aveyron Communauté;1
200069391;CA Lamballe Terre et Mer;0
200069409;CA Saint-Brieuc Armor Agglomération;0
200069417;CC Pays d'Orthe et Arrigans;0
200069425;CA Mont-Saint-Michel-Normandie;0
200069433;CC de Vezouze en Piémont;0
200069441;CC du Pays de Bitche;0
200069458;CC des Vallées d'Auge et du Merlerault;1
200069482;CC des Campagnes de l'Artois;0
200069516;CC Seulles Terre et Mer;0
200069524;CC Pré-Bocage Intercom;0
200069532;CA Lisieux Normandie;2
200069540;CC Norge et Tille;0
200069565;CC des Lacs et Montagnes du Haut-Doubs;0
200069581;CC Convergence Garonne;1
200069599;CC Rurales de l'Entre-Deux-Mers;0
200069615;CC Bresse Haute Seille;1
200069623;CC Champagnole Nozeroy Jura;0
200069631;CC Terres de Chalosse;0
200069649;CC Chalosse Tursan;0
200069656;CC Coeur Haute Lande;0
200069664;CC Meuse Rognon;1
200069672;CC du Ternois;1
200069698;CC Mâconnais - Tournugeois;2
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;1
200069730;CC des Quatre Rivières en Bray;0
200069748;CC Val de Gâtine;0
200069755;CC Mellois en Poitou;2
200069763;CC du Haut Poitou;2
200069821;CA Fécamp Caux Littoral Agglomération;0
200069839;CC de la Côte d'Albâtre;0
200069847;CC Plateau de Caux;1
200069854;CU du Grand Poitiers;1
200069912;CC des Forêts du Perche;0
200069953;CC des Portes Euréliennes d'Ile de France;1
200069961;CC du Grand Châteaudun;1
200069995;CC Médoc Coeur de Presqu'île;1
200070035;CC du Civraisien en Poitou;1
200070043;CC Vienne et Gartempe;1
200070068;CC Bray-Eawy;0
200070092;CA du Libournais;1
200070100;CC du Val de Sully;1
200070118;CC Val de Saône Centre;0
200070126;CC Seine et Aube;0
200070142;CC Lyons Andelle;0
200070159;CC Coeur de Beauce;4
200070167;CC Terres de Perche;0
200070183;CC des Terres du Val de Loire;3
200070233;CA Terres de Montaigu;2
200070282;CC Lavalette Tude Dronne;1
200070290;CC Coeur du Pays Haut;0
200070308;CA Mâconnais Beaujolais Agglomération;1
200070316;CC Entre Arroux, Loire et Somme;1
200070324;CC du Territoire de Lunéville à Baccarat;0
200070332;CC des Savoir-Faire;0
200070340;CC Haute Maurienne Vanoise;0
200070365;CC Corbières Salanque Méditerranée;0
200070373;CC Loir-Lucé-Bercé;0
200070407;CA Agglo Pays d'Issoire;1
200070431;CC Saint-Marcellin Vercors Isère Communauté;0
200070449;CC Inter-Caux-Vexin;1
200070464;CC Coeur de Maurienne Arvan;2
200070506;CC Pays de Nexon Monts de Chalus;0
200070514;CA du Grand Cognac;22
200070530;CC du Grand Autunois Morvan;0
200070548;CC Brionnais Sud Bourgogne;0
200070555;CC de la Veyle;0
200070563;CC Terres Touloises;0
200070571;CC Coeur de Berry;0
200070589;CC de Seille et Grand Couronné;2
200070647;CA Bergeracoise;6
200070662;CC Bretagne Porte de Loire Communauté;3
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;0
200070688;CC Couesnon Marches de Bretagne;0
200070712;CC Thiers Dore et Montagne;0
200070720;CC Médoc Atlantique;0
200070738;CC Mad et Moselle;2
200070746;CA Sarreguemines Confluences;3
200070753;CA Riom Limagne et Volcans;0
200070761;CC Ambert Livradois Forez;1
200070779;CC Brie des Rivières et Châteaux;1
200070787;CC du Plateau de Lannemezan;2
200070795;CC du Pays de Trie et du Magnoac;0
200070803;CC des Coteaux du Val d'Arros;0
200070811;CC Pyrénées Vallées des Gaves;0
200070829;CC Neste Barousse;0
200070845;CC Orne Lorraine Confluences;1
200070852;CC Usses et Rhône;0
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;0
200070902;CC Auxonne Pontailler Val de Saône;3
200070910;CC Tille et Venelle;0
200070928;CC Terre de Picardie;1
200070936;CC Ponthieu-Marquenterre;0
200070944;CC du Vimeu;0
200070951;CC du Territoire Nord Picardie;0
200070969;CC Avre Luce Noye;2
200070977;CC du Grand Roye;0
200070985;CC de l'Est de la Somme;3
200070993;CA de la Baie de Somme;0
200071017;CC des Terres d'Auxois;0
200071025;CC Haute-Provence - Pays de Banon;1
200071033;CC Jabron-Lure-Vançon-Durance;0
200071041;CC du Chaourçois et du Val d'Armance;0
200071058;CC Les Avant-Monts;0
200071066;CA de Saint-Dié-des-Vosges;0
200071074;CC Les Portes de l'Ile de France;1
200071082;CA Montluçon Communauté;1
200071116;CA ECLA (Espace Communautaire Lons Agglomération);1
200071140;CA Moulins Communauté;2
200071165;CA Les Sables d'Olonne Agglomération;0
200071173;CC du Pays Arnay Liernais;0
200071181;CC Somme Sud-Ouest;0
200071199;CC Plaine Limagne;0
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;0
200071215;CC Chavanon Combrailles et Volcans;0
200071223;CC Nièvre et Somme;1
200071298;CC des Terres du Lauragais;0
200071314;CC des Hauts-Tolosans;0
200071363;CA Vichy Communauté;1
200071371;CC Bresse et Saône;1
200071389;CC Saint-Pourçain Sioule Limagne;3
200071405;CC Ardèche Rhône Coiron;0
200071413;CA Privas Centre Ardèche;1
200071454;CA Evreux Portes de Normandie;0
200071470;CC Entr'Allier Besbre et Loire;1
200071496;CC du Bocage Bourbonnais;0
200071504;CC des Collines du Perche Normand;0
200071512;CC Commentry Montmarault Néris Communauté;2
200071520;CC Domfront Tinchebray Interco;0
200071538;CC Terres de Bresse;0
200071546;CC Sud Retz Atlantique;0
200071553;CC Loire Layon Aubance;0
200071579;CC Bresse Louhannaise Intercom';0
200071587;CC Loches Sud Touraine;0
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;0
200071629;CC Challans-Gois Communauté;0
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;0
200071652;CC du Pays Fertois et du Bocage Carrougien;0
200071678;CA Cholet Agglomération;2
200071751;CA du Bassin de Bourg-en-Bresse;2
200071769;CC Picardie des Châteaux;0
200071777;CC d'Arcis, Mailly, Ramerupt;3
200071785;CA Chauny Tergnier La Fère;5
200071819;CC du Périgord Nontronnais;0
200071827;CA du Grand Angoulême;4
200071843;CC du Vexin Normand;1
200071850;CC du Pithiverais-Gâtinais;4
200071868;CC des Vallées du Haut-Anjou;1
200071876;CA Saumur Val de Loire;1
200071884;CC Le Grand Charolais;0
200071892;CA du Saint-Quentinois;2
200071900;CC Vendée Grand Littoral;0
200071918;CC du Pays de Saint-Fulgent - Les Essarts;0
200071926;CC du Limouxin;0
200071934;CC du Pays de Fontenay-Vendée;1
200071942;CC Haut Limousin en Marche;0
200071967;CC Pays d'Evian Vallée d'Abondance;0
200071983;CC Thiérache Sambre et Oise;0
200071991;CC Retz en Valois;0
