Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020
200070779;CC Brie des Rivières et Châteaux;1.7
200070787;CC du Plateau de Lannemezan;-1.2
200070795;CC du Pays de Trie et du Magnoac;1.7
200070803;CC des Coteaux du Val d'Arros;-2.2
200070811;CC Pyrénées Vallées des Gaves;-0.6
200070829;CC Neste Barousse;-1
200070845;CC Orne Lorraine Confluences;-4.2
200070852;CC Usses et Rhône;-2.4
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;2.6
200070902;CC Auxonne Pontailler Val de Saône;4.5
200070910;CC Tille et Venelle;-4.2
200070928;CC Terre de Picardie;7.9
200070936;CC Ponthieu-Marquenterre;-1.9
200070944;CC du Vimeu;-5.6
200070951;CC du Territoire Nord Picardie;0.6
200070969;CC Avre Luce Noye;3
200070977;CC du Grand Roye;3.1
200070985;CC de l'Est de la Somme;-15.2
200070993;CA de la Baie de Somme;0.7
200071017;CC des Terres d'Auxois;1.1
200071025;CC Haute-Provence - Pays de Banon;25.9
200071033;CC Jabron-Lure-Vançon-Durance;2.5
200071041;CC du Chaourçois et du Val d'Armance;1
200071058;CC Les Avant-Monts;-2.5
200071066;CA de Saint-Dié-des-Vosges;-3.4
200071074;CC Les Portes de l'Ile de France;-0.3
200071082;CA Montluçon Communauté;-1.5
200071116;CA ECLA (Espace Communautaire Lons Agglomération);-5.6
200071140;CA Moulins Communauté;-1.4
200071165;CA Les Sables d'Olonne Agglomération;-5.5
200071173;CC du Pays Arnay Liernais;1.8
200071181;CC Somme Sud-Ouest;-2.5
200071199;CC Plaine Limagne;-3.9
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;-4.9
200071215;CC Chavanon Combrailles et Volcans;-0.4
200071223;CC Nièvre et Somme;-2.5
200071298;CC des Terres du Lauragais;-1.2
200071314;CC des Hauts-Tolosans;-1.7
200071363;CA Vichy Communauté;-3.2
200071371;CC Bresse et Saône;4.8
200071389;CC Saint-Pourçain Sioule Limagne;0.6
200071405;CC Ardèche Rhône Coiron;-0.8
200071413;CA Privas Centre Ardèche;-11.3
200071454;CA Evreux Portes de Normandie;-1.2
200071470;CC Entr'Allier Besbre et Loire;-1.4
200071496;CC du Bocage Bourbonnais;1.4
200071504;CC des Collines du Perche Normand;-3.5
200071512;CC Commentry Montmarault Néris Communauté;-2.7
200071520;CC Domfront Tinchebray Interco;-1.8
200071538;CC Terres de Bresse;-4
200071546;CC Sud Retz Atlantique;2.1
200071553;CC Loire Layon Aubance;0
200071579;CC Bresse Louhannaise Intercom';2.2
200071587;CC Loches Sud Touraine;-0.5
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;-0.3
200071629;CC Challans-Gois Communauté;-1.3
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;2.4
200071652;CC du Pays Fertois et du Bocage Carrougien;-1.7
200071678;CA Cholet Agglomération;-0.5
200071751;CA du Bassin de Bourg-en-Bresse;-0.6
200071769;CC Picardie des Châteaux;0.2
200071777;CC d'Arcis, Mailly, Ramerupt;1.8
200071785;CA Chauny Tergnier La Fère;3.2
200071819;CC du Périgord Nontronnais;-2
200071827;CA du Grand Angoulême;-4.3
200071843;CC du Vexin Normand;-0.6
200071850;CC du Pithiverais-Gâtinais;0.4
200071868;CC des Vallées du Haut-Anjou;0.9
200071876;CA Saumur Val de Loire;0.5
200071884;CC Le Grand Charolais;-2.3
200071892;CA du Saint-Quentinois;1.7
200071900;CC Vendée Grand Littoral;-1.4
200071918;CC du Pays de Saint-Fulgent - Les Essarts;-1.4
200071926;CC du Limouxin;-3.5
200071934;CC du Pays de Fontenay-Vendée;1.1
200071942;CC Haut Limousin en Marche;-1
200071967;CC Pays d'Evian Vallée d'Abondance;6.7
200071983;CC Thiérache Sambre et Oise;-0.8
200071991;CC Retz en Valois;-1
200072007;CC Montagne d'Ardèche;-3.1
200072015;CA Annonay Rhône Agglo;-2.5
200072023;CC Coeur de Charente;0.4
200072031;CA de la Région de Château-Thierry;2.2
200072049;CC de Charente Limousine;-3.2
200072056;CC Porte du Jura;1.6
200072064;CC Val-de-Cher-Controis;-1.3
200072072;CA Territoires Vendômois;-1.1
200072080;CC du Pays de Saint-Eloy;-1.6
200072098;CC Combrailles Sioule et Morge;-4
200072106;CC Adour Madiran;0.9
200072130;CA du Pays de Meaux;-2.7
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;-8.1
200072312;CA Seine Normandie Agglomération;1.3
200072320;CC Val de Gers;-1.4
200072346;CA du Pays de Fontainebleau;16.3
200072452;CA Fougères Agglomération;-1
200072460;CA de Béthune-Bruay, Artois-Lys Romane;-2.6
200072478;CC Pays d'Opale;-0.6
200072544;CC des Deux Morin;0.3
200072635;CC Pyrénées Haut Garonnaises;-0.5
200072643;CC Coeur et Coteaux du Comminges;0
200072650;CC Touraine Vallée de l'Indre;-6.1
200072668;CC Touraine Val de Vienne;-0.1
200072676;CC Maine Saosnois;1.9
200072684;CC Le Gesnois Bilurien;-3.1
200072692;CC des Vallées de la Braye et de l'Anille;-1.8
200072700;CC Haute Sarthe Alpes Mancelles;-2
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;-1.9
200072726;CC Châteaubriant-Derval;-2
200072734;CC Estuaire et Sillon;3.9
200072825;CC Mirebellois et Fontenois;0.3
200072874;CC Val Briard;-1.7
200072882;CC de Vie et Boulogne;-0.6
200072981;CC Touraine Ouest Val de Loire;-4.3
200072999;CC du Grand Langres;-1.4
200073013;CC Carnelle Pays-de-France;16.9
200073096;CA Arche Agglo;-3.1
200073104;CC de l'Ile-Rousse - Balagne;3.6
200073112;CC Sud Sarthe;-1.8
200073120;CC Nebbiu - Conca d'Oro;19.4
200073138;CC Pasquale Paoli;-14.3
200073146;CC Cagire Garonne Salat;3.7
200073161;CC Touraine-Est Vallées;2.8
200073237;CC de Gâtine-Racan;-0.8
200073245;CC du Bassin d'Aubenas;-10.2
200073252;CC de la Castagniccia-Casinca;9.7
200073260;CC Sud Vendée Littoral;-1.5
200073344;CA Rambouillet Territoires;3.3
200073393;CC des Rives du Haut Allier;2.7
200073401;CC Mézenc-Loire-Meygal;0.8
200073419;CA du Puy-en-Velay;-0.7
200073427;CC Marches du Velay-Rochebaron;2
200077014;CA Vienne Condrieu;-0.9
200083392;CA Laval Agglomération;-2.4
200084952;Le Havre Seine Métropole;-3.1
200085728;CC Brioude Sud Auvergne;-0.4
200085751;CC Entre Bièvre et Rhône;2.6
200089456;CA Seine-Eure;-3.7
200090504;CA Coulommiers Pays de Brie;-4.1
200090561;CC Vierzon-Sologne-Berry;-3
200090579;CC Terre d'Émeraude Communauté;2.9
200090751;CA Grand Calais Terres et Mers;-4.7
200093201;Métropole Européenne de Lille;-6
200096634;CC des Hautes Vosges;3.1
200096642;CC Gérardmer Hautes Vosges;-2.4
200096675;CC Baud Communauté;-4.1
200096683;CC Centre Morbihan Communauté;-1.4
200096956;CA Agglomération d'Agen;-1.9
240100610;CC de la Côtière à Montluel;-3.3
240100750;CA du Pays de Gex;-13.1
240100800;CC de Miribel et du Plateau;3.8
240100883;CC de la Plaine de l'Ain;1.1
240100891;CC Terre Valserhône (CCTV);8
240200444;CC de la Thiérache du Centre;-2.7
240200469;CC du Pays de la Serre;-1.4
240200477;GrandSoissons Agglomération;6.5
240200493;CC du Pays du Vermandois;3.2
240200501;CC du Val de l'Aisne;1.3
240200519;CC du Canton d'Oulchy-le-Château;0.2
240200576;CC de la Champagne Picarde;0.4
240200584;CC du Canton de Charly-sur-Marne;2.2
240200592;CC du Chemin des Dames;-8.1
240200600;CC des Trois Rivières;-1.6
240200634;CC des Portes de la Thiérache;-2.1
240300491;CC du Pays de Lapalisse;2.6
240300558;CC du Pays de Tronçais;-6.8
240300566;CC du Val de Cher;8.5
240300657;CC du Pays d'Huriel;-8.8
240400440;CC Pays Forcalquier et Montagne de Lure;26.9
240500439;CC du Briançonnais;-44.6
240500462;CC du Pays des Ecrins;-25.2
240600551;CA de la Riviera Française;32.5
240600585;CA de Sophia Antipolis;-6.2
240600593;CC du Pays des Paillons;15.6
240700302;CC du Pays Beaume-Drobie;-15.6
240700617;CC Val de Ligne;-12.6
240700716;CC du Val d'Ay;-3.5
240700815;CC Berg et Coiron;-9.2
240700864;CC du Rhône aux Gorges de l'Ardèche;8.7
240800821;CC Ardenne, Rives de Meuse;-3.9
240800847;CC des Portes du Luxembourg;3.8
240800862;CC des Crêtes Préardennaises;0.2
240800920;CC de l'Argonne Ardennaise;0
240900431;CC du Pays de Tarascon;0.9
240900464;CC du Pays d'Olmes;6.7
241000223;CC Forêts, Lacs, Terres en Champagne;1.7
241000405;CC de la Région de Bar sur Aube;-1.9
241000447;CC du Pays d'Othe;1
241000488;CC de l'Orvin et de l'Ardusson;5.2
241100593;CA Le Grand Narbonne;-10
241200187;CA Rodez Agglomération;-1.2
241200542;CC du Réquistanais;-0.7
241200567;CC de Millau Grands Causses;-6.3
241200625;CC du Pays Rignacois;-2.8
241200641;CC Conques-Marcillac;-6.5
241200658;CC du Pays de Salars;-2.3
241200674;CC du Plateau de Montbazens;0.3
241200765;CC de Lévézou Pareloup;-2.5
241200807;CC Aveyron Bas Ségala Viaur;-3.5
241200906;CC Larzac et Vallées;-7.2
241200914;CC de la Muse et des Raspes du Tarn;-2.9
241300375;CC Vallée des Baux-Alpilles (CC VBA);-0.5
241300417;CA d'Arles-Crau-Camargue-Montagnette;3.1
241400415;CC Coeur Côte Fleurie;-12.1
241400514;CC du Pays de Falaise;-2.3
241400555;CC de Bayeux Intercom;-2.7
241400860;CC Coeur de Nacre;-12.2
241400878;CC Terre d'Auge;-3.5
241500230;Aurillac Agglomération;-6.8
241500255;CC du Pays Gentiane;-3.3
241500271;CC du Pays de Mauriac;-4.2
241501055;CC Sumène - Artense;-8.7
241501089;CC Cère et Goul en Carladès;-4.7
241501139;CC du Pays de Salers;2.2
241600303;CC du Rouillacais;2.4
241700434;CA de La Rochelle;-2.2
241700459;CC de l'Ile de Ré;8.3
241700517;CC Coeur de Saintonge;-1
241700624;CC de l'Ile d'Oléron;15.8
241700632;CC de Gémozac et de la Saintonge Viticole;-1.7
241700640;CA Royan Atlantique;-2.3
241700699;CC du Bassin de Marennes;9.5
241800374;CC la Septaine;5.8
241800424;CC le Dunois;1.2
241800432;CC les Trois Provinces;1.6
241800457;CC FerCher;-3.4
241800507;CA Bourges Plus;-1.4
241900133;CC de Ventadour - Egletons - Monédières;-3.5
241927201;CA Tulle Agglo;-0.6
241927243;CC du Pays d'Uzerche;-0.8
242000354;CA de Bastia;88.9
242000495;CC de l'Alta Rocca;-2
242000503;CC Celavu-Prunelli;10.8
242010056;CA du Pays Ajaccien;11.4
242010130;CC du Sartenais Valinco Taravo;-5.4
242020071;CC du Centre Corse;-2.3
242020105;CC de Calvi Balagne;5.1
242100154;CC des Vallées de la Tille et de l'Ignon;7.2
242100410;Dijon Métropole;1.9
242101434;CC du Pays Châtillonnais;0.9
242101442;CC de Saulieu-Morvan;0.2
242101459;CC du Pays d'Alésia et de la Seine;7.6
242101491;CC du Montbardois;1.7
242101509;CC Rives de Saône;2.9
242200715;CC du Kreiz-Breizh (CCKB);-1.2
242300135;CC du Pays Sostranien;-2
242320000;CC de Bénévent Grand Bourg;-0.3
242320109;CC du Pays Dunois;-1
242400752;CC Périgord-Limousin;-2.5
242400935;CC du Pays de Saint Aulaye;-9.7
242401024;CC Isle-Loue-Auvézère en Périgord;-5.3
242500320;CC Entre Doubs et Loue;1.6
242500338;CC du Grand Pontarlier;-5.1
242500361;CU Grand Besançon Métropole;0.4
242504116;CC du Val de Morteau;0.3
242504181;CC des Portes du Haut-Doubs;-0.2
242504355;CC du Plateau de Russey;0.9
242504371;CC du Pays de Sancey-Belleherbe;3.5
242504447;CC du Doubs Baumois;2
242504488;CC Altitude 800;1
242504496;CC du Plateau de Frasne et du Val de Drugeon;6.1
242600252;CC du Val de Drôme en Biovallée;0.4
242600492;CC Dieulefit-Bourdeaux;-17.3
242600534;CC du Diois;-22.1
242700276;CC du Pays de Conches;-7.6
242700607;CC du Pays du Neubourg;-5.1
242852465;CC du Bonnevalais;-3.5
242900074;CC du Pays d'Iroise;0.1
242900314;Brest Métropole;0.1
242900553;CC du Pays des Abers;1.6
242900561;CC de Haute Cornouaille;-7
242900629;CC Cap Sizun - Pointe du Raz;-1.5
242900645;CC Douarnenez Communauté;-4.5
242900660;CC du Pays Fouesnantais;4.8
242900694;CA Quimperlé Communauté;-0.4
242900702;CC du Pays Bigouden Sud;3.9
242900710;CC du Haut Pays Bigouden;1.3
242900744;CC Poher Communauté;0.7
242900751;CC du Pays de Landivisiau;1
242900769;CA Concarneau Cornouaille Agglomération;0.6
242900793;CC Communauté Lesneven Côte des Légendes;0.6
242900801;CA du Pays de Landerneau-Daoulas;-0.4
242900835;CA Morlaix Communauté;-2.7
243000270;CC du Pays Viganais;-11.3
243000296;CC du Pays de Sommières;-3.7
243000569;CC Rhony, Vistre, Vidourle;-3
243000585;CC Beaucaire Terre d'Argence;-0.1
243000593;CC de Petite Camargue;-9.4
243000643;CA de Nîmes Métropole;1.8
243000650;CC Terre de Camargue;63.9
243000684;CC du Pont du Gard;-0.2
243100518;Toulouse Métropole;-0.6
243100567;CC Aux sources du Canal du Midi;3.7
243100633;CA du Sicoval;-6.8
243100732;CC des Coteaux du Girou;-1.9
243100773;CC Val'Aïgo;-2.7
243100781;Le Grand Ouest Toulousain agglomération;-2.2
243100815;CC des Coteaux Bellevue;-5.5
243200391;CC de la Lomagne Gersoise;1.3
243200409;CC du Bas Armagnac;3.1
243200417;CC de la Tenarèze;3.1
243200425;CC Coeur d'Astarac en Gascogne;-3
243200458;CC du Grand Armagnac;2
243200508;CC Bastides et Vallons du Gers;-0.5
243200599;CC du Saves;-2.2
243200607;CC Artagnan de Fezensac;-0.3
243300316;Bordeaux Métropole;-3.8
243300563;CA Bassin d'Arcachon Sud (COBAS);-44.5
243300811;CC de l'Estuaire;10.5
243301165;CC Jalle-Eau-Bourde;-29.3
243301181;CC Latitude Nord Gironde;-12.6
243301215;CC du Créonnais;6.6
243301223;CC du Grand Cubzaguais;-17.7
243301249;CC Les Rives de la Laurence;-5.2
243301264;CC de Montesquieu;-5.8
243301355;CC les Coteaux Bordelais;-4.3
243301371;CC du Pays Foyen;-2.6
243301389;CC Médullienne;-1
243301397;CC du Fronsadais;3.7
243301405;CC du Val de l'Eyre;-17
243301439;CC des Portes de l'Entre-Deux-Mers;-9.9
243301447;CC Médoc Estuaire;-6.9
243301454;CC Castillon/Pujols;-1.5
243301504;CA du Bassin d'Arcachon Nord (COBAN);-16
243400017;Montpellier Méditerranée Métropole;-9.9
243400355;CC du Clermontais;11.6
243400470;CA du Pays de l'Or;18.8
243400488;CC la Domitienne;-2.1
243400520;CA Lunel Agglo;11
243400694;CC Vallée de l'Hérault;-18.1
243400736;CC des Cévennes Gangeoises et Suménoises;91.3
243400769;CA de Béziers-Méditerranée;-19.1
243400819;CA Hérault-Méditerranée;8.8
243500139;Rennes Métropole;-2.3
243500550;CC Montfort Communauté;-6.9
243500618;CC Brocéliande Communauté;1.5
243500634;Roche aux Fées Communauté;-0.3
243500659;CC Pays de Châteaugiron Communauté;-5.6
243500667;CC Val d'Ille-Aubigné;0.3
243500725;CC Côte d'Emeraude;-8.1
243500733;CC Bretagne Romantique;1.9
243500741;CA Redon Agglomération;-2.4
243500774;CC Liffré-Cormier Communauté;-6.4
243500782;CA du Pays de Saint Malo Agglomération;-3.7
243600202;CC Chabris - Pays de Bazelle;-6.6
243600236;CC du Pays d'Issoudun;-0.8
243600293;CC Levroux Boischaut Champagne;-2.3
243600301;CC Val de l'Indre - Brenne;-3.2
243600319;CC Brenne - Val de Creuse;1.1
243600327;CA Châteauroux Métropole;0.5
243600343;CC Coeur de Brenne;-7
243600350;CC de la Châtre et Sainte-Sévère;-2.1
243700499;CC du Castelrenaudais;0.1
243700754;Tours Métropole Val de Loire;0.9
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;1.7
243800604;CA Porte de l'Isère (CAPI);-2.3
243800745;CC de l'Oisans;5.6
243800935;CC Lyon-Saint-Exupéry en Dauphiné;-7.4
243800984;CA du Pays Voironnais;-0.6
243801024;CC du Massif du Vercors;8.5
243801073;CC de Bièvre Est;-4.5
243801255;CC Collines Isère Nord Communauté;-5
243900354;CC de la Station des Rousses-Haut Jura;22.4
243900420;CC du Val d'Amour;1.4
243900479;CC Haut-Jura Arcade Communauté;-4.5
243900560;CC Jura Nord;0.9
243900610;CC la Grandvallière;17.5
243901089;CC de la Plaine Jurassienne;3.1
244000543;CC de Mimizan;27
244000659;CC du Seignanx;-11.7
244000675;CA du Grand Dax;-7.1
244000691;CC du Pays Morcenais;13.5
244000766;CC du Pays Tarusate;-1
244000774;CC du Pays de Villeneuve en Armagnac Landais;-5.4
244000808;CA Mont de Marsan Agglomération;1
244000824;CC du Pays Grenadois;1.4
244000857;CC Côte Landes Nature;24
244000865;CC Maremne Adour Côte Sud;-3.1
244000873;CC des Grands Lacs;22.1
244000881;CC Coteaux et Vallées des Luys;-8.8
244100293;CC des Collines du Perche;1.5
244100780;CC de la Sologne des Etangs;-8.3
244100798;CC du Grand Chambord;-7.8
244100806;CC de la Sologne des Rivières;-3.8
244200614;CC des Vals d'Aix et Isable;-5.1
244200622;CC des Monts du Pilat;-0.5
244200630;CC du Pays Entre Loire et Rhône;-1.6
244200770;Saint-Étienne Métropole;-2.4
244200820;CC du Pays d'Urfé;4.3
244200895;CC du Pilat Rhodanien;3.8
244300307;CC Haut Pays du Velay;-0.7
244301016;CC des Sucs;-1.9
244301099;CC Auzon Communauté;-0.2
244301107;CC du Haut Lignon;-1
244301123;CC des Pays de Cayres et de Pradelles;-0.6
244301131;CC Loire et Semène;3.1
244400404;Nantes Métropole;2.3
244400438;Grand Lieu Communauté;-1.5
244400453;CC du Pays de Blain;-7.2
244400503;CC d'Erdre et Gesvres;0.7
244400537;CC de Nozay;-2.9
244400552;CC du Pays d'Ancenis;1.6
244400586;CC du Sud Estuaire;-3.6
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);2.4
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);1.9
244500203;CA Montargoise et Rives du Loing (AME);-11.6
244500211;CC Giennoises;-8.1
244500419;CC des Quatre Vallées;1.3
244500427;CC des Loges;-0.1
244500468;Orléans Métropole;-11.8
244500484;CC de la Forêt;-4
244500542;CC de la Plaine du Nord Loiret;-1.2
244600433;CC de la Vallée du Lot et du Vignoble;-7.7
244600482;CC Quercy - Bouriane;-5.7
244600532;CC du Pays de Lalbenque-Limogne;10
244600573;CC du Causse de Labastide Murat;-5.1
244700449;CC du Pays de Duras;2.5
244700464;CC du Pays de Lauzun;1.6
244701355;CC des Coteaux et Landes de Gascogne;-3.6
244701405;CC Lot et Tolzac;1.1
244800405;CC Coeur de Lozère;-6.3
244800470;CC du Gévaudan;-11
244900015;CU Angers Loire Métropole;1
244900809;CC Anjou Bleu Communauté;-1.8
244900882;CC Baugeois Vallée;-1.5
245100615;CC de la Grande Vallée de la Marne;4.9
245100888;CC de la Brie Champenoise;-1.8
245100979;CC du Sud Marnais;0.1
245200597;CC des Trois Forêts;4.4
245300223;CC du Pays de Meslay-Grez;-5.2
245300355;CC de l'Ernée;-2.5
245300389;CC du Bocage Mayennais;-2.2
245300447;CC du Pays de Château-Gontier;0.1
245400171;CC Moselle et Madon;7.4
245400189;CC des Pays du Sel et du Vermois;-3.1
245400262;Agglomération du Grand Longwy;-5.8
245400510;CC du Pays de Colombey et du Sud Toulois;0.1
245400601;CC du Bassin de Pompey;2.1
245400676;Métropole du Grand Nancy;-14.6
245400759;CC du Pays du Sanon;2
245500327;CC du Sammiellois;-13.4
245501176;CC du Territoire de Fresnes-en-Woëvre;-2.1
245501184;CC du Pays de Revigny-sur-Ornain;11.9
245501242;CC du Pays d'Étain;2.5
245501259;CC du Pays de Montmédy;-0.4
245600440;CC Blavet Bellevue Océan;-7.8
245600465;CC de Belle Ile en Mer;11.5
245614383;CC Questembert Communauté;-5.1
245614417;CC Roi Morvan Communauté;-0.8
245614433;CC Pontivy Communauté;0.8
245700133;CC du District Urbain de Faulquemont (DUF);2.6
245700372;CA de Forbach Porte de France;8.7
245700398;CC de Freyming-Merlebach;2.8
245700695;CC de Cattenom et Environs;7.3
245700950;CC du Pays de Phalsbourg;-1.5
245701164;CC du Warndt;-30.7
245701206;CC du Saulnois;-1.4
245701222;CA du Val de Fensch;-31.5
245701271;CC du Pays Orne Moselle;-31.9
245701354;CC de l'Arc Mosellan;4.6
245701362;CA Portes de France-Thionville;1.8
245701404;CC du Pays Haut Val d'Alzette;-1.7
245801063;CC Loire et Allier;5
245804406;CA de Nevers;0.8
245804497;CC du Nivernais Bourbonnais;-7.8
245900428;CU de Dunkerque;-5
245900758;CC Flandre Lys;-2.4
245901038;CC du Pays Solesmois;3.3
245901152;CA Coeur d'Ostrevent;5.1
245901160;CA Valenciennes Métropole;-4.4
246000129;CC du Liancourtois;-7.2
246000376;CC du Clermontois;1.1
246000566;CC du Plateau Picard;-1
246000582;CC des Sablons;-6.5
246000707;CC du Vexin-Thelle;2.1
246000749;CC des Lisières de l'Oise;4.1
246000756;CC du Pays Noyonnais;-5.7
246000764;CC de l'Aire Cantilienne;-2
246000772;CC des Deux Vallées;4.9
246000848;CC de la Picardie Verte;0.3
246000855;CC du Pays des Sources;2
246000871;CC du Pays de Valois;0
246000897;CC de la Plaine d'Estrées;-6.2
246000913;CC du Pays de Bray;1.6
246000921;CC des Pays d'Oise et d'Halatte;-0.1
246100390;CC du Val d'Orne;3.6
246100663;CU d'Alençon;-2.6
246200299;CA d'Hénin-Carvin;-5.5
246200364;CA de Lens - Liévin;-0.9
246200380;CC de la Terre des Deux Caps;-0.3
246200729;CA du Boulonnais;1.1
246200844;CC de la Région d'Audruicq;-5
246201016;CC du Pays de Lumbres;-5.9
246300701;Clermont Auvergne Métropole;8.6
246300966;CC du Massif du Sancy;4.1
246301097;CC Entre Dore et Allier;-6.6
246400337;CC de la Vallée d'Ossau;1.6
246401756;CC Pays de Nay;-0.9
246500482;CC de la Haute-Bigorre;-0.3
246500573;CC Aure Louron;2.9
246600282;CC Sud-Roussillon;0.4
246600373;CC du Vallespir;-41
246600399;CC Pyrénées Cerdagne;56.2
246600415;CC Roussillon-Conflent;-4.9
246600423;CC Agly Fenouillèdes;-19.4
246600449;CC des Aspres;-11.8
246600464;CC Pyrénées Catalanes;113
246600548;CC du Haut Vallespir;-44
246700306;CC de la Vallée de la Bruche;-5.8
246700488;Eurométropole de Strasbourg;2.8
246700744;CC des Portes de Rosheim;-8.3
246700777;CC de la Vallée de Villé;13.8
246700843;CC de la Basse-Zorn;-0.9
246700926;CC du Pays de Wissembourg;1.9
246700959;CC du Pays de la Zorn;-3.4
246700967;CC de Sélestat;-1.4
246701064;CC de la Région de Molsheim-Mutzig;6.1
246701080;CC du Pays de Sainte-Odile;5.1
246701098;CC du Pays de Niederbronn-les-Bains;4
246800205;CC de la Vallée de Saint-Amarin;-16.4
246800395;CC du Val d'Argent;-3.5
246800445;CC du Centre du Haut-Rhin;-4.3
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;2.2
246800551;CC de la Vallée de Kaysersberg;-2.7
246800569;CC de la Région de Guebwiller;-8.3
246800577;CC du Pays de Ribeauvillé;-3.7
246800585;CC de la Vallée de Munster;-0.4
246800676;CC de la Vallée de la Doller et du Soultzbach;-4.6
246800726;CA Colmar Agglomération;-4.1
246900575;CC de l'Est Lyonnais (CCEL);1.4
246900625;CC du Pays de l'Arbresle (CCPA);1.3
246900724;CC des Vallons du Lyonnais (CCVL);-1.7
246900740;CC du Pays Mornantais (COPAMO);-2.9
246900757;CC de la Vallée du Garon (CCVG);-13.4
246900765;CC du Pays de l'Ozon;-2
247000011;CA de Vesoul;1.3
247000367;CC des Combes;0
247000623;CC des Quatre Rivières;-0.6
247000664;CC du Pays de Lure;2.6
247000698;CC des Monts de Gy;-2.3
247000706;CC du Pays Riolais;1.3
247000714;CC du Pays de Villersexel;-3.8
247000722;CC du Pays d'Héricourt;-2.3
247000755;CC du Pays de Luxeuil;3.3
247000821;CC Rahin et Chérimont;10.9
247000854;CC des 1000 étangs;-8.7
247100290;CU Le Creusot Montceau-les-Mines;-0.4
247100589;CA Le Grand Chalon;2.4
247100639;CC de Marcigny;-2.5
247100647;CC Bresse Nord Intercom';-3.6
247103765;CC Entre Saône et Grosne;1.7
247103864;CC de Semur en Brionnais;0.4
247104094;CC Sud Côte Chalonnaise;-3
247200090;CC du Pays Sabolien;5
247200132;CU Le Mans Métropole;4.5
247200348;CC du Pays Fléchois;5
247200421;CC du Sud Est Manceau;-14.1
247200447;CC Orée de Bercé - Belinois;3.5
247200629;CC du Val de Sarthe;-7.3
247200686;Communauté de communes du Perche Emeraude;3.1
247300015;CC des Vallées d'Aigueblanche;55.6
247300254;CC de Haute-Tarentaise;12.5
247300262;CC de Yenne;1.1
247300361;CC du Canton de La Chambre;7
247300452;CC Maurienne Galibier;65.8
247300528;CC Val Guiers;-0.1
247300668;CC du Lac d'Aiguebelette (CCLA);-5.6
247300676;CC Porte de Maurienne;11.6
247300817;CC Les Versants d'Aime;-6.1
247400047;CC de la Vallée Verte;4.4
247400112;CC du Pays de Cruseilles;0.8
247400567;CC Fier et Usses;5.7
247400583;CC Arve et Salève;-2.8
247400617;CC des Vallées de Thônes;-2.2
247400666;CC des Quatre Rivières;3.4
247400682;CC du Haut Chablais;23.3
247400690;CC du Genevois;0
247400724;CC du Pays Rochois;4.3
247400740;CC Rumilly Terre de Savoie;-7.6
247400773;CC des Sources du Lac d'Annecy;-9.1
247600505;CC Campagne-de-Caux;4.5
247600588;CC des Villes Soeurs;2.2
247600604;CC de Londinières;1
247600620;CC Yvetot Normandie;-5.5
247600646;CC Caux - Austreberthe;-4.6
247600729;CC Falaises du Talou;-2.7
247600786;CA de la Région Dieppoise;-8.9
247700032;CC Moret Seine et Loing;1.1
247700057;CA Melun Val de Seine;-11.9
247700065;CC du Pays de l'Ourcq;3.2
247700107;CC Pays de Montereau;-3.1
247700339;CA Val d'Europe Agglomération;-3.9
247700594;CA Marne et Gondoire;6
247700644;CC l'Orée de la Brie;16.6
247700701;CC Brie Nangissienne;-3.6
247800550;CC du Pays Houdanais (CCPH);0.3
247800584;CA Versailles Grand Parc (CAVGP);66.1
247800618;CC Coeur d'Yvelines;0.3
247900798;CC du Thouarsais;-3.8
248000499;CC du Val de Somme;-2.8
248000531;CA Amiens Métropole;-3.2
248000747;CC du Pays du Coquelicot;0.9
248100158;CC du Sor et de l'Agout;-1.4
248100430;CA de Castres Mazamet;0.2
248100497;CC Val 81;0.1
248100737;CA de l'Albigeois (C2A);-5.1
248100745;CC Thoré Montagne Noire;6.3
248200016;CC des Deux Rives;3.2
248200057;CC du Quercy Caussadais;-4.5
248200065;CC de la Lomagne Tarn-et-Garonnaise;-3
248200099;CA Grand Montauban;-8.9
248200107;Quercy Rouergue et des Gorges de l'Aveyron;-2.7
248300394;CA Sud Sainte Baume;-1.2
248300410;CC de la Vallée du Gapeau;92.4
248300493;Dracénie Provence Verdon Agglomération;22.1
248300543;Métropole Toulon-Provence-Méditerranée;-5.5
248300550;CC Coeur du Var;4.7
248400053;CA Ventoux-Comtat-Venaissin (COVE);-1.6
248400160;CC Aygues-Ouvèze en Provence (CCAOP);-4.4
248400236;Pays d'Orange en Provence;8.6
248400251;CA du Grand Avignon (COGA);-11.2
248400285;Communauté de Communes Sud Luberon;8
248400293;CA des Sorgues du Comtat;-21.2
