Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020
200068229;CC des Baronnies en Drôme Provençale;-0.1
200068278;CC Berry Loire Puisaye;-10.3
200068294;CC des Deux Vallées Vertes;0.9
200068369;CC de Mirecourt Dompaire;-0.5
200068377;CC de la Porte des Vosges Méridionales;-5.4
200068435;CC Coeur du Perche;-2.7
200068443;CC Andaine - Passais;0.8
200068450;Terres d'Argentan Interco;1.7
200068468;CC des Pays de L'Aigle;0.2
200068484;CC des Causses à l'Aubrac;-2.1
200068500;CA de Cambrai;-2.2
200068534;CC Terroir de Caux;0.4
200068542;CC Les Balcons du Dauphiné;0.8
200068559;CC de l'Ouest Vosgien;-3
200068567;CC Les Vals du Dauphiné;-2
200068625;CC Alpes-Provence-Verdon "Sources de lumière";41.8
200068641;CA Le Muretain Agglo;-9.3
200068658;CA de Chaumont;6.2
200068666;CA du Grand Saint-Dizier Der et Vallées;7.8
200068674;CA Grand Lac;-6.9
200068682;CC Terre d'Eau;-2.5
200068757;CA d'Epinal;1.5
200068765;CC du Sisteronais-Buëch;-4.7
200068773;CC des Vosges côté Sud Ouest;0.3
200068781;CA Valence Romans Agglo;-1.2
200068799;CC Intercom de la Vire au Noireau;-3
200068807;CC du Bassin Auterivain Haut-Garonnais;-1
200068815;CC Coeur de Garonne;0.9
200068831;Pays Ségali Communauté;-2.1
200068856;CC des Hauts du Perche;5.9
200068864;CC de la Mossig et du Vignoble;-7.2
200068872;CC Éguzon - Argenton - Vallée de la Creuse;1.4
200068880;CC Champagne Boischauts;3
200068914;CC La Rochefoucauld Porte du Périgord;-4.3
200068922;CC du Confluent et des Coteaux de Prayssas;-4
200068930;CC Fumel Vallée du Lot;-3.1
200068948;CC Albret Communauté;-1.7
200068955;CC Anjou Loir et Sarthe;-5.6
200068963;CC Maine Coeur de Sarthe;-1.7
200068989;CA Dinan Agglomération;-1.5
200068997;CA Arlysère;4.9
200069003;CC du Barséquanais en Champagne;0.9
200069029;CA des Deux Baies en Montreuillois;1.7
200069037;CA du Pays de Saint-Omer;1.4
200069052;CA Grand Belfort;-1.7
200069060;CC des Vosges du Sud;-1.4
200069086;CC Leff Armor Communauté;2.8
200069094;CC Isle et Crempse en Périgord;-3.2
200069102;CC Randon - Margeride;-0.1
200069110;CA du Grand Chambéry;1
200069128;CC Mont Lozère;14.3
200069136;CC des Cévennes au Mont Lozère;7.7
200069144;CC des Hautes Terres de l'Aubrac;-1
200069151;CC Gorges Causses Cévennes;-5.5
200069169;CC Dômes Sancy Artense;-3
200069177;CC Mond'Arverne Communauté;0.7
200069185;CC des Terres d'Apcher-Margeride-Aubrac;-3.8
200069193;CC de la Dombes;-1.1
200069227;CC Pays Fort Sancerrois Val de Loire;-1.9
200069235;CC du Haut Pays du Montreuillois;-2.4
200069250;CA Troyes Champagne Métropole;-0.3
200069268;CC Aubrac Lot Causses Tarn;-2.9
200069300;CA Tarbes-Lourdes-Pyrénées;-2.3
200069383;Ouest Aveyron Communauté;-1.9
200069391;CA Lamballe Terre et Mer;-0.9
200069409;CA Saint-Brieuc Armor Agglomération;1
200069417;CC Pays d'Orthe et Arrigans;-2.4
200069425;CA Mont-Saint-Michel-Normandie;-0.9
200069433;CC de Vezouze en Piémont;3.7
200069441;CC du Pays de Bitche;2.5
200069458;CC des Vallées d'Auge et du Merlerault;-3.1
200069482;CC des Campagnes de l'Artois;0.4
200069516;CC Seulles Terre et Mer;6.3
200069524;CC Pré-Bocage Intercom;-3.1
200069532;CA Lisieux Normandie;3.3
200069540;CC Norge et Tille;-6.1
200069565;CC des Lacs et Montagnes du Haut-Doubs;8.8
200069581;CC Convergence Garonne;-6.5
200069599;CC Rurales de l'Entre-Deux-Mers;-1.5
200069615;CC Bresse Haute Seille;4.2
200069623;CC Champagnole Nozeroy Jura;7.2
200069631;CC Terres de Chalosse;-2.8
200069649;CC Chalosse Tursan;-2.6
200069656;CC Coeur Haute Lande;9.3
200069664;CC Meuse Rognon;-1.7
200069672;CC du Ternois;-0.1
200069698;CC Mâconnais - Tournugeois;-4.4
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;-1
200069730;CC des Quatre Rivières en Bray;-3.8
200069748;CC Val de Gâtine;-2.1
200069755;CC Mellois en Poitou;-0.1
200069763;CC du Haut Poitou;-2.4
200069821;CA Fécamp Caux Littoral Agglomération;-8.4
200069839;CC de la Côte d'Albâtre;3.2
200069847;CC Plateau de Caux;-1
200069854;CU du Grand Poitiers;-2.4
200069912;CC des Forêts du Perche;-0.2
200069953;CC des Portes Euréliennes d'Ile de France;-8
200069961;CC du Grand Châteaudun;-1.3
200069995;CC Médoc Coeur de Presqu'île;2.4
200070035;CC du Civraisien en Poitou;1.2
200070043;CC Vienne et Gartempe;-2.1
200070068;CC Bray-Eawy;1
200070092;CA du Libournais;-7.8
200070100;CC du Val de Sully;-3.8
200070118;CC Val de Saône Centre;4.3
200070126;CC Seine et Aube;2.1
200070142;CC Lyons Andelle;-1.2
200070159;CC Coeur de Beauce;1
200070167;CC Terres de Perche;1.8
200070183;CC des Terres du Val de Loire;1
200070233;CA Terres de Montaigu;-4.1
200070282;CC Lavalette Tude Dronne;-2.7
200070290;CC Coeur du Pays Haut;4.2
200070308;CA Mâconnais Beaujolais Agglomération;-0.1
200070316;CC Entre Arroux, Loire et Somme;0.1
200070324;CC du Territoire de Lunéville à Baccarat;2.4
200070332;CC des Savoir-Faire;8
200070340;CC Haute Maurienne Vanoise;13.8
200070365;CC Corbières Salanque Méditerranée;-5.1
200070373;CC Loir-Lucé-Bercé;-3.4
200070407;CA Agglo Pays d'Issoire;-3
200070431;CC Saint-Marcellin Vercors Isère Communauté;-1.5
200070449;CC Inter-Caux-Vexin;-2
200070464;CC Coeur de Maurienne Arvan;60.6
200070506;CC Pays de Nexon Monts de Chalus;-1.5
200070514;CA du Grand Cognac;-4.3
200070530;CC du Grand Autunois Morvan;-2.7
200070548;CC Brionnais Sud Bourgogne;1.1
200070555;CC de la Veyle;-4
200070563;CC Terres Touloises;2.7
200070571;CC Coeur de Berry;-0.8
200070589;CC de Seille et Grand Couronné;-1.7
200070647;CA Bergeracoise;-2.6
200070662;CC Bretagne Porte de Loire Communauté;-0.7
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;-2.2
200070688;CC Couesnon Marches de Bretagne;-0.1
200070712;CC Thiers Dore et Montagne;4
200070720;CC Médoc Atlantique;9.8
200070738;CC Mad et Moselle;-2.5
200070746;CA Sarreguemines Confluences;-2.3
200070753;CA Riom Limagne et Volcans;-1.8
200070761;CC Ambert Livradois Forez;-3.4
