Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre de licenciés sportifs pour 100 habitants 2022
200040558;CC Écueillé-Valençay;14.9
200040566;CA de l'Ouest Rhodanien;21
200040574;CC Beaujolais Pierres Dorées;27.2
200040590;CA Villefranche Beaujolais Saône;22.9
200040624;CC Pays d'Apt-Luberon;15.8
200040657;CC de la Matheysine;24.7
200040681;CC Enclave des Papes - Pays de Grignan;20.8
200040715;Grenoble-Alpes-Métropole;24.8
200040764;CC du Sud Corse;26.4
200040772;CC du Perche et Haut Vendômois;18.1
200040798;CC Val Vanoise;40.7
200040814;CC Briance Sud Haute Vienne;29.6
200040830;CC du Pays de Fénelon;18
200040889;CC de Portes Sud Périgord;20
200040905;CC Carmausin-Ségala;24.2
200040947;CA Coeur de Flandre;24.7
200040954;CC des Hauts de Flandre;23.7
200041010;CC Coeur de Savoie;27.7
200041051;CC Vallée de la Dordogne et Forêt Bessède;20
200041150;CC Terrassonnais Haut Périgord Noir;18.1
200041168;CC de la Vallée de l'Homme;19.7
200041283;CC de la Plaine du Rhin;20.4
200041317;CA du Niortais;24.9
200041325;CC du Pays Rhénan;25.3
200041333;CC de Parthenay-Gâtine;22.8
200041366;CC Rhône Crussol;31.4
200041416;CC Airvaudais-Val du Thouet;21.5
200041440;CC de Domme- Villefranche du Périgord;17.3
200041465;CC Val Eyrieux;19.8
200041499;CC Aunis Atlantique;23.6
200041507;CA La Riviéra du Levant;16.5
200041515;CC du Bassin de Pont-à-Mousson;25.6
200041523;CC de la Haute Saintonge;20.3
200041556;CC Portes de la Creuse en Marche;24.1
200041572;CC Dronne et Belle;20.2
200041614;CC Aunis Sud;22.2
200041622;CC Ardennes Thiérache;12.9
200041630;Ardenne Métropole;19
200041689;Vals de Saintonge Communauté;17.8
200041721;CC de la Haute Comté;14.3
200041762;CA Rochefort Océan;21.8
200041788;CA du Pays Nord Martinique;11.8
200041853;CC du Pays de Montbozon et du Chanois;19.1
200041861;CC du Triangle Vert;17.7
200041879;CC Terres de Saône;17.4
200041887;CC du Val Marnaysien;24.2
200041960;CC Pévèle-Carembault;28.1
200041994;CC Haut Val de Sèvre;25
200042000;CC Bruyères-Vallons des Vosges;19.3
200042174;CA Lorient Agglomération;27.8
200042182;CC du Mont des Avaloirs;26
200042190;CA de la Porte du Hainaut;18
200042372;CC des Coteaux Arrats Gimone;26.5
200042414;CC Bresse Revermont 71;15.9
200042463;CC de la Montagne Noire;16.9
200042497;CC Dombes Saône Vallée;29.9
200042604;CC de Granville, Terre et Mer;29.1
200042620;CC de la Région de Suippes;21.1
200042646;CC Grand Orb Communauté de Communes en Languedoc;17.5
200042653;CC Sud-Hérault;18.9
200042703;CC de l'Argonne Champenoise;19.2
200042729;CC de la Baie du Cotentin;20.3
200042901;CC Drôme Sud Provence;26.7
200042935;CA Haut-Bugey Agglomération;21.1
200042943;CC du Cap Corse;15.7
200042992;CC Perthois-Bocage et Der;14.7
200043016;CC Val de Charente;15.6
200043065;CC du Val d'Amboise;24
200043081;CC Chinon, Vienne et Loire;25.1
200043123;CC Auray Quiberon Terre Atlantique;32.4
200043156;CC du Pays Rethélois;19.7
200043172;CA du Bassin de Brive;28.4
200043263;CC Coeur de l'Avesnois;16.9
200043321;CC du Pays de Mormal;20
200043354;CC de Villedieu Intercom;21.2
200043396;CA Maubeuge Val de Sambre;17.6
200043404;CC du Sud Avesnois;17.5
200043438;CC de la Moivre à la Coole;30.1
200043495;CA du Pays de Laon;19
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;25.4
200043628;CC des Vallées du Clain;30.2
200043693;CC Terre Lorraine du Longuyonnais;15.7
200043776;CC Pyrénées audoises;16.1
200043974;CC du Sud Gironde;23.4
200043982;CC du Bazadais;21.6
200043990;CC Vallons de Haute-Bretagne Communauté;34.9
200044014;CC Creuse Grand Sud;19.2
200044030;CC des 7 Vallées;16.6
200044048;CC Osartis Marquion;19.3
200044253;CC du Bassin de Joinville en Champagne;13.9
200044394;CC du Réolais en Sud Gironde;19.6
200044469;CC du Pays de Mirepoix;26.1
200044618;CA Douaisis Agglo;17
200044691;CA du Nord Grande Terre;12.9
200046977;Métropole de Lyon;14.8
200048551;CC du Pays de Craon;28.4
200049187;CA du Grand Verdun;27
200049211;CC Conflent-Canigó;20.3
200049484;CC Berry Grand Sud;12.7
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;13.1
200055481;CC Beauce Val de Loire;24.2
200055655;CA Roissy Pays de France;16.7
200055887;CC Mayenne Communauté;33.4
200056232;CA Communauté Paris-Saclay;26.4
200056380;CA Plaine Vallée;19.5
200057859;CA Coeur d'Essonne Agglomération;26
200057867;Plaine Commune;9.9
200057875;Est Ensemble;13.7
200057941;#ParisEstMarne&Bois;19.9
200057958;CA Paris - Vallée de la Marne;18.1
200057966;Vallée Sud-Grand Paris;20.1
200057974;Grand Paris Seine Ouest;22.5
200057982;Paris Ouest La Défense;22.8
200057990;Boucle Nord de Seine;17
200058006;Grand Paris Sud Est Avenir;18
200058014;Grand-Orly Seine Bièvre;16.9
200058097;Paris Terres d'Envol;13.5
200058360;CC Entre Beauce et Perche;24.6
200058477;CA Val d'Yerres Val de Seine;23.8
200058485;CA Val Parisis;21.2
200058519;CA Saint Germain Boucles de Seine;28
200058782;CA de Saint Quentin en Yvelines;25.1
200058790;Grand Paris Grand Est;16.1
200059228;CA Grand Paris Sud Seine Essonne Sénart;20.1
200059392;CC Bièvre Isère;25.5
200059400;CC Porte Océane du Limousin;24.4
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;22.9
200060010;CA Mauges Communauté;30.8
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;24.7
200065589;CC Val ès Dunes;23.6
200065597;CU Caen la Mer;23.3
200065647;CA Pays de Montbéliard Agglomération;19.5
200065787;CC de Pont-Audemer / Val de Risle;25.7
200065886;Loire Forez Agglomération (LFA);25.2
200065894;CC de Forez-Est;27.8
200065928;CA Lannion-Trégor Communauté;26.7
200066009;CA Mulhouse Alsace Agglomération;20
200066017;CC Lieuvin Pays d'Auge;19.5
200066025;CC Alsace Rhin Brisach;22.6
200066033;CC Sud Alsace Largue;22.3
200066041;CC Sundgau;20.3
200066058;CA Saint-Louis Agglomération;23.6
200066108;CC des Portes de Meuse;21.6
200066116;CC Argonne-Meuse;18.5
200066124;CA Gaillac-Graulhet;26.7
200066132;CC du Pays de Stenay et du Val Dunois;18
200066140;CC de l'Aire à l'Argonne;24.9
200066157;CC de Commercy - Void - Vaucouleurs;22
200066165;CC Val de Meuse - Voie Sacrée;25.7
200066173;CC de Damvillers Spincourt;16
200066223;CC Arize Lèze;25.3
200066231;CC des Portes d'Ariège Pyrénées;27.1
200066280;CC du Pithiverais;20
200066322;CC Terres des Confluences;20.1
200066330;CC Terres du Haut Berry;21.1
200066348;CC du Minervois au Caroux;15.6
200066355;CA Sète Agglopôle Méditerranée;22.6
200066363;CC de la Haute Ariège;25.4
200066371;CC Causses et Vallée de la Dordogne;24.2
200066389;CA Saint-Lô Agglo;27.1
200066405;CC Roumois Seine;22.6
200066413;CC Intercom Bernay Terres de Normandie;19.8
200066462;CC Interco Normandie Sud Eure;17.2
200066512;CC Élan Limousin Avenir Nature;28.4
200066520;CC Ouest Limousin;20.5
200066553;CC du Haut-Languedoc;14.6
200066561;CC Sidobre Vals et Plateaux;19.7
200066587;CC des Monts du Lyonnais;23.4
200066603;CC du Pays de Lubersac-Pompadour;25.2
200066637;CC Hautes Terres;20.1
200066645;CC Vézère-Monédières-Millesources;16.9
200066652;CC Grand Sud Tarn-et-Garonne;24.9
200066660;CC de Saint-Flour;23.9
200066678;CC de la Châtaigneraie Cantalienne;22.9
