Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des logements vacants 2022
200030658;CC du Trièves;6
200030674;CA Val de Garonne Agglomération;10.3
200032514;CC Berry-Loire-Vauvise;13.5
200033025;CA de Bar-le-Duc - Sud Meuse;12
200033090;CC Plaines et Monts de France;5.1
200033116;CC Cluses-Arve et Montagnes;7
200033173;CC de la Haute Vallée de Chevreuse;6.7
200033181;CA Chartres Métropole;7.8
200033298;CC des Coëvrons;12.3
200033579;CU d'Arras;7.8
200033827;CC de Fium'Orbu Castellu;3.9
200033868;CC des Ballons des Hautes-Vosges;8.9
200034023;CC Tarn-Agout;8.4
200034031;CC des Monts d'Alban et du Villefranchois;10.8
200034049;CC Centre Tarn;9.1
200034056;CC du Lautrécois et du Pays d'Agout;9.4
200034064;CC du Cordais et du Causse;8.4
200034098;CC des Montagnes du Giffre;4.6
200034130;CC Gally Mauldre;6.5
200034197;CC de Montaigne Montravel et Gurson;9.8
200034205;CC de la Costa Verde;1.9
200034270;CC du Pays de Barr;8.9
200034379;CC Pays d'Uzès;8.7
200034411;CC du Piémont Cévenol;10.3
200034601;CC Causses Aigoual Cévennes;5.5
200034635;CC du Kochersberg;5.4
200034692;CA du Gard Rhodanien;10.1
200034700;CA Durance-Lubéron-Verdon Agglomération;9.4
200034718;CC de Vitry, Champagne et Der;11.6
200034726;CC Bastides de Lomagne;9.2
200034825;CA du Grand Guéret;13.3
200034833;CC des Bastides Dordogne-Périgord;10.2
200034874;CC Côtes de Meuse Woëvre;9.1
200034882;CC Pays du Mont-Blanc;3.4
200034957;CC du Frontonnais;6.8
200035087;CA Terre de Provence;7.9
200035103;CC de la Vallée de la Haute Sarthe;9.8
200035111;CC des Sources de l'Orne;11.7
200035129;CC de Cèze Cévennes;13.6
200035137;CC Marche Occitane - Val d'Anglin;14.3
200035202;CC Charlieu-Belmont;9.5
200035319;Estérel Côte d'Azur Agglomération;3.9
200035327;CC Cazals-Salviac;9.7
200035442;CC du Sud Artois;8.6
200035533;CC du Grand Saint Emilionnais;13.3
200035541;CC des Landes d'Armagnac;10.7
200035632;CC Armagnac Adour;11.8
200035707;CC Piège Lauragais Malepère;12.1
200035715;CA Carcassonne Agglo;10
200035723;CC Ventoux Sud;9.4
200035731;CA Roannais Agglomération;9.8
200035756;CC Astarac Arros en Gascogne;7.7
200035764;CC de la Beauce Loirétaine;8
200035772;CC du Pays du Saintois;10.3
200035814;CA Flers Agglo;11.4
200035848;CC du Châtillonnais en Berry;13.7
200035855;CC Castelnaudary Lauragais Audois;9
200035863;CC Région Lézignanaise, Corbières et Minervois;10
200035970;CC Vexin Centre;6.7
200036069;CC du Pays de Mortagne-au-Perche;9.5
200036077;CC du Golfe de Saint-Tropez;3.9
200036135;CC Coeur de France;14.6
200036150;CC des Hauts du Val de Saône;16
200036465;CC de Thann-Cernay;8.4
200036473;CA "Saintes - Grandes Rives - L'Agglo";8
200036499;CC de Marana-Golo;6.7
200036523;CC des Bastides en Haut Agenais Périgord;11.5
200036549;CC Val de Gray;12.1
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);12.3
200037133;CC du Provinois;9.7
200038958;CC de la Pieve de l'Ornano et du Taravo;2.8
200038990;CC de Saint-Méen Montauban;7.8
200039022;CA Vitré Communauté;5.8
200039055;CC Ouche et Montagne;6.8
200039063;CC Forêts, Seine et Suzon;8.1
200039204;CC de Lacq-Orthez;9
200039519;CC du Quercy Blanc;9.4
200039642;CC Le Tonnerrois en Bourgogne;17.4
200039709;CC du Serein;12.9
200039758;CC Avallon, Vézelay, Morvan;13.3
200039808;CC des Gorges de l'Ardèche;7.2
200039824;CC Ardèche des Sources et Volcans;8.2
200039832;CC Pays des Vans en Cévennes;7.7
200039857;CA du Pays de Grasse;7.8
200039865;Metz Métropole;9.3
200039907;CC du Sud Messin;5.8
200039915;CA Cannes Pays de Lérins;4
200039931;CC Alpes d'Azur;6.4
200039949;CC Rives de Moselle;6.4
200040038;CC Saône Doubs Bresse;9.2
200040095;CC Isle Vern Salembre en Périgord;9
200040111;CC Coeur de Chartreuse;6.9
200040137;CC des Lacs de Champagne;11.2
200040178;CC de l'Outre-Forêt;8.7
200040202;CC Provence Verdon;10.6
200040210;CC Lacs et Gorges du Verdon;8.4
200040244;CA du Bocage Bressuirais;7.2
200040251;CC Bassée-Montois;8.8
200040277;CA Agglo du Pays de Dreux;7.4
200040293;CC du Clunisois;8.5
200040350;CC Bugey Sud;10.3
200040384;CC Isle Double Landais;11
200040392;CA Le Grand Périgueux;9.2
200040400;CC du Périgord Ribéracois;12.1
200040418;CC du Pays de Serres en Quercy;13
200040426;CC du Val de l'Oise;8.9
200040442;CA Luberon Monts de Vaucluse;8.6
200040459;CA Montélimar Agglomération;8.5
200040475;LBN Communauté;10.1
200040491;CC Porte de Dromardèche;8.8
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;9.2
200040558;CC Écueillé-Valençay;14
200040566;CA de l'Ouest Rhodanien;12.6
200040574;CC Beaujolais Pierres Dorées;5.4
200040590;CA Villefranche Beaujolais Saône;8.5
200040624;CC Pays d'Apt-Luberon;8.8
200040657;CC de la Matheysine;7.2
200040681;CC Enclave des Papes - Pays de Grignan;10.6
200040715;Grenoble-Alpes-Métropole;9.4
200040764;CC du Sud Corse;3.5
200040772;CC du Perche et Haut Vendômois;10.7
200040798;CC Val Vanoise;1.9
200040814;CC Briance Sud Haute Vienne;8.3
200040830;CC du Pays de Fénelon;9.2
200040889;CC de Portes Sud Périgord;9
200040905;CC Carmausin-Ségala;10.6
200040947;CA Coeur de Flandre;5.7
200040954;CC des Hauts de Flandre;5.5
200041010;CC Coeur de Savoie;7.5
200041051;CC Vallée de la Dordogne et Forêt Bessède;7.9
200041150;CC Terrassonnais Haut Périgord Noir;8.9
200041168;CC de la Vallée de l'Homme;9.9
200041283;CC de la Plaine du Rhin;8.6
200041317;CA du Niortais;7.4
200041325;CC du Pays Rhénan;6.9
200041333;CC de Parthenay-Gâtine;9.4
200041366;CC Rhône Crussol;6.2
200041416;CC Airvaudais-Val du Thouet;10.5
200041440;CC de Domme- Villefranche du Périgord;7.2
200041465;CC Val Eyrieux;12.2
200041499;CC Aunis Atlantique;7.1
200041507;CA La Riviéra du Levant;9.7
200041515;CC du Bassin de Pont-à-Mousson;9.2
200041523;CC de la Haute Saintonge;11.9
200041556;CC Portes de la Creuse en Marche;15.8
200041572;CC Dronne et Belle;12.9
200041614;CC Aunis Sud;7.6
200041622;CC Ardennes Thiérache;11.5
200041630;Ardenne Métropole;11.1
200041689;Vals de Saintonge Communauté;12.8
200041721;CC de la Haute Comté;15.5
200041762;CA Rochefort Océan;7.6
200041788;CA du Pays Nord Martinique;16.3
200041853;CC du Pays de Montbozon et du Chanois;8.8
200041861;CC du Triangle Vert;7.9
200041879;CC Terres de Saône;11.3
200041887;CC du Val Marnaysien;7.2
200041960;CC Pévèle-Carembault;5.5
200041994;CC Haut Val de Sèvre;8.8
200042000;CC Bruyères-Vallons des Vosges;10.6
200042174;CA Lorient Agglomération;5.9
200042182;CC du Mont des Avaloirs;15.5
200042190;CA de la Porte du Hainaut;8.1
200042372;CC des Coteaux Arrats Gimone;12.2
200042414;CC Bresse Revermont 71;7.4
200042463;CC de la Montagne Noire;9.2
200042497;CC Dombes Saône Vallée;5.9
200042604;CC de Granville, Terre et Mer;6
200042620;CC de la Région de Suippes;8.9
200042646;CC Grand Orb Communauté de Communes en Languedoc;12.8
200042653;CC Sud-Hérault;10.9
200042703;CC de l'Argonne Champenoise;14
200042729;CC de la Baie du Cotentin;8.2
200042901;CC Drôme Sud Provence;9.5
200042935;CA Haut-Bugey Agglomération;10.9
200042943;CC du Cap Corse;2.9
200042992;CC Perthois-Bocage et Der;7
200043016;CC Val de Charente;12.5
200043065;CC du Val d'Amboise;7.9
200043081;CC Chinon, Vienne et Loire;12.2
200043123;CC Auray Quiberon Terre Atlantique;4.6
200043156;CC du Pays Rethélois;8.5
200043172;CA du Bassin de Brive;9.5
200043263;CC Coeur de l'Avesnois;10.8
200043321;CC du Pays de Mormal;8.4
200043354;CC de Villedieu Intercom;11.5
200043396;CA Maubeuge Val de Sambre;8.2
200043404;CC du Sud Avesnois;9.8
200043438;CC de la Moivre à la Coole;5.9
200043495;CA du Pays de Laon;9.3
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;4.1
200043628;CC des Vallées du Clain;5.2
200043693;CC Terre Lorraine du Longuyonnais;10.9
200043776;CC Pyrénées audoises;11.5
200043974;CC du Sud Gironde;7.9
200043982;CC du Bazadais;9.6
200043990;CC Vallons de Haute-Bretagne Communauté;7.9
200044014;CC Creuse Grand Sud;15.9
200044030;CC des 7 Vallées;8.8
200044048;CC Osartis Marquion;5.9
200044253;CC du Bassin de Joinville en Champagne;16.8
200044394;CC du Réolais en Sud Gironde;9.7
200044469;CC du Pays de Mirepoix;10.9
200044618;CA Douaisis Agglo;8.9
200044691;CA du Nord Grande Terre;14.3
200046977;Métropole de Lyon;7.7
200048551;CC du Pays de Craon;9.2
200049187;CA du Grand Verdun;10.9
200049211;CC Conflent-Canigó;10.5
200049484;CC Berry Grand Sud;16.9
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;7.1
200055481;CC Beauce Val de Loire;10.9
200055655;CA Roissy Pays de France;5.2
200055887;CC Mayenne Communauté;10.3
200056232;CA Communauté Paris-Saclay;6
200056380;CA Plaine Vallée;7
200057859;CA Coeur d'Essonne Agglomération;6.1
200057867;Plaine Commune;6.6
200057875;Est Ensemble;6.2
200057941;#ParisEstMarne&Bois;6.8
200057958;CA Paris - Vallée de la Marne;4.4
200057966;Vallée Sud-Grand Paris;6.2
200057974;Grand Paris Seine Ouest;6.7
200057982;Paris Ouest La Défense;7.2
200057990;Boucle Nord de Seine;6
200058006;Grand Paris Sud Est Avenir;4.4
200058014;Grand-Orly Seine Bièvre;6.3
200058097;Paris Terres d'Envol;5.4
200058360;CC Entre Beauce et Perche;8.3
200058477;CA Val d'Yerres Val de Seine;6.2
200058485;CA Val Parisis;5.8
200058519;CA Saint Germain Boucles de Seine;6.5
200058782;CA de Saint Quentin en Yvelines;4.7
200058790;Grand Paris Grand Est;6.3
200059228;CA Grand Paris Sud Seine Essonne Sénart;6
200059392;CC Bièvre Isère;7.9
200059400;CC Porte Océane du Limousin;10
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;5.7
200060010;CA Mauges Communauté;5.9
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;3.2
200065589;CC Val ès Dunes;4.5
200065597;CU Caen la Mer;6.6
200065647;CA Pays de Montbéliard Agglomération;9.9
200065787;CC de Pont-Audemer / Val de Risle;8.7
200065886;Loire Forez Agglomération (LFA);8.2
200065894;CC de Forez-Est;8.4
200065928;CA Lannion-Trégor Communauté;6.1
200066009;CA Mulhouse Alsace Agglomération;10.6
200066017;CC Lieuvin Pays d'Auge;7.1
200066025;CC Alsace Rhin Brisach;7.4
200066033;CC Sud Alsace Largue;8.1
200066041;CC Sundgau;9.2
200066058;CA Saint-Louis Agglomération;8.3
200066108;CC des Portes de Meuse;12.2
200066116;CC Argonne-Meuse;12.6
200066124;CA Gaillac-Graulhet;7.9
200066132;CC du Pays de Stenay et du Val Dunois;16.2
200066140;CC de l'Aire à l'Argonne;11.6
200066157;CC de Commercy - Void - Vaucouleurs;10.9
200066165;CC Val de Meuse - Voie Sacrée;8.2
200066173;CC de Damvillers Spincourt;11.2
200066223;CC Arize Lèze;9.1
200066231;CC des Portes d'Ariège Pyrénées;9.3
200066280;CC du Pithiverais;8.3
200066322;CC Terres des Confluences;8.8
200066330;CC Terres du Haut Berry;10
200066348;CC du Minervois au Caroux;12.3
200066355;CA Sète Agglopôle Méditerranée;4.3
200066363;CC de la Haute Ariège;4
200066371;CC Causses et Vallée de la Dordogne;11
200066389;CA Saint-Lô Agglo;7.8
200066405;CC Roumois Seine;5.4
200066413;CC Intercom Bernay Terres de Normandie;8.3
200066462;CC Interco Normandie Sud Eure;9.8
200066512;CC Élan Limousin Avenir Nature;9.9
200066520;CC Ouest Limousin;13.6
200066553;CC du Haut-Languedoc;6.6
200066561;CC Sidobre Vals et Plateaux;9.9
200066587;CC des Monts du Lyonnais;8.2
200066603;CC du Pays de Lubersac-Pompadour;14
200066637;CC Hautes Terres;14.7
200066645;CC Vézère-Monédières-Millesources;9.4
200066652;CC Grand Sud Tarn-et-Garonne;6.8
200066660;CC de Saint-Flour;12.5
200066678;CC de la Châtaigneraie Cantalienne;9.9
200066710;CC Cingal-Suisse Normande;7.7
200066728;CC Vallées de l'Orne et de l'Odon;3.4
200066744;CC Haute-Corrèze Communauté;14.6
200066751;CC Xaintrie Val'Dordogne;11.7
200066769;CC Midi Corrézien;10.1
200066777;Ploërmel Communauté;11.1
200066785;CC de l'Oust à Brocéliande;9.9
200066793;CA du Grand Annecy;6.5
200066801;CC Isigny-Omaha Intercom;6.4
200066819;CC du Volvestre;8
200066827;CC du Pays de Honfleur-Beuzeville;8.6
200066835;CC de Sézanne-Sud Ouest Marnais;12.6
200066850;CC des Paysages de la Champagne;13.1
200066868;CC Presqu'île de Crozon-Aulne maritime;8
200066876;CA de Châlons-en-Champagne;7
200066884;CC Quercy Vert-Aveyron;7.4
200066892;CC de Vendeuvre-Soulaines;10.6
200066918;CA Alès Agglomération;9.2
200066926;CA Grand Auch Coeur de Gascogne;8.7
200066975;CC Senlis Sud Oise;8.3
200067023;CC Coutances Mer et Bocage;7.9
200067031;CC Côte Ouest Centre Manche;8
200067049;CC Spelunca-Liamone;0.9
200067064;CC Decazeville Communauté;18.8
200067072;CC Haut-Léon Communauté;8.6
200067080;CC Chablis Villages et Terroirs;14.6
200067106;CA du Pays Basque;5.2
200067114;CA de l'Auxerrois;10.9
200067122;CC du Pays de Lafrançaise;8.7
200067130;CC de Puisaye-Forterre;13.2
200067155;CC Saint Affricain, Roquefort, Sept Vallons;13.1
200067163;CC Monts, Rance et Rougier;9.7
200067171;CC Aubrac Carladez Viadène;12.1
200067189;CC Creuse Sud Ouest;15.3
200067197;CC Monts d'Arrée Communauté;9.6
200067205;CA du Cotentin;6.3
200067213;CU du Grand Reims;8.4
200067239;CC des Luys en Béarn;7.4
200067247;CC Pleyben-Châteaulin-Porzay;9.1
200067254;CA Pau Béarn Pyrénées;10.9
200067262;CC du Haut Béarn;8.2
200067288;CC du Béarn des Gaves;10.6
200067296;CC du Nord Est Béarn;7
200067304;CC Serein et Armance;11.2
200067320;CC Serre-Ponçon Val d'Avance;7
200067346;CA Pornic Agglo Pays de Retz;3.8
200067361;CC Grand-Figeac;11.4
200067379;CC Côtes de Champagne et Val de Saulx;11.1
200067429;CC Haut Nivernais - Val d'Yonne;19.7
200067437;CA Provence-Alpes-Agglomération;8.7
200067445;CC Buëch-Dévoluy;4.9
200067452;CC du Guillestrois et du Queyras;3.1
200067460;CC Loudéac Communauté - Bretagne Centre;11.9
200067478;CC Comtal Lot et Truyère;9.2
200067486;CC Bouzonvillois-Trois Frontières;9.8
200067502;CA Saint-Avold Synergie;11.8
200067544;CC Creuse Confluence;17.9
200067551;CA Thonon Agglomération;8.5
200067593;CC Marche et Combraille en Aquitaine;16.3
200067627;CC Billom Communauté;11.4
200067635;CA Clisson Sèvre et Maine Agglo;4.3
200067643;CC Meurthe Mortagne Moselle;7.7
200067650;CC Houve - Pays Boulageois;7.7
200067668;CC de la Cléry, du Betz et de l'Ouanne;11.7
200067676;CC Canaux et Forêts en Gâtinais;10.7
200067684;CA Epernay, Coteaux et Plaine de Champagne;9.8
200067692;CC Tannay-Brinon-Corbigny;14.2
200067700;CC Sud Nivernais;15.2
200067742;CC Serre-Ponçon;4.1
200067759;CC Vallées et Plateau d'Ardenne;11.8
200067767;CC du Royans-Vercors;6.4
200067783;CC de Hanau-La Petite Pierre;9.9
200067791;CA L'Agglo Foix-Varilhes;9.4
200067817;CC Saône-Beaujolais;9
200067825;CA Gap-Tallard-Durance;8.3
200067841;CC de l'Alsace Bossue;12.3
200067866;CC Sèvre et Loire;4.1
200067874;CA de Haguenau;7.5
200067882;CC Bazois Loire Morvan;13.7
200067890;CC Morvan Sommets et Grands Lacs;11.4
200067908;CC Amognes Coeur du Nivernais;12.5
200067916;CC Coeur de Loire;13.7
200067924;CC du Canton d'Erstein;6.1
200067932;CA Golfe du Morbihan - Vannes Agglomération;5.5
200067940;CC Couserans-Pyrénées;8.9
200067957;CC Haut Chemin - Pays de Pange;4.5
200067965;CA de la Région de Compiègne et de la Basse Automne;7.9
200067973;CC Thelloise;5.8
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;10.7
200067999;CA du Beauvaisis;8.3
200068005;CC de l'Oise Picarde;8.9
200068047;CA Creil Sud Oise;6.4
200068070;CC Loue-Lison;7.2
200068088;CC Les Bertranges;14.4
200068096;CC Champsaur-Valgaudemar;5.3
200068104;CA de la Provence Verte;9
200068112;CC du Pays de Saverne;9.2
200068120;CA Quimper Bretagne Occidentale;7.7
200068146;CC Sarrebourg Moselle Sud;8.9
200068229;CC des Baronnies en Drôme Provençale;7.5
200068278;CC Berry Loire Puisaye;12.8
200068294;CC des Deux Vallées Vertes;11.6
200068369;CC de Mirecourt Dompaire;14.2
200068377;CC de la Porte des Vosges Méridionales;10.5
200068435;CC Coeur du Perche;9.4
200068443;CC Andaine - Passais;9.3
200068450;Terres d'Argentan Interco;9.7
200068468;CC des Pays de L'Aigle;10
200068484;CC des Causses à l'Aubrac;12.8
200068500;CA de Cambrai;8.4
200068534;CC Terroir de Caux;6.2
200068542;CC Les Balcons du Dauphiné;6.8
200068559;CC de l'Ouest Vosgien;13
200068567;CC Les Vals du Dauphiné;7.4
200068625;CC Alpes-Provence-Verdon "Sources de lumière";5.9
200068641;CA Le Muretain Agglo;5.6
200068658;CA de Chaumont;9
200068666;CA du Grand Saint-Dizier Der et Vallées;11.5
200068674;CA Grand Lac;7.5
200068682;CC Terre d'Eau;12.3
200068757;CA d'Epinal;10.3
200068765;CC du Sisteronais-Buëch;9.5
200068773;CC des Vosges côté Sud Ouest;14
200068781;CA Valence Romans Agglo;8.7
200068799;CC Intercom de la Vire au Noireau;11.6
200068807;CC du Bassin Auterivain Haut-Garonnais;7.1
200068815;CC Coeur de Garonne;10.2
200068831;Pays Ségali Communauté;8.4
200068856;CC des Hauts du Perche;10.3
200068864;CC de la Mossig et du Vignoble;7.1
200068872;CC Éguzon - Argenton - Vallée de la Creuse;11.7
200068880;CC Champagne Boischauts;12.8
200068914;CC La Rochefoucauld Porte du Périgord;10.1
200068922;CC du Confluent et des Coteaux de Prayssas;13.9
200068930;CC Fumel Vallée du Lot;11.5
200068948;CC Albret Communauté;14
200068955;CC Anjou Loir et Sarthe;7.4
200068963;CC Maine Coeur de Sarthe;6.1
200068989;CA Dinan Agglomération;6.8
200068997;CA Arlysère;6.8
200069003;CC du Barséquanais en Champagne;15.5
200069029;CA des Deux Baies en Montreuillois;4.7
200069037;CA du Pays de Saint-Omer;7.4
200069052;CA Grand Belfort;10.5
200069060;CC des Vosges du Sud;9.2
200069086;CC Leff Armor Communauté;8.2
200069094;CC Isle et Crempse en Périgord;11.6
200069102;CC Randon - Margeride;8.2
200069110;CA du Grand Chambéry;6.9
200069128;CC Mont Lozère;4.7
200069136;CC des Cévennes au Mont Lozère;5.5
200069144;CC des Hautes Terres de l'Aubrac;13.2
200069151;CC Gorges Causses Cévennes;6.9
200069169;CC Dômes Sancy Artense;12.2
200069177;CC Mond'Arverne Communauté;8.9
200069185;CC des Terres d'Apcher-Margeride-Aubrac;11
200069193;CC de la Dombes;6.6
200069227;CC Pays Fort Sancerrois Val de Loire;16.3
200069235;CC du Haut Pays du Montreuillois;8.6
200069250;CA Troyes Champagne Métropole;7.1
200069268;CC Aubrac Lot Causses Tarn;9.5
200069300;CA Tarbes-Lourdes-Pyrénées;11
200069383;Ouest Aveyron Communauté;14
200069391;CA Lamballe Terre et Mer;6.8
200069409;CA Saint-Brieuc Armor Agglomération;7.4
200069417;CC Pays d'Orthe et Arrigans;8.6
200069425;CA Mont-Saint-Michel-Normandie;10.5
200069433;CC de Vezouze en Piémont;14.1
200069441;CC du Pays de Bitche;9.9
200069458;CC des Vallées d'Auge et du Merlerault;15.4
200069482;CC des Campagnes de l'Artois;7.2
200069516;CC Seulles Terre et Mer;4.3
200069524;CC Pré-Bocage Intercom;6.8
200069532;CA Lisieux Normandie;8.6
200069540;CC Norge et Tille;3.9
200069565;CC des Lacs et Montagnes du Haut-Doubs;6.2
200069581;CC Convergence Garonne;9.3
200069599;CC Rurales de l'Entre-Deux-Mers;9.7
200069615;CC Bresse Haute Seille;8
200069623;CC Champagnole Nozeroy Jura;8.9
200069631;CC Terres de Chalosse;7.8
200069649;CC Chalosse Tursan;8.4
200069656;CC Coeur Haute Lande;8
200069664;CC Meuse Rognon;12.1
200069672;CC du Ternois;9.4
200069698;CC Mâconnais - Tournugeois;10.8
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;9.4
200069730;CC des Quatre Rivières en Bray;9.6
200069748;CC Val de Gâtine;10
200069755;CC Mellois en Poitou;10.6
200069763;CC du Haut Poitou;7.1
200069821;CA Fécamp Caux Littoral Agglomération;7.4
200069839;CC de la Côte d'Albâtre;7.1
200069847;CC Plateau de Caux;5.3
200069854;CU du Grand Poitiers;7.6
200069912;CC des Forêts du Perche;10.4
200069953;CC des Portes Euréliennes d'Ile de France;7
200069961;CC du Grand Châteaudun;11.7
200069995;CC Médoc Coeur de Presqu'île;11.4
200070035;CC du Civraisien en Poitou;12.9
200070043;CC Vienne et Gartempe;14.3
200070068;CC Bray-Eawy;7.8
200070092;CA du Libournais;8.2
200070100;CC du Val de Sully;11.9
200070118;CC Val de Saône Centre;5.9
200070126;CC Seine et Aube;8.5
200070142;CC Lyons Andelle;6.9
200070159;CC Coeur de Beauce;10
200070167;CC Terres de Perche;9.3
200070183;CC des Terres du Val de Loire;7.4
200070233;CA Terres de Montaigu;4.5
200070282;CC Lavalette Tude Dronne;12.3
200070290;CC Coeur du Pays Haut;11.5
200070308;CA Mâconnais Beaujolais Agglomération;8.2
200070316;CC Entre Arroux, Loire et Somme;12.9
200070324;CC du Territoire de Lunéville à Baccarat;10.8
200070332;CC des Savoir-Faire;14.3
200070340;CC Haute Maurienne Vanoise;6.1
200070365;CC Corbières Salanque Méditerranée;5.8
200070373;CC Loir-Lucé-Bercé;11.8
200070407;CA Agglo Pays d'Issoire;13.1
200070431;CC Saint-Marcellin Vercors Isère Communauté;8.3
200070449;CC Inter-Caux-Vexin;4.9
200070464;CC Coeur de Maurienne Arvan;5.2
200070506;CC Pays de Nexon Monts de Chalus;11.2
200070514;CA du Grand Cognac;9.6
200070530;CC du Grand Autunois Morvan;13
200070548;CC Brionnais Sud Bourgogne;11.4
200070555;CC de la Veyle;5.9
200070563;CC Terres Touloises;7.8
200070571;CC Coeur de Berry;9.2
200070589;CC de Seille et Grand Couronné;5.9
200070647;CA Bergeracoise;9
200070662;CC Bretagne Porte de Loire Communauté;8.5
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;7.6
200070688;CC Couesnon Marches de Bretagne;11.4
200070712;CC Thiers Dore et Montagne;17.4
200070720;CC Médoc Atlantique;3.1
200070738;CC Mad et Moselle;8.2
200070746;CA Sarreguemines Confluences;10.1
200070753;CA Riom Limagne et Volcans;8.9
200070761;CC Ambert Livradois Forez;13.6
200070779;CC Brie des Rivières et Châteaux;6.7
200070787;CC du Plateau de Lannemezan;8.8
200070795;CC du Pays de Trie et du Magnoac;11.3
200070803;CC des Coteaux du Val d'Arros;8.4
200070811;CC Pyrénées Vallées des Gaves;4
200070829;CC Neste Barousse;10.1
200070845;CC Orne Lorraine Confluences;10.2
200070852;CC Usses et Rhône;8.2
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;7.4
200070902;CC Auxonne Pontailler Val de Saône;8.7
200070910;CC Tille et Venelle;12.2
200070928;CC Terre de Picardie;8.8
200070936;CC Ponthieu-Marquenterre;5.3
200070944;CC du Vimeu;8
200070951;CC du Territoire Nord Picardie;8.3
200070969;CC Avre Luce Noye;7.8
200070977;CC du Grand Roye;9.5
200070985;CC de l'Est de la Somme;10.8
200070993;CA de la Baie de Somme;7.3
200071017;CC des Terres d'Auxois;12.4
200071025;CC Haute-Provence - Pays de Banon;7.2
200071033;CC Jabron-Lure-Vançon-Durance;8.9
200071041;CC du Chaourçois et du Val d'Armance;13.3
200071058;CC Les Avant-Monts;8.2
200071066;CA de Saint-Dié-des-Vosges;11.2
200071074;CC Les Portes de l'Ile de France;6.8
200071082;CA Montluçon Communauté;18.5
