Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;5.8
200070902;CC Auxonne Pontailler Val de Saône;10
200070910;CC Tille et Venelle;8.6
200070928;CC Terre de Picardie;15.9
200070936;CC Ponthieu-Marquenterre;14.4
200070944;CC du Vimeu;13.8
200070951;CC du Territoire Nord Picardie;13.9
200070969;CC Avre Luce Noye;9.7
200070977;CC du Grand Roye;16.4
200070985;CC de l'Est de la Somme;18.2
200070993;CA de la Baie de Somme;18.2
200071017;CC des Terres d'Auxois;12.6
200071025;CC Haute-Provence - Pays de Banon;17.4
200071033;CC Jabron-Lure-Vançon-Durance;14.1
200071041;CC du Chaourçois et du Val d'Armance;13.5
200071058;CC Les Avant-Monts;16
200071066;CA de Saint-Dié-des-Vosges;17.3
200071074;CC Les Portes de l'Ile de France;10.2
200071082;CA Montluçon Communauté;18.8
200071116;CA ECLA (Espace Communautaire Lons Agglomération);14.3
200071140;CA Moulins Communauté;14.6
200071165;CA Les Sables d'Olonne Agglomération;8.7
200071173;CC du Pays Arnay Liernais;14.5
200071181;CC Somme Sud-Ouest;12.3
200071199;CC Plaine Limagne;10.5
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;10.6
200071215;CC Chavanon Combrailles et Volcans;17.4
200071223;CC Nièvre et Somme;12.8
200071298;CC des Terres du Lauragais;7.7
200071314;CC des Hauts-Tolosans;9.3
200071363;CA Vichy Communauté;16.7
200071371;CC Bresse et Saône;7.5
200071389;CC Saint-Pourçain Sioule Limagne;13.6
200071405;CC Ardèche Rhône Coiron;15.8
200071413;CA Privas Centre Ardèche;15.2
200071454;CA Evreux Portes de Normandie;16.2
200071470;CC Entr'Allier Besbre et Loire;16.4
200071496;CC du Bocage Bourbonnais;18.3
200071504;CC des Collines du Perche Normand;12.7
200071512;CC Commentry Montmarault Néris Communauté;15.2
200071520;CC Domfront Tinchebray Interco;14.3
200071538;CC Terres de Bresse;10
200071546;CC Sud Retz Atlantique;9.4
200071553;CC Loire Layon Aubance;6.6
200071579;CC Bresse Louhannaise Intercom';13.3
200071587;CC Loches Sud Touraine;13
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;11.6
200071629;CC Challans-Gois Communauté;9.6
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;12.7
200071652;CC du Pays Fertois et du Bocage Carrougien;12.9
200071678;CA Cholet Agglomération;10.6
200071751;CA du Bassin de Bourg-en-Bresse;12.2
200071769;CC Picardie des Châteaux;15.1
200071777;CC d'Arcis, Mailly, Ramerupt;12.2
200071785;CA Chauny Tergnier La Fère;20.7
200071819;CC du Périgord Nontronnais;20.3
200071827;CA du Grand Angoulême;15.7
200071843;CC du Vexin Normand;12.2
200071850;CC du Pithiverais-Gâtinais;12.3
200071868;CC des Vallées du Haut-Anjou;9
200071876;CA Saumur Val de Loire;13.8
200071884;CC Le Grand Charolais;13.1
200071892;CA du Saint-Quentinois;23.2
200071900;CC Vendée Grand Littoral;8.4
200071918;CC du Pays de Saint-Fulgent - Les Essarts;6.4
200071926;CC du Limouxin;21.9
200071934;CC du Pays de Fontenay-Vendée;13.1
200071942;CC Haut Limousin en Marche;21
200071967;CC Pays d'Evian Vallée d'Abondance;8.1
200071983;CC Thiérache Sambre et Oise;24.4
200071991;CC Retz en Valois;12.5
200072007;CC Montagne d'Ardèche;22.9
200072015;CA Annonay Rhône Agglo;12.7
200072023;CC Coeur de Charente;14.4
200072031;CA de la Région de Château-Thierry;15.4
200072049;CC de Charente Limousine;19.8
200072056;CC Porte du Jura;12.4
200072064;CC Val-de-Cher-Controis;12.3
200072072;CA Territoires Vendômois;12.2
200072080;CC du Pays de Saint-Eloy;19.2
200072098;CC Combrailles Sioule et Morge;9.7
200072106;CC Adour Madiran;14.8
200072130;CA du Pays de Meaux;15.3
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;16.9
200072312;CA Seine Normandie Agglomération;12.9
200072320;CC Val de Gers;14.7
200072346;CA du Pays de Fontainebleau;8.7
200072452;CA Fougères Agglomération;11.3
200072460;CA de Béthune-Bruay, Artois-Lys Romane;18.6
200072478;CC Pays d'Opale;15.1
200072544;CC des Deux Morin;11.4
200072635;CC Pyrénées Haut Garonnaises;16
200072643;CC Coeur et Coteaux du Comminges;19.2
200072650;CC Touraine Vallée de l'Indre;6.3
200072668;CC Touraine Val de Vienne;13.7
200072676;CC Maine Saosnois;13.9
200072684;CC Le Gesnois Bilurien;9
200072692;CC des Vallées de la Braye et de l'Anille;12.7
200072700;CC Haute Sarthe Alpes Mancelles;11.8
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;11.6
200072726;CC Châteaubriant-Derval;14.1
200072734;CC Estuaire et Sillon;5.7
200072825;CC Mirebellois et Fontenois;7.1
200072874;CC Val Briard;5.5
200072882;CC de Vie et Boulogne;7.1
200072981;CC Touraine Ouest Val de Loire;11.8
200072999;CC du Grand Langres;13.3
200073013;CC Carnelle Pays-de-France;5.9
200073096;CA Arche Agglo;11.3
200073104;CC de l'Ile-Rousse - Balagne;20.4
200073112;CC Sud Sarthe;12.7
200073120;CC Nebbiu - Conca d'Oro;19.6
200073138;CC Pasquale Paoli;21.8
200073146;CC Cagire Garonne Salat;16.9
200073161;CC Touraine-Est Vallées;7
200073237;CC de Gâtine-Racan;7.3
200073245;CC du Bassin d'Aubenas;17.3
200073252;CC de la Castagniccia-Casinca;23.4
200073260;CC Sud Vendée Littoral;11.2
200073344;CA Rambouillet Territoires;5.8
200073393;CC des Rives du Haut Allier;17.2
200073401;CC Mézenc-Loire-Meygal;13.3
200073419;CA du Puy-en-Velay;13.1
200073427;CC Marches du Velay-Rochebaron;8.1
200077014;CA Vienne Condrieu;12.3
200083392;CA Laval Agglomération;11.4
200084952;Le Havre Seine Métropole;16.9
200085728;CC Brioude Sud Auvergne;15.3
200085751;CC Entre Bièvre et Rhône;13
200089456;CA Seine-Eure;14
200090504;CA Coulommiers Pays de Brie;10
200090561;CC Vierzon-Sologne-Berry;19.7
200090579;CC Terre d'Émeraude Communauté;10.5
200090751;CA Grand Calais Terres et Mers;23.2
200093201;Métropole Européenne de Lille;19.7
200096634;CC des Hautes Vosges;11.3
200096642;CC Gérardmer Hautes Vosges;12.8
200096675;CC Baud Communauté;9.9
200096683;CC Centre Morbihan Communauté;10.6
200096956;CA Agglomération d'Agen;15.8
240100610;CC de la Côtière à Montluel;8.2
240100750;CA du Pays de Gex;12.4
240100800;CC de Miribel et du Plateau;7.7
240100883;CC de la Plaine de l'Ain;9.4
240100891;CC Terre Valserhône (CCTV);15.1
240200444;CC de la Thiérache du Centre;19.7
240200469;CC du Pays de la Serre;15.8
240200477;GrandSoissons Agglomération;22.2
240200493;CC du Pays du Vermandois;18
240200501;CC du Val de l'Aisne;11.3
240200519;CC du Canton d'Oulchy-le-Château;10
240200576;CC de la Champagne Picarde;12.4
240200584;CC du Canton de Charly-sur-Marne;11.5
240200592;CC du Chemin des Dames;12.8
240200600;CC des Trois Rivières;26.7
240200634;CC des Portes de la Thiérache;23.3
240300491;CC du Pays de Lapalisse;16.8
240300558;CC du Pays de Tronçais;19.3
240300566;CC du Val de Cher;11.4
240300657;CC du Pays d'Huriel;15.7
240400440;CC Pays Forcalquier et Montagne de Lure;20
240500439;CC du Briançonnais;14.6
240500462;CC du Pays des Ecrins;15.1
240600551;CA de la Riviera Française;16.5
240600585;CA de Sophia Antipolis;13
240600593;CC du Pays des Paillons;10.4
240700302;CC du Pays Beaume-Drobie;23.2
240700617;CC Val de Ligne;18.6
240700716;CC du Val d'Ay;10.8
240700815;CC Berg et Coiron;15.3
240700864;CC du Rhône aux Gorges de l'Ardèche;16.9
240800821;CC Ardenne, Rives de Meuse;21.3
240800847;CC des Portes du Luxembourg;18.8
240800862;CC des Crêtes Préardennaises;14.1
240800920;CC de l'Argonne Ardennaise;17.8
240900431;CC du Pays de Tarascon;19.9
240900464;CC du Pays d'Olmes;22.8
241000223;CC Forêts, Lacs, Terres en Champagne;8.4
241000405;CC de la Région de Bar sur Aube;17.5
241000447;CC du Pays d'Othe;14
241000488;CC de l'Orvin et de l'Ardusson;9.2
241100593;CA Le Grand Narbonne;20.2
241200187;CA Rodez Agglomération;12.4
241200542;CC du Réquistanais;19.9
241200567;CC de Millau Grands Causses;14.7
241200625;CC du Pays Rignacois;11.8
241200641;CC Conques-Marcillac;11
241200658;CC du Pays de Salars;9.3
241200674;CC du Plateau de Montbazens;13.5
241200765;CC de Lévézou Pareloup;16.2
241200807;CC Aveyron Bas Ségala Viaur;19.4
241200906;CC Larzac et Vallées;17.3
241200914;CC de la Muse et des Raspes du Tarn;18.4
241300375;CC Vallée des Baux-Alpilles (CC VBA);13.2
241300417;CA d'Arles-Crau-Camargue-Montagnette;22.8
241400415;CC Coeur Côte Fleurie;14.1
241400514;CC du Pays de Falaise;12.1
241400555;CC de Bayeux Intercom;10.8
241400860;CC Coeur de Nacre;7.8
241400878;CC Terre d'Auge;10.1
241500230;Aurillac Agglomération;11.6
241500255;CC du Pays Gentiane;17
241500271;CC du Pays de Mauriac;15.2
241501055;CC Sumène - Artense;14.9
241501089;CC Cère et Goul en Carladès;12.8
241501139;CC du Pays de Salers;18.5
241600303;CC du Rouillacais;12.6
241700434;CA de La Rochelle;11.8
241700459;CC de l'Ile de Ré;9.1
241700517;CC Coeur de Saintonge;11.3
241700624;CC de l'Ile d'Oléron;13
241700632;CC de Gémozac et de la Saintonge Viticole;12
241700640;CA Royan Atlantique;11.6
241700699;CC du Bassin de Marennes;12.8
241800374;CC la Septaine;10.2
241800424;CC le Dunois;11.9
241800432;CC les Trois Provinces;21.2
241800457;CC FerCher;12.7
241800507;CA Bourges Plus;15.1
241900133;CC de Ventadour - Egletons - Monédières;16.2
241927201;CA Tulle Agglo;12.2
241927243;CC du Pays d'Uzerche;14.9
242000354;CA de Bastia;19.8
242000495;CC de l'Alta Rocca;18.8
242000503;CC Celavu-Prunelli;11
242010056;CA du Pays Ajaccien;14.3
242010130;CC du Sartenais Valinco Taravo;21.5
242020071;CC du Centre Corse;20.1
242020105;CC de Calvi Balagne;20.1
242100154;CC des Vallées de la Tille et de l'Ignon;6.7
242100410;Dijon Métropole;15.1
242101434;CC du Pays Châtillonnais;16.1
242101442;CC de Saulieu-Morvan;15.5
242101459;CC du Pays d'Alésia et de la Seine;14.1
242101491;CC du Montbardois;13.4
242101509;CC Rives de Saône;10.1
242200715;CC du Kreiz-Breizh (CCKB);19.1
242300135;CC du Pays Sostranien;19.1
242320000;CC de Bénévent Grand Bourg;18.3
242320109;CC du Pays Dunois;19.4
242400752;CC Périgord-Limousin;18.9
242400935;CC du Pays de Saint Aulaye;20.3
242401024;CC Isle-Loue-Auvézère en Périgord;17.6
242500320;CC Entre Doubs et Loue;5.3
242500338;CC du Grand Pontarlier;9.3
242500361;CU Grand Besançon Métropole;15.9
242504116;CC du Val de Morteau;5.6
242504181;CC des Portes du Haut-Doubs;7.5
242504355;CC du Plateau de Russey;5
242504371;CC du Pays de Sancey-Belleherbe;10.6
242504447;CC du Doubs Baumois;9.7
242504488;CC Altitude 800;6.8
242504496;CC du Plateau de Frasne et du Val de Drugeon;5.7
242600252;CC du Val de Drôme en Biovallée;11.3
242600492;CC Dieulefit-Bourdeaux;16.5
242600534;CC du Diois;22.7
242700276;CC du Pays de Conches;9.9
242700607;CC du Pays du Neubourg;7.1
242852465;CC du Bonnevalais;9
242900074;CC du Pays d'Iroise;6
242900314;Brest Métropole;14
242900553;CC du Pays des Abers;6.8
242900561;CC de Haute Cornouaille;16
242900629;CC Cap Sizun - Pointe du Raz;12.8
242900645;CC Douarnenez Communauté;12.7
242900660;CC du Pays Fouesnantais;6.8
242900694;CA Quimperlé Communauté;9.7
242900702;CC du Pays Bigouden Sud;9
242900710;CC du Haut Pays Bigouden;9.6
242900744;CC Poher Communauté;14.1
242900751;CC du Pays de Landivisiau;10.2
242900769;CA Concarneau Cornouaille Agglomération;9.9
242900793;CC Communauté Lesneven Côte des Légendes;8.6
242900801;CA du Pays de Landerneau-Daoulas;6.8
242900835;CA Morlaix Communauté;12.3
243000270;CC du Pays Viganais;26.1
243000296;CC du Pays de Sommières;13.6
243000569;CC Rhony, Vistre, Vidourle;11
243000585;CC Beaucaire Terre d'Argence;22.6
243000593;CC de Petite Camargue;16
243000643;CA de Nîmes Métropole;23.4
243000650;CC Terre de Camargue;15
243000684;CC du Pont du Gard;15.1
243100518;Toulouse Métropole;17.3
243100567;CC Aux sources du Canal du Midi;14.9
243100633;CA du Sicoval;9
243100732;CC des Coteaux du Girou;6
243100773;CC Val'Aïgo;10.8
243100781;Le Grand Ouest Toulousain agglomération;8.8
243100815;CC des Coteaux Bellevue;5.3
243200391;CC de la Lomagne Gersoise;15.7
243200409;CC du Bas Armagnac;16.8
243200417;CC de la Tenarèze;19.3
243200425;CC Coeur d'Astarac en Gascogne;19.8
243200458;CC du Grand Armagnac;20.5
243200508;CC Bastides et Vallons du Gers;18.1
243200599;CC du Saves;12.1
243200607;CC Artagnan de Fezensac;18.9
243300316;Bordeaux Métropole;14.4
243300563;CA Bassin d'Arcachon Sud (COBAS);9.9
243300811;CC de l'Estuaire;18.4
243301165;CC Jalle-Eau-Bourde;5.6
243301181;CC Latitude Nord Gironde;13.3
243301215;CC du Créonnais;8.1
243301223;CC du Grand Cubzaguais;11.5
243301249;CC Les Rives de la Laurence;8.7
243301264;CC de Montesquieu;5.9
243301355;CC les Coteaux Bordelais;7.4
243301371;CC du Pays Foyen;23.5
243301389;CC Médullienne;8.1
243301397;CC du Fronsadais;9.7
243301405;CC du Val de l'Eyre;6.9
243301439;CC des Portes de l'Entre-Deux-Mers;7.3
243301447;CC Médoc Estuaire;7.2
243301454;CC Castillon/Pujols;19.3
243301504;CA du Bassin d'Arcachon Nord (COBAN);7.7
243400017;Montpellier Méditerranée Métropole;19.9
243400355;CC du Clermontais;18.5
243400470;CA du Pays de l'Or;11.8
243400488;CC la Domitienne;15.5
243400520;CA Lunel Agglo;18.6
243400694;CC Vallée de l'Hérault;14.3
243400736;CC des Cévennes Gangeoises et Suménoises;20.7
243400769;CA de Béziers-Méditerranée;27.8
243400819;CA Hérault-Méditerranée;20.6
243500139;Rennes Métropole;13.9
243500550;CC Montfort Communauté;6.2
243500618;CC Brocéliande Communauté;7.7
243500634;Roche aux Fées Communauté;8.6
243500659;CC Pays de Châteaugiron Communauté;5
243500667;CC Val d'Ille-Aubigné;6
243500725;CC Côte d'Emeraude;9.5
243500733;CC Bretagne Romantique;9.3
243500741;CA Redon Agglomération;13
243500774;CC Liffré-Cormier Communauté;5.6
243500782;CA du Pays de Saint Malo Agglomération;10.4
243600202;CC Chabris - Pays de Bazelle;13.9
243600236;CC du Pays d'Issoudun;14.2
243600293;CC Levroux Boischaut Champagne;11
243600301;CC Val de l'Indre - Brenne;11.3
243600319;CC Brenne - Val de Creuse;15.4
243600327;CA Châteauroux Métropole;16.8
243600343;CC Coeur de Brenne;15
243600350;CC de la Châtre et Sainte-Sévère;16.2
243700499;CC du Castelrenaudais;10.8
243700754;Tours Métropole Val de Loire;16.2
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;6.9
243800604;CA Porte de l'Isère (CAPI);14.9
243800745;CC de l'Oisans;14.1
243800935;CC Lyon-Saint-Exupéry en Dauphiné;10.2
243800984;CA du Pays Voironnais;9.5
243801024;CC du Massif du Vercors;8.5
243801073;CC de Bièvre Est;8.2
243801255;CC Collines Isère Nord Communauté;5.2
243900354;CC de la Station des Rousses-Haut Jura;5.5
243900420;CC du Val d'Amour;10.4
243900479;CC Haut-Jura Arcade Communauté;11.2
243900560;CC Jura Nord;8.5
243900610;CC la Grandvallière;7.8
243901089;CC de la Plaine Jurassienne;11.4
244000543;CC de Mimizan;12.8
244000659;CC du Seignanx;9.3
244000675;CA du Grand Dax;14.1
244000691;CC du Pays Morcenais;12.4
244000766;CC du Pays Tarusate;11.4
244000774;CC du Pays de Villeneuve en Armagnac Landais;12.4
244000808;CA Mont de Marsan Agglomération;12.8
244000824;CC du Pays Grenadois;8.2
244000857;CC Côte Landes Nature;10.5
244000865;CC Maremne Adour Côte Sud;10.6
244000873;CC des Grands Lacs;9
244000881;CC Coteaux et Vallées des Luys;11.3
244100293;CC des Collines du Perche;15.2
244100780;CC de la Sologne des Etangs;10.5
244100798;CC du Grand Chambord;7.2
244100806;CC de la Sologne des Rivières;12.3
244200614;CC des Vals d'Aix et Isable;13.7
244200622;CC des Monts du Pilat;9.9
244200630;CC du Pays Entre Loire et Rhône;10.2
244200770;Saint-Étienne Métropole;20
244200820;CC du Pays d'Urfé;14.7
244200895;CC du Pilat Rhodanien;7.4
244300307;CC Haut Pays du Velay;10.8
244301016;CC des Sucs;10.4
244301099;CC Auzon Communauté;13.9
244301107;CC du Haut Lignon;15.1
244301123;CC des Pays de Cayres et de Pradelles;18.3
244301131;CC Loire et Semène;7.7
244400404;Nantes Métropole;12.8
244400438;Grand Lieu Communauté;5.7
244400453;CC du Pays de Blain;8.9
244400503;CC d'Erdre et Gesvres;5.4
244400537;CC de Nozay;10.2
244400552;CC du Pays d'Ancenis;8.7
244400586;CC du Sud Estuaire;7.9
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);8.5
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);13.2
244500203;CA Montargoise et Rives du Loing (AME);21.5
244500211;CC Giennoises;17.7
244500419;CC des Quatre Vallées;10.4
244500427;CC des Loges;8
244500468;Orléans Métropole;15.8
244500484;CC de la Forêt;6.4
244500542;CC de la Plaine du Nord Loiret;7.5
244600433;CC de la Vallée du Lot et du Vignoble;15.9
244600482;CC Quercy - Bouriane;15.9
244600532;CC du Pays de Lalbenque-Limogne;15.4
244600573;CC du Causse de Labastide Murat;16.5
244700449;CC du Pays de Duras;20.5
244700464;CC du Pays de Lauzun;19.1
244701355;CC des Coteaux et Landes de Gascogne;16.5
244701405;CC Lot et Tolzac;18.3
244800405;CC Coeur de Lozère;11.6
244800470;CC du Gévaudan;13.1
244900015;CU Angers Loire Métropole;13.9
244900809;CC Anjou Bleu Communauté;13
244900882;CC Baugeois Vallée;11.6
245100615;CC de la Grande Vallée de la Marne;6
245100888;CC de la Brie Champenoise;13.9
245100979;CC du Sud Marnais;14.7
245200597;CC des Trois Forêts;12.1
245300223;CC du Pays de Meslay-Grez;9.6
245300355;CC de l'Ernée;10.7
245300389;CC du Bocage Mayennais;14.5
245300447;CC du Pays de Château-Gontier;9.9
245400171;CC Moselle et Madon;7.4
245400189;CC des Pays du Sel et du Vermois;10.3
245400262;Agglomération du Grand Longwy;21.1
245400510;CC du Pays de Colombey et du Sud Toulois;9.4
245400601;CC du Bassin de Pompey;11.4
245400676;Métropole du Grand Nancy;19
245400759;CC du Pays du Sanon;7.9
245500327;CC du Sammiellois;16.3
245501176;CC du Territoire de Fresnes-en-Woëvre;12.8
245501184;CC du Pays de Revigny-sur-Ornain;12.4
245501242;CC du Pays d'Étain;16.1
245501259;CC du Pays de Montmédy;16.2
245600440;CC Blavet Bellevue Océan;6.9
245600465;CC de Belle Ile en Mer;11.2
245614383;CC Questembert Communauté;10.5
245614417;CC Roi Morvan Communauté;17.7
245614433;CC Pontivy Communauté;11.9
245700133;CC du District Urbain de Faulquemont (DUF);11.9
245700372;CA de Forbach Porte de France;21.8
245700398;CC de Freyming-Merlebach;23.2
245700695;CC de Cattenom et Environs;9.5
245700950;CC du Pays de Phalsbourg;9.4
245701164;CC du Warndt;20.2
245701206;CC du Saulnois;11.9
245701222;CA du Val de Fensch;21.8
245701271;CC du Pays Orne Moselle;16.1
245701354;CC de l'Arc Mosellan;9.3
245701362;CA Portes de France-Thionville;16.6
245701404;CC du Pays Haut Val d'Alzette;19
245801063;CC Loire et Allier;7.1
245804406;CA de Nevers;16.9
245804497;CC du Nivernais Bourbonnais;17.7
245900428;CU de Dunkerque;19.4
245900758;CC Flandre Lys;10.8
245901038;CC du Pays Solesmois;15.6
245901152;CA Coeur d'Ostrevent;20.6
245901160;CA Valenciennes Métropole;23.6
246000129;CC du Liancourtois;11.8
246000376;CC du Clermontois;9.6
246000566;CC du Plateau Picard;10.2
246000582;CC des Sablons;11.7
246000707;CC du Vexin-Thelle;6.7
246000749;CC des Lisières de l'Oise;9.4
246000756;CC du Pays Noyonnais;19.3
246000764;CC de l'Aire Cantilienne;6.5
246000772;CC des Deux Vallées;10.9
246000848;CC de la Picardie Verte;13.4
246000855;CC du Pays des Sources;8.9
246000871;CC du Pays de Valois;7.4
246000897;CC de la Plaine d'Estrées;6.6
246000913;CC du Pays de Bray;10.7
246000921;CC des Pays d'Oise et d'Halatte;10.5
246100390;CC du Val d'Orne;14
246100663;CU d'Alençon;16.6
246200299;CA d'Hénin-Carvin;22.1
246200364;CA de Lens - Liévin;23.8
246200380;CC de la Terre des Deux Caps;14.6
246200729;CA du Boulonnais;20.1
246200844;CC de la Région d'Audruicq;12.3
246201016;CC du Pays de Lumbres;13
246300701;Clermont Auvergne Métropole;16.6
246300966;CC du Massif du Sancy;16.4
246301097;CC Entre Dore et Allier;9.1
246400337;CC de la Vallée d'Ossau;13.4
246401756;CC Pays de Nay;9
246500482;CC de la Haute-Bigorre;15.2
246500573;CC Aure Louron;16.2
246600282;CC Sud-Roussillon;15.7
246600373;CC du Vallespir;18.2
246600399;CC Pyrénées Cerdagne;15.8
246600415;CC Roussillon-Conflent;20.1
246600423;CC Agly Fenouillèdes;28.5
246600449;CC des Aspres;16.4
246600464;CC Pyrénées Catalanes;16
246600548;CC du Haut Vallespir;25.3
246700306;CC de la Vallée de la Bruche;10
246700488;Eurométropole de Strasbourg;20.7
246700744;CC des Portes de Rosheim;5
246700777;CC de la Vallée de Villé;7
246700843;CC de la Basse-Zorn;5
246700926;CC du Pays de Wissembourg;11.5
246700959;CC du Pays de la Zorn;5
246700967;CC de Sélestat;10.4
246701064;CC de la Région de Molsheim-Mutzig;7.4
246701080;CC du Pays de Sainte-Odile;8.3
246701098;CC du Pays de Niederbronn-les-Bains;9.8
246800205;CC de la Vallée de Saint-Amarin;9.5
246800395;CC du Val d'Argent;15.4
246800445;CC du Centre du Haut-Rhin;6.7
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;6.4
246800551;CC de la Vallée de Kaysersberg;7.9
246800569;CC de la Région de Guebwiller;10.6
246800577;CC du Pays de Ribeauvillé;8.2
246800585;CC de la Vallée de Munster;9
246800676;CC de la Vallée de la Doller et du Soultzbach;7.3
246800726;CA Colmar Agglomération;14.5
246900575;CC de l'Est Lyonnais (CCEL);5
246900625;CC du Pays de l'Arbresle (CCPA);6.7
246900724;CC des Vallons du Lyonnais (CCVL);5.9
246900740;CC du Pays Mornantais (COPAMO);5.1
246900757;CC de la Vallée du Garon (CCVG);6.7
246900765;CC du Pays de l'Ozon;5.9
247000011;CA de Vesoul;16.3
247000367;CC des Combes;11
247000623;CC des Quatre Rivières;13.8
247000664;CC du Pays de Lure;14.5
247000698;CC des Monts de Gy;10.3
247000706;CC du Pays Riolais;6.6
247000714;CC du Pays de Villersexel;12
247000722;CC du Pays d'Héricourt;12.7
247000755;CC du Pays de Luxeuil;18.4
247000821;CC Rahin et Chérimont;11.8
247000854;CC des 1000 étangs;14.4
247100290;CU Le Creusot Montceau-les-Mines;14.5
247100589;CA Le Grand Chalon;13.5
247100639;CC de Marcigny;13.7
247100647;CC Bresse Nord Intercom';14.7
247103765;CC Entre Saône et Grosne;9.5
247103864;CC de Semur en Brionnais;11.1
247104094;CC Sud Côte Chalonnaise;9.5
247200090;CC du Pays Sabolien;13.2
247200132;CU Le Mans Métropole;18.6
247200348;CC du Pays Fléchois;11.4
247200421;CC du Sud Est Manceau;6.4
247200447;CC Orée de Bercé - Belinois;7.4
247200629;CC du Val de Sarthe;6.3
247200686;Communauté de communes du Perche Emeraude;10.9
247300015;CC des Vallées d'Aigueblanche;10.4
247300254;CC de Haute-Tarentaise;15.5
247300262;CC de Yenne;8.5
247300361;CC du Canton de La Chambre;8.5
247300452;CC Maurienne Galibier;9.5
247300528;CC Val Guiers;10.2
247300668;CC du Lac d'Aiguebelette (CCLA);6.6
247300676;CC Porte de Maurienne;9.1
247300817;CC Les Versants d'Aime;11.3
247400047;CC de la Vallée Verte;6.3
247400112;CC du Pays de Cruseilles;5.3
247400567;CC Fier et Usses;5.3
247400583;CC Arve et Salève;7.3
247400617;CC des Vallées de Thônes;7.2
247400666;CC des Quatre Rivières;5.9
247400682;CC du Haut Chablais;12.4
247400690;CC du Genevois;9.7
247400724;CC du Pays Rochois;7.6
247400740;CC Rumilly Terre de Savoie;7.1
247400773;CC des Sources du Lac d'Annecy;9.2
247600505;CC Campagne-de-Caux;6.8
247600588;CC des Villes Soeurs;14.9
247600604;CC de Londinières;15.1
247600620;CC Yvetot Normandie;10.8
247600646;CC Caux - Austreberthe;12.1
247600729;CC Falaises du Talou;10.2
247600786;CA de la Région Dieppoise;19
247700032;CC Moret Seine et Loing;8.5
247700057;CA Melun Val de Seine;18
247700065;CC du Pays de l'Ourcq;12.3
247700107;CC Pays de Montereau;22
247700339;CA Val d'Europe Agglomération;8.2
247700594;CA Marne et Gondoire;10.2
247700644;CC l'Orée de la Brie;9.1
247700701;CC Brie Nangissienne;12.1
247800550;CC du Pays Houdanais (CCPH);5
247800584;CA Versailles Grand Parc (CAVGP);7.3
247800618;CC Coeur d'Yvelines;5
247900798;CC du Thouarsais;14.4
248000499;CC du Val de Somme;9.2
248000531;CA Amiens Métropole;20.9
248000747;CC du Pays du Coquelicot;14.6
248100158;CC du Sor et de l'Agout;11.1
248100430;CA de Castres Mazamet;18.9
248100497;CC Val 81;17.6
248100737;CA de l'Albigeois (C2A);15.6
248100745;CC Thoré Montagne Noire;17.7
248200016;CC des Deux Rives;16.5
248200057;CC du Quercy Caussadais;17.5
248200065;CC de la Lomagne Tarn-et-Garonnaise;17.5
248200099;CA Grand Montauban;17.1
248200107;Quercy Rouergue et des Gorges de l'Aveyron;24.5
248300394;CA Sud Sainte Baume;10.9
248300410;CC de la Vallée du Gapeau;10.9
248300493;Dracénie Provence Verdon Agglomération;18.1
248300543;Métropole Toulon-Provence-Méditerranée;17.1
248300550;CC Coeur du Var;15.8
248400053;CA Ventoux-Comtat-Venaissin (COVE);20.2
248400160;CC Aygues-Ouvèze en Provence (CCAOP);11
248400236;Pays d'Orange en Provence;19.7
248400251;CA du Grand Avignon (COGA);22.5
248400285;Communauté de Communes Sud Luberon;11.8
248400293;CA des Sorgues du Comtat;17.1
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;14.1
248400335;CC Vaison Ventoux;17.1
248500191;CC de l'Ile de Noirmoutier;11.8
248500258;CC Océan Marais de Monts;10.6
248500340;CC Pays de Chantonnay;9
248500415;CC du Pays de la Châtaigneraie;12.8
248500464;CC du Pays de Pouzauges;8.6
248500530;CC du Pays des Achards;7.8
248500563;CC Vendée, Sèvre, Autise;10.2
248500589;CA La Roche-sur-Yon - Agglomération;11
248500621;CC du Pays des Herbiers;7.5
248500662;CC du Pays de Mortagne;5.8
248600413;CA Grand Châtellerault;15.8
248600447;CC du Pays Loudunais;15.7
248700189;CC du Pays de Saint Yrieix;16
248719262;CC Gartempe - Saint Pardoux;17.8
248719288;CC du Val de Vienne;8.1
248719312;CU Limoges Métropole;17.6
248719338;CC Briance-Combade;17.2
248719353;CC des Portes de Vassivière;21.6
248719361;CC de Noblat;12.2
248900334;CA du Grand Sénonais;18.4
248900383;CC de l'Agglomération Migennoise;19.6
248900524;CC de l'Aillantais en Bourgogne;9.7
