Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200043081;CC Chinon, Vienne et Loire;13.2
200043123;CC Auray Quiberon Terre Atlantique;9.6
200043156;CC du Pays Rethélois;13.9
200043172;CA du Bassin de Brive;13
200043263;CC Coeur de l'Avesnois;20
200043321;CC du Pays de Mormal;14.1
200043354;CC de Villedieu Intercom;14.1
200043396;CA Maubeuge Val de Sambre;28
200043404;CC du Sud Avesnois;29.4
200043438;CC de la Moivre à la Coole;5
200043495;CA du Pays de Laon;22.2
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;16.7
200043628;CC des Vallées du Clain;6.6
200043693;CC Terre Lorraine du Longuyonnais;14.6
200043776;CC Pyrénées audoises;28.1
200043974;CC du Sud Gironde;13.1
200043982;CC du Bazadais;15.4
200043990;CC Vallons de Haute-Bretagne Communauté;7.4
200044014;CC Creuse Grand Sud;21.3
200044030;CC des 7 Vallées;18.1
200044048;CC Osartis Marquion;10.1
200044253;CC du Bassin de Joinville en Champagne;19.4
200044394;CC du Réolais en Sud Gironde;19
200044469;CC du Pays de Mirepoix;18.7
200044618;CA Douaisis Agglo;21
200044691;CA du Nord Grande Terre;N/A - résultat non disponible
200046977;Métropole de Lyon;16.9
200048551;CC du Pays de Craon;11.6
200049187;CA du Grand Verdun;16.9
200049211;CC Conflent-Canigó;23.2
200049484;CC Berry Grand Sud;20.6
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;18.4
200055481;CC Beauce Val de Loire;10.8
200055655;CA Roissy Pays de France;23.8
200055887;CC Mayenne Communauté;10.2
200056232;CA Communauté Paris-Saclay;11.3
200056380;CA Plaine Vallée;12.7
200057859;CA Coeur d'Essonne Agglomération;13.3
200057867;Plaine Commune;36.2
200057875;Est Ensemble;27.7
200057941;#ParisEstMarne&Bois;12.1
200057958;CA Paris - Vallée de la Marne;14.8
200057966;Vallée Sud-Grand Paris;11
200057974;Grand Paris Seine Ouest;9.1
200057982;Paris Ouest La Défense;11.2
200057990;Boucle Nord de Seine;21.2
200058006;Grand Paris Sud Est Avenir;16.6
200058014;Grand-Orly Seine Bièvre;20.9
200058097;Paris Terres d'Envol;28.9
200058360;CC Entre Beauce et Perche;7.9
200058477;CA Val d'Yerres Val de Seine;14.1
200058485;CA Val Parisis;12.8
200058519;CA Saint Germain Boucles de Seine;9.5
200058782;CA de Saint Quentin en Yvelines;12.6
200058790;Grand Paris Grand Est;20.2
