Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Indice de vieillissement 2022
200034130;CC Gally Mauldre;80
200034197;CC de Montaigne Montravel et Gurson;131
200034205;CC de la Costa Verde;165
200034270;CC du Pays de Barr;100
200034379;CC Pays d'Uzès;151
200034411;CC du Piémont Cévenol;123
200034601;CC Causses Aigoual Cévennes;212
200034635;CC du Kochersberg;91
200034692;CA du Gard Rhodanien;106
200034700;CA Durance-Lubéron-Verdon Agglomération;116
200034718;CC de Vitry, Champagne et Der;113
200034726;CC Bastides de Lomagne;124
200034825;CA du Grand Guéret;131
200034833;CC des Bastides Dordogne-Périgord;222
200034874;CC Côtes de Meuse Woëvre;88
200034882;CC Pays du Mont-Blanc;107
200034957;CC du Frontonnais;57
200035087;CA Terre de Provence;100
200035103;CC de la Vallée de la Haute Sarthe;110
200035111;CC des Sources de l'Orne;105
200035129;CC de Cèze Cévennes;188
200035137;CC Marche Occitane - Val d'Anglin;254
200035202;CC Charlieu-Belmont;113
200035319;Estérel Côte d'Azur Agglomération;178
200035327;CC Cazals-Salviac;237
200035442;CC du Sud Artois;81
200035533;CC du Grand Saint Emilionnais;113
200035541;CC des Landes d'Armagnac;171
200035632;CC Armagnac Adour;213
200035707;CC Piège Lauragais Malepère;110
200035715;CA Carcassonne Agglo;120
200035723;CC Ventoux Sud;123
200035731;CA Roannais Agglomération;126
200035756;CC Astarac Arros en Gascogne;179
200035764;CC de la Beauce Loirétaine;66
200035772;CC du Pays du Saintois;87
200035814;CA Flers Agglo;126
200035848;CC du Châtillonnais en Berry;251
200035855;CC Castelnaudary Lauragais Audois;100
200035863;CC Région Lézignanaise, Corbières et Minervois;127
200035970;CC Vexin Centre;63
200036069;CC du Pays de Mortagne-au-Perche;142
200036077;CC du Golfe de Saint-Tropez;156
200036135;CC Coeur de France;177
200036150;CC des Hauts du Val de Saône;160
200036465;CC de Thann-Cernay;100
200036473;CA "Saintes - Grandes Rives - L'Agglo";143
200036499;CC de Marana-Golo;79
200036523;CC des Bastides en Haut Agenais Périgord;170
200036549;CC Val de Gray;127
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);105
200037133;CC du Provinois;76
200038958;CC de la Pieve de l'Ornano et du Taravo;207
200038990;CC de Saint-Méen Montauban;70
200039022;CA Vitré Communauté;68
200039055;CC Ouche et Montagne;86
200039063;CC Forêts, Seine et Suzon;116
200039204;CC de Lacq-Orthez;118
200039519;CC du Quercy Blanc;202
200039642;CC Le Tonnerrois en Bourgogne;168
200039709;CC du Serein;177
200039758;CC Avallon, Vézelay, Morvan;155
200039808;CC des Gorges de l'Ardèche;177
200039824;CC Ardèche des Sources et Volcans;169
200039832;CC Pays des Vans en Cévennes;189
200039857;CA du Pays de Grasse;100
200039865;Metz Métropole;87
200039907;CC du Sud Messin;69
200039915;CA Cannes Pays de Lérins;156
200039931;CC Alpes d'Azur;156
200039949;CC Rives de Moselle;86
200040038;CC Saône Doubs Bresse;101
200040095;CC Isle Vern Salembre en Périgord;144
200040111;CC Coeur de Chartreuse;90
200040137;CC des Lacs de Champagne;151
200040178;CC de l'Outre-Forêt;99
200040202;CC Provence Verdon;120
200040210;CC Lacs et Gorges du Verdon;212
200040244;CA du Bocage Bressuirais;95
200040251;CC Bassée-Montois;84
200040277;CA Agglo du Pays de Dreux;72
200040293;CC du Clunisois;167
200040350;CC Bugey Sud;108
200040384;CC Isle Double Landais;170
200040392;CA Le Grand Périgueux;123
200040400;CC du Périgord Ribéracois;196
200040418;CC du Pays de Serres en Quercy;190
200040426;CC du Val de l'Oise;95
200040442;CA Luberon Monts de Vaucluse;115
200040459;CA Montélimar Agglomération;90
200040475;LBN Communauté;81
200040491;CC Porte de Dromardèche;85
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;113
200040558;CC Écueillé-Valençay;230
200040566;CA de l'Ouest Rhodanien;95
200040574;CC Beaujolais Pierres Dorées;72
200040590;CA Villefranche Beaujolais Saône;79
200040624;CC Pays d'Apt-Luberon;156
200040657;CC de la Matheysine;115
200040681;CC Enclave des Papes - Pays de Grignan;144
200040715;Grenoble-Alpes-Métropole;78
200040764;CC du Sud Corse;93
200040772;CC du Perche et Haut Vendômois;123
200040798;CC Val Vanoise;101
200040814;CC Briance Sud Haute Vienne;116
200040830;CC du Pays de Fénelon;182
200040889;CC de Portes Sud Périgord;186
200040905;CC Carmausin-Ségala;143
200040947;CA Coeur de Flandre;86
200040954;CC des Hauts de Flandre;80
200041010;CC Coeur de Savoie;83
200041051;CC Vallée de la Dordogne et Forêt Bessède;214
200041150;CC Terrassonnais Haut Périgord Noir;156
200041168;CC de la Vallée de l'Homme;208
200041283;CC de la Plaine du Rhin;105
200041317;CA du Niortais;103
200041325;CC du Pays Rhénan;96
200041333;CC de Parthenay-Gâtine;144
200041366;CC Rhône Crussol;112
200041416;CC Airvaudais-Val du Thouet;157
200041440;CC de Domme- Villefranche du Périgord;215
200041465;CC Val Eyrieux;193
200041499;CC Aunis Atlantique;70
200041507;CA La Riviéra du Levant;95
200041515;CC du Bassin de Pont-à-Mousson;85
200041523;CC de la Haute Saintonge;144
200041556;CC Portes de la Creuse en Marche;219
200041572;CC Dronne et Belle;189
200041614;CC Aunis Sud;94
200041622;CC Ardennes Thiérache;96
200041630;Ardenne Métropole;101
200041689;Vals de Saintonge Communauté;155
200041721;CC de la Haute Comté;134
200041762;CA Rochefort Océan;134
200041788;CA du Pays Nord Martinique;121
200041853;CC du Pays de Montbozon et du Chanois;86
200041861;CC du Triangle Vert;91
200041879;CC Terres de Saône;106
200041887;CC du Val Marnaysien;75
200041960;CC Pévèle-Carembault;74
200041994;CC Haut Val de Sèvre;92
200042000;CC Bruyères-Vallons des Vosges;110
200042174;CA Lorient Agglomération;123
200042182;CC du Mont des Avaloirs;155
200042190;CA de la Porte du Hainaut;67
200042372;CC des Coteaux Arrats Gimone;124
200042414;CC Bresse Revermont 71;147
200042463;CC de la Montagne Noire;158
200042497;CC Dombes Saône Vallée;63
200042604;CC de Granville, Terre et Mer;186
200042620;CC de la Région de Suippes;58
200042646;CC Grand Orb Communauté de Communes en Languedoc;191
200042653;CC Sud-Hérault;141
200042703;CC de l'Argonne Champenoise;137
200042729;CC de la Baie du Cotentin;129
200042901;CC Drôme Sud Provence;85
200042935;CA Haut-Bugey Agglomération;80
200042943;CC du Cap Corse;254
200042992;CC Perthois-Bocage et Der;130
200043016;CC Val de Charente;187
200043065;CC du Val d'Amboise;104
200043081;CC Chinon, Vienne et Loire;124
200043123;CC Auray Quiberon Terre Atlantique;140
200043156;CC du Pays Rethélois;83
200043172;CA du Bassin de Brive;128
200043263;CC Coeur de l'Avesnois;90
200043321;CC du Pays de Mormal;85
200043354;CC de Villedieu Intercom;123
200043396;CA Maubeuge Val de Sambre;75
200043404;CC du Sud Avesnois;84
200043438;CC de la Moivre à la Coole;88
200043495;CA du Pays de Laon;85
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;188
200043628;CC des Vallées du Clain;86
200043693;CC Terre Lorraine du Longuyonnais;91
200043776;CC Pyrénées audoises;265
200043974;CC du Sud Gironde;95
200043982;CC du Bazadais;142
200043990;CC Vallons de Haute-Bretagne Communauté;57
200044014;CC Creuse Grand Sud;176
200044030;CC des 7 Vallées;110
200044048;CC Osartis Marquion;77
200044253;CC du Bassin de Joinville en Champagne;125
200044394;CC du Réolais en Sud Gironde;114
200044469;CC du Pays de Mirepoix;145
200044618;CA Douaisis Agglo;79
200044691;CA du Nord Grande Terre;101
200046977;Métropole de Lyon;66
200048551;CC du Pays de Craon;92
200049187;CA du Grand Verdun;109
200049211;CC Conflent-Canigó;161
200049484;CC Berry Grand Sud;208
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;90
200055481;CC Beauce Val de Loire;95
200055655;CA Roissy Pays de France;41
200055887;CC Mayenne Communauté;96
200056232;CA Communauté Paris-Saclay;64
200056380;CA Plaine Vallée;64
200057859;CA Coeur d'Essonne Agglomération;55
200057867;Plaine Commune;37
200057875;Est Ensemble;47
200057941;#ParisEstMarne&Bois;70
200057958;CA Paris - Vallée de la Marne;53
200057966;Vallée Sud-Grand Paris;67
200057974;Grand Paris Seine Ouest;74
200057982;Paris Ouest La Défense;66
200057990;Boucle Nord de Seine;48
200058006;Grand Paris Sud Est Avenir;60
200058014;Grand-Orly Seine Bièvre;54
200058097;Paris Terres d'Envol;43
200058360;CC Entre Beauce et Perche;79
200058477;CA Val d'Yerres Val de Seine;62
200058485;CA Val Parisis;55
200058519;CA Saint Germain Boucles de Seine;65
200058782;CA de Saint Quentin en Yvelines;50
200058790;Grand Paris Grand Est;48
200059228;CA Grand Paris Sud Seine Essonne Sénart;41
200059392;CC Bièvre Isère;82
200059400;CC Porte Océane du Limousin;141
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;54
200060010;CA Mauges Communauté;74
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;143
200065589;CC Val ès Dunes;64
200065597;CU Caen la Mer;87
200065647;CA Pays de Montbéliard Agglomération;96
200065787;CC de Pont-Audemer / Val de Risle;88
200065886;Loire Forez Agglomération (LFA);95
200065894;CC de Forez-Est;105
200065928;CA Lannion-Trégor Communauté;163
200066009;CA Mulhouse Alsace Agglomération;84
200066017;CC Lieuvin Pays d'Auge;92
200066025;CC Alsace Rhin Brisach;80
200066033;CC Sud Alsace Largue;86
200066041;CC Sundgau;99
200066058;CA Saint-Louis Agglomération;81
200066108;CC des Portes de Meuse;123
200066116;CC Argonne-Meuse;134
200066124;CA Gaillac-Graulhet;103
200066132;CC du Pays de Stenay et du Val Dunois;124
200066140;CC de l'Aire à l'Argonne;117
200066157;CC de Commercy - Void - Vaucouleurs;103
200066165;CC Val de Meuse - Voie Sacrée;96
200066173;CC de Damvillers Spincourt;77
200066223;CC Arize Lèze;130
200066231;CC des Portes d'Ariège Pyrénées;93
200066280;CC du Pithiverais;81
200066322;CC Terres des Confluences;96
200066330;CC Terres du Haut Berry;107
200066348;CC du Minervois au Caroux;193
200066355;CA Sète Agglopôle Méditerranée;141
200066363;CC de la Haute Ariège;227
200066371;CC Causses et Vallée de la Dordogne;177
200066389;CA Saint-Lô Agglo;98
200066405;CC Roumois Seine;76
200066413;CC Intercom Bernay Terres de Normandie;113
200066462;CC Interco Normandie Sud Eure;107
200066512;CC Élan Limousin Avenir Nature;115
200066520;CC Ouest Limousin;190
200066553;CC du Haut-Languedoc;202
200066561;CC Sidobre Vals et Plateaux;174
200066587;CC des Monts du Lyonnais;79
200066603;CC du Pays de Lubersac-Pompadour;215
200066637;CC Hautes Terres;217
200066645;CC Vézère-Monédières-Millesources;330
200066652;CC Grand Sud Tarn-et-Garonne;64
200066660;CC de Saint-Flour;144
200066678;CC de la Châtaigneraie Cantalienne;161
200066710;CC Cingal-Suisse Normande;67
200066728;CC Vallées de l'Orne et de l'Odon;61
200066744;CC Haute-Corrèze Communauté;148
200066751;CC Xaintrie Val'Dordogne;233
200066769;CC Midi Corrézien;178
200066777;Ploërmel Communauté;120
200066785;CC de l'Oust à Brocéliande;105
200066793;CA du Grand Annecy;86
200066801;CC Isigny-Omaha Intercom;114
200066819;CC du Volvestre;84
200066827;CC du Pays de Honfleur-Beuzeville;99
200066835;CC de Sézanne-Sud Ouest Marnais;118
200066850;CC des Paysages de la Champagne;108
200066868;CC Presqu'île de Crozon-Aulne maritime;162
200066876;CA de Châlons-en-Champagne;86
200066884;CC Quercy Vert-Aveyron;87
200066892;CC de Vendeuvre-Soulaines;118
200066918;CA Alès Agglomération;126
200066926;CA Grand Auch Coeur de Gascogne;127
200066975;CC Senlis Sud Oise;80
200067023;CC Coutances Mer et Bocage;145
200067031;CC Côte Ouest Centre Manche;140
200067049;CC Spelunca-Liamone;275
200067064;CC Decazeville Communauté;187
200067072;CC Haut-Léon Communauté;147
200067080;CC Chablis Villages et Terroirs;112
200067106;CA du Pays Basque;133
200067114;CA de l'Auxerrois;118
200067122;CC du Pays de Lafrançaise;89
200067130;CC de Puisaye-Forterre;170
200067155;CC Saint Affricain, Roquefort, Sept Vallons;146
200067163;CC Monts, Rance et Rougier;180
200067171;CC Aubrac Carladez Viadène;230
200067189;CC Creuse Sud Ouest;185
200067197;CC Monts d'Arrée Communauté;181
200067205;CA du Cotentin;105
200067213;CU du Grand Reims;76
200067239;CC des Luys en Béarn;85
200067247;CC Pleyben-Châteaulin-Porzay;105
200067254;CA Pau Béarn Pyrénées;111
200067262;CC du Haut Béarn;148
200067288;CC du Béarn des Gaves;167
200067296;CC du Nord Est Béarn;93
200067304;CC Serein et Armance;109
200067320;CC Serre-Ponçon Val d'Avance;91
200067346;CA Pornic Agglo Pays de Retz;120
200067361;CC Grand-Figeac;160
200067379;CC Côtes de Champagne et Val de Saulx;103
200067429;CC Haut Nivernais - Val d'Yonne;178
200067437;CA Provence-Alpes-Agglomération;133
200067445;CC Buëch-Dévoluy;143
200067452;CC du Guillestrois et du Queyras;134
200067460;CC Loudéac Communauté - Bretagne Centre;112
200067478;CC Comtal Lot et Truyère;160
200067486;CC Bouzonvillois-Trois Frontières;80
200067502;CA Saint-Avold Synergie;106
200067544;CC Creuse Confluence;189
200067551;CA Thonon Agglomération;74
200067593;CC Marche et Combraille en Aquitaine;211
200067627;CC Billom Communauté;84
200067635;CA Clisson Sèvre et Maine Agglo;63
200067643;CC Meurthe Mortagne Moselle;84
200067650;CC Houve - Pays Boulageois;91
200067668;CC de la Cléry, du Betz et de l'Ouanne;124
200067676;CC Canaux et Forêts en Gâtinais;115
200067684;CA Epernay, Coteaux et Plaine de Champagne;110
200067692;CC Tannay-Brinon-Corbigny;257
200067700;CC Sud Nivernais;176
200067742;CC Serre-Ponçon;141
200067759;CC Vallées et Plateau d'Ardenne;96
200067767;CC du Royans-Vercors;123
200067783;CC de Hanau-La Petite Pierre;112
200067791;CA L'Agglo Foix-Varilhes;122
200067817;CC Saône-Beaujolais;76
200067825;CA Gap-Tallard-Durance;122
200067841;CC de l'Alsace Bossue;116
200067866;CC Sèvre et Loire;57
200067874;CA de Haguenau;94
200067882;CC Bazois Loire Morvan;251
200067890;CC Morvan Sommets et Grands Lacs;234
200067908;CC Amognes Coeur du Nivernais;134
200067916;CC Coeur de Loire;177
200067924;CC du Canton d'Erstein;85
200067932;CA Golfe du Morbihan - Vannes Agglomération;123
200067940;CC Couserans-Pyrénées;175
200067957;CC Haut Chemin - Pays de Pange;81
200067965;CA de la Région de Compiègne et de la Basse Automne;75
200067973;CC Thelloise;63
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;144
200067999;CA du Beauvaisis;72
200068005;CC de l'Oise Picarde;72
200068047;CA Creil Sud Oise;39
200068070;CC Loue-Lison;97
200068088;CC Les Bertranges;159
200068096;CC Champsaur-Valgaudemar;132
200068104;CA de la Provence Verte;101
200068112;CC du Pays de Saverne;110
200068120;CA Quimper Bretagne Occidentale;95
200068146;CC Sarrebourg Moselle Sud;113
200068229;CC des Baronnies en Drôme Provençale;217
200068278;CC Berry Loire Puisaye;140
200068294;CC des Deux Vallées Vertes;109
200068369;CC de Mirecourt Dompaire;101
200068377;CC de la Porte des Vosges Méridionales;139
200068435;CC Coeur du Perche;123
200068443;CC Andaine - Passais;199
200068450;Terres d'Argentan Interco;128
200068468;CC des Pays de L'Aigle;122
200068484;CC des Causses à l'Aubrac;158
200068500;CA de Cambrai;94
200068534;CC Terroir de Caux;81
200068542;CC Les Balcons du Dauphiné;71
200068559;CC de l'Ouest Vosgien;126
200068567;CC Les Vals du Dauphiné;76
200068625;CC Alpes-Provence-Verdon "Sources de lumière";195
200068641;CA Le Muretain Agglo;72
200068658;CA de Chaumont;122
200068666;CA du Grand Saint-Dizier Der et Vallées;109
200068674;CA Grand Lac;105
200068682;CC Terre d'Eau;139
200068757;CA d'Epinal;102
200068765;CC du Sisteronais-Buëch;164
200068773;CC des Vosges côté Sud Ouest;160
200068781;CA Valence Romans Agglo;93
200068799;CC Intercom de la Vire au Noireau;119
200068807;CC du Bassin Auterivain Haut-Garonnais;72
200068815;CC Coeur de Garonne;88
200068831;Pays Ségali Communauté;120
200068856;CC des Hauts du Perche;159
200068864;CC de la Mossig et du Vignoble;98
200068872;CC Éguzon - Argenton - Vallée de la Creuse;169
200068880;CC Champagne Boischauts;112
200068914;CC La Rochefoucauld Porte du Périgord;151
200068922;CC du Confluent et des Coteaux de Prayssas;119
200068930;CC Fumel Vallée du Lot;174
200068948;CC Albret Communauté;153
200068955;CC Anjou Loir et Sarthe;75
200068963;CC Maine Coeur de Sarthe;74
200068989;CA Dinan Agglomération;127
200068997;CA Arlysère;101
200069003;CC du Barséquanais en Champagne;121
200069029;CA des Deux Baies en Montreuillois;138
200069037;CA du Pays de Saint-Omer;79
200069052;CA Grand Belfort;83
200069060;CC des Vosges du Sud;110
200069086;CC Leff Armor Communauté;100
200069094;CC Isle et Crempse en Périgord;172
200069102;CC Randon - Margeride;126
200069110;CA du Grand Chambéry;89
200069128;CC Mont Lozère;147
200069136;CC des Cévennes au Mont Lozère;216
200069144;CC des Hautes Terres de l'Aubrac;182
200069151;CC Gorges Causses Cévennes;156
200069169;CC Dômes Sancy Artense;119
200069177;CC Mond'Arverne Communauté;95
200069185;CC des Terres d'Apcher-Margeride-Aubrac;143
200069193;CC de la Dombes;83
200069227;CC Pays Fort Sancerrois Val de Loire;157
200069235;CC du Haut Pays du Montreuillois;82
200069250;CA Troyes Champagne Métropole;84
200069268;CC Aubrac Lot Causses Tarn;115
200069300;CA Tarbes-Lourdes-Pyrénées;121
200069383;Ouest Aveyron Communauté;159
200069391;CA Lamballe Terre et Mer;110
200069409;CA Saint-Brieuc Armor Agglomération;108
200069417;CC Pays d'Orthe et Arrigans;112
200069425;CA Mont-Saint-Michel-Normandie;138
200069433;CC de Vezouze en Piémont;114
200069441;CC du Pays de Bitche;122
200069458;CC des Vallées d'Auge et du Merlerault;164
200069482;CC des Campagnes de l'Artois;85
200069516;CC Seulles Terre et Mer;86
200069524;CC Pré-Bocage Intercom;79
200069532;CA Lisieux Normandie;110
200069540;CC Norge et Tille;87
200069565;CC des Lacs et Montagnes du Haut-Doubs;52
200069581;CC Convergence Garonne;86
200069599;CC Rurales de l'Entre-Deux-Mers;108
200069615;CC Bresse Haute Seille;122
200069623;CC Champagnole Nozeroy Jura;124
200069631;CC Terres de Chalosse;114
200069649;CC Chalosse Tursan;127
200069656;CC Coeur Haute Lande;124
200069664;CC Meuse Rognon;160
200069672;CC du Ternois;99
200069698;CC Mâconnais - Tournugeois;133
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;108
200069730;CC des Quatre Rivières en Bray;116
200069748;CC Val de Gâtine;96
200069755;CC Mellois en Poitou;135
200069763;CC du Haut Poitou;79
200069821;CA Fécamp Caux Littoral Agglomération;106
200069839;CC de la Côte d'Albâtre;100
200069847;CC Plateau de Caux;70
200069854;CU du Grand Poitiers;80
200069912;CC des Forêts du Perche;129
200069953;CC des Portes Euréliennes d'Ile de France;76
200069961;CC du Grand Châteaudun;134
200069995;CC Médoc Coeur de Presqu'île;106
200070035;CC du Civraisien en Poitou;153
200070043;CC Vienne et Gartempe;176
200070068;CC Bray-Eawy;92
200070092;CA du Libournais;92
200070100;CC du Val de Sully;97
200070118;CC Val de Saône Centre;75
200070126;CC Seine et Aube;92
200070142;CC Lyons Andelle;87
200070159;CC Coeur de Beauce;79
200070167;CC Terres de Perche;105
200070183;CC des Terres du Val de Loire;85
200070233;CA Terres de Montaigu;63
200070282;CC Lavalette Tude Dronne;181
200070290;CC Coeur du Pays Haut;83
200070308;CA Mâconnais Beaujolais Agglomération;97
200070316;CC Entre Arroux, Loire et Somme;202
200070324;CC du Territoire de Lunéville à Baccarat;109
200070332;CC des Savoir-Faire;179
200070340;CC Haute Maurienne Vanoise;134
200070365;CC Corbières Salanque Méditerranée;93
200070373;CC Loir-Lucé-Bercé;158
200070407;CA Agglo Pays d'Issoire;108
200070431;CC Saint-Marcellin Vercors Isère Communauté;103
200070449;CC Inter-Caux-Vexin;81
200070464;CC Coeur de Maurienne Arvan;135
200070506;CC Pays de Nexon Monts de Chalus;139
200070514;CA du Grand Cognac;130
200070530;CC du Grand Autunois Morvan;156
200070548;CC Brionnais Sud Bourgogne;173
200070555;CC de la Veyle;85
200070563;CC Terres Touloises;84
200070571;CC Coeur de Berry;100
200070589;CC de Seille et Grand Couronné;75
200070647;CA Bergeracoise;152
200070662;CC Bretagne Porte de Loire Communauté;61
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;110
200070688;CC Couesnon Marches de Bretagne;97
200070712;CC Thiers Dore et Montagne;133
200070720;CC Médoc Atlantique;211
200070738;CC Mad et Moselle;96
200070746;CA Sarreguemines Confluences;123
200070753;CA Riom Limagne et Volcans;89
200070761;CC Ambert Livradois Forez;175
200070779;CC Brie des Rivières et Châteaux;56
200070787;CC du Plateau de Lannemezan;175
200070795;CC du Pays de Trie et du Magnoac;228
200070803;CC des Coteaux du Val d'Arros;121
200070811;CC Pyrénées Vallées des Gaves;181
200070829;CC Neste Barousse;191
200070845;CC Orne Lorraine Confluences;98
200070852;CC Usses et Rhône;60
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;94
200070902;CC Auxonne Pontailler Val de Saône;86
200070910;CC Tille et Venelle;107
200070928;CC Terre de Picardie;71
200070936;CC Ponthieu-Marquenterre;119
200070944;CC du Vimeu;110
200070951;CC du Territoire Nord Picardie;86
200070969;CC Avre Luce Noye;71
200070977;CC du Grand Roye;87
200070985;CC de l'Est de la Somme;105
200070993;CA de la Baie de Somme;126
200071017;CC des Terres d'Auxois;133
200071025;CC Haute-Provence - Pays de Banon;148
200071033;CC Jabron-Lure-Vançon-Durance;123
200071041;CC du Chaourçois et du Val d'Armance;126
200071058;CC Les Avant-Monts;117
200071066;CA de Saint-Dié-des-Vosges;126
200071074;CC Les Portes de l'Ile de France;67
200071082;CA Montluçon Communauté;144
200071116;CA ECLA (Espace Communautaire Lons Agglomération);125
200071140;CA Moulins Communauté;122
200071165;CA Les Sables d'Olonne Agglomération;231
200071173;CC du Pays Arnay Liernais;179
200071181;CC Somme Sud-Ouest;95
200071199;CC Plaine Limagne;89
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;121
200071215;CC Chavanon Combrailles et Volcans;157
200071223;CC Nièvre et Somme;89
200071298;CC des Terres du Lauragais;64
200071314;CC des Hauts-Tolosans;54
200071363;CA Vichy Communauté;149
200071371;CC Bresse et Saône;87
200071389;CC Saint-Pourçain Sioule Limagne;129
200071405;CC Ardèche Rhône Coiron;81
200071413;CA Privas Centre Ardèche;116
200071454;CA Evreux Portes de Normandie;73
200071470;CC Entr'Allier Besbre et Loire;157
200071496;CC du Bocage Bourbonnais;153
200071504;CC des Collines du Perche Normand;143
200071512;CC Commentry Montmarault Néris Communauté;148
200071520;CC Domfront Tinchebray Interco;140
200071538;CC Terres de Bresse;114
200071546;CC Sud Retz Atlantique;74
200071553;CC Loire Layon Aubance;79
200071579;CC Bresse Louhannaise Intercom';146
200071587;CC Loches Sud Touraine;148
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;134
200071629;CC Challans-Gois Communauté;134
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;118
200071652;CC du Pays Fertois et du Bocage Carrougien;140
200071678;CA Cholet Agglomération;90
200071751;CA du Bassin de Bourg-en-Bresse;93
200071769;CC Picardie des Châteaux;91
200071777;CC d'Arcis, Mailly, Ramerupt;97
200071785;CA Chauny Tergnier La Fère;87
200071819;CC du Périgord Nontronnais;232
200071827;CA du Grand Angoulême;109
200071843;CC du Vexin Normand;75
200071850;CC du Pithiverais-Gâtinais;92
200071868;CC des Vallées du Haut-Anjou;61
200071876;CA Saumur Val de Loire;105
200071884;CC Le Grand Charolais;156
200071892;CA du Saint-Quentinois;93
200071900;CC Vendée Grand Littoral;192
200071918;CC du Pays de Saint-Fulgent - Les Essarts;60
200071926;CC du Limouxin;157
200071934;CC du Pays de Fontenay-Vendée;134
200071942;CC Haut Limousin en Marche;229
200071967;CC Pays d'Evian Vallée d'Abondance;76
200071983;CC Thiérache Sambre et Oise;95
