Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des ménages d'une seule personne 2022
200040095;CC Isle Vern Salembre en Périgord;35.3
200040111;CC Coeur de Chartreuse;33.4
200040137;CC des Lacs de Champagne;38.8
200040178;CC de l'Outre-Forêt;27.8
200040202;CC Provence Verdon;31.5
200040210;CC Lacs et Gorges du Verdon;35.6
200040244;CA du Bocage Bressuirais;31.9
200040251;CC Bassée-Montois;29.8
200040277;CA Agglo du Pays de Dreux;32
200040293;CC du Clunisois;40.7
200040350;CC Bugey Sud;36.2
200040384;CC Isle Double Landais;36.4
200040392;CA Le Grand Périgueux;41.6
200040400;CC du Périgord Ribéracois;36.4
200040418;CC du Pays de Serres en Quercy;37
200040426;CC du Val de l'Oise;30.5
200040442;CA Luberon Monts de Vaucluse;37.2
200040459;CA Montélimar Agglomération;37.4
200040475;LBN Communauté;31.6
200040491;CC Porte de Dromardèche;33.1
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;39.7
200040558;CC Écueillé-Valençay;42.2
200040566;CA de l'Ouest Rhodanien;36.2
200040574;CC Beaujolais Pierres Dorées;26.4
200040590;CA Villefranche Beaujolais Saône;40.6
200040624;CC Pays d'Apt-Luberon;38.9
200040657;CC de la Matheysine;38.3
200040681;CC Enclave des Papes - Pays de Grignan;36.1
200040715;Grenoble-Alpes-Métropole;44.3
200040764;CC du Sud Corse;35.4
200040772;CC du Perche et Haut Vendômois;34.9
200040798;CC Val Vanoise;39.7
200040814;CC Briance Sud Haute Vienne;33.1
200040830;CC du Pays de Fénelon;33.3
200040889;CC de Portes Sud Périgord;34.8
200040905;CC Carmausin-Ségala;38
200040947;CA Coeur de Flandre;30.1
200040954;CC des Hauts de Flandre;25.4
200041010;CC Coeur de Savoie;30.6
200041051;CC Vallée de la Dordogne et Forêt Bessède;38.6
200041150;CC Terrassonnais Haut Périgord Noir;36.3
200041168;CC de la Vallée de l'Homme;38.6
200041283;CC de la Plaine du Rhin;30.3
200041317;CA du Niortais;39.9
200041325;CC du Pays Rhénan;25.6
200041333;CC de Parthenay-Gâtine;37.7
200041366;CC Rhône Crussol;33.5
200041416;CC Airvaudais-Val du Thouet;37.3
200041440;CC de Domme- Villefranche du Périgord;37.4
200041465;CC Val Eyrieux;40.7
200041499;CC Aunis Atlantique;27.2
200041507;CA La Riviéra du Levant;39.2
200041515;CC du Bassin de Pont-à-Mousson;33.5
200041523;CC de la Haute Saintonge;35.1
200041556;CC Portes de la Creuse en Marche;39.3
200041572;CC Dronne et Belle;34.7
200041614;CC Aunis Sud;29.2
200041622;CC Ardennes Thiérache;33.1
200041630;Ardenne Métropole;40.2
200041689;Vals de Saintonge Communauté;36.6
200041721;CC de la Haute Comté;35.5
200041762;CA Rochefort Océan;40.6
200041788;CA du Pays Nord Martinique;38
200041853;CC du Pays de Montbozon et du Chanois;29.4
200041861;CC du Triangle Vert;29.2
200041879;CC Terres de Saône;35.3
200041887;CC du Val Marnaysien;27.4
200041960;CC Pévèle-Carembault;26.6
200041994;CC Haut Val de Sèvre;31.7
200042000;CC Bruyères-Vallons des Vosges;35.5
200042174;CA Lorient Agglomération;43.7
200042182;CC du Mont des Avaloirs;37.3
200042190;CA de la Porte du Hainaut;31.3
200042372;CC des Coteaux Arrats Gimone;32.1
200042414;CC Bresse Revermont 71;35.1
200042463;CC de la Montagne Noire;37.7
200042497;CC Dombes Saône Vallée;24.9
200042604;CC de Granville, Terre et Mer;41.3
200042620;CC de la Région de Suippes;28.8
200042646;CC Grand Orb Communauté de Communes en Languedoc;44.1
200042653;CC Sud-Hérault;34.3
200042703;CC de l'Argonne Champenoise;37.2
200042729;CC de la Baie du Cotentin;37.8
200042901;CC Drôme Sud Provence;32.7
200042935;CA Haut-Bugey Agglomération;35.5
200042943;CC du Cap Corse;40.2
200042992;CC Perthois-Bocage et Der;31.4
200043016;CC Val de Charente;37.3
200043065;CC du Val d'Amboise;34.3
200043081;CC Chinon, Vienne et Loire;37.1
200043123;CC Auray Quiberon Terre Atlantique;38.2
200043156;CC du Pays Rethélois;31.5
200043172;CA du Bassin de Brive;40.7
200043263;CC Coeur de l'Avesnois;34.7
200043321;CC du Pays de Mormal;28.8
200043354;CC de Villedieu Intercom;35.4
200043396;CA Maubeuge Val de Sambre;35.8
200043404;CC du Sud Avesnois;38.7
200043438;CC de la Moivre à la Coole;23.4
200043495;CA du Pays de Laon;40.6
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;39
200043628;CC des Vallées du Clain;28
200043693;CC Terre Lorraine du Longuyonnais;31.6
200043776;CC Pyrénées audoises;45.7
200043974;CC du Sud Gironde;34.5
200043982;CC du Bazadais;35.5
200043990;CC Vallons de Haute-Bretagne Communauté;29.6
200044014;CC Creuse Grand Sud;46.6
200044030;CC des 7 Vallées;32.4
200044048;CC Osartis Marquion;25.9
200044253;CC du Bassin de Joinville en Champagne;37.9
200044394;CC du Réolais en Sud Gironde;33.8
200044469;CC du Pays de Mirepoix;37.5
200044618;CA Douaisis Agglo;35.5
200044691;CA du Nord Grande Terre;39.3
200046977;Métropole de Lyon;44.1
200048551;CC du Pays de Craon;31.6
200049187;CA du Grand Verdun;45.9
200049211;CC Conflent-Canigó;41.6
200049484;CC Berry Grand Sud;41.1
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;40
200055481;CC Beauce Val de Loire;32.3
200055655;CA Roissy Pays de France;28.4
200055887;CC Mayenne Communauté;36.6
200056232;CA Communauté Paris-Saclay;36.8
200056380;CA Plaine Vallée;33.3
200057859;CA Coeur d'Essonne Agglomération;32.1
200057867;Plaine Commune;36.1
200057875;Est Ensemble;38.2
200057941;#ParisEstMarne&Bois;40.7
200057958;CA Paris - Vallée de la Marne;32.6
200057966;Vallée Sud-Grand Paris;40.3
200057974;Grand Paris Seine Ouest;44.1
200057982;Paris Ouest La Défense;42
200057990;Boucle Nord de Seine;39.4
200058006;Grand Paris Sud Est Avenir;35.8
200058014;Grand-Orly Seine Bièvre;39
200058097;Paris Terres d'Envol;29.7
200058360;CC Entre Beauce et Perche;29.3
200058477;CA Val d'Yerres Val de Seine;31.5
200058485;CA Val Parisis;31.8
200058519;CA Saint Germain Boucles de Seine;35.4
200058782;CA de Saint Quentin en Yvelines;34.7
200058790;Grand Paris Grand Est;33.5
200059228;CA Grand Paris Sud Seine Essonne Sénart;32.9
200059392;CC Bièvre Isère;30
200059400;CC Porte Océane du Limousin;39.3
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;31.7
200060010;CA Mauges Communauté;28.9
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;35.2
200065589;CC Val ès Dunes;23
200065597;CU Caen la Mer;46.5
200065647;CA Pays de Montbéliard Agglomération;37.3
200065787;CC de Pont-Audemer / Val de Risle;35.9
200065886;Loire Forez Agglomération (LFA);32.8
200065894;CC de Forez-Est;33.2
200065928;CA Lannion-Trégor Communauté;41.1
200066009;CA Mulhouse Alsace Agglomération;38.6
200066017;CC Lieuvin Pays d'Auge;30.7
200066025;CC Alsace Rhin Brisach;25.4
200066033;CC Sud Alsace Largue;26.5
200066041;CC Sundgau;29.5
200066058;CA Saint-Louis Agglomération;34.8
200066108;CC des Portes de Meuse;32.5
200066116;CC Argonne-Meuse;33.3
200066124;CA Gaillac-Graulhet;32.1
200066132;CC du Pays de Stenay et du Val Dunois;37.4
200066140;CC de l'Aire à l'Argonne;32
200066157;CC de Commercy - Void - Vaucouleurs;36.6
200066165;CC Val de Meuse - Voie Sacrée;27.8
200066173;CC de Damvillers Spincourt;31.9
200066223;CC Arize Lèze;38.4
200066231;CC des Portes d'Ariège Pyrénées;38.5
200066280;CC du Pithiverais;33.6
200066322;CC Terres des Confluences;33.9
200066330;CC Terres du Haut Berry;31
200066348;CC du Minervois au Caroux;40.6
200066355;CA Sète Agglopôle Méditerranée;40.3
200066363;CC de la Haute Ariège;44.8
200066371;CC Causses et Vallée de la Dordogne;38.8
200066389;CA Saint-Lô Agglo;37.9
200066405;CC Roumois Seine;23.9
200066413;CC Intercom Bernay Terres de Normandie;35.5
200066462;CC Interco Normandie Sud Eure;36.4
200066512;CC Élan Limousin Avenir Nature;33.3
200066520;CC Ouest Limousin;35.6
200066553;CC du Haut-Languedoc;36.7
200066561;CC Sidobre Vals et Plateaux;33.9
200066587;CC des Monts du Lyonnais;31.5
200066603;CC du Pays de Lubersac-Pompadour;37
200066637;CC Hautes Terres;41.8
200066645;CC Vézère-Monédières-Millesources;43.3
200066652;CC Grand Sud Tarn-et-Garonne;27.7
200066660;CC de Saint-Flour;37.7
200066678;CC de la Châtaigneraie Cantalienne;35.2
200066710;CC Cingal-Suisse Normande;26.6
200066728;CC Vallées de l'Orne et de l'Odon;20.6
200066744;CC Haute-Corrèze Communauté;42.3
200066751;CC Xaintrie Val'Dordogne;40.3
200066769;CC Midi Corrézien;36.6
200066777;Ploërmel Communauté;37.2
200066785;CC de l'Oust à Brocéliande;35
200066793;CA du Grand Annecy;40
200066801;CC Isigny-Omaha Intercom;32
200066819;CC du Volvestre;30.3
200066827;CC du Pays de Honfleur-Beuzeville;34.7
200066835;CC de Sézanne-Sud Ouest Marnais;35
200066850;CC des Paysages de la Champagne;32.4
200066868;CC Presqu'île de Crozon-Aulne maritime;42
200066876;CA de Châlons-en-Champagne;41.6
200066884;CC Quercy Vert-Aveyron;29.8
200066892;CC de Vendeuvre-Soulaines;33.3
200066918;CA Alès Agglomération;38.9
200066926;CA Grand Auch Coeur de Gascogne;44.5
200066975;CC Senlis Sud Oise;33.9
200067023;CC Coutances Mer et Bocage;38.1
200067031;CC Côte Ouest Centre Manche;36.6
200067049;CC Spelunca-Liamone;41.7
200067064;CC Decazeville Communauté;42.5
200067072;CC Haut-Léon Communauté;39.6
200067080;CC Chablis Villages et Terroirs;36.8
200067106;CA du Pays Basque;42.9
200067114;CA de l'Auxerrois;44.3
200067122;CC du Pays de Lafrançaise;26.7
200067130;CC de Puisaye-Forterre;40.5
200067155;CC Saint Affricain, Roquefort, Sept Vallons;41.2
200067163;CC Monts, Rance et Rougier;40.9
200067171;CC Aubrac Carladez Viadène;39.3
200067189;CC Creuse Sud Ouest;40.1
200067197;CC Monts d'Arrée Communauté;43.8
200067205;CA du Cotentin;39.1
200067213;CU du Grand Reims;43.1
200067239;CC des Luys en Béarn;25.4
200067247;CC Pleyben-Châteaulin-Porzay;39.9
200067254;CA Pau Béarn Pyrénées;48.1
200067262;CC du Haut Béarn;39.2
200067288;CC du Béarn des Gaves;35.8
200067296;CC du Nord Est Béarn;26.1
200067304;CC Serein et Armance;35.7
200067320;CC Serre-Ponçon Val d'Avance;30.6
200067346;CA Pornic Agglo Pays de Retz;32.7
200067361;CC Grand-Figeac;40
200067379;CC Côtes de Champagne et Val de Saulx;33.1
200067429;CC Haut Nivernais - Val d'Yonne;44.4
200067437;CA Provence-Alpes-Agglomération;42.9
200067445;CC Buëch-Dévoluy;37.1
200067452;CC du Guillestrois et du Queyras;39.3
200067460;CC Loudéac Communauté - Bretagne Centre;36.9
200067478;CC Comtal Lot et Truyère;35.2
200067486;CC Bouzonvillois-Trois Frontières;28.7
200067502;CA Saint-Avold Synergie;33.9
200067544;CC Creuse Confluence;41.7
200067551;CA Thonon Agglomération;37.7
200067593;CC Marche et Combraille en Aquitaine;41.7
200067627;CC Billom Communauté;30.5
200067635;CA Clisson Sèvre et Maine Agglo;26.7
200067643;CC Meurthe Mortagne Moselle;30.2
200067650;CC Houve - Pays Boulageois;28.7
200067668;CC de la Cléry, du Betz et de l'Ouanne;36.7
200067676;CC Canaux et Forêts en Gâtinais;36
200067684;CA Epernay, Coteaux et Plaine de Champagne;40.6
200067692;CC Tannay-Brinon-Corbigny;43.8
200067700;CC Sud Nivernais;42.9
200067742;CC Serre-Ponçon;41.1
200067759;CC Vallées et Plateau d'Ardenne;32.9
200067767;CC du Royans-Vercors;37
200067783;CC de Hanau-La Petite Pierre;27.9
200067791;CA L'Agglo Foix-Varilhes;39.2
200067817;CC Saône-Beaujolais;32.1
200067825;CA Gap-Tallard-Durance;43.8
200067841;CC de l'Alsace Bossue;30
200067866;CC Sèvre et Loire;27.4
200067874;CA de Haguenau;33.1
200067882;CC Bazois Loire Morvan;43.3
200067890;CC Morvan Sommets et Grands Lacs;44.4
200067908;CC Amognes Coeur du Nivernais;35.5
200067916;CC Coeur de Loire;41.5
200067924;CC du Canton d'Erstein;28.7
200067932;CA Golfe du Morbihan - Vannes Agglomération;41.1
200067940;CC Couserans-Pyrénées;44.1
200067957;CC Haut Chemin - Pays de Pange;23
200067965;CA de la Région de Compiègne et de la Basse Automne;41.2
200067973;CC Thelloise;27
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;42
200067999;CA du Beauvaisis;37.7
200068005;CC de l'Oise Picarde;27.2
200068047;CA Creil Sud Oise;33.4
200068070;CC Loue-Lison;34.1
200068088;CC Les Bertranges;40
200068096;CC Champsaur-Valgaudemar;36.3
200068104;CA de la Provence Verte;30.1
200068112;CC du Pays de Saverne;32
200068120;CA Quimper Bretagne Occidentale;45.7
200068146;CC Sarrebourg Moselle Sud;35.2
200068229;CC des Baronnies en Drôme Provençale;42.8
200068278;CC Berry Loire Puisaye;39
200068294;CC des Deux Vallées Vertes;34.5
200068369;CC de Mirecourt Dompaire;37.1
200068377;CC de la Porte des Vosges Méridionales;41.3
200068435;CC Coeur du Perche;33.9
200068443;CC Andaine - Passais;41
200068450;Terres d'Argentan Interco;39.9
200068468;CC des Pays de L'Aigle;39.6
200068484;CC des Causses à l'Aubrac;38.1
200068500;CA de Cambrai;38.6
200068534;CC Terroir de Caux;27
200068542;CC Les Balcons du Dauphiné;27.7
200068559;CC de l'Ouest Vosgien;38.6
200068567;CC Les Vals du Dauphiné;30.3
200068625;CC Alpes-Provence-Verdon "Sources de lumière";45.1
200068641;CA Le Muretain Agglo;30.8
200068658;CA de Chaumont;43.8
200068666;CA du Grand Saint-Dizier Der et Vallées;39.6
200068674;CA Grand Lac;39.5
200068682;CC Terre d'Eau;39.5
200068757;CA d'Epinal;40.2
200068765;CC du Sisteronais-Buëch;42
200068773;CC des Vosges côté Sud Ouest;38.4
200068781;CA Valence Romans Agglo;39.8
200068799;CC Intercom de la Vire au Noireau;36.7
200068807;CC du Bassin Auterivain Haut-Garonnais;28.8
200068815;CC Coeur de Garonne;30.7
200068831;Pays Ségali Communauté;31.7
200068856;CC des Hauts du Perche;38
200068864;CC de la Mossig et du Vignoble;27.5
200068872;CC Éguzon - Argenton - Vallée de la Creuse;42.1
200068880;CC Champagne Boischauts;34.5
200068914;CC La Rochefoucauld Porte du Périgord;34.1
200068922;CC du Confluent et des Coteaux de Prayssas;31.6
200068930;CC Fumel Vallée du Lot;36.5
200068948;CC Albret Communauté;36.3
200068955;CC Anjou Loir et Sarthe;28.9
200068963;CC Maine Coeur de Sarthe;25.5
200068989;CA Dinan Agglomération;36.3
200068997;CA Arlysère;38
200069003;CC du Barséquanais en Champagne;35.9
200069029;CA des Deux Baies en Montreuillois;37.1
200069037;CA du Pays de Saint-Omer;32.4
200069052;CA Grand Belfort;42.2
200069060;CC des Vosges du Sud;32.3
200069086;CC Leff Armor Communauté;32.6
200069094;CC Isle et Crempse en Périgord;35.3
200069102;CC Randon - Margeride;35.9
200069110;CA du Grand Chambéry;43
200069128;CC Mont Lozère;38.9
200069136;CC des Cévennes au Mont Lozère;43.6
200069144;CC des Hautes Terres de l'Aubrac;38.4
200069151;CC Gorges Causses Cévennes;44
200069169;CC Dômes Sancy Artense;34.9
200069177;CC Mond'Arverne Communauté;29.2
200069185;CC des Terres d'Apcher-Margeride-Aubrac;42.2
200069193;CC de la Dombes;30.5
200069227;CC Pays Fort Sancerrois Val de Loire;40
200069235;CC du Haut Pays du Montreuillois;28.1
200069250;CA Troyes Champagne Métropole;42.8
200069268;CC Aubrac Lot Causses Tarn;38.1
200069300;CA Tarbes-Lourdes-Pyrénées;44.5
200069383;Ouest Aveyron Communauté;38.1
200069391;CA Lamballe Terre et Mer;34.4
200069409;CA Saint-Brieuc Armor Agglomération;41
200069417;CC Pays d'Orthe et Arrigans;29.8
200069425;CA Mont-Saint-Michel-Normandie;37.2
200069433;CC de Vezouze en Piémont;35.3
200069441;CC du Pays de Bitche;30.5
200069458;CC des Vallées d'Auge et du Merlerault;40
200069482;CC des Campagnes de l'Artois;25.4
200069516;CC Seulles Terre et Mer;24.6
200069524;CC Pré-Bocage Intercom;28.9
200069532;CA Lisieux Normandie;37.7
200069540;CC Norge et Tille;20.4
200069565;CC des Lacs et Montagnes du Haut-Doubs;34.1
200069581;CC Convergence Garonne;30.8
200069599;CC Rurales de l'Entre-Deux-Mers;30.6
200069615;CC Bresse Haute Seille;34.4
200069623;CC Champagnole Nozeroy Jura;39.5
200069631;CC Terres de Chalosse;27.4
200069649;CC Chalosse Tursan;31.9
200069656;CC Coeur Haute Lande;33.8
200069664;CC Meuse Rognon;37.3
200069672;CC du Ternois;31.1
200069698;CC Mâconnais - Tournugeois;39.6
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;32.2
200069730;CC des Quatre Rivières en Bray;35.6
200069748;CC Val de Gâtine;30.4
200069755;CC Mellois en Poitou;33.3
200069763;CC du Haut Poitou;29
200069821;CA Fécamp Caux Littoral Agglomération;36.8
200069839;CC de la Côte d'Albâtre;31.8
200069847;CC Plateau de Caux;26.4
200069854;CU du Grand Poitiers;47.3
200069912;CC des Forêts du Perche;36.2
200069953;CC des Portes Euréliennes d'Ile de France;31.1
200069961;CC du Grand Châteaudun;38.6
200069995;CC Médoc Coeur de Presqu'île;33.8
200070035;CC du Civraisien en Poitou;36.1
200070043;CC Vienne et Gartempe;38.4
200070068;CC Bray-Eawy;31.2
200070092;CA du Libournais;35.8
200070100;CC du Val de Sully;32.9
200070118;CC Val de Saône Centre;27.9
200070126;CC Seine et Aube;31.6
200070142;CC Lyons Andelle;30.7
200070159;CC Coeur de Beauce;31.9
200070167;CC Terres de Perche;36.6
200070183;CC des Terres du Val de Loire;29.5
200070233;CA Terres de Montaigu;30
200070282;CC Lavalette Tude Dronne;35.8
200070290;CC Coeur du Pays Haut;31.3
200070308;CA Mâconnais Beaujolais Agglomération;40.6
200070316;CC Entre Arroux, Loire et Somme;38.4
200070324;CC du Territoire de Lunéville à Baccarat;39.7
200070332;CC des Savoir-Faire;39.8
200070340;CC Haute Maurienne Vanoise;39.1
200070365;CC Corbières Salanque Méditerranée;31.1
200070373;CC Loir-Lucé-Bercé;39.7
200070407;CA Agglo Pays d'Issoire;38.6
200070431;CC Saint-Marcellin Vercors Isère Communauté;33
200070449;CC Inter-Caux-Vexin;23
200070464;CC Coeur de Maurienne Arvan;40.4
200070506;CC Pays de Nexon Monts de Chalus;34.4
200070514;CA du Grand Cognac;38.1
200070530;CC du Grand Autunois Morvan;40.6
200070548;CC Brionnais Sud Bourgogne;36.8
200070555;CC de la Veyle;28.4
200070563;CC Terres Touloises;33
200070571;CC Coeur de Berry;28.8
200070589;CC de Seille et Grand Couronné;24.3
200070647;CA Bergeracoise;39.8
200070662;CC Bretagne Porte de Loire Communauté;29.8
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;35.9
200070688;CC Couesnon Marches de Bretagne;32.5
200070712;CC Thiers Dore et Montagne;39.1
200070720;CC Médoc Atlantique;38.1
200070738;CC Mad et Moselle;29.5
200070746;CA Sarreguemines Confluences;36.6
200070753;CA Riom Limagne et Volcans;33.4
200070761;CC Ambert Livradois Forez;40.7
200070779;CC Brie des Rivières et Châteaux;24.9
200070787;CC du Plateau de Lannemezan;41.6
200070795;CC du Pays de Trie et du Magnoac;37.7
200070803;CC des Coteaux du Val d'Arros;28.5
200070811;CC Pyrénées Vallées des Gaves;40.3
200070829;CC Neste Barousse;37.9
200070845;CC Orne Lorraine Confluences;36
200070852;CC Usses et Rhône;28.5
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;30.9
200070902;CC Auxonne Pontailler Val de Saône;31.8
200070910;CC Tille et Venelle;31.3
200070928;CC Terre de Picardie;29
200070936;CC Ponthieu-Marquenterre;31
200070944;CC du Vimeu;30.8
200070951;CC du Territoire Nord Picardie;29.2
200070969;CC Avre Luce Noye;27.7
200070977;CC du Grand Roye;34
200070985;CC de l'Est de la Somme;33.7
200070993;CA de la Baie de Somme;39.2
200071017;CC des Terres d'Auxois;40.8
200071025;CC Haute-Provence - Pays de Banon;37.4
200071033;CC Jabron-Lure-Vançon-Durance;30.4
200071041;CC du Chaourçois et du Val d'Armance;33.7
200071058;CC Les Avant-Monts;29.9
200071066;CA de Saint-Dié-des-Vosges;40.1
200071074;CC Les Portes de l'Ile de France;28.4
200071082;CA Montluçon Communauté;46.4
