name,division,code,no_thd_coverage_rate,no_4g_coverage_rate,poverty_rate,poverty_rate_50_plus,poverty_rate_30_minus,library_distance,library_distance_and_mjc,public_service_distance,public_service_distance_and_ml,menseul_rate,menseul_rate_50_plus,fammono_rate,fammono_rate_25_minus,obstacle_to_mobility_rate,unemployement_rate,unemployement_rate_50_plus,unemployement_rate_25_minus,foreigners_rate,foreigners_rate_55_plus,foreigners_rate_25_minus,social_assistance_rate,aah_rate,older_65_rate,older_75_rate,nscol15p_rate,nscol15p_rate_50_plus,nscol15p_rate_15_25_year,neet_16_25_year_rate,total,population,population_density,area,is_zrr,number_of_qpv,percentage_of_qpv,digital_mediation_center_count,france_services_center_count,conseillers_numerique_center_count,aidants_connect_center_count,aging_index
CC Vienne et Gartempe,epci,200070043,8.022241471554866,7.334386385060253,4.353162976739446,6.0,5.0,5.337112430256554,8.753917097653563,8.81738044890576,8.959287661460854,7.049654785865329,7.93977223510229,5.210822654199893,4.5165218720542155,8.490586227102494,5.150518458128455,4.209880003057247,5.0,5.971210924562431,6.749152887824514,7.505515783037374,5.162390767114213,4.1290158212529615,8.508725892333953,8.847545285470433,8.301368118009732,7.4291355634251355,5.870754885225854,4.150594889302184,6.527523411596428,39251,19.0,2065.0,True,0,0.0,77,2,75,0,168.0
CC du Civraisien en Poitou,epci,200070035,8.249069410991899,6.325158747536676,4.953251587475367,7.0,5.0,4.976935990073717,9.545252171374353,6.482118093569812,4.803554485074082,6.2332676446974675,6.051273629662068,4.889351142252391,6.6744033282242174,8.217721334209182,5.541529815341946,3.505984964601124,7.837201664112109,6.394131815195971,7.50872199109554,7.650244507700168,5.751988905919276,4.772133420918181,8.312787387781913,8.568462156047003,8.085723669805123,6.799613166922122,8.325596671775783,6.6744033282242174,6.611781465377919,27402,30.0,913.0,True,0,0.0,34,3,26,0,147.0
CC Médoc Cœur de Presqu'île,epci,200069995,8.143746275574388,7.62706084883798,5.614579884791101,5.0,7.0,5.946070317155532,6.2711712904720915,6.246705952459776,3.523935641925445,5.647255512149904,6.359233264914256,6.40743560881944,8.057836191485135,7.7104548765146,7.540091372574985,9.397636231212342,8.881248758524796,7.307455472422697,8.09468317552804,9.172680924319671,7.326756273588029,5.693703237767331,6.458087797126399,7.15612792160498,9.077931536780772,7.984274647421042,9.36873468847249,8.565616102761041,7.199304064471582,30207,53.0,569.0,True,0,0.0,10,0,7,0,104.0
CC du Grand Châteaudun,epci,200069961,5.584546915564347,5.610433922610953,5.7124984546915565,3.0,7.293213005315861,6.370255903078254,7.2501668933119054,5.312572629496848,7.331116330819632,6.80828285325751,7.522685127951539,5.1530720731858075,7.4690320187909505,7.342390901223884,5.900482136234392,6.673037458276672,5.642452713561627,5.51247372975646,5.158561008777352,8.037507726542218,5.567536160217579,4.402076894548152,7.658795895660774,8.811200395598961,8.685004326863641,8.553591296822846,9.723550500679936,9.12142415626159,6.685998622467901,40447,51.0,793.0,True,1,7.0,7,3,4,0,131.0
CC des Portes Euréliennes d'Île-de-France,epci,200069953,2.587600634175469,6.249160952910413,4.141762925443202,1.0,1.0,4.747997611546936,3.398624580476455,10.0,9.275495706961516,4.373236971606235,4.64578829246196,4.919389709061709,3.5553359276875245,4.9362736014166,4.748697675376285,3.9316408260753186,5.218666996108468,6.405028105503737,6.977433236559804,8.639611258673584,1.946733378631581,1.4179998764593242,3.8926225626454176,5.705231947618754,4.633104783083163,4.17161858875368,4.523688924578417,4.414643688100974,4.694906741497019,48567,119.0,408.0,False,0,0.0,3,2,2,0,73.0
CC des Forêts du Perche,epci,200069912,5.818611182027062,8.074163900944601,5.138881797293847,9.0,3.0,6.907199387286188,5.602757212152158,8.346310952259381,8.673729895328057,6.47485320398264,8.062803165688026,3.400561654327291,1.0,7.756446259892775,6.527444472810824,9.219045187643605,6.0,3.501148838396732,2.8317589992341077,5.8731171815164664,5.046591779423028,6.589992341077355,7.4267296400306355,7.8295889711513915,8.73219300485065,8.297932090885881,10.0,7.0,6.504709325650096,7834,24.0,326.0,True,0,0.0,2,1,2,0,121.0
CU du Grand Poitiers,epci,200069854,5.5803223096625905,5.761318717564176,5.506815710405747,3.8273215933043696,10.0,4.042022913155738,8.1910305766426,3.2960466302818534,2.328457974510016,7.186727273664301,6.572091920613079,6.226987636378629,2.1693749130320508,3.8360467333549786,5.5096553750057975,3.5180094518055833,4.013574730592619,5.895921911800326,4.703711147873859,8.682045176950787,5.011224663337405,3.823064673232425,4.49435932322186,6.883465524616439,2.9083576843591685,2.135087637924726,1.167493828496627,3.3650901632162937,4.879843792678714,194064,181.0,1072.0,False,6,8.0,36,8,26,0,78.0
CC Plateau de Caux-Doudeville-Yerville,epci,200069847,8.447121565639732,5.43136041140898,3.8933384124565498,9.0,8.0,4.941431360411409,2.0373315556402076,4.745774010761393,2.714918337222037,3.2454645016903956,3.5915908766249225,4.513927908194848,3.745440693300319,5.56649683348412,5.151088043426504,7.114280272367982,3.8272939383838867,1.9091948002476073,1.1181848483405552,3.692395600209514,3.819675253559354,6.322937002999857,3.619351459454312,5.317080139040998,7.125232131803248,9.15718299128613,6.003904575972573,3.5909242417027762,4.915818634486792,21001,82.0,256.0,False,0,0.0,2,2,0,0,67.0
CC de la Côte d'Albâtre,epci,200069839,6.347101788220056,5.550930090310509,4.138164285971288,2.0,2.0,5.5738135501745045,3.6735149138272227,4.488792141906235,4.407080919656028,4.650055769438348,6.266254092757169,4.918288777749793,3.7992300219479724,6.606015903285,6.29190803439715,6.15795344151405,8.500701615514698,2.5112798186593746,2.0781131939697044,3.956140035260677,5.402475443456986,7.058899722951822,5.3521390278127585,6.263843413809233,7.774799409923362,7.489907530673191,6.749649192242651,5.751052423272047,5.205646591382208,27793,71.0,391.0,False,0,0.0,5,2,3,0,94.0
CA Fécamp Caux Littoral Agglomération,epci,200069821,5.170049710024855,5.652236951118476,5.523534589892295,2.0,7.88960231980116,3.5267450289975146,3.900968309859155,3.378624689312345,4.53246685998343,5.59701222038111,7.727164457332228,5.7740524026512015,8.94480115990058,4.84745236122618,6.063354391052195,7.41720173985087,8.94480115990058,2.2170671085335543,1.0399751449875725,5.2463235294117645,5.765922742336371,6.885485708367854,5.886676677713339,7.424554681027341,7.982938069594034,8.6233429991715,9.47240057995029,8.41720173985087,5.923284190436739,38629,185.0,208.0,False,1,7.0,3,1,2,0,104.0
