Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Indice de concentration de l'emploi 2022
200035731;CA Roannais Agglomération;111
200035756;CC Astarac Arros en Gascogne;57.7
200035764;CC de la Beauce Loirétaine;101.8
200035772;CC du Pays du Saintois;38.2
200035814;CA Flers Agglo;106.2
200035848;CC du Châtillonnais en Berry;96
200035855;CC Castelnaudary Lauragais Audois;94.4
200035863;CC Région Lézignanaise, Corbières et Minervois;83.6
200035970;CC Vexin Centre;50.2
200036069;CC du Pays de Mortagne-au-Perche;109.2
200036077;CC du Golfe de Saint-Tropez;112.2
200036135;CC Coeur de France;113.4
200036150;CC des Hauts du Val de Saône;90.4
200036465;CC de Thann-Cernay;92.7
200036473;CA "Saintes - Grandes Rives - L'Agglo";114.7
200036499;CC de Marana-Golo;99.2
200036523;CC des Bastides en Haut Agenais Périgord;76
200036549;CC Val de Gray;99.2
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);100.8
200037133;CC du Provinois;81.1
200038958;CC de la Pieve de l'Ornano et du Taravo;66.4
200038990;CC de Saint-Méen Montauban;69.3
200039022;CA Vitré Communauté;96.6
200039055;CC Ouche et Montagne;43.4
200039063;CC Forêts, Seine et Suzon;53.7
200039204;CC de Lacq-Orthez;96.3
200039519;CC du Quercy Blanc;66.3
200039642;CC Le Tonnerrois en Bourgogne;95.1
200039709;CC du Serein;71.5
200039758;CC Avallon, Vézelay, Morvan;106.4
200039808;CC des Gorges de l'Ardèche;91.9
200039824;CC Ardèche des Sources et Volcans;63.7
200039832;CC Pays des Vans en Cévennes;88
200039857;CA du Pays de Grasse;77.9
200039865;Metz Métropole;123.5
200039907;CC du Sud Messin;46.4
200039915;CA Cannes Pays de Lérins;110.6
200039931;CC Alpes d'Azur;66.7
200039949;CC Rives de Moselle;108.4
200040038;CC Saône Doubs Bresse;37.4
200040095;CC Isle Vern Salembre en Périgord;77.3
200040111;CC Coeur de Chartreuse;57.7
200040137;CC des Lacs de Champagne;91
200040178;CC de l'Outre-Forêt;53.7
200040202;CC Provence Verdon;42.8
200040210;CC Lacs et Gorges du Verdon;76.8
200040244;CA du Bocage Bressuirais;92.9
200040251;CC Bassée-Montois;44.4
200040277;CA Agglo du Pays de Dreux;75.3
200040293;CC du Clunisois;96.5
200040350;CC Bugey Sud;85.3
200040384;CC Isle Double Landais;92.4
200040392;CA Le Grand Périgueux;109.9
200040400;CC du Périgord Ribéracois;82.7
200040418;CC du Pays de Serres en Quercy;76.7
200040426;CC du Val de l'Oise;60
200040442;CA Luberon Monts de Vaucluse;98.8
200040459;CA Montélimar Agglomération;106.7
200040475;LBN Communauté;70.3
200040491;CC Porte de Dromardèche;83.5
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;106.9
200040558;CC Écueillé-Valençay;91.9
200040566;CA de l'Ouest Rhodanien;89.4
200040574;CC Beaujolais Pierres Dorées;53
200040590;CA Villefranche Beaujolais Saône;111.4
200040624;CC Pays d'Apt-Luberon;97.2
200040657;CC de la Matheysine;66.3
200040681;CC Enclave des Papes - Pays de Grignan;83.4
200040715;Grenoble-Alpes-Métropole;118.1
200040764;CC du Sud Corse;108.8
200040772;CC du Perche et Haut Vendômois;61.7
200040798;CC Val Vanoise;161.4
200040814;CC Briance Sud Haute Vienne;50.5
200040830;CC du Pays de Fénelon;67
200040889;CC de Portes Sud Périgord;64
200040905;CC Carmausin-Ségala;68.2
200040947;CA Coeur de Flandre;72.2
200040954;CC des Hauts de Flandre;56.7
200041010;CC Coeur de Savoie;75.5
200041051;CC Vallée de la Dordogne et Forêt Bessède;84.3
200041150;CC Terrassonnais Haut Périgord Noir;86.1
200041168;CC de la Vallée de l'Homme;91
200041283;CC de la Plaine du Rhin;48.5
200041317;CA du Niortais;127.1
200041325;CC du Pays Rhénan;44.5
200041333;CC de Parthenay-Gâtine;94.9
200041366;CC Rhône Crussol;64.6
200041416;CC Airvaudais-Val du Thouet;105.1
200041440;CC de Domme- Villefranche du Périgord;78.3
200041465;CC Val Eyrieux;101.2
200041499;CC Aunis Atlantique;40.6
200041507;CA La Riviéra du Levant;64.4
200041515;CC du Bassin de Pont-à-Mousson;75.6
200041523;CC de la Haute Saintonge;85.8
200041556;CC Portes de la Creuse en Marche;79.9
200041572;CC Dronne et Belle;100.4
200041614;CC Aunis Sud;63.2
200041622;CC Ardennes Thiérache;57.9
200041630;Ardenne Métropole;115.7
200041689;Vals de Saintonge Communauté;80.4
200041721;CC de la Haute Comté;77.6
200041762;CA Rochefort Océan;104.1
200041788;CA du Pays Nord Martinique;71.6
200041853;CC du Pays de Montbozon et du Chanois;38.9
200041861;CC du Triangle Vert;32.8
200041879;CC Terres de Saône;65.1
200041887;CC du Val Marnaysien;36.9
200041960;CC Pévèle-Carembault;54.7
200041994;CC Haut Val de Sèvre;96.3
200042000;CC Bruyères-Vallons des Vosges;60.1
200042174;CA Lorient Agglomération;105.7
200042182;CC du Mont des Avaloirs;84.5
200042190;CA de la Porte du Hainaut;75
200042372;CC des Coteaux Arrats Gimone;77.6
200042414;CC Bresse Revermont 71;47.4
200042463;CC de la Montagne Noire;65.4
200042497;CC Dombes Saône Vallée;57.7
200042604;CC de Granville, Terre et Mer;98.9
200042620;CC de la Région de Suippes;93.1
200042646;CC Grand Orb Communauté de Communes en Languedoc;103.7
200042653;CC Sud-Hérault;62.2
200042703;CC de l'Argonne Champenoise;92.8
200042729;CC de la Baie du Cotentin;97.3
200042901;CC Drôme Sud Provence;128.6
200042935;CA Haut-Bugey Agglomération;105.6
200042943;CC du Cap Corse;59
200042992;CC Perthois-Bocage et Der;63.6
200043016;CC Val de Charente;107.1
200043065;CC du Val d'Amboise;95.2
200043081;CC Chinon, Vienne et Loire;143.5
200043123;CC Auray Quiberon Terre Atlantique;82.5
200043156;CC du Pays Rethélois;68.8
200043172;CA du Bassin de Brive;104.8
200043263;CC Coeur de l'Avesnois;73.7
200043321;CC du Pays de Mormal;52.6
200043354;CC de Villedieu Intercom;79.3
200043396;CA Maubeuge Val de Sambre;98
200043404;CC du Sud Avesnois;91.8
200043438;CC de la Moivre à la Coole;45.8
200043495;CA du Pays de Laon;133.6
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;86.6
200043628;CC des Vallées du Clain;46.6
200043693;CC Terre Lorraine du Longuyonnais;25.6
200043776;CC Pyrénées audoises;90.8
200043974;CC du Sud Gironde;86.7
200043982;CC du Bazadais;84.3
200043990;CC Vallons de Haute-Bretagne Communauté;45.2
200044014;CC Creuse Grand Sud;111.1
200044030;CC des 7 Vallées;75.4
200044048;CC Osartis Marquion;50.9
200044253;CC du Bassin de Joinville en Champagne;81.9
200044394;CC du Réolais en Sud Gironde;79.4
200044469;CC du Pays de Mirepoix;66.5
200044618;CA Douaisis Agglo;109.8
200044691;CA du Nord Grande Terre;63
200046977;Métropole de Lyon;122.9
200048551;CC du Pays de Craon;78.8
200049187;CA du Grand Verdun;133.8
200049211;CC Conflent-Canigó;85.6
200049484;CC Berry Grand Sud;68.7
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;105.1
200055481;CC Beauce Val de Loire;69.5
200055655;CA Roissy Pays de France;120.1
200055887;CC Mayenne Communauté;100.5
200056232;CA Communauté Paris-Saclay;108.9
200056380;CA Plaine Vallée;48.3
200057859;CA Coeur d'Essonne Agglomération;67.8
200057867;Plaine Commune;116
200057875;Est Ensemble;92.5
200057941;#ParisEstMarne&Bois;67.8
200057958;CA Paris - Vallée de la Marne;79
200057966;Vallée Sud-Grand Paris;80.7
200057974;Grand Paris Seine Ouest;123.2
200057982;Paris Ouest La Défense;178.8
200057990;Boucle Nord de Seine;89.8
200058006;Grand Paris Sud Est Avenir;82.9
200058014;Grand-Orly Seine Bièvre;90.1
200058097;Paris Terres d'Envol;82.8
200058360;CC Entre Beauce et Perche;50
200058477;CA Val d'Yerres Val de Seine;44.1
200058485;CA Val Parisis;50.3
200058519;CA Saint Germain Boucles de Seine;60
200058782;CA de Saint Quentin en Yvelines;124.3
200058790;Grand Paris Grand Est;59.7
200059228;CA Grand Paris Sud Seine Essonne Sénart;98.7
200059392;CC Bièvre Isère;60.9
200059400;CC Porte Océane du Limousin;99.3
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;69.9
200060010;CA Mauges Communauté;73.2
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;73
200065589;CC Val ès Dunes;49.7
200065597;CU Caen la Mer;135
200065647;CA Pays de Montbéliard Agglomération;107.2
200065787;CC de Pont-Audemer / Val de Risle;81.2
200065886;Loire Forez Agglomération (LFA);66.1
200065894;CC de Forez-Est;78.6
200065928;CA Lannion-Trégor Communauté;93
200066009;CA Mulhouse Alsace Agglomération;103.6
200066017;CC Lieuvin Pays d'Auge;43.7
200066025;CC Alsace Rhin Brisach;56.9
200066033;CC Sud Alsace Largue;38.8
200066041;CC Sundgau;49
200066058;CA Saint-Louis Agglomération;64.6
200066108;CC des Portes de Meuse;54.7
200066116;CC Argonne-Meuse;74.2
200066124;CA Gaillac-Graulhet;68.9
200066132;CC du Pays de Stenay et du Val Dunois;82.3
200066140;CC de l'Aire à l'Argonne;45.7
200066157;CC de Commercy - Void - Vaucouleurs;84.3
200066165;CC Val de Meuse - Voie Sacrée;51.7
200066173;CC de Damvillers Spincourt;40.2
200066223;CC Arize Lèze;70.1
200066231;CC des Portes d'Ariège Pyrénées;102.7
200066280;CC du Pithiverais;91.4
200066322;CC Terres des Confluences;89.9
200066330;CC Terres du Haut Berry;51.6
200066348;CC du Minervois au Caroux;84.1
200066355;CA Sète Agglopôle Méditerranée;83.6
200066363;CC de la Haute Ariège;107.4
200066371;CC Causses et Vallée de la Dordogne;102
200066389;CA Saint-Lô Agglo;106.1
200066405;CC Roumois Seine;44.1
200066413;CC Intercom Bernay Terres de Normandie;82
200066462;CC Interco Normandie Sud Eure;77.1
200066512;CC Élan Limousin Avenir Nature;48.9
200066520;CC Ouest Limousin;64.1
200066553;CC du Haut-Languedoc;101.8
200066561;CC Sidobre Vals et Plateaux;69.3
200066587;CC des Monts du Lyonnais;68
200066603;CC du Pays de Lubersac-Pompadour;127.4
200066637;CC Hautes Terres;94.2
200066645;CC Vézère-Monédières-Millesources;98
200066652;CC Grand Sud Tarn-et-Garonne;50.2
200066660;CC de Saint-Flour;100.4
200066678;CC de la Châtaigneraie Cantalienne;66.8
200066710;CC Cingal-Suisse Normande;41.6
200066728;CC Vallées de l'Orne et de l'Odon;28.8
200066744;CC Haute-Corrèze Communauté;107.4
200066751;CC Xaintrie Val'Dordogne;86.2
200066769;CC Midi Corrézien;62.9
200066777;Ploërmel Communauté;97.8
200066785;CC de l'Oust à Brocéliande;102.7
200066793;CA du Grand Annecy;104.7
200066801;CC Isigny-Omaha Intercom;60.7
200066819;CC du Volvestre;61.4
200066827;CC du Pays de Honfleur-Beuzeville;91.3
200066835;CC de Sézanne-Sud Ouest Marnais;72.9
200066850;CC des Paysages de la Champagne;70.9
200066868;CC Presqu'île de Crozon-Aulne maritime;108.5
200066876;CA de Châlons-en-Champagne;114
200066884;CC Quercy Vert-Aveyron;46.9
200066892;CC de Vendeuvre-Soulaines;79.7
200066918;CA Alès Agglomération;96
200066926;CA Grand Auch Coeur de Gascogne;130.6
200066975;CC Senlis Sud Oise;109.7
200067023;CC Coutances Mer et Bocage;89.9
200067031;CC Côte Ouest Centre Manche;87.1
200067049;CC Spelunca-Liamone;73.7
200067064;CC Decazeville Communauté;102.9
200067072;CC Haut-Léon Communauté;99
200067080;CC Chablis Villages et Terroirs;79.4
200067106;CA du Pays Basque;101
200067114;CA de l'Auxerrois;134.6
200067122;CC du Pays de Lafrançaise;41.1
200067130;CC de Puisaye-Forterre;70.3
200067155;CC Saint Affricain, Roquefort, Sept Vallons;109.3
200067163;CC Monts, Rance et Rougier;91
200067171;CC Aubrac Carladez Viadène;102.4
200067189;CC Creuse Sud Ouest;82.8
200067197;CC Monts d'Arrée Communauté;65.9
200067205;CA du Cotentin;100.9
200067213;CU du Grand Reims;109.7
200067239;CC des Luys en Béarn;83.5
200067247;CC Pleyben-Châteaulin-Porzay;90.1
200067254;CA Pau Béarn Pyrénées;121.3
200067262;CC du Haut Béarn;100.4
200067288;CC du Béarn des Gaves;81.1
200067296;CC du Nord Est Béarn;50
200067304;CC Serein et Armance;74.6
200067320;CC Serre-Ponçon Val d'Avance;44.1
200067346;CA Pornic Agglo Pays de Retz;64.6
200067361;CC Grand-Figeac;102.1
200067379;CC Côtes de Champagne et Val de Saulx;41.1
200067429;CC Haut Nivernais - Val d'Yonne;118.7
200067437;CA Provence-Alpes-Agglomération;98.6
200067445;CC Buëch-Dévoluy;77.1
200067452;CC du Guillestrois et du Queyras;107.9
200067460;CC Loudéac Communauté - Bretagne Centre;114.1
200067478;CC Comtal Lot et Truyère;87
200067486;CC Bouzonvillois-Trois Frontières;36.1
200067502;CA Saint-Avold Synergie;94.2
200067544;CC Creuse Confluence;89.1
200067551;CA Thonon Agglomération;62.1
200067593;CC Marche et Combraille en Aquitaine;75.9
200067627;CC Billom Communauté;37
200067635;CA Clisson Sèvre et Maine Agglo;68.4
200067643;CC Meurthe Mortagne Moselle;38.8
200067650;CC Houve - Pays Boulageois;36.6
200067668;CC de la Cléry, du Betz et de l'Ouanne;56.6
200067676;CC Canaux et Forêts en Gâtinais;61.3
200067684;CA Epernay, Coteaux et Plaine de Champagne;117.2
200067692;CC Tannay-Brinon-Corbigny;82.9
200067700;CC Sud Nivernais;101.7
200067742;CC Serre-Ponçon;87.6
200067759;CC Vallées et Plateau d'Ardenne;63.9
200067767;CC du Royans-Vercors;78.6
200067783;CC de Hanau-La Petite Pierre;70.4
200067791;CA L'Agglo Foix-Varilhes;107.5
200067817;CC Saône-Beaujolais;75.2
200067825;CA Gap-Tallard-Durance;120.8
200067841;CC de l'Alsace Bossue;80.4
200067866;CC Sèvre et Loire;60.9
200067874;CA de Haguenau;99.3
200067882;CC Bazois Loire Morvan;88
200067890;CC Morvan Sommets et Grands Lacs;97
200067908;CC Amognes Coeur du Nivernais;45.8
200067916;CC Coeur de Loire;96.7
200067924;CC du Canton d'Erstein;71
200067932;CA Golfe du Morbihan - Vannes Agglomération;111.4
200067940;CC Couserans-Pyrénées;95.7
200067957;CC Haut Chemin - Pays de Pange;32.7
200067965;CA de la Région de Compiègne et de la Basse Automne;125.4
200067973;CC Thelloise;45.2
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;100.2
200067999;CA du Beauvaisis;125.6
200068005;CC de l'Oise Picarde;51.5
200068047;CA Creil Sud Oise;107.1
200068070;CC Loue-Lison;62.7
200068088;CC Les Bertranges;73.2
200068096;CC Champsaur-Valgaudemar;79.6
200068104;CA de la Provence Verte;67.1
200068112;CC du Pays de Saverne;100.3
200068120;CA Quimper Bretagne Occidentale;132
200068146;CC Sarrebourg Moselle Sud;93.6
200068229;CC des Baronnies en Drôme Provençale;99.6
200068278;CC Berry Loire Puisaye;66.7
200068294;CC des Deux Vallées Vertes;61.7
200068369;CC de Mirecourt Dompaire;76.6
200068377;CC de la Porte des Vosges Méridionales;114.6
200068435;CC Coeur du Perche;57.3
200068443;CC Andaine - Passais;110.5
200068450;Terres d'Argentan Interco;102.8
200068468;CC des Pays de L'Aigle;96
200068484;CC des Causses à l'Aubrac;77.4
200068500;CA de Cambrai;100.8
200068534;CC Terroir de Caux;53.5
200068542;CC Les Balcons du Dauphiné;51.8
200068559;CC de l'Ouest Vosgien;95.9
200068567;CC Les Vals du Dauphiné;66.6
200068625;CC Alpes-Provence-Verdon "Sources de lumière";90.1
200068641;CA Le Muretain Agglo;67.2
200068658;CA de Chaumont;118
200068666;CA du Grand Saint-Dizier Der et Vallées;108.3
200068674;CA Grand Lac;86.2
200068682;CC Terre d'Eau;114.2
200068757;CA d'Epinal;106.1
200068765;CC du Sisteronais-Buëch;104.3
200068773;CC des Vosges côté Sud Ouest;69.9
200068781;CA Valence Romans Agglo;118.5
200068799;CC Intercom de la Vire au Noireau;104.6
200068807;CC du Bassin Auterivain Haut-Garonnais;47.1
200068815;CC Coeur de Garonne;56.2
200068831;Pays Ségali Communauté;69.3
200068856;CC des Hauts du Perche;61.9
200068864;CC de la Mossig et du Vignoble;51.1
200068872;CC Éguzon - Argenton - Vallée de la Creuse;86.5
200068880;CC Champagne Boischauts;55.7
200068914;CC La Rochefoucauld Porte du Périgord;61.8
200068922;CC du Confluent et des Coteaux de Prayssas;79.1
200068930;CC Fumel Vallée du Lot;79.2
200068948;CC Albret Communauté;78.4
200068955;CC Anjou Loir et Sarthe;70.4
200068963;CC Maine Coeur de Sarthe;41.6
200068989;CA Dinan Agglomération;82.8
200068997;CA Arlysère;93.3
200069003;CC du Barséquanais en Champagne;93.9
200069029;CA des Deux Baies en Montreuillois;112.6
200069037;CA du Pays de Saint-Omer;104.7
200069052;CA Grand Belfort;111
200069060;CC des Vosges du Sud;55
200069086;CC Leff Armor Communauté;58.7
200069094;CC Isle et Crempse en Périgord;71.1
200069102;CC Randon - Margeride;64.5
200069110;CA du Grand Chambéry;115.1
200069128;CC Mont Lozère;68.8
200069136;CC des Cévennes au Mont Lozère;82.7
200069144;CC des Hautes Terres de l'Aubrac;81.6
200069151;CC Gorges Causses Cévennes;103.2
200069169;CC Dômes Sancy Artense;63.9
200069177;CC Mond'Arverne Communauté;39.3
200069185;CC des Terres d'Apcher-Margeride-Aubrac;100.7
200069193;CC de la Dombes;57.8
200069227;CC Pays Fort Sancerrois Val de Loire;99.6
200069235;CC du Haut Pays du Montreuillois;77.7
200069250;CA Troyes Champagne Métropole;107.9
200069268;CC Aubrac Lot Causses Tarn;86.7
200069300;CA Tarbes-Lourdes-Pyrénées;114
200069383;Ouest Aveyron Communauté;106.2
200069391;CA Lamballe Terre et Mer;82.6
200069409;CA Saint-Brieuc Armor Agglomération;112.4
200069417;CC Pays d'Orthe et Arrigans;62.6
200069425;CA Mont-Saint-Michel-Normandie;101.8
200069433;CC de Vezouze en Piémont;57.9
200069441;CC du Pays de Bitche;54.9
200069458;CC des Vallées d'Auge et du Merlerault;103.1
200069482;CC des Campagnes de l'Artois;50.8
200069516;CC Seulles Terre et Mer;38
200069524;CC Pré-Bocage Intercom;59.9
200069532;CA Lisieux Normandie;95.3
200069540;CC Norge et Tille;34.8
200069565;CC des Lacs et Montagnes du Haut-Doubs;35.9
200069581;CC Convergence Garonne;60.8
200069599;CC Rurales de l'Entre-Deux-Mers;60.4
200069615;CC Bresse Haute Seille;60.6
200069623;CC Champagnole Nozeroy Jura;77.9
200069631;CC Terres de Chalosse;48.8
200069649;CC Chalosse Tursan;87.6
200069656;CC Coeur Haute Lande;78.2
200069664;CC Meuse Rognon;75.3
200069672;CC du Ternois;85.2
200069698;CC Mâconnais - Tournugeois;89.9
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;101.2
200069730;CC des Quatre Rivières en Bray;83.3
200069748;CC Val de Gâtine;56.8
200069755;CC Mellois en Poitou;70.4
200069763;CC du Haut Poitou;47.8
200069821;CA Fécamp Caux Littoral Agglomération;85
200069839;CC de la Côte d'Albâtre;95.1
200069847;CC Plateau de Caux;46.8
200069854;CU du Grand Poitiers;125.3
200069912;CC des Forêts du Perche;73.3
200069953;CC des Portes Euréliennes d'Ile de France;55.3
200069961;CC du Grand Châteaudun;93.4
200069995;CC Médoc Coeur de Presqu'île;108.9
200070035;CC du Civraisien en Poitou;76.3
200070043;CC Vienne et Gartempe;89.8
200070068;CC Bray-Eawy;71.1
200070092;CA du Libournais;91.5
200070100;CC du Val de Sully;90.7
200070118;CC Val de Saône Centre;48.5
200070126;CC Seine et Aube;54.3
200070142;CC Lyons Andelle;56.8
200070159;CC Coeur de Beauce;69.7
200070167;CC Terres de Perche;69.3
200070183;CC des Terres du Val de Loire;56.8
200070233;CA Terres de Montaigu;96.8
200070282;CC Lavalette Tude Dronne;83.7
200070290;CC Coeur du Pays Haut;30.3
200070308;CA Mâconnais Beaujolais Agglomération;124.3
200070316;CC Entre Arroux, Loire et Somme;101.8
200070324;CC du Territoire de Lunéville à Baccarat;90.5
200070332;CC des Savoir-Faire;79.2
200070340;CC Haute Maurienne Vanoise;114.7
200070365;CC Corbières Salanque Méditerranée;61.8
200070373;CC Loir-Lucé-Bercé;91.1
200070407;CA Agglo Pays d'Issoire;82.2
200070431;CC Saint-Marcellin Vercors Isère Communauté;72
200070449;CC Inter-Caux-Vexin;46.3
200070464;CC Coeur de Maurienne Arvan;130.5
200070506;CC Pays de Nexon Monts de Chalus;60
200070514;CA du Grand Cognac;112.5
200070530;CC du Grand Autunois Morvan;89.7
200070548;CC Brionnais Sud Bourgogne;88.2
200070555;CC de la Veyle;55
200070563;CC Terres Touloises;90.6
200070571;CC Coeur de Berry;39.9
200070589;CC de Seille et Grand Couronné;31.3
200070647;CA Bergeracoise;107.9
200070662;CC Bretagne Porte de Loire Communauté;59.9
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;76.4
200070688;CC Couesnon Marches de Bretagne;72.7
200070712;CC Thiers Dore et Montagne;100
200070720;CC Médoc Atlantique;73.5
200070738;CC Mad et Moselle;51.4
200070746;CA Sarreguemines Confluences;103
200070753;CA Riom Limagne et Volcans;79
200070761;CC Ambert Livradois Forez;94.3
200070779;CC Brie des Rivières et Châteaux;38.8
200070787;CC du Plateau de Lannemezan;109.4
200070795;CC du Pays de Trie et du Magnoac;82.5
200070803;CC des Coteaux du Val d'Arros;34
200070811;CC Pyrénées Vallées des Gaves;97.2
200070829;CC Neste Barousse;60.3
200070845;CC Orne Lorraine Confluences;67.4
200070852;CC Usses et Rhône;38.8
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;85.3
200070902;CC Auxonne Pontailler Val de Saône;54.4
200070910;CC Tille et Venelle;111.2
200070928;CC Terre de Picardie;67.9
200070936;CC Ponthieu-Marquenterre;68
200070944;CC du Vimeu;95.6
200070951;CC du Territoire Nord Picardie;57.4
200070969;CC Avre Luce Noye;47.1
200070977;CC du Grand Roye;100.7
200070985;CC de l'Est de la Somme;90.3
200070993;CA de la Baie de Somme;116.4
200071017;CC des Terres d'Auxois;96.6
200071025;CC Haute-Provence - Pays de Banon;63
200071033;CC Jabron-Lure-Vançon-Durance;57
200071041;CC du Chaourçois et du Val d'Armance;54.9
200071058;CC Les Avant-Monts;50.6
200071066;CA de Saint-Dié-des-Vosges;88.2
200071074;CC Les Portes de l'Ile de France;35.8
200071082;CA Montluçon Communauté;120.6
200071116;CA ECLA (Espace Communautaire Lons Agglomération);153.2
