annee,lieu,valeur,territoryid
2024,CC de la Champagne Conlinoise et du Pays de Sillé,1717.0,200072718
2024,CC de la Champagne Picarde,912.0,240200576
2024,CC de la Châtaigneraie Cantalienne,1417.0,200066678
2024,CC de la Châtre et Sainte-Sévère,150.0,243600350
2024,"CC de la Cléry, du Betz et de l'Ouanne",491.0,200067668
2024,CC de la Costa Verde,15.0,200034205
2024,CC de la Côte d'Albâtre,4223.0,200069839
2024,CC de la Côtière à Montluel,2533.0,240100610
2024,CC de Lacq-Orthez,4066.0,200039204
2024,CC de la Dombes,1886.0,200069193
2024,CC de la Forêt,1162.0,244500484
2024,CC de la Gascogne Toulousaine,3914.0,200023620
2024,CC de l'Agglomération Migennoise,1267.0,248900383
2024,CC de la Grande Vallée de la Marne,451.0,245100615
2024,CC de la Haute Ariège,297.0,200066363
2024,CC de la Haute-Bigorre,2301.0,246500482
2024,CC de la Haute Comté,348.0,200041721
2024,CC de la Haute Saintonge,1678.0,200041523
2024,CC de la Haute Somme (Combles - Péronne - Roisel),1394.0,200037059
2024,CC de la Haute Vallée de Chevreuse,6401.0,200033173
2024,CC de l'Aillantais en Bourgogne,397.0,248900524
2024,CC de l'Aire à l'Argonne,366.0,200066140
2024,CC de l'Aire Cantilienne,10516.0,246000764
2024,CC de la Lomagne Gersoise,1099.0,243200391
2024,CC de la Lomagne Tarn-et-Garonnaise,390.0,248200065
2024,CC de l'Alsace Bossue,2632.0,200067841
2024,CC de l'Alta Rocca,118.0,242000495
2024,CC de la Marche Berrichonne,0.0,200007052
2024,CC de la Matheysine,439.0,200040657
2024,CC de la Moivre à la Coole,198.0,200043438
2024,CC de la Montagne Noire,121.0,200042463
2024,CC de la Mossig et du Vignoble,3560.0,200068864
2024,CC de la Muse et des Raspes du Tarn,6.0,241200914
2024,CC de la Picardie Verte,18862.0,246000848
2024,CC de la Pieve de l'Ornano et du Taravo,306.0,200038958
2024,CC de la Plaine de l'Ain,42335.0,240100883
2024,CC de la Plaine d'Estrées,2688.0,246000897
2024,CC de la Plaine Dijonnaise,800.0,200000925
2024,CC de la Plaine du Nord Loiret,286.0,244500542
2024,CC de la Plaine du Rhin,933.0,200041283
2024,CC de la Plaine Jurassienne,60.0,243901089
2024,CC de la Porte des Vosges Méridionales,1476.0,200068377
2024,CC de l'Arc Mosellan,1766.0,245701354
2024,CC de la Région d'Audruicq,2716.0,246200844
2024,CC de la Région de Bar sur Aube,138.0,241000405
2024,CC de la Région de Guebwiller,2384.0,246800569
2024,CC de la Région de Molsheim-Mutzig,11553.0,246701064
2024,CC de la Région de Rambervillers,252.0,200005957
2024,CC de la Région de Suippes,624.0,200042620
2024,CC de l'Argonne Ardennaise,425.0,240800920
2024,CC de l'Argonne Champenoise,347.0,200042703
2024,CC de la Sologne des Etangs,62.0,244100780
2024,CC de la Sologne des Rivières,240.0,244100806
2024,CC de la Station des Rousses-Haut Jura,1222.0,243900354
2024,CC de la Tenarèze,251.0,243200417
2024,CC de la Terre des Deux Caps,1094.0,246200380
2024,CC de la Thiérache du Centre,848.0,240200444
2024,CC de la Vallée de Chamonix-Mont-Blanc,4706.0,200023372
2024,CC de la Vallée de Kaysersberg,1586.0,246800551
2024,CC de la Vallée de la Bruche,2233.0,246700306
2024,CC de la Vallée de la Doller et du Soultzbach,974.0,246800676
2024,CC de la Vallée de la Haute Sarthe,190.0,200035103
2024,CC de la Vallée de l'Homme,97.0,200041168
2024,CC de la Vallée de l'Oise et des Trois Forêts,7933.0,249500455
2024,CC de la Vallée de Munster,401.0,246800585
2024,CC de la Vallée de Saint-Amarin,65.0,246800205
2024,CC de la Vallée de Villé,1007.0,246700777
2024,CC de la Vallée d'Ossau,451.0,246400337
2024,CC de la Vallée du Gapeau,2205.0,248300410
2024,CC de la Vallée du Garon (CCVG),7667.0,246900757
2024,CC de la Vallée du Lot et du Vignoble,39.0,244600433
2024,CC de la Vallée Verte,285.0,247400047
2024,CC de la Vanne et du Pays d'Othe,213.0,248900664
2024,CC de la Veyle,762.0,200070555
2024,CC de l'Ernée,9976.0,245300355
2024,CC de l'Est de la Somme,402.0,200070985
2024,CC de l'Est Lyonnais (CCEL),6876.0,246900575
2024,CC de l'Estuaire,327.0,243300811
2024,CC de Lévézou Pareloup,27.0,241200765
2024,CC de l'Ile de Noirmoutier,1192.0,248500191
2024,CC de l'Ile de Ré,1996.0,241700459
2024,CC de l'Ile d'Oléron,561.0,241700624
2024,CC de l'Ile-Rousse - Balagne,51.0,200073104
2024,CC de l'Oisans,407.0,243800745
2024,CC de l'Oise Picarde,10323.0,200068005
2024,CC de Londinières,65.0,247600604
2024,CC de l'Oriente,122.0,200015162
2024,CC de l'Orvin et de l'Ardusson,424.0,241000488
