Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200044014;CC Creuse Grand Sud;63.2
200044030;CC des 7 Vallées;67.3
200044048;CC Osartis Marquion;51.5
200044253;CC du Bassin de Joinville en Champagne;60.2
200044394;CC du Réolais en Sud Gironde;57.4
200044469;CC du Pays de Mirepoix;63.1
200044618;CA Douaisis Agglo;41.4
200044691;CA du Nord Grande Terre;53.4
200046977;Métropole de Lyon;37
200048551;CC du Pays de Craon;48.6
200049187;CA du Grand Verdun;44
200049211;CC Conflent-Canigó;61.7
200049484;CC Berry Grand Sud;61.2
200050532;CC de Petite-Terre;61.2
200054807;Métropole d'Aix-Marseille-Provence;39.4
200055481;CC Beauce Val de Loire;50.4
200055655;CA Roissy Pays de France;38.6
200055887;CC Mayenne Communauté;49.2
200056232;CA Communauté Paris-Saclay;41.6
200056380;CA Plaine Vallée;36.3
200057859;CA Coeur d'Essonne Agglomération;39
200057867;Plaine Commune;33.5
200057875;Est Ensemble;36.1
200057941;#ParisEstMarne&Bois;37.5
200057958;CA Paris - Vallée de la Marne;36.1
200057966;Vallée Sud-Grand Paris;41.8
200057974;Grand Paris Seine Ouest;39.2
200057982;Paris Ouest La Défense;39.9
200057990;Boucle Nord de Seine;39.2
200058006;Grand Paris Sud Est Avenir;36
200058014;Grand-Orly Seine Bièvre;36.7
200058097;Paris Terres d'Envol;33.4
200058360;CC Entre Beauce et Perche;45.1
200058477;CA Val d'Yerres Val de Seine;37.6
200058485;CA Val Parisis;36.2
200058519;CA Saint Germain Boucles de Seine;39.1
200058782;CA de Saint Quentin en Yvelines;38.9
200058790;Grand Paris Grand Est;36
200059228;CA Grand Paris Sud Seine Essonne Sénart;34.6
200059392;CC Bièvre Isère;45.8
200059400;CC Porte Océane du Limousin;50.2
200059871;CC du Centre-Ouest;74.8
200059889;CU Grand Paris Seine et Oise;41.2
200060010;CA Mauges Communauté;40.9
200060457;CA de Dembeni / Mamoudzou;62.8
200060465;CA du Grand Nord de Mayotte;69.9
200060473;CC du Sud;75.5
200065563;CC Normandie-Cabourg-Pays d'Auge;48
200065589;CC Val ès Dunes;42.4
200065597;CU Caen la Mer;39.5
200065647;CA Pays de Montbéliard Agglomération;40.5
200065787;CC de Pont-Audemer / Val de Risle;45.9
200065886;Loire Forez Agglomération (LFA);43.4
200065894;CC de Forez-Est;41.2
200065928;CA Lannion-Trégor Communauté;53.7
200066009;CA Mulhouse Alsace Agglomération;29.7
200066017;CC Lieuvin Pays d'Auge;52.5
200066025;CC Alsace Rhin Brisach;44.2
200066033;CC Sud Alsace Largue;52.2
200066041;CC Sundgau;42.7
200066058;CA Saint-Louis Agglomération;37.7
200066108;CC des Portes de Meuse;54.5
200066116;CC Argonne-Meuse;65.1
200066124;CA Gaillac-Graulhet;49.7
200066132;CC du Pays de Stenay et du Val Dunois;63
200066140;CC de l'Aire à l'Argonne;69.2
200066157;CC de Commercy - Void - Vaucouleurs;57.2
200066165;CC Val de Meuse - Voie Sacrée;61.9
200066173;CC de Damvillers Spincourt;68
