Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI (2025); ; 
Code;Libellé;Indicateur de dépendance économique 2022
200071942;CC Haut Limousin en Marche;155
200071967;CC Pays d'Evian Vallée d'Abondance;92
200071983;CC Thiérache Sambre et Oise;116
200071991;CC Retz en Valois;103
200072007;CC Montagne d'Ardèche;134
200072015;CA Annonay Rhône Agglo;114
200072023;CC Coeur de Charente;126
200072031;CA de la Région de Château-Thierry;109
200072049;CC de Charente Limousine;138
200072056;CC Porte du Jura;124
200072064;CC Val-de-Cher-Controis;130
200072072;CA Territoires Vendômois;126
200072080;CC du Pays de Saint-Eloy;140
200072098;CC Combrailles Sioule et Morge;105
200072106;CC Adour Madiran;134
200072130;CA du Pays de Meaux;89
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;118
200072312;CA Seine Normandie Agglomération;109
200072320;CC Val de Gers;131
200072346;CA du Pays de Fontainebleau;106
200072452;CA Fougères Agglomération;113
200072460;CA de Béthune-Bruay, Artois-Lys Romane;104
200072478;CC Pays d'Opale;105
200072544;CC des Deux Morin;104
200072635;CC Pyrénées Haut Garonnaises;145
200072643;CC Coeur et Coteaux du Comminges;135
200072650;CC Touraine Vallée de l'Indre;104
200072668;CC Touraine Val de Vienne;135
200072676;CC Maine Saosnois;125
200072684;CC Le Gesnois Bilurien;112
200072692;CC des Vallées de la Braye et de l'Anille;136
200072700;CC Haute Sarthe Alpes Mancelles;117
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;112
200072726;CC Châteaubriant-Derval;115
200072734;CC Estuaire et Sillon;100
200072825;CC Mirebellois et Fontenois;109
200072874;CC Val Briard;90
200072882;CC de Vie et Boulogne;100
200072981;CC Touraine Ouest Val de Loire;113
200072999;CC du Grand Langres;111
200073013;CC Carnelle Pays-de-France;94
200073096;CA Arche Agglo;109
200073104;CC de l'Ile-Rousse - Balagne;117
200073112;CC Sud Sarthe;127
200073120;CC Nebbiu - Conca d'Oro;118
200073138;CC Pasquale Paoli;133
200073146;CC Cagire Garonne Salat;128
200073161;CC Touraine-Est Vallées;110
200073237;CC de Gâtine-Racan;101
200073245;CC du Bassin d'Aubenas;125
200073252;CC de la Castagniccia-Casinca;106
200073260;CC Sud Vendée Littoral;138
200073344;CA Rambouillet Territoires;102
200073393;CC des Rives du Haut Allier;135
200073401;CC Mézenc-Loire-Meygal;122
200073419;CA du Puy-en-Velay;120
200073427;CC Marches du Velay-Rochebaron;110
200077014;CA Vienne Condrieu;103
200083392;CA Laval Agglomération;109
200084952;Le Havre Seine Métropole;107
200085728;CC Brioude Sud Auvergne;119
200085751;CC Entre Bièvre et Rhône;109
200089456;CA Seine-Eure;100
200090504;CA Coulommiers Pays de Brie;96
200090561;CC Vierzon-Sologne-Berry;131
200090579;CC Terre d'Émeraude Communauté;115
200090751;CA Grand Calais Terres et Mers;101
200093201;Métropole Européenne de Lille;88
200096634;CC des Hautes Vosges;128
200096642;CC Gérardmer Hautes Vosges;134
200096675;CC Baud Communauté;112
200096683;CC Centre Morbihan Communauté;109
200096956;CA Agglomération d'Agen;107
240100610;CC de la Côtière à Montluel;93
240100750;CA du Pays de Gex;76
240100800;CC de Miribel et du Plateau;98
240100883;CC de la Plaine de l'Ain;100
240100891;CC Terre Valserhône (CCTV);92
240200444;CC de la Thiérache du Centre;116
240200469;CC du Pays de la Serre;111
240200477;GrandSoissons Agglomération;119
240200493;CC du Pays du Vermandois;110
240200501;CC du Val de l'Aisne;106
240200519;CC du Canton d'Oulchy-le-Château;98
240200576;CC de la Champagne Picarde;103
240200584;CC du Canton de Charly-sur-Marne;108
240200592;CC du Chemin des Dames;106
240200600;CC des Trois Rivières;119
240200634;CC des Portes de la Thiérache;124
240300491;CC du Pays de Lapalisse;132
240300558;CC du Pays de Tronçais;151
240300566;CC du Val de Cher;119
240300657;CC du Pays d'Huriel;126
240400440;CC Pays Forcalquier et Montagne de Lure;137
240500439;CC du Briançonnais;101
240500462;CC du Pays des Ecrins;111
240600551;CA de la Riviera Française;104
240600585;CA de Sophia Antipolis;110
240600593;CC du Pays des Paillons;115
240700302;CC du Pays Beaume-Drobie;141
240700617;CC Val de Ligne;131
240700716;CC du Val d'Ay;124
240700815;CC Berg et Coiron;113
240700864;CC du Rhône aux Gorges de l'Ardèche;119
240800821;CC Ardenne, Rives de Meuse;110
240800847;CC des Portes du Luxembourg;110
240800862;CC des Crêtes Préardennaises;111
240800920;CC de l'Argonne Ardennaise;126
240900431;CC du Pays de Tarascon;131
240900464;CC du Pays d'Olmes;150
241000223;CC Forêts, Lacs, Terres en Champagne;107
241000405;CC de la Région de Bar sur Aube;122
241000447;CC du Pays d'Othe;128
241000488;CC de l'Orvin et de l'Ardusson;115
241100593;CA Le Grand Narbonne;125
241200187;CA Rodez Agglomération;105
241200542;CC du Réquistanais;150
241200567;CC de Millau Grands Causses;121
241200625;CC du Pays Rignacois;114
241200641;CC Conques-Marcillac;126
241200658;CC du Pays de Salars;109
241200674;CC du Plateau de Montbazens;131
241200765;CC de Lévézou Pareloup;132
241200807;CC Aveyron Bas Ségala Viaur;142
241200906;CC Larzac et Vallées;94
241200914;CC de la Muse et des Raspes du Tarn;135
241300375;CC Vallée des Baux-Alpilles (CC VBA);131
241300417;CA d'Arles-Crau-Camargue-Montagnette;113
241400415;CC Coeur Côte Fleurie;160
241400514;CC du Pays de Falaise;113
241400555;CC de Bayeux Intercom;128
241400860;CC Coeur de Nacre;144
241400878;CC Terre d'Auge;114
241500230;Aurillac Agglomération;114
241500255;CC du Pays Gentiane;148
241500271;CC du Pays de Mauriac;134
241501055;CC Sumène - Artense;141
241501089;CC Cère et Goul en Carladès;130
241501139;CC du Pays de Salers;150
241600303;CC du Rouillacais;117
241700434;CA de La Rochelle;112
241700459;CC de l'Ile de Ré;161
241700517;CC Coeur de Saintonge;114
241700624;CC de l'Ile d'Oléron;160
241700632;CC de Gémozac et de la Saintonge Viticole;119
241700640;CA Royan Atlantique;183
241700699;CC du Bassin de Marennes;137
241800374;CC la Septaine;93
241800424;CC le Dunois;126
241800432;CC les Trois Provinces;158
241800457;CC FerCher;120
241800507;CA Bourges Plus;113
241900133;CC de Ventadour - Egletons - Monédières;128
241927201;CA Tulle Agglo;122
241927243;CC du Pays d'Uzerche;113
242000354;CA de Bastia;100
242000495;CC de l'Alta Rocca;120
242000503;CC Celavu-Prunelli;96
242010056;CA du Pays Ajaccien;105
242010130;CC du Sartenais Valinco Taravo;113
242020071;CC du Centre Corse;93
242020105;CC de Calvi Balagne;93
242100154;CC des Vallées de la Tille et de l'Ignon;104
242100410;Dijon Métropole;92
242101434;CC du Pays Châtillonnais;131
242101442;CC de Saulieu-Morvan;137
242101459;CC du Pays d'Alésia et de la Seine;125
242101491;CC du Montbardois;131
242101509;CC Rives de Saône;111
242200715;CC du Kreiz-Breizh (CCKB);138
242300135;CC du Pays Sostranien;133
242320000;CC de Bénévent Grand Bourg;149
242320109;CC du Pays Dunois;155
242400752;CC Périgord-Limousin;143
242400935;CC du Pays de Saint Aulaye;152
242401024;CC Isle-Loue-Auvézère en Périgord;136
242500320;CC Entre Doubs et Loue;91
242500338;CC du Grand Pontarlier;91
242500361;CU Grand Besançon Métropole;98
242504116;CC du Val de Morteau;86
242504181;CC des Portes du Haut-Doubs;97
242504355;CC du Plateau de Russey;90
242504371;CC du Pays de Sancey-Belleherbe;124
242504447;CC du Doubs Baumois;114
242504488;CC Altitude 800;106
242504496;CC du Plateau de Frasne et du Val de Drugeon;88
242600252;CC du Val de Drôme en Biovallée;110
242600492;CC Dieulefit-Bourdeaux;142
242600534;CC du Diois;126
242700276;CC du Pays de Conches;109
242700607;CC du Pays du Neubourg;103
242852465;CC du Bonnevalais;116
242900074;CC du Pays d'Iroise;123
242900314;Brest Métropole;91
242900553;CC du Pays des Abers;110
242900561;CC de Haute Cornouaille;119
242900629;CC Cap Sizun - Pointe du Raz;167
242900645;CC Douarnenez Communauté;137
242900660;CC du Pays Fouesnantais;141
242900694;CA Quimperlé Communauté;122
242900702;CC du Pays Bigouden Sud;150
242900710;CC du Haut Pays Bigouden;119
242900744;CC Poher Communauté;126
242900751;CC du Pays de Landivisiau;100
242900769;CA Concarneau Cornouaille Agglomération;130
242900793;CC Communauté Lesneven Côte des Légendes;119
242900801;CA du Pays de Landerneau-Daoulas;106
242900835;CA Morlaix Communauté;128
243000270;CC du Pays Viganais;137
243000296;CC du Pays de Sommières;109
243000569;CC Rhony, Vistre, Vidourle;103
243000585;CC Beaucaire Terre d'Argence;109
243000593;CC de Petite Camargue;105
243000643;CA de Nîmes Métropole;109
243000650;CC Terre de Camargue;139
243000684;CC du Pont du Gard;108
243100518;Toulouse Métropole;74
243100567;CC Aux sources du Canal du Midi;124
243100633;CA du Sicoval;95
243100732;CC des Coteaux du Girou;95
243100773;CC Val'Aïgo;102
243100781;Le Grand Ouest Toulousain agglomération;92
243100815;CC des Coteaux Bellevue;100
243200391;CC de la Lomagne Gersoise;137
243200409;CC du Bas Armagnac;135
243200417;CC de la Tenarèze;146
243200425;CC Coeur d'Astarac en Gascogne;141
243200458;CC du Grand Armagnac;146
243200508;CC Bastides et Vallons du Gers;157
243200599;CC du Saves;125
243200607;CC Artagnan de Fezensac;141
243300316;Bordeaux Métropole;80
243300563;CA Bassin d'Arcachon Sud (COBAS);134
243300811;CC de l'Estuaire;118
243301165;CC Jalle-Eau-Bourde;109
243301181;CC Latitude Nord Gironde;95
243301215;CC du Créonnais;100
243301223;CC du Grand Cubzaguais;96
243301249;CC Les Rives de la Laurence;103
243301264;CC de Montesquieu;97
243301355;CC les Coteaux Bordelais;105
243301371;CC du Pays Foyen;144
243301389;CC Médullienne;93
243301397;CC du Fronsadais;105
243301405;CC du Val de l'Eyre;93
243301439;CC des Portes de l'Entre-Deux-Mers;104
243301447;CC Médoc Estuaire;99
243301454;CC Castillon/Pujols;118
243301504;CA du Bassin d'Arcachon Nord (COBAN);122
243400017;Montpellier Méditerranée Métropole;82
243400355;CC du Clermontais;115
243400470;CA du Pays de l'Or;124
243400488;CC la Domitienne;119
243400520;CA Lunel Agglo;105
243400694;CC Vallée de l'Hérault;107
243400736;CC des Cévennes Gangeoises et Suménoises;129
243400769;CA de Béziers-Méditerranée;124
243400819;CA Hérault-Méditerranée;135
243500139;Rennes Métropole;82
243500550;CC Montfort Communauté;99
243500618;CC Brocéliande Communauté;99
243500634;Roche aux Fées Communauté;106
243500659;CC Pays de Châteaugiron Communauté;89
243500667;CC Val d'Ille-Aubigné;92
243500725;CC Côte d'Emeraude;161
243500733;CC Bretagne Romantique;105
243500741;CA Redon Agglomération;118
243500774;CC Liffré-Cormier Communauté;95
243500782;CA du Pays de Saint Malo Agglomération;128
243600202;CC Chabris - Pays de Bazelle;140
243600236;CC du Pays d'Issoudun;124
243600293;CC Levroux Boischaut Champagne;127
243600301;CC Val de l'Indre - Brenne;120
243600319;CC Brenne - Val de Creuse;135
243600327;CA Châteauroux Métropole;118
243600343;CC Coeur de Brenne;160
243600350;CC de la Châtre et Sainte-Sévère;141
243700499;CC du Castelrenaudais;110
243700754;Tours Métropole Val de Loire;100
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;112
243800604;CA Porte de l'Isère (CAPI);95
243800745;CC de l'Oisans;94
243800935;CC Lyon-Saint-Exupéry en Dauphiné;100
243800984;CA du Pays Voironnais;109
243801024;CC du Massif du Vercors;115
243801073;CC de Bièvre Est;104
243801255;CC Collines Isère Nord Communauté;97
243900354;CC de la Station des Rousses-Haut Jura;75
243900420;CC du Val d'Amour;122
243900479;CC Haut-Jura Arcade Communauté;96
243900560;CC Jura Nord;102
243900610;CC la Grandvallière;102
243901089;CC de la Plaine Jurassienne;125
244000543;CC de Mimizan;137
244000659;CC du Seignanx;104
244000675;CA du Grand Dax;117
244000691;CC du Pays Morcenais;143
244000766;CC du Pays Tarusate;120
244000774;CC du Pays de Villeneuve en Armagnac Landais;122
244000808;CA Mont de Marsan Agglomération;102
244000824;CC du Pays Grenadois;118
244000857;CC Côte Landes Nature;131
244000865;CC Maremne Adour Côte Sud;112
244000873;CC des Grands Lacs;126
244000881;CC Coteaux et Vallées des Luys;133
244100293;CC des Collines du Perche;140
244100780;CC de la Sologne des Etangs;125
244100798;CC du Grand Chambord;116
244100806;CC de la Sologne des Rivières;146
244200614;CC des Vals d'Aix et Isable;124
244200622;CC des Monts du Pilat;118
244200630;CC du Pays Entre Loire et Rhône;115
244200770;Saint-Étienne Métropole;110
244200820;CC du Pays d'Urfé;130
244200895;CC du Pilat Rhodanien;104
244300307;CC Haut Pays du Velay;117
244301016;CC des Sucs;116
244301099;CC Auzon Communauté;121
244301107;CC du Haut Lignon;138
244301123;CC des Pays de Cayres et de Pradelles;136
244301131;CC Loire et Semène;110
244400404;Nantes Métropole;84
244400438;Grand Lieu Communauté;95
244400453;CC du Pays de Blain;102
244400503;CC d'Erdre et Gesvres;97
244400537;CC de Nozay;99
244400552;CC du Pays d'Ancenis;106
244400586;CC du Sud Estuaire;118
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);149
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);112
244500203;CA Montargoise et Rives du Loing (AME);121
244500211;CC Giennoises;122
244500419;CC des Quatre Vallées;120
244500427;CC des Loges;107
244500468;Orléans Métropole;99
244500484;CC de la Forêt;101
244500542;CC de la Plaine du Nord Loiret;99
244600433;CC de la Vallée du Lot et du Vignoble;160
244600482;CC Quercy - Bouriane;152
244600532;CC du Pays de Lalbenque-Limogne;136
244600573;CC du Causse de Labastide Murat;147
244700449;CC du Pays de Duras;141
244700464;CC du Pays de Lauzun;159
244701355;CC des Coteaux et Landes de Gascogne;140
244701405;CC Lot et Tolzac;136
244800405;CC Coeur de Lozère;101
244800470;CC du Gévaudan;121
244900015;CU Angers Loire Métropole;101
244900809;CC Anjou Bleu Communauté;118
244900882;CC Baugeois Vallée;119
245100615;CC de la Grande Vallée de la Marne;108
245100888;CC de la Brie Champenoise;118
245100979;CC du Sud Marnais;117
245200597;CC des Trois Forêts;128
245300223;CC du Pays de Meslay-Grez;107
245300355;CC de l'Ernée;118
245300389;CC du Bocage Mayennais;141
245300447;CC du Pays de Château-Gontier;120
245400171;CC Moselle et Madon;111
245400189;CC des Pays du Sel et du Vermois;107
245400262;Agglomération du Grand Longwy;92
245400510;CC du Pays de Colombey et du Sud Toulois;98
245400601;CC du Bassin de Pompey;110
245400676;Métropole du Grand Nancy;89
245400759;CC du Pays du Sanon;107
245500327;CC du Sammiellois;116
245501176;CC du Territoire de Fresnes-en-Woëvre;108
245501184;CC du Pays de Revigny-sur-Ornain;121
245501242;CC du Pays d'Étain;101
245501259;CC du Pays de Montmédy;94
245600440;CC Blavet Bellevue Océan;117
245600465;CC de Belle Ile en Mer;128
245614383;CC Questembert Communauté;117
245614417;CC Roi Morvan Communauté;134
245614433;CC Pontivy Communauté;117
245700133;CC du District Urbain de Faulquemont (DUF);104
245700372;CA de Forbach Porte de France;110
245700398;CC de Freyming-Merlebach;119
245700695;CC de Cattenom et Environs;78
245700950;CC du Pays de Phalsbourg;94
245701164;CC du Warndt;112
245701206;CC du Saulnois;112
245701222;CA du Val de Fensch;101
245701271;CC du Pays Orne Moselle;97
245701354;CC de l'Arc Mosellan;94
245701362;CA Portes de France-Thionville;89
245701404;CC du Pays Haut Val d'Alzette;86
245801063;CC Loire et Allier;111
245804406;CA de Nevers;122
245804497;CC du Nivernais Bourbonnais;119
245900428;CU de Dunkerque;107
245900758;CC Flandre Lys;106
245901038;CC du Pays Solesmois;107
245901152;CA Coeur d'Ostrevent;106
245901160;CA Valenciennes Métropole;100
246000129;CC du Liancourtois;96
246000376;CC du Clermontois;96
246000566;CC du Plateau Picard;98
246000582;CC des Sablons;98
246000707;CC du Vexin-Thelle;102
246000749;CC des Lisières de l'Oise;107
246000756;CC du Pays Noyonnais;109
246000764;CC de l'Aire Cantilienne;100
246000772;CC des Deux Vallées;106
246000848;CC de la Picardie Verte;107
246000855;CC du Pays des Sources;100
246000871;CC du Pays de Valois;93
246000897;CC de la Plaine d'Estrées;96
246000913;CC du Pays de Bray;105
246000921;CC des Pays d'Oise et d'Halatte;95
246100390;CC du Val d'Orne;123
246100663;CU d'Alençon;122
246200299;CA d'Hénin-Carvin;105
246200364;CA de Lens - Liévin;104
246200380;CC de la Terre des Deux Caps;103
246200729;CA du Boulonnais;110
246200844;CC de la Région d'Audruicq;99
246201016;CC du Pays de Lumbres;102
246300701;Clermont Auvergne Métropole;95
246300966;CC du Massif du Sancy;121
246301097;CC Entre Dore et Allier;106
246400337;CC de la Vallée d'Ossau;128
246401756;CC Pays de Nay;115
246500482;CC de la Haute-Bigorre;140
246500573;CC Aure Louron;106
246600282;CC Sud-Roussillon;142
246600373;CC du Vallespir;149
246600399;CC Pyrénées Cerdagne;103
246600415;CC Roussillon-Conflent;116
246600423;CC Agly Fenouillèdes;146
246600449;CC des Aspres;107
246600464;CC Pyrénées Catalanes;93
246600548;CC du Haut Vallespir;159
246700306;CC de la Vallée de la Bruche;109
246700488;Eurométropole de Strasbourg;86
246700744;CC des Portes de Rosheim;100
246700777;CC de la Vallée de Villé;111
246700843;CC de la Basse-Zorn;97
246700926;CC du Pays de Wissembourg;109
246700959;CC du Pays de la Zorn;101
246700967;CC de Sélestat;95
246701064;CC de la Région de Molsheim-Mutzig;97
246701080;CC du Pays de Sainte-Odile;98
246701098;CC du Pays de Niederbronn-les-Bains;107
246800205;CC de la Vallée de Saint-Amarin;124
246800395;CC du Val d'Argent;108
246800445;CC du Centre du Haut-Rhin;89
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;103
246800551;CC de la Vallée de Kaysersberg;114
246800569;CC de la Région de Guebwiller;105
246800577;CC du Pays de Ribeauvillé;107
246800585;CC de la Vallée de Munster;117
246800676;CC de la Vallée de la Doller et du Soultzbach;104
246800726;CA Colmar Agglomération;102
246900575;CC de l'Est Lyonnais (CCEL);102
246900625;CC du Pays de l'Arbresle (CCPA);100
246900724;CC des Vallons du Lyonnais (CCVL);103
246900740;CC du Pays Mornantais (COPAMO);103
246900757;CC de la Vallée du Garon (CCVG);111
246900765;CC du Pays de l'Ozon;106
247000011;CA de Vesoul;113
247000367;CC des Combes;120
247000623;CC des Quatre Rivières;135
247000664;CC du Pays de Lure;110
247000698;CC des Monts de Gy;106
247000706;CC du Pays Riolais;99
247000714;CC du Pays de Villersexel;119
247000722;CC du Pays d'Héricourt;111
247000755;CC du Pays de Luxeuil;113
247000821;CC Rahin et Chérimont;109
247000854;CC des 1000 étangs;126
247100290;CU Le Creusot Montceau-les-Mines;130
247100589;CA Le Grand Chalon;111
247100639;CC de Marcigny;146
247100647;CC Bresse Nord Intercom';144
247103765;CC Entre Saône et Grosne;118
247103864;CC de Semur en Brionnais;139
247104094;CC Sud Côte Chalonnaise;118
247200090;CC du Pays Sabolien;111
247200132;CU Le Mans Métropole;111
247200348;CC du Pays Fléchois;114
247200421;CC du Sud Est Manceau;112
247200447;CC Orée de Bercé - Belinois;111
247200629;CC du Val de Sarthe;107
247200686;Communauté de communes du Perche Emeraude;116
247300015;CC des Vallées d'Aigueblanche;99
247300254;CC de Haute-Tarentaise;82
247300262;CC de Yenne;111
247300361;CC du Canton de La Chambre;115
247300452;CC Maurienne Galibier;112
247300528;CC Val Guiers;111
247300668;CC du Lac d'Aiguebelette (CCLA);110
247300676;CC Porte de Maurienne;93
247300817;CC Les Versants d'Aime;94
247400047;CC de la Vallée Verte;88
247400112;CC du Pays de Cruseilles;79
247400567;CC Fier et Usses;89
247400583;CC Arve et Salève;86
247400617;CC des Vallées de Thônes;95
247400666;CC des Quatre Rivières;90
247400682;CC du Haut Chablais;92
247400690;CC du Genevois;75
247400724;CC du Pays Rochois;81
247400740;CC Rumilly Terre de Savoie;92
247400773;CC des Sources du Lac d'Annecy;111
247600505;CC Campagne-de-Caux;100
247600588;CC des Villes Soeurs;128
247600604;CC de Londinières;111
247600620;CC Yvetot Normandie;109
247600646;CC Caux - Austreberthe;108
247600729;CC Falaises du Talou;108
247600786;CA de la Région Dieppoise;129
247700032;CC Moret Seine et Loing;102
247700057;CA Melun Val de Seine;94
247700065;CC du Pays de l'Ourcq;96
247700107;CC Pays de Montereau;109
247700339;CA Val d'Europe Agglomération;76
247700594;CA Marne et Gondoire;79
247700644;CC l'Orée de la Brie;86
247700701;CC Brie Nangissienne;96
247800550;CC du Pays Houdanais (CCPH);100
247800584;CA Versailles Grand Parc (CAVGP);93
247800618;CC Coeur d'Yvelines;100
247900798;CC du Thouarsais;125
248000499;CC du Val de Somme;103
248000531;CA Amiens Métropole;91
248000747;CC du Pays du Coquelicot;109
248100158;CC du Sor et de l'Agout;113
248100430;CA de Castres Mazamet;127
248100497;CC Val 81;131
248100737;CA de l'Albigeois (C2A);119
248100745;CC Thoré Montagne Noire;149
248200016;CC des Deux Rives;122
248200057;CC du Quercy Caussadais;126
248200065;CC de la Lomagne Tarn-et-Garonnaise;139
248200099;CA Grand Montauban;108
248200107;Quercy Rouergue et des Gorges de l'Aveyron;150
248300394;CA Sud Sainte Baume;141
248300410;CC de la Vallée du Gapeau;103
248300493;Dracénie Provence Verdon Agglomération;114
248300543;Métropole Toulon-Provence-Méditerranée;114
248300550;CC Coeur du Var;108
248400053;CA Ventoux-Comtat-Venaissin (COVE);122
248400160;CC Aygues-Ouvèze en Provence (CCAOP);108
248400236;Pays d'Orange en Provence;112
248400251;CA du Grand Avignon (COGA);107
248400285;Communauté de Communes Sud Luberon;112
248400293;CA des Sorgues du Comtat;106
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;112
248400335;CC Vaison Ventoux;135
248500191;CC de l'Ile de Noirmoutier;165
248500258;CC Océan Marais de Monts;161
248500340;CC Pays de Chantonnay;109
248500415;CC du Pays de la Châtaigneraie;130
248500464;CC du Pays de Pouzauges;108
248500530;CC du Pays des Achards;104
248500563;CC Vendée, Sèvre, Autise;123
248500589;CA La Roche-sur-Yon - Agglomération;107
248500621;CC du Pays des Herbiers;99
248500662;CC du Pays de Mortagne;106
248600413;CA Grand Châtellerault;123
248600447;CC du Pays Loudunais;125
248700189;CC du Pays de Saint Yrieix;140
248719262;CC Gartempe - Saint Pardoux;135
248719288;CC du Val de Vienne;110
248719312;CU Limoges Métropole;106
248719338;CC Briance-Combade;135
248719353;CC des Portes de Vassivière;151
248719361;CC de Noblat;122
248900334;CA du Grand Sénonais;118
248900383;CC de l'Agglomération Migennoise;119
248900524;CC de l'Aillantais en Bourgogne;117
248900664;CC de la Vanne et du Pays d'Othe;120
248900748;CC du Gâtinais en Bourgogne;115
248900896;CC Yonne Nord;109
248900938;CC du Jovinien;121
249000241;CC du Sud Territoire;102
249100074;CC du Pays de Limours (CCPL);99
249100157;CC des 2 Vallées;110
249100546;CC du Val d'Essonne (CCVE);94
249100553;CC Entre Juine et Renarde (CCEJR);94
249100595;CC le Dourdannais en Hurepoix (CCDH);100
249500109;CA de Cergy-Pontoise;85
249500430;CC Sausseron Impressionnistes;101
249500455;CC de la Vallée de l'Oise et des Trois Forêts;101
249500489;CC du Haut Val d'Oise;91
249500513;CC du Vexin-Val de Seine;98
249710047;CC de Marie-Galante;134
249710062;CA du Nord Basse-Terre;106
249710070;CA Grand Sud Caraïbe;123
249720053;CA de l'Espace Sud de la Martinique;107
249720061;CA du Centre de la Martinique;105
249730037;CC de l'Ouest Guyanais;121
249730045;CA du Centre Littoral;97
249730052;CC de l'Est Guyanais;89
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);94
249740085;CA du Sud;99
249740093;CA Intercommunale de la Réunion Est (CIREST);102
249740101;CA Territoire de la Côte Ouest (TCO);90
249740119;CA Intercommunale du Nord de la Réunion (CINOR);95
