Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI (2025); ; 
Code;Libellé;Indicateur de dépendance économique 2022
200041051;CC Vallée de la Dordogne et Forêt Bessède;139
200041150;CC Terrassonnais Haut Périgord Noir;130
200041168;CC de la Vallée de l'Homme;144
200041283;CC de la Plaine du Rhin;91
200041317;CA du Niortais;105
200041325;CC du Pays Rhénan;96
200041333;CC de Parthenay-Gâtine;130
200041366;CC Rhône Crussol;116
200041416;CC Airvaudais-Val du Thouet;133
200041440;CC de Domme- Villefranche du Périgord;147
200041465;CC Val Eyrieux;138
200041499;CC Aunis Atlantique;99
200041507;CA La Riviéra du Levant;105
200041515;CC du Bassin de Pont-à-Mousson;103
200041523;CC de la Haute Saintonge;130
200041556;CC Portes de la Creuse en Marche;152
200041572;CC Dronne et Belle;133
200041614;CC Aunis Sud;112
200041622;CC Ardennes Thiérache;111
200041630;Ardenne Métropole;111
200041689;Vals de Saintonge Communauté;133
200041721;CC de la Haute Comté;124
200041762;CA Rochefort Océan;121
200041788;CA du Pays Nord Martinique;120
200041853;CC du Pays de Montbozon et du Chanois;114
200041861;CC du Triangle Vert;112
200041879;CC Terres de Saône;114
200041887;CC du Val Marnaysien;107
200041960;CC Pévèle-Carembault;100
200041994;CC Haut Val de Sèvre;104
200042000;CC Bruyères-Vallons des Vosges;115
200042174;CA Lorient Agglomération;117
200042182;CC du Mont des Avaloirs;134
200042190;CA de la Porte du Hainaut;105
200042372;CC des Coteaux Arrats Gimone;120
200042414;CC Bresse Revermont 71;134
200042463;CC de la Montagne Noire;137
200042497;CC Dombes Saône Vallée;99
200042604;CC de Granville, Terre et Mer;152
200042620;CC de la Région de Suippes;95
200042646;CC Grand Orb Communauté de Communes en Languedoc;142
200042653;CC Sud-Hérault;129
200042703;CC de l'Argonne Champenoise;129
200042729;CC de la Baie du Cotentin;122
200042901;CC Drôme Sud Provence;112
200042935;CA Haut-Bugey Agglomération;106
200042943;CC du Cap Corse;132
200042992;CC Perthois-Bocage et Der;127
200043016;CC Val de Charente;143
200043065;CC du Val d'Amboise;119
200043081;CC Chinon, Vienne et Loire;123
200043123;CC Auray Quiberon Terre Atlantique;130
200043156;CC du Pays Rethélois;110
200043172;CA du Bassin de Brive;119
200043263;CC Coeur de l'Avesnois;109
200043321;CC du Pays de Mormal;106
200043354;CC de Villedieu Intercom;124
200043396;CA Maubeuge Val de Sambre;110
200043404;CC du Sud Avesnois;121
200043438;CC de la Moivre à la Coole;110
200043495;CA du Pays de Laon;107
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;147
200043628;CC des Vallées du Clain;101
200043693;CC Terre Lorraine du Longuyonnais;100
200043776;CC Pyrénées audoises;157
200043974;CC du Sud Gironde;111
200043982;CC du Bazadais;126
200043990;CC Vallons de Haute-Bretagne Communauté;96
200044014;CC Creuse Grand Sud;135
200044030;CC des 7 Vallées;121
200044048;CC Osartis Marquion;103
200044253;CC du Bassin de Joinville en Champagne;127
200044394;CC du Réolais en Sud Gironde;115
200044469;CC du Pays de Mirepoix;130
200044618;CA Douaisis Agglo;106
200044691;CA du Nord Grande Terre;116
200046977;Métropole de Lyon;85
200048551;CC du Pays de Craon;120
200049187;CA du Grand Verdun;111
200049211;CC Conflent-Canigó;140
200049484;CC Berry Grand Sud;155
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054781;Métropole du Grand Paris;79
200054807;Métropole d'Aix-Marseille-Provence;99
200055481;CC Beauce Val de Loire;113
200055655;CA Roissy Pays de France;92
200055887;CC Mayenne Communauté;116
200056232;CA Communauté Paris-Saclay;86
200056380;CA Plaine Vallée;95
200057859;CA Coeur d'Essonne Agglomération;89
200057958;CA Paris - Vallée de la Marne;90
200058360;CC Entre Beauce et Perche;106
200058477;CA Val d'Yerres Val de Seine;100
200058485;CA Val Parisis;91
200058519;CA Saint Germain Boucles de Seine;92
200058782;CA de Saint Quentin en Yvelines;91
200059228;CA Grand Paris Sud Seine Essonne Sénart;90
200059392;CC Bièvre Isère;111
200059400;CC Porte Océane du Limousin;123
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;95
200060010;CA Mauges Communauté;106
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;133
200065589;CC Val ès Dunes;108
200065597;CU Caen la Mer;96
200065647;CA Pays de Montbéliard Agglomération;116
200065787;CC de Pont-Audemer / Val de Risle;112
200065886;Loire Forez Agglomération (LFA);112
200065894;CC de Forez-Est;118
200065928;CA Lannion-Trégor Communauté;145
200066009;CA Mulhouse Alsace Agglomération;101
200066017;CC Lieuvin Pays d'Auge;116
200066025;CC Alsace Rhin Brisach;96
200066033;CC Sud Alsace Largue;100
200066041;CC Sundgau;100
200066058;CA Saint-Louis Agglomération;89
200066108;CC des Portes de Meuse;116
200066116;CC Argonne-Meuse;126
200066124;CA Gaillac-Graulhet;119
200066132;CC du Pays de Stenay et du Val Dunois;133
200066140;CC de l'Aire à l'Argonne;128
200066157;CC de Commercy - Void - Vaucouleurs;115
200066165;CC Val de Meuse - Voie Sacrée;114
200066173;CC de Damvillers Spincourt;103
200066223;CC Arize Lèze;122
200066231;CC des Portes d'Ariège Pyrénées;105
200066280;CC du Pithiverais;107
200066322;CC Terres des Confluences;120
200066330;CC Terres du Haut Berry;115
200066348;CC du Minervois au Caroux;145
200066355;CA Sète Agglopôle Méditerranée;126
200066363;CC de la Haute Ariège;135
200066371;CC Causses et Vallée de la Dordogne;135
200066389;CA Saint-Lô Agglo;114
200066405;CC Roumois Seine;108
200066413;CC Intercom Bernay Terres de Normandie;120
200066462;CC Interco Normandie Sud Eure;118
200066512;CC Élan Limousin Avenir Nature;114
200066520;CC Ouest Limousin;138
200066553;CC du Haut-Languedoc;135
200066561;CC Sidobre Vals et Plateaux;124
200066587;CC des Monts du Lyonnais;108
200066603;CC du Pays de Lubersac-Pompadour;141
200066637;CC Hautes Terres;143
200066645;CC Vézère-Monédières-Millesources;173
200066652;CC Grand Sud Tarn-et-Garonne;98
200066660;CC de Saint-Flour;123
