Observatoire des territoires - ANCT; ; 
Référentiel géographique : Bassins de vie (2012); ; 
Code;Libellé;Distance moyenne entre le domicile et le travail selon la CSP
30258;Saint-Gilles;24.6
30263;Saint-Hippolyte-du-Fort;24.2
30269;Saint-Jean-du-Gard;32.7
30321;Sommières;35.3
30334;Uzès;30.8
30341;Vauvert;22.5
30344;Vergèze;26.9
30350;Le Vigan;22.1
31020;Aspet;32.1
31033;Auterive;28.5
31042;Bagnères-de-Luchon;19.7
31066;Bessières;30.6
31080;Boulogne-sur-Gesse;25.8
31098;Cadours;30.4
31106;Caraman;36.7
31107;Carbonne;31.9
31118;Castelnau-d'Estrétefonds;26.7
31135;Cazères;35.4
31187;Fonsorbes;24.5
31202;Fronton;28.2
31232;Grenade;27.2
31239;L'Isle-en-Dodon;28.4
31324;Martres-Tolosane;38.8
31358;Montastruc-la-Conseillère;29.5
31375;Montesquieu-Volvestre;40.6
31390;Montréjeau;29.3
31396;Nailloux;30.4
31451;Revel;23.5
31454;Rieumes;29.9
31483;Saint-Gaudens;21.2
31499;Saint-Lys;29.6
31523;Salies-du-Salat;27
31555;Toulouse;19.3
31572;Venerque;26.9
31573;Verfeil;30.3
31582;Villefranche-de-Lauragais;32.3
31584;Villemur-sur-Tarn;32.8
32013;Auch;17.8
32096;Cazaubon;21
32107;Condom;17.3
32119;Eauze;25.6
32132;Fleurance;19.6
32147;Gimont;26.4
32160;L'Isle-Jourdain;29.5
32208;Lectoure;26.8
32213;Lombez;31
32233;Marciac;28.5
32242;Masseube;23.5
32249;Mauvezin;30.7
32256;Mirande;20.4
32296;Nogaro;18.5
32319;Plaisance;19.1
32344;Riscle;19.5
32410;Samatan;28.4
32462;Vic-Fezensac;23.8
33005;Andernos-les-Bains;38.7
33011;Arès;24.5
33036;Bazas;36.9
33051;Biganos;34.8
33058;Blaye;27.6
33063;Bordeaux;22
33067;Bourg;32
33081;Cadillac;22.9
33104;Castelnau-de-Médoc;31.3
33108;Castillon-la-Bataille;22.7
33123;Cézac;36.4
33138;Coutras;27.4
33140;Créon;30.8
33213;La Brède;28.6
33214;Lacanau;45.6
33227;Langon;32.5
33236;Lège-Cap-Ferret;30.7
33240;Lesparre-Médoc;29.6
33243;Libourne;22.9
33289;Monségur;21.5
33314;Pauillac;20.2
33327;Podensac;27.5
33334;Portets;31.2
33352;La Réole;31.1
33366;Saint-André-de-Cubzac;28.3
33389;Saint-Ciers-sur-Gironde;22.3
33478;Saint-Seurin-sur-l'Isle;29.8
