Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
200067783;CC de Hanau-La Petite Pierre;63.4
200067791;CA L'Agglo Foix-Varilhes;78.6
200067817;CC Saône-Beaujolais;54.7
200067825;CA Gap-Tallard-Durance;79.2
200067841;CC de l'Alsace Bossue;56.2
200067866;CC Sèvre et Loire;55.2
200067874;CA de Haguenau;62.3
200067882;CC Bazois Loire Morvan;62.7
200067890;CC Morvan Sommets et Grands Lacs;70.8
200067908;CC Amognes Coeur du Nivernais;62.9
200067916;CC Coeur de Loire;63.3
200067924;CC du Canton d'Erstein;51.3
200067932;CA Golfe du Morbihan - Vannes Agglomération;71.1
200067940;CC Couserans-Pyrénées;75.2
200067957;CC Haut Chemin - Pays de Pange;59.9
200067965;CA de la Région de Compiègne et de la Basse Automne;61.9
200067973;CC Thelloise;64.4
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;65.9
200067999;CA du Beauvaisis;68.7
200068005;CC de l'Oise Picarde;63.4
200068047;CA Creil Sud Oise;74.3
200068070;CC Loue-Lison;53.9
200068088;CC Les Bertranges;74.3
200068096;CC Champsaur-Valgaudemar;80.4
200068104;CA de la Provence Verte;73
200068112;CC du Pays de Saverne;55.6
200068120;CA Quimper Bretagne Occidentale;67.9
200068146;CC Sarrebourg Moselle Sud;69
200068229;CC des Baronnies en Drôme Provençale;66.1
200068278;CC Berry Loire Puisaye;60.4
200068294;CC des Deux Vallées Vertes;58.5
200068369;CC de Mirecourt Dompaire;66.4
200068377;CC de la Porte des Vosges Méridionales;67.4
200068435;CC Coeur du Perche;55.2
200068443;CC Andaine - Passais;48.5
200068450;Terres d'Argentan Interco;66.5
200068468;CC des Pays de L'Aigle;64.1
200068484;CC des Causses à l'Aubrac;66.9
200068500;CA de Cambrai;65.5
200068534;CC Terroir de Caux;56.1
200068542;CC Les Balcons du Dauphiné;60.3
200068559;CC de l'Ouest Vosgien;64.7
200068567;CC Les Vals du Dauphiné;59.5
200068625;CC Alpes-Provence-Verdon "Sources de lumière";80.2
200068641;CA Le Muretain Agglo;74
200068658;CA de Chaumont;70.4
200068666;CA du Grand Saint-Dizier Der et Vallées;67.2
200068674;CA Grand Lac;62
200068682;CC Terre d'Eau;60
200068757;CA d'Epinal;68
200068765;CC du Sisteronais-Buëch;66.5
200068773;CC des Vosges côté Sud Ouest;65.6
200068781;CA Valence Romans Agglo;62.6
200068799;CC Intercom de la Vire au Noireau;52.2
200068807;CC du Bassin Auterivain Haut-Garonnais;69.1
200068815;CC Coeur de Garonne;66.8
200068831;Pays Ségali Communauté;54.3
200068856;CC des Hauts du Perche;51.9
200068864;CC de la Mossig et du Vignoble;54.8
200068872;CC Éguzon - Argenton - Vallée de la Creuse;61.9
200068880;CC Champagne Boischauts;56.7
200068914;CC La Rochefoucauld Porte du Périgord;64.3
200068922;CC du Confluent et des Coteaux de Prayssas;49.3
200068930;CC Fumel Vallée du Lot;67
200068948;CC Albret Communauté;57.2
200068955;CC Anjou Loir et Sarthe;45.9
200068963;CC Maine Coeur de Sarthe;62.2
200068989;CA Dinan Agglomération;67
200068997;CA Arlysère;68.2
200069003;CC du Barséquanais en Champagne;40
200069029;CA des Deux Baies en Montreuillois;78.9
200069037;CA du Pays de Saint-Omer;59.7
200069052;CA Grand Belfort;68.4
200069060;CC des Vosges du Sud;62.4
200069086;CC Leff Armor Communauté;63.7
200069094;CC Isle et Crempse en Périgord;71.6
200069102;CC Randon - Margeride;60.9
200069110;CA du Grand Chambéry;71.9
200069128;CC Mont Lozère;75.4
200069136;CC des Cévennes au Mont Lozère;64.7
200069144;CC des Hautes Terres de l'Aubrac;50.3
200069151;CC Gorges Causses Cévennes;71.8
200069169;CC Dômes Sancy Artense;57.3
200069177;CC Mond'Arverne Communauté;72.6
200069185;CC des Terres d'Apcher-Margeride-Aubrac;69
200069193;CC de la Dombes;60.5
200069227;CC Pays Fort Sancerrois Val de Loire;49.9
200069235;CC du Haut Pays du Montreuillois;62.8
200069250;CA Troyes Champagne Métropole;66.9
200069268;CC Aubrac Lot Causses Tarn;55.4
200069300;CA Tarbes-Lourdes-Pyrénées;73.3
200069383;Ouest Aveyron Communauté;65.1
200069391;CA Lamballe Terre et Mer;52.2
200069409;CA Saint-Brieuc Armor Agglomération;70.4
200069417;CC Pays d'Orthe et Arrigans;57.4
200069425;CA Mont-Saint-Michel-Normandie;61.7
200069433;CC de Vezouze en Piémont;62.3
200069441;CC du Pays de Bitche;73.5
200069458;CC des Vallées d'Auge et du Merlerault;52.8
200069482;CC des Campagnes de l'Artois;56.3
200069516;CC Seulles Terre et Mer;61.4
200069524;CC Pré-Bocage Intercom;61.4
200069532;CA Lisieux Normandie;61.7
200069540;CC Norge et Tille;62.5
200069565;CC des Lacs et Montagnes du Haut-Doubs;70.2
200069581;CC Convergence Garonne;60.9
200069599;CC Rurales de l'Entre-Deux-Mers;49.5
200069615;CC Bresse Haute Seille;56.6
200069623;CC Champagnole Nozeroy Jura;61
200069631;CC Terres de Chalosse;60.4
200069649;CC Chalosse Tursan;50.5
200069656;CC Coeur Haute Lande;52.4
200069664;CC Meuse Rognon;52.4
200069672;CC du Ternois;59.4
200069698;CC Mâconnais - Tournugeois;61.4
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;38.1
200069730;CC des Quatre Rivières en Bray;59.1
200069748;CC Val de Gâtine;54.6
200069755;CC Mellois en Poitou;62.5
200069763;CC du Haut Poitou;62.3
200069821;CA Fécamp Caux Littoral Agglomération;74.4
200069839;CC de la Côte d'Albâtre;51.8
200069847;CC Plateau de Caux;62.5
200069854;CU du Grand Poitiers;73.9
200069912;CC des Forêts du Perche;58.6
200069953;CC des Portes Euréliennes d'Ile de France;48.6
200069961;CC du Grand Châteaudun;63.2
200069995;CC Médoc Coeur de Presqu'île;54.3
200070035;CC du Civraisien en Poitou;63.6
200070043;CC Vienne et Gartempe;58.6
200070068;CC Bray-Eawy;67.3
200070092;CA du Libournais;67.3
200070100;CC du Val de Sully;40.5
200070118;CC Val de Saône Centre;50.7
200070126;CC Seine et Aube;49.8
200070142;CC Lyons Andelle;51.2
200070159;CC Coeur de Beauce;40
200070167;CC Terres de Perche;65.6
200070183;CC des Terres du Val de Loire;61.1
200070233;CA Terres de Montaigu;43.7
200070282;CC Lavalette Tude Dronne;66.2
200070290;CC Coeur du Pays Haut;79.1
200070308;CA Mâconnais Beaujolais Agglomération;66.1
200070316;CC Entre Arroux, Loire et Somme;49.9
200070324;CC du Territoire de Lunéville à Baccarat;73.8
200070332;CC des Savoir-Faire;70.1
200070340;CC Haute Maurienne Vanoise;81.4
200070365;CC Corbières Salanque Méditerranée;70.8
200070373;CC Loir-Lucé-Bercé;64
200070407;CA Agglo Pays d'Issoire;61.9
200070431;CC Saint-Marcellin Vercors Isère Communauté;59.8
200070449;CC Inter-Caux-Vexin;64.7
200070464;CC Coeur de Maurienne Arvan;72.4
200070506;CC Pays de Nexon Monts de Chalus;63.1
200070514;CA du Grand Cognac;49.7
200070530;CC du Grand Autunois Morvan;66.1
200070548;CC Brionnais Sud Bourgogne;60.4
200070555;CC de la Veyle;53.8
200070563;CC Terres Touloises;64.9
200070571;CC Coeur de Berry;49.7
200070589;CC de Seille et Grand Couronné;65.2
200070647;CA Bergeracoise;71.1
200070662;CC Bretagne Porte de Loire Communauté;58.5
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;68.8
200070688;CC Couesnon Marches de Bretagne;51
200070712;CC Thiers Dore et Montagne;56.2
200070720;CC Médoc Atlantique;77.2
200070738;CC Mad et Moselle;70.3
200070746;CA Sarreguemines Confluences;58.5
200070753;CA Riom Limagne et Volcans;59.3
200070761;CC Ambert Livradois Forez;59.3
200070779;CC Brie des Rivières et Châteaux;63.6
200070787;CC du Plateau de Lannemezan;75.1
200070795;CC du Pays de Trie et du Magnoac;64.1
200070803;CC des Coteaux du Val d'Arros;70.7
