Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux d'évolution annuel du nombre de logements sociaux (RPLS) 2019-2023
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;7.3
200023794;CC de Blaye;3.8
200023919;CC Gâtinais Val de Loing;0.1
200026573;CC Haut-Jura Saint-Claude;-0.2
200027027;CC Arc Sud Bretagne;1.7
200027076;CC Arnon Boischaut Cher;-0.2
200027100;CC Méditerranée Porte des Maures;5.1
200027183;CU Perpignan Méditerranée Métropole;1.5
200027217;CC Sarlat-Périgord Noir;0.2
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;0.5
200027548;CC des Savanes;1
200029734;CC des 4B Sud Charente;0.8
200029999;CC Rives de l'Ain - Pays du Cerdon;2.2
200030195;Métropole Nice Côte d'Azur;2.3
200030385;CA de Blois ''Agglopolys'';0.1
200030435;CC d'Aire-sur-l'Adour;-0.2
200030526;CC du Ried de Marckolsheim;0.5
200030633;CA du Caudrésis et du Catésis;0
200030658;CC du Trièves;0.3
200030674;CA Val de Garonne Agglomération;0.6
200032514;CC Berry-Loire-Vauvise;-1.2
200033025;CA de Bar-le-Duc - Sud Meuse;-2
200033090;CC Plaines et Monts de France;20.8
200033116;CC Cluses-Arve et Montagnes;1.9
200033173;CC de la Haute Vallée de Chevreuse;3.4
200033181;CA Chartres Métropole;0.2
200033298;CC des Coëvrons;0.4
200033579;CU d'Arras;0.8
200033827;CC de Fium'Orbu Castellu;-2.7
200033868;CC des Ballons des Hautes-Vosges;-1.4
200034023;CC Tarn-Agout;3.2
200034031;CC des Monts d'Alban et du Villefranchois;1
200034049;CC Centre Tarn;-0.8
200034056;CC du Lautrécois et du Pays d'Agout;0
200034064;CC du Cordais et du Causse;0.3
200034098;CC des Montagnes du Giffre;-0.1
200034130;CC Gally Mauldre;5.5
200034197;CC de Montaigne Montravel et Gurson;-0.4
200034205;CC de la Costa Verde;0
200034270;CC du Pays de Barr;3
200034379;CC Pays d'Uzès;-0.3
200034411;CC du Piémont Cévenol;0
200034601;CC Causses Aigoual Cévennes;-6.4
200034635;CC du Kochersberg;1
200034692;CA du Gard Rhodanien;1.7
200034700;CA Durance-Lubéron-Verdon Agglomération;3.3
200034718;CC de Vitry, Champagne et Der;-1.8
200034726;CC Bastides de Lomagne;2.7
200034825;CA du Grand Guéret;0.1
200034833;CC des Bastides Dordogne-Périgord;-0.3
200034874;CC Côtes de Meuse Woëvre;-1.1
200034882;CC Pays du Mont-Blanc;1.5
200034957;CC du Frontonnais;5.4
200035087;CA Terre de Provence;3.7
200035103;CC de la Vallée de la Haute Sarthe;0.5
200035111;CC des Sources de l'Orne;0.1
200035129;CC de Cèze Cévennes;0.2
200035137;CC Marche Occitane - Val d'Anglin;-0.6
200035202;CC Charlieu-Belmont;-0.8
200035319;Estérel Côte d'Azur Agglomération;3.7
200035327;CC Cazals-Salviac;0
200035442;CC du Sud Artois;-0.3
200035533;CC du Grand Saint Emilionnais;0.7
200035541;CC des Landes d'Armagnac;0
200035632;CC Armagnac Adour;-0.6
200035707;CC Piège Lauragais Malepère;4.7
200035715;CA Carcassonne Agglo;0.6
200035723;CC Ventoux Sud;-1.1
200035731;CA Roannais Agglomération;-0.1
200035756;CC Astarac Arros en Gascogne;1
200035764;CC de la Beauce Loirétaine;0.7
200035772;CC du Pays du Saintois;-1.4
200035814;CA Flers Agglo;0.2
200035848;CC du Châtillonnais en Berry;-0.3
200035855;CC Castelnaudary Lauragais Audois;3.1
200035863;CC Région Lézignanaise, Corbières et Minervois;0.6
200035970;CC Vexin Centre;3.5
200036069;CC du Pays de Mortagne-au-Perche;0.5
200036077;CC du Golfe de Saint-Tropez;2.3
200036135;CC Coeur de France;0
200036150;CC des Hauts du Val de Saône;-0.7
200036465;CC de Thann-Cernay;0.3
200036473;CA "Saintes - Grandes Rives - L'Agglo";0.2
200036499;CC de Marana-Golo;2.9
200036523;CC des Bastides en Haut Agenais Périgord;-0.3
200036549;CC Val de Gray;0.5
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);-0.2
200037133;CC du Provinois;-0.2
200038958;CC de la Pieve de l'Ornano et du Taravo;0
200038990;CC de Saint-Méen Montauban;0.9
200039022;CA Vitré Communauté;0.8
200039055;CC Ouche et Montagne;-2.9
200039063;CC Forêts, Seine et Suzon;-1.6
200039204;CC de Lacq-Orthez;0.2
200039519;CC du Quercy Blanc;-2.1
200039642;CC Le Tonnerrois en Bourgogne;-0.2
200039709;CC du Serein;-1.2
200039758;CC Avallon, Vézelay, Morvan;0.6
200039808;CC des Gorges de l'Ardèche;2.8
200039824;CC Ardèche des Sources et Volcans;0.7
200039832;CC Pays des Vans en Cévennes;0
200039857;CA du Pays de Grasse;3.2
200039865;Metz Métropole;0.7
200039907;CC du Sud Messin;1.2
200039915;CA Cannes Pays de Lérins;1.6
200039931;CC Alpes d'Azur;-0.2
200039949;CC Rives de Moselle;1.9
200040038;CC Saône Doubs Bresse;1.1
200040095;CC Isle Vern Salembre en Périgord;0.2
200040111;CC Coeur de Chartreuse;-0.1
200040137;CC des Lacs de Champagne;-0.7
200040178;CC de l'Outre-Forêt;-2.5
200040202;CC Provence Verdon;0
200040210;CC Lacs et Gorges du Verdon;0
200040244;CA du Bocage Bressuirais;-0.5
200040251;CC Bassée-Montois;-0.2
200040277;CA Agglo du Pays de Dreux;0.4
200040293;CC du Clunisois;0.1
200040350;CC Bugey Sud;0.2
200040384;CC Isle Double Landais;1.1
200040392;CA Le Grand Périgueux;0.8
200040400;CC du Périgord Ribéracois;-0.1
200040418;CC du Pays de Serres en Quercy;-2
200040426;CC du Val de l'Oise;1.3
200040442;CA Luberon Monts de Vaucluse;0.3
200040459;CA Montélimar Agglomération;1.2
200040475;LBN Communauté;0.5
200040491;CC Porte de Dromardèche;-0.1
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;0.2
200040558;CC Écueillé-Valençay;-1.5
200040566;CA de l'Ouest Rhodanien;-1.6
200040574;CC Beaujolais Pierres Dorées;8.5
200040590;CA Villefranche Beaujolais Saône;0.4
200040624;CC Pays d'Apt-Luberon;0.4
200040657;CC de la Matheysine;-0.1
200040681;CC Enclave des Papes - Pays de Grignan;0.5
200040715;Grenoble-Alpes-Métropole;1.5
200040764;CC du Sud Corse;0.5
200040772;CC du Perche et Haut Vendômois;-2.7
200040798;CC Val Vanoise;-0.2
200040814;CC Briance Sud Haute Vienne;0.7
200040830;CC du Pays de Fénelon;0.4
200040889;CC de Portes Sud Périgord;0.4
200040905;CC Carmausin-Ségala;-0.5
200040947;CA Coeur de Flandre;2.3
200040954;CC des Hauts de Flandre;0.4
200041010;CC Coeur de Savoie;0.2
200041051;CC Vallée de la Dordogne et Forêt Bessède;0
200041150;CC Terrassonnais Haut Périgord Noir;-0.2
200041168;CC de la Vallée de l'Homme;0.5
200041283;CC de la Plaine du Rhin;-0.5
200041317;CA du Niortais;0.5
200041325;CC du Pays Rhénan;-0.2
200041333;CC de Parthenay-Gâtine;-1.3
200041366;CC Rhône Crussol;3.5
200041416;CC Airvaudais-Val du Thouet;0.3
200041440;CC de Domme- Villefranche du Périgord;0.4
200041465;CC Val Eyrieux;0
200041499;CC Aunis Atlantique;0.4
200041507;CA La Riviéra du Levant;0.2
200041515;CC du Bassin de Pont-à-Mousson;-0.2
200041523;CC de la Haute Saintonge;0
200041556;CC Portes de la Creuse en Marche;-0.6
200041572;CC Dronne et Belle;-0.2
200041614;CC Aunis Sud;-0.6
200041622;CC Ardennes Thiérache;0
200041630;Ardenne Métropole;0.5
200041689;Vals de Saintonge Communauté;0.2
200041721;CC de la Haute Comté;-0.6
200041762;CA Rochefort Océan;0.8
200041788;CA du Pays Nord Martinique;1.2
200041853;CC du Pays de Montbozon et du Chanois;0
200041861;CC du Triangle Vert;0.9
200041879;CC Terres de Saône;-0.1
200041887;CC du Val Marnaysien;0
200041960;CC Pévèle-Carembault;2.2
200041994;CC Haut Val de Sèvre;-1
200042000;CC Bruyères-Vallons des Vosges;0.3
200042174;CA Lorient Agglomération;0.6
200042182;CC du Mont des Avaloirs;-0.5
200042190;CA de la Porte du Hainaut;0.1
200042372;CC des Coteaux Arrats Gimone;12.7
200042414;CC Bresse Revermont 71;0.6
200042463;CC de la Montagne Noire;-0.7
200042497;CC Dombes Saône Vallée;2.6
200042604;CC de Granville, Terre et Mer;0.5
200042620;CC de la Région de Suippes;-0.4
200042646;CC Grand Orb Communauté de Communes en Languedoc;1.3
200042653;CC Sud-Hérault;2
200042703;CC de l'Argonne Champenoise;-1.2
200042729;CC de la Baie du Cotentin;0.1
200042901;CC Drôme Sud Provence;1
200042935;CA Haut-Bugey Agglomération;0.2
200042943;CC du Cap Corse;0
200042992;CC Perthois-Bocage et Der;-5.1
200043016;CC Val de Charente;9.5
200043065;CC du Val d'Amboise;1.2
200043081;CC Chinon, Vienne et Loire;1.8
200043123;CC Auray Quiberon Terre Atlantique;1.1
200043156;CC du Pays Rethélois;0
200043172;CA du Bassin de Brive;0.5
200043263;CC Coeur de l'Avesnois;0.2
200043321;CC du Pays de Mormal;0.7
200043354;CC de Villedieu Intercom;-0.1
200043396;CA Maubeuge Val de Sambre;0.5
200043404;CC du Sud Avesnois;0.2
200043438;CC de la Moivre à la Coole;-0.4
200043495;CA du Pays de Laon;-0.4
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;2.2
200043628;CC des Vallées du Clain;0.4
200043693;CC Terre Lorraine du Longuyonnais;-3.3
200043776;CC Pyrénées audoises;0.2
200043974;CC du Sud Gironde;1.8
200043982;CC du Bazadais;3.4
200043990;CC Vallons de Haute-Bretagne Communauté;1.1
200044014;CC Creuse Grand Sud;0.7
200044030;CC des 7 Vallées;-0.7
200044048;CC Osartis Marquion;0.8
200044253;CC du Bassin de Joinville en Champagne;0
200044394;CC du Réolais en Sud Gironde;0.6
200044469;CC du Pays de Mirepoix;4.3
200044618;CA Douaisis Agglo;-0.1
200044691;CA du Nord Grande Terre;0
200046977;Métropole de Lyon;0.9
200048551;CC du Pays de Craon;-0.3
200049187;CA du Grand Verdun;0.4
200049211;CC Conflent-Canigó;2.6
200049484;CC Berry Grand Sud;-1.3
200050532;CC de Petite-Terre;51.3
200054807;Métropole d'Aix-Marseille-Provence;0.9
200055481;CC Beauce Val de Loire;1.3
200055655;CA Roissy Pays de France;1.3
200055887;CC Mayenne Communauté;0.6
200056232;CA Communauté Paris-Saclay;2.3
200056380;CA Plaine Vallée;1.2
200057859;CA Coeur d'Essonne Agglomération;1.6
200057867;Plaine Commune;0.6
200057875;Est Ensemble;0.6
200057941;#ParisEstMarne&Bois;1.2
200057958;CA Paris - Vallée de la Marne;1.6
200057966;Vallée Sud-Grand Paris;0.5
200057974;Grand Paris Seine Ouest;0.7
200057982;Paris Ouest La Défense;0.8
200057990;Boucle Nord de Seine;0.4
200058006;Grand Paris Sud Est Avenir;0.6
200058014;Grand-Orly Seine Bièvre;0.8
200058097;Paris Terres d'Envol;0.6
200058360;CC Entre Beauce et Perche;0.4
200058477;CA Val d'Yerres Val de Seine;0.2
200058485;CA Val Parisis;1.6
200058519;CA Saint Germain Boucles de Seine;2.3
200058782;CA de Saint Quentin en Yvelines;0.7
200058790;Grand Paris Grand Est;1.8
200059228;CA Grand Paris Sud Seine Essonne Sénart;1
200059392;CC Bièvre Isère;0.9
200059400;CC Porte Océane du Limousin;2.1
200059871;CC du Centre-Ouest;N/A - division par 0
200059889;CU Grand Paris Seine et Oise;0.9
200060010;CA Mauges Communauté;0.4
200060457;CA de Dembeni / Mamoudzou;47.5
200060465;CA du Grand Nord de Mayotte;86.9
200060473;CC du Sud;N/A - division par 0
200065563;CC Normandie-Cabourg-Pays d'Auge;0
200065589;CC Val ès Dunes;0.5
200065597;CU Caen la Mer;1.2
200065647;CA Pays de Montbéliard Agglomération;-0.9
200065787;CC de Pont-Audemer / Val de Risle;0
200065886;Loire Forez Agglomération (LFA);1.5
200065894;CC de Forez-Est;0.8
200065928;CA Lannion-Trégor Communauté;1.5
200066009;CA Mulhouse Alsace Agglomération;0.2
200066017;CC Lieuvin Pays d'Auge;1.1
200066025;CC Alsace Rhin Brisach;0.7
200066033;CC Sud Alsace Largue;-0.9
200066041;CC Sundgau;-0.8
200066058;CA Saint-Louis Agglomération;1.5
200066108;CC des Portes de Meuse;-1.3
200066116;CC Argonne-Meuse;-0.3
200066124;CA Gaillac-Graulhet;0.6
200066132;CC du Pays de Stenay et du Val Dunois;0
200066140;CC de l'Aire à l'Argonne;0
200066157;CC de Commercy - Void - Vaucouleurs;-0.8
200066165;CC Val de Meuse - Voie Sacrée;-0.2
200066173;CC de Damvillers Spincourt;-0.5
200066223;CC Arize Lèze;0
200066231;CC des Portes d'Ariège Pyrénées;-0.1
200066280;CC du Pithiverais;-0.3
200066322;CC Terres des Confluences;-0.2
200066330;CC Terres du Haut Berry;-1.3
200066348;CC du Minervois au Caroux;0
200066355;CA Sète Agglopôle Méditerranée;2
200066363;CC de la Haute Ariège;0
200066371;CC Causses et Vallée de la Dordogne;0.2
200066389;CA Saint-Lô Agglo;0.1
200066405;CC Roumois Seine;2.1
200066413;CC Intercom Bernay Terres de Normandie;0.1
200066462;CC Interco Normandie Sud Eure;-0.8
200066512;CC Élan Limousin Avenir Nature;-0.7
200066520;CC Ouest Limousin;0.7
200066553;CC du Haut-Languedoc;0
200066561;CC Sidobre Vals et Plateaux;-0.1
200066587;CC des Monts du Lyonnais;-0.5
200066603;CC du Pays de Lubersac-Pompadour;-0.2
200066637;CC Hautes Terres;-2.5
200066645;CC Vézère-Monédières-Millesources;-1.3
200066652;CC Grand Sud Tarn-et-Garonne;4.9
200066660;CC de Saint-Flour;-0.5
200066678;CC de la Châtaigneraie Cantalienne;2.9
200066710;CC Cingal-Suisse Normande;0.1
200066728;CC Vallées de l'Orne et de l'Odon;1.4
200066744;CC Haute-Corrèze Communauté;-1.4
200066751;CC Xaintrie Val'Dordogne;-0.3
200066769;CC Midi Corrézien;0.2
200066777;Ploërmel Communauté;-0.7
200066785;CC de l'Oust à Brocéliande;-0.6
200066793;CA du Grand Annecy;2.2
200066801;CC Isigny-Omaha Intercom;-0.6
200066819;CC du Volvestre;2.2
200066827;CC du Pays de Honfleur-Beuzeville;-0.9
200066835;CC de Sézanne-Sud Ouest Marnais;-2.4
200066850;CC des Paysages de la Champagne;0.1
200066868;CC Presqu'île de Crozon-Aulne maritime;0.6
200066876;CA de Châlons-en-Champagne;0
200066884;CC Quercy Vert-Aveyron;-0.2
200066892;CC de Vendeuvre-Soulaines;-2.7
200066918;CA Alès Agglomération;0.3
200066926;CA Grand Auch Coeur de Gascogne;0.1
200066975;CC Senlis Sud Oise;1.1
200067023;CC Coutances Mer et Bocage;0.4
200067031;CC Côte Ouest Centre Manche;1
200067049;CC Spelunca-Liamone;10
200067064;CC Decazeville Communauté;-2.5
200067072;CC Haut-Léon Communauté;-0.3
200067080;CC Chablis Villages et Terroirs;-1
200067106;CA du Pays Basque;2.2
200067114;CA de l'Auxerrois;0.5
200067122;CC du Pays de Lafrançaise;0
200067130;CC de Puisaye-Forterre;-1
200067155;CC Saint Affricain, Roquefort, Sept Vallons;0
200067163;CC Monts, Rance et Rougier;0
200067171;CC Aubrac Carladez Viadène;-0.8
200067189;CC Creuse Sud Ouest;0.9
200067197;CC Monts d'Arrée Communauté;-0.5
200067205;CA du Cotentin;0
200067213;CU du Grand Reims;0
200067239;CC des Luys en Béarn;0.5
200067247;CC Pleyben-Châteaulin-Porzay;-0.1
200067254;CA Pau Béarn Pyrénées;0.7
200067262;CC du Haut Béarn;-0.6
200067288;CC du Béarn des Gaves;0.4
200067296;CC du Nord Est Béarn;2.6
200067304;CC Serein et Armance;-0.5
200067320;CC Serre-Ponçon Val d'Avance;-0.3
200067346;CA Pornic Agglo Pays de Retz;4
200067361;CC Grand-Figeac;0.9
200067379;CC Côtes de Champagne et Val de Saulx;-0.1
200067429;CC Haut Nivernais - Val d'Yonne;0.1
200067437;CA Provence-Alpes-Agglomération;0.6
200067445;CC Buëch-Dévoluy;0
200067452;CC du Guillestrois et du Queyras;0.7
200067460;CC Loudéac Communauté - Bretagne Centre;0.2
200067478;CC Comtal Lot et Truyère;0.3
200067486;CC Bouzonvillois-Trois Frontières;-0.2
200067502;CA Saint-Avold Synergie;-0.7
200067544;CC Creuse Confluence;-0.4
200067551;CA Thonon Agglomération;3.5
200067593;CC Marche et Combraille en Aquitaine;-0.3
200067627;CC Billom Communauté;4.3
200067635;CA Clisson Sèvre et Maine Agglo;1.9
200067643;CC Meurthe Mortagne Moselle;0.2
200067650;CC Houve - Pays Boulageois;-2.5
200067668;CC de la Cléry, du Betz et de l'Ouanne;-0.2
200067676;CC Canaux et Forêts en Gâtinais;-0.6
200067684;CA Epernay, Coteaux et Plaine de Champagne;0.2
200067692;CC Tannay-Brinon-Corbigny;0
200067700;CC Sud Nivernais;-3.1
200067742;CC Serre-Ponçon;-0.3
200067759;CC Vallées et Plateau d'Ardenne;0.3
200067767;CC du Royans-Vercors;0.2
200067783;CC de Hanau-La Petite Pierre;0.4
200067791;CA L'Agglo Foix-Varilhes;0.3
200067817;CC Saône-Beaujolais;2.6
200067825;CA Gap-Tallard-Durance;0.3
200067841;CC de l'Alsace Bossue;-1.7
200067866;CC Sèvre et Loire;2.7
200067874;CA de Haguenau;3.5
200067882;CC Bazois Loire Morvan;-2.1
200067890;CC Morvan Sommets et Grands Lacs;-0.5
200067908;CC Amognes Coeur du Nivernais;-4.6
200067916;CC Coeur de Loire;-3
200067924;CC du Canton d'Erstein;0.3
200067932;CA Golfe du Morbihan - Vannes Agglomération;1.3
200067940;CC Couserans-Pyrénées;0
200067957;CC Haut Chemin - Pays de Pange;-2.7
200067965;CA de la Région de Compiègne et de la Basse Automne;0.5
200067973;CC Thelloise;1.3
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;0.9
200067999;CA du Beauvaisis;0.1
200068005;CC de l'Oise Picarde;-0.3
200068047;CA Creil Sud Oise;0.7
200068070;CC Loue-Lison;-0.3
200068088;CC Les Bertranges;-1.6
200068096;CC Champsaur-Valgaudemar;0.1
200068104;CA de la Provence Verte;0.8
200068112;CC du Pays de Saverne;0.2
200068120;CA Quimper Bretagne Occidentale;2.1
200068146;CC Sarrebourg Moselle Sud;0.1
200068229;CC des Baronnies en Drôme Provençale;0
200068278;CC Berry Loire Puisaye;-2.1
200068294;CC des Deux Vallées Vertes;-4.2
200068369;CC de Mirecourt Dompaire;-0.1
200068377;CC de la Porte des Vosges Méridionales;-0.7
200068435;CC Coeur du Perche;0
200068443;CC Andaine - Passais;0
200068450;Terres d'Argentan Interco;0.1
200068468;CC des Pays de L'Aigle;0.1
200068484;CC des Causses à l'Aubrac;0
200068500;CA de Cambrai;1.2
200068534;CC Terroir de Caux;-0.3
200068542;CC Les Balcons du Dauphiné;0.9
200068559;CC de l'Ouest Vosgien;-0.4
200068567;CC Les Vals du Dauphiné;0.3
200068625;CC Alpes-Provence-Verdon "Sources de lumière";-0.2
200068641;CA Le Muretain Agglo;2.7
200068658;CA de Chaumont;-0.1
200068666;CA du Grand Saint-Dizier Der et Vallées;-1.3
200068674;CA Grand Lac;0.9
200068682;CC Terre d'Eau;-0.1
200068757;CA d'Epinal;0
200068765;CC du Sisteronais-Buëch;0
200068773;CC des Vosges côté Sud Ouest;-0.2
200068781;CA Valence Romans Agglo;1.3
200068799;CC Intercom de la Vire au Noireau;-1.6
200068807;CC du Bassin Auterivain Haut-Garonnais;1
200068815;CC Coeur de Garonne;0.1
200068831;Pays Ségali Communauté;0.2
200068856;CC des Hauts du Perche;0.7
200068864;CC de la Mossig et du Vignoble;0.8
200068872;CC Éguzon - Argenton - Vallée de la Creuse;-0.3
200068880;CC Champagne Boischauts;-1.7
200068914;CC La Rochefoucauld Porte du Périgord;-0.7
200068922;CC du Confluent et des Coteaux de Prayssas;0.2
200068930;CC Fumel Vallée du Lot;-1.5
200068948;CC Albret Communauté;1.5
200068955;CC Anjou Loir et Sarthe;-0.3
200068963;CC Maine Coeur de Sarthe;2.5
200068989;CA Dinan Agglomération;1.4
200068997;CA Arlysère;0.2
200069003;CC du Barséquanais en Champagne;-0.9
200069029;CA des Deux Baies en Montreuillois;0.7
200069037;CA du Pays de Saint-Omer;0.4
200069052;CA Grand Belfort;-0.8
200069060;CC des Vosges du Sud;-0.6
200069086;CC Leff Armor Communauté;2.5
200069094;CC Isle et Crempse en Périgord;-0.3
200069102;CC Randon - Margeride;0
200069110;CA du Grand Chambéry;0.9
200069128;CC Mont Lozère;2.1
200069136;CC des Cévennes au Mont Lozère;1.6
200069144;CC des Hautes Terres de l'Aubrac;0.9
200069151;CC Gorges Causses Cévennes;0.7
200069169;CC Dômes Sancy Artense;0
200069177;CC Mond'Arverne Communauté;4
200069185;CC des Terres d'Apcher-Margeride-Aubrac;0.5
200069193;CC de la Dombes;1.7
200069227;CC Pays Fort Sancerrois Val de Loire;-0.5
200069235;CC du Haut Pays du Montreuillois;-0.7
200069250;CA Troyes Champagne Métropole;0.6
200069268;CC Aubrac Lot Causses Tarn;0.4
200069300;CA Tarbes-Lourdes-Pyrénées;0
200069383;Ouest Aveyron Communauté;0.5
200069391;CA Lamballe Terre et Mer;1.5
200069409;CA Saint-Brieuc Armor Agglomération;0.6
200069417;CC Pays d'Orthe et Arrigans;0.2
200069425;CA Mont-Saint-Michel-Normandie;0.3
200069433;CC de Vezouze en Piémont;-0.1
200069441;CC du Pays de Bitche;-0.3
200069458;CC des Vallées d'Auge et du Merlerault;-0.1
200069482;CC des Campagnes de l'Artois;-1.4
200069516;CC Seulles Terre et Mer;-0.6
200069524;CC Pré-Bocage Intercom;0.2
200069532;CA Lisieux Normandie;-1.2
200069540;CC Norge et Tille;-0.7
200069565;CC des Lacs et Montagnes du Haut-Doubs;2.4
200069581;CC Convergence Garonne;1.7
200069599;CC Rurales de l'Entre-Deux-Mers;-0.2
200069615;CC Bresse Haute Seille;0.1
200069623;CC Champagnole Nozeroy Jura;0.5
200069631;CC Terres de Chalosse;-0.1
200069649;CC Chalosse Tursan;0.8
200069656;CC Coeur Haute Lande;0
200069664;CC Meuse Rognon;0
200069672;CC du Ternois;0
200069698;CC Mâconnais - Tournugeois;-0.7
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;-1.4
200069730;CC des Quatre Rivières en Bray;-0.6
200069748;CC Val de Gâtine;-1.8
200069755;CC Mellois en Poitou;-1
200069763;CC du Haut Poitou;0.8
200069821;CA Fécamp Caux Littoral Agglomération;0.4
200069839;CC de la Côte d'Albâtre;0.1
200069847;CC Plateau de Caux;0.8
200069854;CU du Grand Poitiers;1.2
200069912;CC des Forêts du Perche;0.3
200069953;CC des Portes Euréliennes d'Ile de France;1
200069961;CC du Grand Châteaudun;0.7
200069995;CC Médoc Coeur de Presqu'île;-0.9
200070035;CC du Civraisien en Poitou;0.2
200070043;CC Vienne et Gartempe;0.5
200070068;CC Bray-Eawy;0
200070092;CA du Libournais;1.6
200070100;CC du Val de Sully;-0.4
200070118;CC Val de Saône Centre;2.3
200070126;CC Seine et Aube;0
200070142;CC Lyons Andelle;-0.3
200070159;CC Coeur de Beauce;0.7
200070167;CC Terres de Perche;-0.3
200070183;CC des Terres du Val de Loire;1.1
200070233;CA Terres de Montaigu;0.5
200070282;CC Lavalette Tude Dronne;0.3
200070290;CC Coeur du Pays Haut;-0.4
200070308;CA Mâconnais Beaujolais Agglomération;0.4
200070316;CC Entre Arroux, Loire et Somme;-1.1
200070324;CC du Territoire de Lunéville à Baccarat;-0.4
200070332;CC des Savoir-Faire;0.2
200070340;CC Haute Maurienne Vanoise;0
200070365;CC Corbières Salanque Méditerranée;1.7
200070373;CC Loir-Lucé-Bercé;-0.8
200070407;CA Agglo Pays d'Issoire;1
200070431;CC Saint-Marcellin Vercors Isère Communauté;1.1
200070449;CC Inter-Caux-Vexin;1.1
200070464;CC Coeur de Maurienne Arvan;0.1
200070506;CC Pays de Nexon Monts de Chalus;3.8
200070514;CA du Grand Cognac;-0.1
200070530;CC du Grand Autunois Morvan;0.4
200070548;CC Brionnais Sud Bourgogne;0.1
200070555;CC de la Veyle;2
200070563;CC Terres Touloises;1.7
200070571;CC Coeur de Berry;-0.7
200070589;CC de Seille et Grand Couronné;2.3
200070647;CA Bergeracoise;0.6
200070662;CC Bretagne Porte de Loire Communauté;0.7
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;1.4
200070688;CC Couesnon Marches de Bretagne;1.1
200070712;CC Thiers Dore et Montagne;0.4
200070720;CC Médoc Atlantique;1.8
200070738;CC Mad et Moselle;5.3
200070746;CA Sarreguemines Confluences;0
200070753;CA Riom Limagne et Volcans;1.6
200070761;CC Ambert Livradois Forez;0.5
200070779;CC Brie des Rivières et Châteaux;1
200070787;CC du Plateau de Lannemezan;0.6
200070795;CC du Pays de Trie et du Magnoac;-0.7
200070803;CC des Coteaux du Val d'Arros;0
200070811;CC Pyrénées Vallées des Gaves;-0.8
200070829;CC Neste Barousse;0
200070845;CC Orne Lorraine Confluences;0.5
200070852;CC Usses et Rhône;1.1
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;-0.3
200070902;CC Auxonne Pontailler Val de Saône;-0.4
200070910;CC Tille et Venelle;-1.1
200070928;CC Terre de Picardie;0.1
200070936;CC Ponthieu-Marquenterre;0.6
200070944;CC du Vimeu;0.9
200070951;CC du Territoire Nord Picardie;0
200070969;CC Avre Luce Noye;-0.1
200070977;CC du Grand Roye;0.5
200070985;CC de l'Est de la Somme;-0.3
200070993;CA de la Baie de Somme;0.5
200071017;CC des Terres d'Auxois;-0.1
200071025;CC Haute-Provence - Pays de Banon;-1.4
