Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des résidences secondaires et logements occasionnels 2022
200039055;CC Ouche et Montagne;7.6
200039063;CC Forêts, Seine et Suzon;7.6
200039204;CC de Lacq-Orthez;3
200039519;CC du Quercy Blanc;20.8
200039642;CC Le Tonnerrois en Bourgogne;14.8
200039709;CC du Serein;26.4
200039758;CC Avallon, Vézelay, Morvan;19
200039808;CC des Gorges de l'Ardèche;39.2
200039824;CC Ardèche des Sources et Volcans;36.2
200039832;CC Pays des Vans en Cévennes;37.4
200039857;CA du Pays de Grasse;14
200039865;Metz Métropole;1.8
200039907;CC du Sud Messin;1.1
200039915;CA Cannes Pays de Lérins;37.5
200039931;CC Alpes d'Azur;53.4
200039949;CC Rives de Moselle;0.7
200040038;CC Saône Doubs Bresse;7.6
200040095;CC Isle Vern Salembre en Périgord;8.6
200040111;CC Coeur de Chartreuse;18
200040137;CC des Lacs de Champagne;8.3
200040178;CC de l'Outre-Forêt;1.3
200040202;CC Provence Verdon;16.3
200040210;CC Lacs et Gorges du Verdon;38.2
200040244;CA du Bocage Bressuirais;3.4
200040251;CC Bassée-Montois;11
200040277;CA Agglo du Pays de Dreux;5
200040293;CC du Clunisois;20.3
200040350;CC Bugey Sud;11.5
200040384;CC Isle Double Landais;5.8
200040392;CA Le Grand Périgueux;5.2
200040400;CC du Périgord Ribéracois;18.8
200040418;CC du Pays de Serres en Quercy;19.1
200040426;CC du Val de l'Oise;2.4
200040442;CA Luberon Monts de Vaucluse;12
200040459;CA Montélimar Agglomération;4.1
200040475;LBN Communauté;6.4
200040491;CC Porte de Dromardèche;3.6
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;9.6
200040558;CC Écueillé-Valençay;14.3
200040566;CA de l'Ouest Rhodanien;6.5
200040574;CC Beaujolais Pierres Dorées;3.2
200040590;CA Villefranche Beaujolais Saône;2.2
200040624;CC Pays d'Apt-Luberon;26.6
200040657;CC de la Matheysine;25.1
200040681;CC Enclave des Papes - Pays de Grignan;13.4
200040715;Grenoble-Alpes-Métropole;2.9
200040764;CC du Sud Corse;55.3
200040772;CC du Perche et Haut Vendômois;17.5
200040798;CC Val Vanoise;79.2
200040814;CC Briance Sud Haute Vienne;14.9
200040830;CC du Pays de Fénelon;27.3
200040889;CC de Portes Sud Périgord;18.8
200040905;CC Carmausin-Ségala;7.1
200040947;CA Coeur de Flandre;1.3
200040954;CC des Hauts de Flandre;3.2
200041010;CC Coeur de Savoie;7
200041051;CC Vallée de la Dordogne et Forêt Bessède;29.6
200041150;CC Terrassonnais Haut Périgord Noir;18
200041168;CC de la Vallée de l'Homme;26.7
200041283;CC de la Plaine du Rhin;2.1
200041317;CA du Niortais;3.3
200041325;CC du Pays Rhénan;1.1
200041333;CC de Parthenay-Gâtine;5.8
200041366;CC Rhône Crussol;4.2
200041416;CC Airvaudais-Val du Thouet;9.1
200041440;CC de Domme- Villefranche du Périgord;35.1
200041465;CC Val Eyrieux;31
200041499;CC Aunis Atlantique;4.4
200041507;CA La Riviéra du Levant;25.5
200041515;CC du Bassin de Pont-à-Mousson;1.3
200041523;CC de la Haute Saintonge;9.8
200041556;CC Portes de la Creuse en Marche;21.9
200041572;CC Dronne et Belle;18.2
200041614;CC Aunis Sud;4.4
200041622;CC Ardennes Thiérache;9.4
200041630;Ardenne Métropole;1.7
200041689;Vals de Saintonge Communauté;9.2
200041721;CC de la Haute Comté;7.5
200041762;CA Rochefort Océan;13.7
200041788;CA du Pays Nord Martinique;5.5
200041853;CC du Pays de Montbozon et du Chanois;7.6
200041861;CC du Triangle Vert;5.2
200041879;CC Terres de Saône;5.2
200041887;CC du Val Marnaysien;4.8
200041960;CC Pévèle-Carembault;0.7
200041994;CC Haut Val de Sèvre;3.1
200042000;CC Bruyères-Vallons des Vosges;6.6
200042174;CA Lorient Agglomération;8.2
200042182;CC du Mont des Avaloirs;13.2
200042190;CA de la Porte du Hainaut;0.7
200042372;CC des Coteaux Arrats Gimone;6.7
200042414;CC Bresse Revermont 71;13
200042463;CC de la Montagne Noire;28.9
200042497;CC Dombes Saône Vallée;1.9
200042604;CC de Granville, Terre et Mer;28.1
200042620;CC de la Région de Suippes;2
200042646;CC Grand Orb Communauté de Communes en Languedoc;24.9
200042653;CC Sud-Hérault;16.1
200042703;CC de l'Argonne Champenoise;5.9
200042729;CC de la Baie du Cotentin;10.3
200042901;CC Drôme Sud Provence;5.1
200042935;CA Haut-Bugey Agglomération;5.3
200042943;CC du Cap Corse;55.3
200042992;CC Perthois-Bocage et Der;14.9
200043016;CC Val de Charente;14.5
200043065;CC du Val d'Amboise;7.8
200043081;CC Chinon, Vienne et Loire;8.4
200043123;CC Auray Quiberon Terre Atlantique;35.7
200043156;CC du Pays Rethélois;3
200043172;CA du Bassin de Brive;6.5
200043263;CC Coeur de l'Avesnois;2.2
200043321;CC du Pays de Mormal;1.5
200043354;CC de Villedieu Intercom;9.6
200043396;CA Maubeuge Val de Sambre;1
200043404;CC du Sud Avesnois;3.5
200043438;CC de la Moivre à la Coole;1.9
200043495;CA du Pays de Laon;4.1
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;40.4
200043628;CC des Vallées du Clain;2.6
200043693;CC Terre Lorraine du Longuyonnais;2.3
200043776;CC Pyrénées audoises;36.1
200043974;CC du Sud Gironde;4.7
200043982;CC du Bazadais;6.1
200043990;CC Vallons de Haute-Bretagne Communauté;5.2
200044014;CC Creuse Grand Sud;22.6
200044030;CC des 7 Vallées;9.2
200044048;CC Osartis Marquion;1.4
200044253;CC du Bassin de Joinville en Champagne;7.3
200044394;CC du Réolais en Sud Gironde;3.6
200044469;CC du Pays de Mirepoix;14.1
200044618;CA Douaisis Agglo;1.4
200044691;CA du Nord Grande Terre;9.9
200046977;Métropole de Lyon;3.6
200048551;CC du Pays de Craon;4.2
200049187;CA du Grand Verdun;2.2
200049211;CC Conflent-Canigó;27
200049484;CC Berry Grand Sud;20.3
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;4.4
200055481;CC Beauce Val de Loire;6.7
200055655;CA Roissy Pays de France;1.2
200055887;CC Mayenne Communauté;5.6
200056232;CA Communauté Paris-Saclay;2.7
200056380;CA Plaine Vallée;1.4
200057859;CA Coeur d'Essonne Agglomération;1.2
200057867;Plaine Commune;1.3
200057875;Est Ensemble;1.6
200057941;#ParisEstMarne&Bois;2.5
200057958;CA Paris - Vallée de la Marne;1.3
200057966;Vallée Sud-Grand Paris;2.6
200057974;Grand Paris Seine Ouest;5.1
200057982;Paris Ouest La Défense;5.1
200057990;Boucle Nord de Seine;2.2
200058006;Grand Paris Sud Est Avenir;1.1
200058014;Grand-Orly Seine Bièvre;2
200058097;Paris Terres d'Envol;1.1
200058360;CC Entre Beauce et Perche;7.1
200058477;CA Val d'Yerres Val de Seine;1.2
200058485;CA Val Parisis;1.1
200058519;CA Saint Germain Boucles de Seine;2.1
200058782;CA de Saint Quentin en Yvelines;1.7
200058790;Grand Paris Grand Est;1.3
200059228;CA Grand Paris Sud Seine Essonne Sénart;1.2
200059392;CC Bièvre Isère;3.9
200059400;CC Porte Océane du Limousin;7.2
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;1.8
200060010;CA Mauges Communauté;2
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;54.2
200065589;CC Val ès Dunes;1.3
200065597;CU Caen la Mer;4.2
200065647;CA Pays de Montbéliard Agglomération;1.4
200065787;CC de Pont-Audemer / Val de Risle;6.2
200065886;Loire Forez Agglomération (LFA);7.7
200065894;CC de Forez-Est;3.9
200065928;CA Lannion-Trégor Communauté;24
200066009;CA Mulhouse Alsace Agglomération;1.4
200066017;CC Lieuvin Pays d'Auge;17.1
200066025;CC Alsace Rhin Brisach;1.5
200066033;CC Sud Alsace Largue;2.7
200066041;CC Sundgau;2.5
200066058;CA Saint-Louis Agglomération;3.2
200066108;CC des Portes de Meuse;5.1
200066116;CC Argonne-Meuse;12.2
200066124;CA Gaillac-Graulhet;5.5
200066132;CC du Pays de Stenay et du Val Dunois;11.1
200066140;CC de l'Aire à l'Argonne;9
200066157;CC de Commercy - Void - Vaucouleurs;4.6
200066165;CC Val de Meuse - Voie Sacrée;3.3
200066173;CC de Damvillers Spincourt;6.8
200066223;CC Arize Lèze;13.9
200066231;CC des Portes d'Ariège Pyrénées;3.3
200066280;CC du Pithiverais;6.5
200066322;CC Terres des Confluences;3.1
200066330;CC Terres du Haut Berry;6.8
200066348;CC du Minervois au Caroux;30.4
200066355;CA Sète Agglopôle Méditerranée;25.9
200066363;CC de la Haute Ariège;66
200066371;CC Causses et Vallée de la Dordogne;20.4
200066389;CA Saint-Lô Agglo;3.6
200066405;CC Roumois Seine;3.2
200066413;CC Intercom Bernay Terres de Normandie;10.1
200066462;CC Interco Normandie Sud Eure;14.4
200066512;CC Élan Limousin Avenir Nature;10.8
200066520;CC Ouest Limousin;20
200066553;CC du Haut-Languedoc;50.1
200066561;CC Sidobre Vals et Plateaux;21
200066587;CC des Monts du Lyonnais;5
200066603;CC du Pays de Lubersac-Pompadour;14.3
200066637;CC Hautes Terres;33.3
200066645;CC Vézère-Monédières-Millesources;40.3
200066652;CC Grand Sud Tarn-et-Garonne;1.9
200066660;CC de Saint-Flour;22.3
200066678;CC de la Châtaigneraie Cantalienne;21.8
200066710;CC Cingal-Suisse Normande;4.9
200066728;CC Vallées de l'Orne et de l'Odon;1.1
200066744;CC Haute-Corrèze Communauté;22
200066751;CC Xaintrie Val'Dordogne;26.5
200066769;CC Midi Corrézien;24.8
200066777;Ploërmel Communauté;10.2
200066785;CC de l'Oust à Brocéliande;8.8
200066793;CA du Grand Annecy;8
200066801;CC Isigny-Omaha Intercom;19.8
200066819;CC du Volvestre;4
200066827;CC du Pays de Honfleur-Beuzeville;22.1
200066835;CC de Sézanne-Sud Ouest Marnais;7.5
200066850;CC des Paysages de la Champagne;6.1
200066868;CC Presqu'île de Crozon-Aulne maritime;32
200066876;CA de Châlons-en-Champagne;1.8
200066884;CC Quercy Vert-Aveyron;5.7
200066892;CC de Vendeuvre-Soulaines;7.7
200066918;CA Alès Agglomération;7.6
200066926;CA Grand Auch Coeur de Gascogne;3.9
200066975;CC Senlis Sud Oise;3.7
200067023;CC Coutances Mer et Bocage;23.6
200067031;CC Côte Ouest Centre Manche;26.1
200067049;CC Spelunca-Liamone;65.4
200067064;CC Decazeville Communauté;8.8
200067072;CC Haut-Léon Communauté;22.8
200067080;CC Chablis Villages et Terroirs;15
200067106;CA du Pays Basque;20
200067114;CA de l'Auxerrois;3.3
200067122;CC du Pays de Lafrançaise;3.9
200067130;CC de Puisaye-Forterre;21.2
200067155;CC Saint Affricain, Roquefort, Sept Vallons;15.8
200067163;CC Monts, Rance et Rougier;36.5
200067171;CC Aubrac Carladez Viadène;33.5
200067189;CC Creuse Sud Ouest;26.9
200067197;CC Monts d'Arrée Communauté;27.2
200067205;CA du Cotentin;13.3
200067213;CU du Grand Reims;3.1
200067239;CC des Luys en Béarn;3.2
200067247;CC Pleyben-Châteaulin-Porzay;16
200067254;CA Pau Béarn Pyrénées;2.6
200067262;CC du Haut Béarn;16.8
200067288;CC du Béarn des Gaves;12.2
200067296;CC du Nord Est Béarn;3.2
200067304;CC Serein et Armance;8
200067320;CC Serre-Ponçon Val d'Avance;16.8
200067346;CA Pornic Agglo Pays de Retz;32.2
200067361;CC Grand-Figeac;16.4
200067379;CC Côtes de Champagne et Val de Saulx;2.8
200067429;CC Haut Nivernais - Val d'Yonne;19.3
200067437;CA Provence-Alpes-Agglomération;19.1
200067445;CC Buëch-Dévoluy;52.2
200067452;CC du Guillestrois et du Queyras;73.8
200067460;CC Loudéac Communauté - Bretagne Centre;9.8
200067478;CC Comtal Lot et Truyère;20.9
200067486;CC Bouzonvillois-Trois Frontières;3.1
200067502;CA Saint-Avold Synergie;0.9
200067544;CC Creuse Confluence;17.8
200067551;CA Thonon Agglomération;9.3
200067593;CC Marche et Combraille en Aquitaine;26.8
200067627;CC Billom Communauté;6.1
200067635;CA Clisson Sèvre et Maine Agglo;2.1
200067643;CC Meurthe Mortagne Moselle;1.9
200067650;CC Houve - Pays Boulageois;1.2
200067668;CC de la Cléry, du Betz et de l'Ouanne;13.5
200067676;CC Canaux et Forêts en Gâtinais;11.8
200067684;CA Epernay, Coteaux et Plaine de Champagne;4.3
200067692;CC Tannay-Brinon-Corbigny;31.7
200067700;CC Sud Nivernais;5.9
200067742;CC Serre-Ponçon;50.5
200067759;CC Vallées et Plateau d'Ardenne;4.7
200067767;CC du Royans-Vercors;22.8
200067783;CC de Hanau-La Petite Pierre;6.5
200067791;CA L'Agglo Foix-Varilhes;9.5
200067817;CC Saône-Beaujolais;6.7
200067825;CA Gap-Tallard-Durance;5
200067841;CC de l'Alsace Bossue;2.5
200067866;CC Sèvre et Loire;1.5
200067874;CA de Haguenau;1.1
200067882;CC Bazois Loire Morvan;27.2
200067890;CC Morvan Sommets et Grands Lacs;38.8
200067908;CC Amognes Coeur du Nivernais;20.3
200067916;CC Coeur de Loire;15.1
200067924;CC du Canton d'Erstein;1.3
200067932;CA Golfe du Morbihan - Vannes Agglomération;20.7
200067940;CC Couserans-Pyrénées;36.9
200067957;CC Haut Chemin - Pays de Pange;0.9
200067965;CA de la Région de Compiègne et de la Basse Automne;2
200067973;CC Thelloise;2
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;13.6
200067999;CA du Beauvaisis;1.7
200068005;CC de l'Oise Picarde;3.6
200068047;CA Creil Sud Oise;0.6
200068070;CC Loue-Lison;8.1
200068088;CC Les Bertranges;11.9
200068096;CC Champsaur-Valgaudemar;60.3
200068104;CA de la Provence Verte;9.4
200068112;CC du Pays de Saverne;2.6
200068120;CA Quimper Bretagne Occidentale;3.3
200068146;CC Sarrebourg Moselle Sud;13.9
200068229;CC des Baronnies en Drôme Provençale;30.3
200068278;CC Berry Loire Puisaye;13
200068294;CC des Deux Vallées Vertes;4.8
200068369;CC de Mirecourt Dompaire;3.4
200068377;CC de la Porte des Vosges Méridionales;6.5
200068435;CC Coeur du Perche;22.8
200068443;CC Andaine - Passais;28.7
200068450;Terres d'Argentan Interco;5.5
200068468;CC des Pays de L'Aigle;10
200068484;CC des Causses à l'Aubrac;25.6
200068500;CA de Cambrai;1.4
200068534;CC Terroir de Caux;7.2
200068542;CC Les Balcons du Dauphiné;4.1
200068559;CC de l'Ouest Vosgien;4.1
200068567;CC Les Vals du Dauphiné;3.3
200068625;CC Alpes-Provence-Verdon "Sources de lumière";62.8
200068641;CA Le Muretain Agglo;1.2
200068658;CA de Chaumont;3.7
200068666;CA du Grand Saint-Dizier Der et Vallées;2.8
200068674;CA Grand Lac;11.8
200068682;CC Terre d'Eau;7.9
200068757;CA d'Epinal;3.6
200068765;CC du Sisteronais-Buëch;21.2
200068773;CC des Vosges côté Sud Ouest;14.3
200068781;CA Valence Romans Agglo;2.6
200068799;CC Intercom de la Vire au Noireau;5.8
200068807;CC du Bassin Auterivain Haut-Garonnais;2.1
200068815;CC Coeur de Garonne;3.9
200068831;Pays Ségali Communauté;16.3
200068856;CC des Hauts du Perche;23.8
200068864;CC de la Mossig et du Vignoble;3.1
200068872;CC Éguzon - Argenton - Vallée de la Creuse;16.5
200068880;CC Champagne Boischauts;10.3
200068914;CC La Rochefoucauld Porte du Périgord;8.3
200068922;CC du Confluent et des Coteaux de Prayssas;5.9
200068930;CC Fumel Vallée du Lot;9.6
200068948;CC Albret Communauté;9.1
200068955;CC Anjou Loir et Sarthe;4.5
200068963;CC Maine Coeur de Sarthe;3.3
200068989;CA Dinan Agglomération;18.1
200068997;CA Arlysère;30.2
200069003;CC du Barséquanais en Champagne;8.2
200069029;CA des Deux Baies en Montreuillois;45.8
200069037;CA du Pays de Saint-Omer;2.3
200069052;CA Grand Belfort;1.6
200069060;CC des Vosges du Sud;4.1
200069086;CC Leff Armor Communauté;12.8
200069094;CC Isle et Crempse en Périgord;10.9
200069102;CC Randon - Margeride;41.4
200069110;CA du Grand Chambéry;5.9
200069128;CC Mont Lozère;51.7
200069136;CC des Cévennes au Mont Lozère;51.8
200069144;CC des Hautes Terres de l'Aubrac;34.4
200069151;CC Gorges Causses Cévennes;44.9
200069169;CC Dômes Sancy Artense;24.6
200069177;CC Mond'Arverne Communauté;4.8
200069185;CC des Terres d'Apcher-Margeride-Aubrac;23.9
200069193;CC de la Dombes;2.9
200069227;CC Pays Fort Sancerrois Val de Loire;17.6
200069235;CC du Haut Pays du Montreuillois;8.2
200069250;CA Troyes Champagne Métropole;3.2
200069268;CC Aubrac Lot Causses Tarn;32.4
200069300;CA Tarbes-Lourdes-Pyrénées;4.4
200069383;Ouest Aveyron Communauté;14.9
200069391;CA Lamballe Terre et Mer;21.1
200069409;CA Saint-Brieuc Armor Agglomération;8.6
200069417;CC Pays d'Orthe et Arrigans;5.9
200069425;CA Mont-Saint-Michel-Normandie;11.2
200069433;CC de Vezouze en Piémont;9.8
200069441;CC du Pays de Bitche;5
200069458;CC des Vallées d'Auge et du Merlerault;14.6
200069482;CC des Campagnes de l'Artois;2.3
200069516;CC Seulles Terre et Mer;16.5
200069524;CC Pré-Bocage Intercom;3.2
200069532;CA Lisieux Normandie;7.8
200069540;CC Norge et Tille;1.1
200069565;CC des Lacs et Montagnes du Haut-Doubs;33.9
200069581;CC Convergence Garonne;2.6
200069599;CC Rurales de l'Entre-Deux-Mers;6.3
200069615;CC Bresse Haute Seille;10.1
200069623;CC Champagnole Nozeroy Jura;10.8
200069631;CC Terres de Chalosse;6.5
200069649;CC Chalosse Tursan;5.1
200069656;CC Coeur Haute Lande;14.4
200069664;CC Meuse Rognon;11.3
200069672;CC du Ternois;4.3
200069698;CC Mâconnais - Tournugeois;8.1
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;5.3
200069730;CC des Quatre Rivières en Bray;6.7
200069748;CC Val de Gâtine;5.8
200069755;CC Mellois en Poitou;8.7
200069763;CC du Haut Poitou;2.9
200069821;CA Fécamp Caux Littoral Agglomération;10.5
200069839;CC de la Côte d'Albâtre;24.3
200069847;CC Plateau de Caux;4.8
200069854;CU du Grand Poitiers;3.1
200069912;CC des Forêts du Perche;15.5
200069953;CC des Portes Euréliennes d'Ile de France;4.6
200069961;CC du Grand Châteaudun;8
200069995;CC Médoc Coeur de Presqu'île;5.9
200070035;CC du Civraisien en Poitou;11.5
200070043;CC Vienne et Gartempe;14.6
200070068;CC Bray-Eawy;4.4
200070092;CA du Libournais;2.7
200070100;CC du Val de Sully;8.9
200070118;CC Val de Saône Centre;3.1
200070126;CC Seine et Aube;4
200070142;CC Lyons Andelle;7.8
200070159;CC Coeur de Beauce;7.1
200070167;CC Terres de Perche;14.8
200070183;CC des Terres du Val de Loire;4.3
200070233;CA Terres de Montaigu;1.5
200070282;CC Lavalette Tude Dronne;17.3
200070290;CC Coeur du Pays Haut;0.9
200070308;CA Mâconnais Beaujolais Agglomération;3.8
200070316;CC Entre Arroux, Loire et Somme;9.3
200070324;CC du Territoire de Lunéville à Baccarat;2.3
200070332;CC des Savoir-Faire;21.6
200070340;CC Haute Maurienne Vanoise;64.9
200070365;CC Corbières Salanque Méditerranée;17.8
200070373;CC Loir-Lucé-Bercé;12.2
200070407;CA Agglo Pays d'Issoire;9
200070431;CC Saint-Marcellin Vercors Isère Communauté;4.9
200070449;CC Inter-Caux-Vexin;1.5
200070464;CC Coeur de Maurienne Arvan;56.6
200070506;CC Pays de Nexon Monts de Chalus;11.8
200070514;CA du Grand Cognac;3.9
200070530;CC du Grand Autunois Morvan;14.6
200070548;CC Brionnais Sud Bourgogne;12.5
200070555;CC de la Veyle;2.2
200070563;CC Terres Touloises;1.7
200070571;CC Coeur de Berry;7.6
200070589;CC de Seille et Grand Couronné;1.3
200070647;CA Bergeracoise;5.8
200070662;CC Bretagne Porte de Loire Communauté;4.1
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;12.3
200070688;CC Couesnon Marches de Bretagne;6.5
200070712;CC Thiers Dore et Montagne;8.7
200070720;CC Médoc Atlantique;60
200070738;CC Mad et Moselle;2.4
200070746;CA Sarreguemines Confluences;2.9
200070753;CA Riom Limagne et Volcans;4
200070761;CC Ambert Livradois Forez;30.7
200070779;CC Brie des Rivières et Châteaux;4.1
200070787;CC du Plateau de Lannemezan;16.1
200070795;CC du Pays de Trie et du Magnoac;13.7
200070803;CC des Coteaux du Val d'Arros;5.4
200070811;CC Pyrénées Vallées des Gaves;60.8
200070829;CC Neste Barousse;25.9
200070845;CC Orne Lorraine Confluences;1.1
200070852;CC Usses et Rhône;9.1
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;3.6
200070902;CC Auxonne Pontailler Val de Saône;4
200070910;CC Tille et Venelle;8.2
200070928;CC Terre de Picardie;2.9
200070936;CC Ponthieu-Marquenterre;40
200070944;CC du Vimeu;4.5
200070951;CC du Territoire Nord Picardie;2.5
200070969;CC Avre Luce Noye;2.9
200070977;CC du Grand Roye;3.6
200070985;CC de l'Est de la Somme;3
200070993;CA de la Baie de Somme;16.9
200071017;CC des Terres d'Auxois;15
200071025;CC Haute-Provence - Pays de Banon;24.1
200071033;CC Jabron-Lure-Vançon-Durance;16.3
200071041;CC du Chaourçois et du Val d'Armance;11.8
200071058;CC Les Avant-Monts;16.1
200071066;CA de Saint-Dié-des-Vosges;10.1
200071074;CC Les Portes de l'Ile de France;6.5
200071082;CA Montluçon Communauté;3.8
