Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
248900383;CC de l'Agglomération Migennoise;23.2
248900524;CC de l'Aillantais en Bourgogne;12.3
248900664;CC de la Vanne et du Pays d'Othe;18.8
248900748;CC du Gâtinais en Bourgogne;17.4
248900896;CC Yonne Nord;17.5
248900938;CC du Jovinien;20
249000241;CC du Sud Territoire;17.8
249100074;CC du Pays de Limours (CCPL);9.9
249100157;CC des 2 Vallées;11.5
249100546;CC du Val d'Essonne (CCVE);11.9
249100553;CC Entre Juine et Renarde (CCEJR);10.5
249100595;CC le Dourdannais en Hurepoix (CCDH);14.9
249500109;CA de Cergy-Pontoise;15.9
249500430;CC Sausseron Impressionnistes;10.6
249500455;CC de la Vallée de l'Oise et des Trois Forêts;10.9
249500489;CC du Haut Val d'Oise;17.7
249500513;CC du Vexin-Val de Seine;17.7
249710047;CC de Marie-Galante;28
249710062;CA du Nord Basse-Terre;21.9
249710070;CA Grand Sud Caraïbe;25
249720053;CA de l'Espace Sud de la Martinique;23.4
249720061;CA du Centre de la Martinique;20.6
249730037;CC de l'Ouest Guyanais;48.8
249730045;CA du Centre Littoral;27.4
249730052;CC de l'Est Guyanais;54.8
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);28.3
249740085;CA du Sud;27.3
249740093;CA Intercommunale de la Réunion Est (CIREST);30.2
249740101;CA Territoire de la Côte Ouest (TCO);28.8
249740119;CA Intercommunale du Nord de la Réunion (CINOR);24.2
75056;Paris;10
