Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
200040574;CC Beaujolais Pierres Dorées;8.4
200040590;CA Villefranche Beaujolais Saône;17.6
200040624;CC Pays d'Apt-Luberon;22
200040657;CC de la Matheysine;13.5
200040681;CC Enclave des Papes - Pays de Grignan;19
200040715;Grenoble-Alpes-Métropole;11.3
200040764;CC du Sud Corse;20.7
200040772;CC du Perche et Haut Vendômois;18.5
200040798;CC Val Vanoise;5.4
200040814;CC Briance Sud Haute Vienne;12.1
200040830;CC du Pays de Fénelon;18.6
200040889;CC de Portes Sud Périgord;16.7
200040905;CC Carmausin-Ségala;20
200040947;CA Coeur de Flandre;14.2
200040954;CC des Hauts de Flandre;13.4
200041010;CC Coeur de Savoie;12.3
200041051;CC Vallée de la Dordogne et Forêt Bessède;18
200041150;CC Terrassonnais Haut Périgord Noir;19.8
200041168;CC de la Vallée de l'Homme;19.7
200041283;CC de la Plaine du Rhin;9.5
200041317;CA du Niortais;15.1
200041325;CC du Pays Rhénan;10.3
200041333;CC de Parthenay-Gâtine;17.1
200041366;CC Rhône Crussol;10.4
200041416;CC Airvaudais-Val du Thouet;10.2
200041440;CC de Domme- Villefranche du Périgord;15.5
200041465;CC Val Eyrieux;15.8
200041499;CC Aunis Atlantique;11.8
200041507;CA La Riviéra du Levant;21.3
200041515;CC du Bassin de Pont-à-Mousson;13.7
200041523;CC de la Haute Saintonge;18.1
200041556;CC Portes de la Creuse en Marche;15.8
200041572;CC Dronne et Belle;16.2
200041614;CC Aunis Sud;15.7
200041622;CC Ardennes Thiérache;18.6
200041630;Ardenne Métropole;21.4
200041689;Vals de Saintonge Communauté;19.6
200041721;CC de la Haute Comté;13.5
200041762;CA Rochefort Océan;14.4
200041788;CA du Pays Nord Martinique;24.9
200041853;CC du Pays de Montbozon et du Chanois;11.8
200041861;CC du Triangle Vert;13.3
200041879;CC Terres de Saône;13.9
200041887;CC du Val Marnaysien;10.1
200041960;CC Pévèle-Carembault;10.1
200041994;CC Haut Val de Sèvre;11
200042000;CC Bruyères-Vallons des Vosges;17.6
200042174;CA Lorient Agglomération;15
200042182;CC du Mont des Avaloirs;13.2
200042190;CA de la Porte du Hainaut;23
200042372;CC des Coteaux Arrats Gimone;15.1
200042414;CC Bresse Revermont 71;13.9
200042463;CC de la Montagne Noire;12.8
200042497;CC Dombes Saône Vallée;9.3
200042604;CC de Granville, Terre et Mer;12.9
200042620;CC de la Région de Suippes;10.6
200042646;CC Grand Orb Communauté de Communes en Languedoc;25.3
200042653;CC Sud-Hérault;19.6
200042703;CC de l'Argonne Champenoise;19.2
200042729;CC de la Baie du Cotentin;14.3
200042901;CC Drôme Sud Provence;18.5
200042935;CA Haut-Bugey Agglomération;15.3
200042943;CC du Cap Corse;16.9
200042992;CC Perthois-Bocage et Der;15
200043016;CC Val de Charente;21.9
200043065;CC du Val d'Amboise;17.3
