Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200070910;CC Tille et Venelle;81.7
200070928;CC Terre de Picardie;86.2
200070936;CC Ponthieu-Marquenterre;84
200070944;CC du Vimeu;86.8
200070951;CC du Territoire Nord Picardie;86.5
200070969;CC Avre Luce Noye;86.5
200070977;CC du Grand Roye;83.1
200070985;CC de l'Est de la Somme;84.9
200070993;CA de la Baie de Somme;79.1
200071017;CC des Terres d'Auxois;76.6
200071025;CC Haute-Provence - Pays de Banon;80
200071033;CC Jabron-Lure-Vançon-Durance;90.4
200071041;CC du Chaourçois et du Val d'Armance;83.7
200071058;CC Les Avant-Monts;88
200071066;CA de Saint-Dié-des-Vosges;84.2
200071074;CC Les Portes de l'Ile de France;71.6
200071082;CA Montluçon Communauté;79.4
200071116;CA ECLA (Espace Communautaire Lons Agglomération);76.7
200071140;CA Moulins Communauté;78.5
200071165;CA Les Sables d'Olonne Agglomération;80.5
200071173;CC du Pays Arnay Liernais;84
200071181;CC Somme Sud-Ouest;87
200071199;CC Plaine Limagne;89.3
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;84.1
200071215;CC Chavanon Combrailles et Volcans;80.7
200071223;CC Nièvre et Somme;87.9
200071298;CC des Terres du Lauragais;87.4
200071314;CC des Hauts-Tolosans;89.8
200071363;CA Vichy Communauté;79.3
200071371;CC Bresse et Saône;90.4
200071389;CC Saint-Pourçain Sioule Limagne;86.1
200071405;CC Ardèche Rhône Coiron;88
200071413;CA Privas Centre Ardèche;82.2
200071454;CA Evreux Portes de Normandie;80.4
200071470;CC Entr'Allier Besbre et Loire;82.8
200071496;CC du Bocage Bourbonnais;82.1
200071504;CC des Collines du Perche Normand;80.8
200071512;CC Commentry Montmarault Néris Communauté;85.5
200071520;CC Domfront Tinchebray Interco;82
200071538;CC Terres de Bresse;89.8
200071546;CC Sud Retz Atlantique;85.7
200071553;CC Loire Layon Aubance;86
200071579;CC Bresse Louhannaise Intercom';86.6
200071587;CC Loches Sud Touraine;82.4
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;79.2
200071629;CC Challans-Gois Communauté;86
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;86.1
200071652;CC du Pays Fertois et du Bocage Carrougien;84.9
200071678;CA Cholet Agglomération;82.6
200071751;CA du Bassin de Bourg-en-Bresse;82.7
200071769;CC Picardie des Châteaux;87.6
200071777;CC d'Arcis, Mailly, Ramerupt;78.7
200071785;CA Chauny Tergnier La Fère;83.5
200071819;CC du Périgord Nontronnais;83.9
200071827;CA du Grand Angoulême;81.4
200071843;CC du Vexin Normand;80.2
200071850;CC du Pithiverais-Gâtinais;82.6
200071868;CC des Vallées du Haut-Anjou;87
200071876;CA Saumur Val de Loire;81.8
200071884;CC Le Grand Charolais;83.1
200071892;CA du Saint-Quentinois;77.5
200071900;CC Vendée Grand Littoral;87.4
200071918;CC du Pays de Saint-Fulgent - Les Essarts;88.3
200071926;CC du Limouxin;82
200071934;CC du Pays de Fontenay-Vendée;85.4
200071942;CC Haut Limousin en Marche;78.3
200071967;CC Pays d'Evian Vallée d'Abondance;75.5
200071983;CC Thiérache Sambre et Oise;85.5
200071991;CC Retz en Valois;81.3
200072007;CC Montagne d'Ardèche;69.2
200072015;CA Annonay Rhône Agglo;87
200072023;CC Coeur de Charente;88.1
200072031;CA de la Région de Château-Thierry;77.4
200072049;CC de Charente Limousine;83.4
200072056;CC Porte du Jura;86
200072064;CC Val-de-Cher-Controis;86.4
200072072;CA Territoires Vendômois;80.1
200072080;CC du Pays de Saint-Eloy;83.3
200072098;CC Combrailles Sioule et Morge;90.5
200072106;CC Adour Madiran;87.8
200072130;CA du Pays de Meaux;59.3
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;72.4
200072312;CA Seine Normandie Agglomération;75.9
200072320;CC Val de Gers;86.4
200072346;CA du Pays de Fontainebleau;61.5
200072452;CA Fougères Agglomération;81.8
200072460;CA de Béthune-Bruay, Artois-Lys Romane;86.1
200072478;CC Pays d'Opale;88.5
200072544;CC des Deux Morin;79.1
200072635;CC Pyrénées Haut Garonnaises;82.3
200072643;CC Coeur et Coteaux du Comminges;83.9
200072650;CC Touraine Vallée de l'Indre;87.5
200072668;CC Touraine Val de Vienne;82.8
200072676;CC Maine Saosnois;84.3
200072684;CC Le Gesnois Bilurien;88.1
200072692;CC des Vallées de la Braye et de l'Anille;80.7
200072700;CC Haute Sarthe Alpes Mancelles;86.2
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;86.4
200072726;CC Châteaubriant-Derval;84.7
200072734;CC Estuaire et Sillon;85.2
200072825;CC Mirebellois et Fontenois;90.4
200072874;CC Val Briard;76.7
200072882;CC de Vie et Boulogne;90.4
200072981;CC Touraine Ouest Val de Loire;85.7
200072999;CC du Grand Langres;81.3
200073013;CC Carnelle Pays-de-France;75.4
200073096;CA Arche Agglo;83.4
200073104;CC de l'Ile-Rousse - Balagne;83
200073112;CC Sud Sarthe;84
200073120;CC Nebbiu - Conca d'Oro;83.8
200073138;CC Pasquale Paoli;87.4
200073146;CC Cagire Garonne Salat;87.3
200073161;CC Touraine-Est Vallées;86
200073237;CC de Gâtine-Racan;89.3
200073245;CC du Bassin d'Aubenas;86.1
200073252;CC de la Castagniccia-Casinca;89.7
200073260;CC Sud Vendée Littoral;86.2
200073344;CA Rambouillet Territoires;65
200073393;CC des Rives du Haut Allier;77.9
200073401;CC Mézenc-Loire-Meygal;83.5
200073419;CA du Puy-en-Velay;80.3
200073427;CC Marches du Velay-Rochebaron;89.3
200077014;CA Vienne Condrieu;80
200083392;CA Laval Agglomération;80.1
200084952;Le Havre Seine Métropole;72.5
200085728;CC Brioude Sud Auvergne;83.6
200085751;CC Entre Bièvre et Rhône;86.1
200089456;CA Seine-Eure;84.7
200090504;CA Coulommiers Pays de Brie;72
200090561;CC Vierzon-Sologne-Berry;81.5
200090579;CC Terre d'Émeraude Communauté;87.2
200090751;CA Grand Calais Terres et Mers;79.6
200093201;Métropole Européenne de Lille;65.5
200096634;CC des Hautes Vosges;88.1
200096642;CC Gérardmer Hautes Vosges;78.4
200096675;CC Baud Communauté;90.2
200096683;CC Centre Morbihan Communauté;87.7
200096956;CA Agglomération d'Agen;81.5
240100610;CC de la Côtière à Montluel;77.1
240100750;CA du Pays de Gex;74
240100800;CC de Miribel et du Plateau;76.6
240100883;CC de la Plaine de l'Ain;81.9
240100891;CC Terre Valserhône (CCTV);77.7
240200444;CC de la Thiérache du Centre;81.1
240200469;CC du Pays de la Serre;85.8
240200477;GrandSoissons Agglomération;79.2
240200493;CC du Pays du Vermandois;85.6
240200501;CC du Val de l'Aisne;88.1
240200519;CC du Canton d'Oulchy-le-Château;89.4
240200576;CC de la Champagne Picarde;87.5
240200584;CC du Canton de Charly-sur-Marne;68.4
240200592;CC du Chemin des Dames;88.3
240200600;CC des Trois Rivières;82.7
240200634;CC des Portes de la Thiérache;78.7
240300491;CC du Pays de Lapalisse;84.5
240300558;CC du Pays de Tronçais;82.3
240300566;CC du Val de Cher;89.3
240300657;CC du Pays d'Huriel;90.9
240400440;CC Pays Forcalquier et Montagne de Lure;79.1
240500439;CC du Briançonnais;67.5
240500462;CC du Pays des Ecrins;81.9
240600551;CA de la Riviera Française;45.2
240600585;CA de Sophia Antipolis;72.4
240600593;CC du Pays des Paillons;81.9
240700302;CC du Pays Beaume-Drobie;80.1
240700617;CC Val de Ligne;85
240700716;CC du Val d'Ay;90.4
240700815;CC Berg et Coiron;84.5
240700864;CC du Rhône aux Gorges de l'Ardèche;87.7
240800821;CC Ardenne, Rives de Meuse;82.2
240800847;CC des Portes du Luxembourg;84.2
240800862;CC des Crêtes Préardennaises;86.2
240800920;CC de l'Argonne Ardennaise;79.6
240900431;CC du Pays de Tarascon;82.6
240900464;CC du Pays d'Olmes;83.4
241000223;CC Forêts, Lacs, Terres en Champagne;89.4
241000405;CC de la Région de Bar sur Aube;78.8
241000447;CC du Pays d'Othe;89
241000488;CC de l'Orvin et de l'Ardusson;85
241100593;CA Le Grand Narbonne;80.4
241200187;CA Rodez Agglomération;79.7
241200542;CC du Réquistanais;66.8
241200567;CC de Millau Grands Causses;76.3
241200625;CC du Pays Rignacois;84.1
241200641;CC Conques-Marcillac;85.8
241200658;CC du Pays de Salars;83.2
241200674;CC du Plateau de Montbazens;87.4
241200765;CC de Lévézou Pareloup;68.1
241200807;CC Aveyron Bas Ségala Viaur;77.2
241200906;CC Larzac et Vallées;58
241200914;CC de la Muse et des Raspes du Tarn;72.9
241300375;CC Vallée des Baux-Alpilles (CC VBA);79.9
241300417;CA d'Arles-Crau-Camargue-Montagnette;78.1
241400415;CC Coeur Côte Fleurie;70.7
241400514;CC du Pays de Falaise;87.1
241400555;CC de Bayeux Intercom;76.9
241400860;CC Coeur de Nacre;83.2
241400878;CC Terre d'Auge;86.2
241500230;Aurillac Agglomération;79
241500255;CC du Pays Gentiane;76.2
241500271;CC du Pays de Mauriac;80.9
241501055;CC Sumène - Artense;86.3
241501089;CC Cère et Goul en Carladès;79.5
241501139;CC du Pays de Salers;76.6
241600303;CC du Rouillacais;88
241700434;CA de La Rochelle;69.6
241700459;CC de l'Ile de Ré;70.2
241700517;CC Coeur de Saintonge;88.7
241700624;CC de l'Ile d'Oléron;80.5
241700632;CC de Gémozac et de la Saintonge Viticole;91.3
241700640;CA Royan Atlantique;83.9
241700699;CC du Bassin de Marennes;84.7
241800374;CC la Septaine;82.6
241800424;CC le Dunois;82.4
241800432;CC les Trois Provinces;75.8
241800457;CC FerCher;87.7
241800507;CA Bourges Plus;78.9
241900133;CC de Ventadour - Egletons - Monédières;85.6
241927201;CA Tulle Agglo;82.5
241927243;CC du Pays d'Uzerche;82.9
242000354;CA de Bastia;78.5
242000495;CC de l'Alta Rocca;85.3
242000503;CC Celavu-Prunelli;92.2
242010056;CA du Pays Ajaccien;78.6
242010130;CC du Sartenais Valinco Taravo;82
242020071;CC du Centre Corse;75
242020105;CC de Calvi Balagne;67.1
242100154;CC des Vallées de la Tille et de l'Ignon;82.2
242100410;Dijon Métropole;59.8
242101434;CC du Pays Châtillonnais;79.1
242101442;CC de Saulieu-Morvan;79.8
242101459;CC du Pays d'Alésia et de la Seine;78.5
242101491;CC du Montbardois;77.4
242101509;CC Rives de Saône;87.8
242200715;CC du Kreiz-Breizh (CCKB);79
242300135;CC du Pays Sostranien;83.6
242320000;CC de Bénévent Grand Bourg;80.3
242320109;CC du Pays Dunois;83
242400752;CC Périgord-Limousin;82.1
242400935;CC du Pays de Saint Aulaye;82.7
242401024;CC Isle-Loue-Auvézère en Périgord;78.3
242500320;CC Entre Doubs et Loue;89.2
242500338;CC du Grand Pontarlier;79.6
242500361;CU Grand Besançon Métropole;68.9
242504116;CC du Val de Morteau;84.6
242504181;CC des Portes du Haut-Doubs;81.5
242504355;CC du Plateau de Russey;87.3
242504371;CC du Pays de Sancey-Belleherbe;82.6
242504447;CC du Doubs Baumois;84.8
242504488;CC Altitude 800;83.1
242504496;CC du Plateau de Frasne et du Val de Drugeon;87.9
242600252;CC du Val de Drôme en Biovallée;85.5
242600492;CC Dieulefit-Bourdeaux;75.9
242600534;CC du Diois;64.9
242700276;CC du Pays de Conches;89
242700607;CC du Pays du Neubourg;90.5
242852465;CC du Bonnevalais;85.1
242900074;CC du Pays d'Iroise;88.1
242900314;Brest Métropole;70.5
242900553;CC du Pays des Abers;89.5
242900561;CC de Haute Cornouaille;86.5
242900629;CC Cap Sizun - Pointe du Raz;83.6
242900645;CC Douarnenez Communauté;75.8
242900660;CC du Pays Fouesnantais;89.9
242900694;CA Quimperlé Communauté;87.4
242900702;CC du Pays Bigouden Sud;86.3
242900710;CC du Haut Pays Bigouden;88
242900744;CC Poher Communauté;84.9
242900751;CC du Pays de Landivisiau;87.7
242900769;CA Concarneau Cornouaille Agglomération;85.2
242900793;CC Communauté Lesneven Côte des Légendes;87.9
242900801;CA du Pays de Landerneau-Daoulas;88.1
242900835;CA Morlaix Communauté;84.5
243000270;CC du Pays Viganais;76.3
243000296;CC du Pays de Sommières;87
243000569;CC Rhony, Vistre, Vidourle;87.1
243000585;CC Beaucaire Terre d'Argence;86.2
243000593;CC de Petite Camargue;88
243000643;CA de Nîmes Métropole;75.9
243000650;CC Terre de Camargue;78.7
243000684;CC du Pont du Gard;88.9
243100518;Toulouse Métropole;58.5
243100567;CC Aux sources du Canal du Midi;84.8
243100633;CA du Sicoval;76.7
243100732;CC des Coteaux du Girou;86.8
243100773;CC Val'Aïgo;88.6
243100781;Le Grand Ouest Toulousain agglomération;86.2
243100815;CC des Coteaux Bellevue;86.3
243200391;CC de la Lomagne Gersoise;82.4
243200409;CC du Bas Armagnac;83.7
243200417;CC de la Tenarèze;81
243200425;CC Coeur d'Astarac en Gascogne;79.2
243200458;CC du Grand Armagnac;79.3
243200508;CC Bastides et Vallons du Gers;83.6
243200599;CC du Saves;88.1
243200607;CC Artagnan de Fezensac;80.8
243300316;Bordeaux Métropole;57
243300563;CA Bassin d'Arcachon Sud (COBAS);79.2
243300811;CC de l'Estuaire;88.6
243301165;CC Jalle-Eau-Bourde;85.7
243301181;CC Latitude Nord Gironde;86.7
243301215;CC du Créonnais;88.4
243301223;CC du Grand Cubzaguais;86
243301249;CC Les Rives de la Laurence;86
243301264;CC de Montesquieu;87.3
243301355;CC les Coteaux Bordelais;87.5
243301371;CC du Pays Foyen;82.7
243301389;CC Médullienne;89.6
243301397;CC du Fronsadais;87.9
243301405;CC du Val de l'Eyre;90.1
243301439;CC des Portes de l'Entre-Deux-Mers;85.9
243301447;CC Médoc Estuaire;88.4
243301454;CC Castillon/Pujols;84.2
243301504;CA du Bassin d'Arcachon Nord (COBAN);84.3
243400017;Montpellier Méditerranée Métropole;61.2
243400355;CC du Clermontais;86.2
243400470;CA du Pays de l'Or;81.3
243400488;CC la Domitienne;88.5
243400520;CA Lunel Agglo;84.2
243400694;CC Vallée de l'Hérault;85.5
243400736;CC des Cévennes Gangeoises et Suménoises;83.8
243400769;CA de Béziers-Méditerranée;80.9
243400819;CA Hérault-Méditerranée;81.5
243500139;Rennes Métropole;60.3
243500550;CC Montfort Communauté;80.9
243500618;CC Brocéliande Communauté;83.6
243500634;Roche aux Fées Communauté;85
243500659;CC Pays de Châteaugiron Communauté;87.4
243500667;CC Val d'Ille-Aubigné;84.5
243500725;CC Côte d'Emeraude;79.1
243500733;CC Bretagne Romantique;85.1
243500741;CA Redon Agglomération;85.4
243500774;CC Liffré-Cormier Communauté;84.3
243500782;CA du Pays de Saint Malo Agglomération;77.2
243600202;CC Chabris - Pays de Bazelle;85.6
243600236;CC du Pays d'Issoudun;84.1
243600293;CC Levroux Boischaut Champagne;84.8
243600301;CC Val de l'Indre - Brenne;87.1
243600319;CC Brenne - Val de Creuse;81.8
243600327;CA Châteauroux Métropole;79.9
243600343;CC Coeur de Brenne;78
243600350;CC de la Châtre et Sainte-Sévère;83
243700499;CC du Castelrenaudais;86.3
243700754;Tours Métropole Val de Loire;63.7
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;85.9
243800604;CA Porte de l'Isère (CAPI);80.2
243800745;CC de l'Oisans;61
243800935;CC Lyon-Saint-Exupéry en Dauphiné;87.2
243800984;CA du Pays Voironnais;76.2
243801024;CC du Massif du Vercors;74
243801073;CC de Bièvre Est;84.4
243801255;CC Collines Isère Nord Communauté;90.7
243900354;CC de la Station des Rousses-Haut Jura;87.4
243900420;CC du Val d'Amour;86.5
243900479;CC Haut-Jura Arcade Communauté;88.2
243900560;CC Jura Nord;90.1
243900610;CC la Grandvallière;86.5
243901089;CC de la Plaine Jurassienne;87.3
244000543;CC de Mimizan;85.1
244000659;CC du Seignanx;87.1
244000675;CA du Grand Dax;84.1
244000691;CC du Pays Morcenais;85.2
244000766;CC du Pays Tarusate;91.4
244000774;CC du Pays de Villeneuve en Armagnac Landais;91.4
244000808;CA Mont de Marsan Agglomération;82.3
244000824;CC du Pays Grenadois;89.8
244000857;CC Côte Landes Nature;85
244000865;CC Maremne Adour Côte Sud;87.3
244000873;CC des Grands Lacs;85
244000881;CC Coteaux et Vallées des Luys;88.7
244100293;CC des Collines du Perche;70.4
244100780;CC de la Sologne des Etangs;84.4
244100798;CC du Grand Chambord;89.6
244100806;CC de la Sologne des Rivières;79.1
244200614;CC des Vals d'Aix et Isable;84.6
244200622;CC des Monts du Pilat;85.4
244200630;CC du Pays Entre Loire et Rhône;85.1
244200770;Saint-Étienne Métropole;73.8
244200820;CC du Pays d'Urfé;81.7
244200895;CC du Pilat Rhodanien;86.2
244300307;CC Haut Pays du Velay;87.9
244301016;CC des Sucs;87.3
244301099;CC Auzon Communauté;86.4
244301107;CC du Haut Lignon;81.5
244301123;CC des Pays de Cayres et de Pradelles;75.7
244301131;CC Loire et Semène;89.6
244400404;Nantes Métropole;57
244400438;Grand Lieu Communauté;87.8
244400453;CC du Pays de Blain;86.9
244400503;CC d'Erdre et Gesvres;86.2
244400537;CC de Nozay;85.3
244400552;CC du Pays d'Ancenis;84.1
244400586;CC du Sud Estuaire;88
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);83.1
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);78.9
244500203;CA Montargoise et Rives du Loing (AME);77.5
244500211;CC Giennoises;83.5
244500419;CC des Quatre Vallées;83.4
244500427;CC des Loges;89.2
244500468;Orléans Métropole;67.4
244500484;CC de la Forêt;89.7
244500542;CC de la Plaine du Nord Loiret;89.1
244600433;CC de la Vallée du Lot et du Vignoble;82.7
244600482;CC Quercy - Bouriane;83.1
244600532;CC du Pays de Lalbenque-Limogne;84.9
244600573;CC du Causse de Labastide Murat;82.7
244700449;CC du Pays de Duras;80.8
244700464;CC du Pays de Lauzun;83
244701355;CC des Coteaux et Landes de Gascogne;87.3
244701405;CC Lot et Tolzac;83.5
244800405;CC Coeur de Lozère;81.4
244800470;CC du Gévaudan;78.2
244900015;CU Angers Loire Métropole;68.2
244900809;CC Anjou Bleu Communauté;84.7
244900882;CC Baugeois Vallée;85.5
245100615;CC de la Grande Vallée de la Marne;85.4
245100888;CC de la Brie Champenoise;86.8
245100979;CC du Sud Marnais;81.4
245200597;CC des Trois Forêts;86.1
245300223;CC du Pays de Meslay-Grez;85.1
245300355;CC de l'Ernée;84.3
245300389;CC du Bocage Mayennais;78.7
245300447;CC du Pays de Château-Gontier;81.7
245400171;CC Moselle et Madon;86.6
245400189;CC des Pays du Sel et du Vermois;84
245400262;Agglomération du Grand Longwy;83
245400510;CC du Pays de Colombey et du Sud Toulois;87.3
245400601;CC du Bassin de Pompey;85.3
245400676;Métropole du Grand Nancy;61.7
245400759;CC du Pays du Sanon;85.4
245500327;CC du Sammiellois;81.1
245501176;CC du Territoire de Fresnes-en-Woëvre;88.4
245501184;CC du Pays de Revigny-sur-Ornain;84.8
245501242;CC du Pays d'Étain;87.4
245501259;CC du Pays de Montmédy;89.2
245600440;CC Blavet Bellevue Océan;90
245600465;CC de Belle Ile en Mer;68.2
245614383;CC Questembert Communauté;86.4
245614417;CC Roi Morvan Communauté;84.2
245614433;CC Pontivy Communauté;86.1
245700133;CC du District Urbain de Faulquemont (DUF);87.8
245700372;CA de Forbach Porte de France;89.8
245700398;CC de Freyming-Merlebach;89.3
245700695;CC de Cattenom et Environs;82.9
245700950;CC du Pays de Phalsbourg;86.1
245701164;CC du Warndt;92.3
245701206;CC du Saulnois;86.2
245701222;CA du Val de Fensch;83.9
245701271;CC du Pays Orne Moselle;87.9
245701354;CC de l'Arc Mosellan;88.1
245701362;CA Portes de France-Thionville;74.4
245701404;CC du Pays Haut Val d'Alzette;81
245801063;CC Loire et Allier;91.7
245804406;CA de Nevers;78
245804497;CC du Nivernais Bourbonnais;88.3
245900428;CU de Dunkerque;76.4
245900758;CC Flandre Lys;86.9
245901038;CC du Pays Solesmois;85.9
245901152;CA Coeur d'Ostrevent;84.8
245901160;CA Valenciennes Métropole;79.8
246000129;CC du Liancourtois;81.2
246000376;CC du Clermontois;80.4
246000566;CC du Plateau Picard;83.5
246000582;CC des Sablons;79.4
246000707;CC du Vexin-Thelle;81.4
246000749;CC des Lisières de l'Oise;85.5
246000756;CC du Pays Noyonnais;83
246000764;CC de l'Aire Cantilienne;64
246000772;CC des Deux Vallées;87.5
246000848;CC de la Picardie Verte;83.7
246000855;CC du Pays des Sources;89.8
246000871;CC du Pays de Valois;78.9
246000897;CC de la Plaine d'Estrées;88.6
246000913;CC du Pays de Bray;85.9
246000921;CC des Pays d'Oise et d'Halatte;82.4
246100390;CC du Val d'Orne;83
246100663;CU d'Alençon;78.7
246200299;CA d'Hénin-Carvin;83.7
246200364;CA de Lens - Liévin;85.7
246200380;CC de la Terre des Deux Caps;86.8
246200729;CA du Boulonnais;78.6
246200844;CC de la Région d'Audruicq;91.2
246201016;CC du Pays de Lumbres;89.6
246300701;Clermont Auvergne Métropole;68.7
246300966;CC du Massif du Sancy;70.9
246301097;CC Entre Dore et Allier;89.6
246400337;CC de la Vallée d'Ossau;81.5
246401756;CC Pays de Nay;89.1
246500482;CC de la Haute-Bigorre;81.2
246500573;CC Aure Louron;71.2
246600282;CC Sud-Roussillon;85.6
246600373;CC du Vallespir;82.9
246600399;CC Pyrénées Cerdagne;79.6
246600415;CC Roussillon-Conflent;86.5
246600423;CC Agly Fenouillèdes;70.5
246600449;CC des Aspres;88.2
246600464;CC Pyrénées Catalanes;78.5
246600548;CC du Haut Vallespir;72.6
246700306;CC de la Vallée de la Bruche;82.5
246700488;Eurométropole de Strasbourg;50.4
246700744;CC des Portes de Rosheim;83.9
246700777;CC de la Vallée de Villé;84.9
246700843;CC de la Basse-Zorn;85
246700926;CC du Pays de Wissembourg;76.7
246700959;CC du Pays de la Zorn;83.6
246700967;CC de Sélestat;73.5
246701064;CC de la Région de Molsheim-Mutzig;76.9
246701080;CC du Pays de Sainte-Odile;78.8
246701098;CC du Pays de Niederbronn-les-Bains;83.2
246800205;CC de la Vallée de Saint-Amarin;83
246800395;CC du Val d'Argent;72.2
246800445;CC du Centre du Haut-Rhin;79.4
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;79.8
246800551;CC de la Vallée de Kaysersberg;83.5
246800569;CC de la Région de Guebwiller;82.4
246800577;CC du Pays de Ribeauvillé;80.4
246800585;CC de la Vallée de Munster;80.6
246800676;CC de la Vallée de la Doller et du Soultzbach;88
246800726;CA Colmar Agglomération;71.2
246900575;CC de l'Est Lyonnais (CCEL);86.5
246900625;CC du Pays de l'Arbresle (CCPA);79.7
246900724;CC des Vallons du Lyonnais (CCVL);81.5
246900740;CC du Pays Mornantais (COPAMO);85.5
246900757;CC de la Vallée du Garon (CCVG);78.8
246900765;CC du Pays de l'Ozon;86
247000011;CA de Vesoul;75.3
247000367;CC des Combes;88.9
247000623;CC des Quatre Rivières;86.7
247000664;CC du Pays de Lure;86.5
247000698;CC des Monts de Gy;88.9
247000706;CC du Pays Riolais;90.3
247000714;CC du Pays de Villersexel;86.6
247000722;CC du Pays d'Héricourt;89.1
247000755;CC du Pays de Luxeuil;83.9
247000821;CC Rahin et Chérimont;88.4
247000854;CC des 1000 étangs;84.2
247100290;CU Le Creusot Montceau-les-Mines;85.6
247100589;CA Le Grand Chalon;79.9
247100639;CC de Marcigny;81.8
247100647;CC Bresse Nord Intercom';85.5
247103765;CC Entre Saône et Grosne;86.8
247103864;CC de Semur en Brionnais;87.9
247104094;CC Sud Côte Chalonnaise;87.1
247200090;CC du Pays Sabolien;78.7
247200132;CU Le Mans Métropole;65.2
247200348;CC du Pays Fléchois;83.3
247200421;CC du Sud Est Manceau;90.5
247200447;CC Orée de Bercé - Belinois;89.8
247200629;CC du Val de Sarthe;88.9
247200686;Communauté de communes du Perche Emeraude;83.3
247300015;CC des Vallées d'Aigueblanche;86.4
247300254;CC de Haute-Tarentaise;56
247300262;CC de Yenne;86
247300361;CC du Canton de La Chambre;81.4
247300452;CC Maurienne Galibier;66.8
247300528;CC Val Guiers;89
247300668;CC du Lac d'Aiguebelette (CCLA);83.8
247300676;CC Porte de Maurienne;84.7
247300817;CC Les Versants d'Aime;75.9
247400047;CC de la Vallée Verte;87.4
247400112;CC du Pays de Cruseilles;86.5
247400567;CC Fier et Usses;89.8
247400583;CC Arve et Salève;82.1
247400617;CC des Vallées de Thônes;83.1
247400666;CC des Quatre Rivières;89.9
247400682;CC du Haut Chablais;78.2
247400690;CC du Genevois;71.5
247400724;CC du Pays Rochois;83.5
247400740;CC Rumilly Terre de Savoie;85.4
247400773;CC des Sources du Lac d'Annecy;81.2
247600505;CC Campagne-de-Caux;89.1
247600588;CC des Villes Soeurs;85.1
247600604;CC de Londinières;89.9
247600620;CC Yvetot Normandie;80.7
247600646;CC Caux - Austreberthe;86.8
247600729;CC Falaises du Talou;87.9
247600786;CA de la Région Dieppoise;75.9
247700032;CC Moret Seine et Loing;66
247700057;CA Melun Val de Seine;59.9
247700065;CC du Pays de l'Ourcq;75.4
247700107;CC Pays de Montereau;69.3
247700339;CA Val d'Europe Agglomération;59.4
247700594;CA Marne et Gondoire;54.7
247700644;CC l'Orée de la Brie;76.6
247700701;CC Brie Nangissienne;69.3
247800550;CC du Pays Houdanais (CCPH);79.6
247800584;CA Versailles Grand Parc (CAVGP);46.6
247800618;CC Coeur d'Yvelines;76.4
247900798;CC du Thouarsais;86.3
248000499;CC du Val de Somme;85.2
248000531;CA Amiens Métropole;64.3
248000747;CC du Pays du Coquelicot;81.5
248100158;CC du Sor et de l'Agout;90.5
248100430;CA de Castres Mazamet;82
248100497;CC Val 81;80.2
248100737;CA de l'Albigeois (C2A);79.3
248100745;CC Thoré Montagne Noire;85.9
248200016;CC des Deux Rives;85.1
248200057;CC du Quercy Caussadais;85.3
248200065;CC de la Lomagne Tarn-et-Garonnaise;86.2
248200099;CA Grand Montauban;81.5
248200107;Quercy Rouergue et des Gorges de l'Aveyron;77.7
248300394;CA Sud Sainte Baume;81.3
248300410;CC de la Vallée du Gapeau;86
248300493;Dracénie Provence Verdon Agglomération;82.5
248300543;Métropole Toulon-Provence-Méditerranée;70.5
248300550;CC Coeur du Var;86.9
248400053;CA Ventoux-Comtat-Venaissin (COVE);84.6
248400160;CC Aygues-Ouvèze en Provence (CCAOP);89
248400236;Pays d'Orange en Provence;81.9
248400251;CA du Grand Avignon (COGA);76.9
248400285;Communauté de Communes Sud Luberon;84.8
248400293;CA des Sorgues du Comtat;88.1
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;83.8
248400335;CC Vaison Ventoux;83.9
248500191;CC de l'Ile de Noirmoutier;78.6
248500258;CC Océan Marais de Monts;84.6
248500340;CC Pays de Chantonnay;88.8
248500415;CC du Pays de la Châtaigneraie;84.8
248500464;CC du Pays de Pouzauges;87.8
248500530;CC du Pays des Achards;89.8
248500563;CC Vendée, Sèvre, Autise;88.4
248500589;CA La Roche-sur-Yon - Agglomération;82.2
248500621;CC du Pays des Herbiers;87.8
248500662;CC du Pays de Mortagne;87.8
248600413;CA Grand Châtellerault;85
248600447;CC du Pays Loudunais;84.7
248700189;CC du Pays de Saint Yrieix;80.4
248719262;CC Gartempe - Saint Pardoux;85.5
248719288;CC du Val de Vienne;90.9
248719312;CU Limoges Métropole;78.7
248719338;CC Briance-Combade;83.4
248719353;CC des Portes de Vassivière;69.3
248719361;CC de Noblat;91.4
248900334;CA du Grand Sénonais;74.4
248900383;CC de l'Agglomération Migennoise;82.4
248900524;CC de l'Aillantais en Bourgogne;85.9
248900664;CC de la Vanne et du Pays d'Othe;86.4
248900748;CC du Gâtinais en Bourgogne;85.9
248900896;CC Yonne Nord;81.6
248900938;CC du Jovinien;78.3
