Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200035848;CC du Châtillonnais en Berry;79.9
200035855;CC Castelnaudary Lauragais Audois;76.5
200035863;CC Région Lézignanaise, Corbières et Minervois;83.3
200035970;CC Vexin Centre;77.8
200036069;CC du Pays de Mortagne-au-Perche;77.2
200036077;CC du Golfe de Saint-Tropez;75.8
200036135;CC Coeur de France;78
200036150;CC des Hauts du Val de Saône;82.2
200036465;CC de Thann-Cernay;83.6
200036473;CA "Saintes - Grandes Rives - L'Agglo";83.6
200036499;CC de Marana-Golo;91.7
200036523;CC des Bastides en Haut Agenais Périgord;83.7
200036549;CC Val de Gray;82.1
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);86.2
200037133;CC du Provinois;72.1
200038958;CC de la Pieve de l'Ornano et du Taravo;87.8
200038990;CC de Saint-Méen Montauban;84.4
200039022;CA Vitré Communauté;82.5
200039055;CC Ouche et Montagne;87.6
200039063;CC Forêts, Seine et Suzon;87.3
200039204;CC de Lacq-Orthez;88.9
200039519;CC du Quercy Blanc;82.1
200039642;CC Le Tonnerrois en Bourgogne;73.4
200039709;CC du Serein;83.7
200039758;CC Avallon, Vézelay, Morvan;79.4
200039808;CC des Gorges de l'Ardèche;82.9
200039824;CC Ardèche des Sources et Volcans;79.4
200039832;CC Pays des Vans en Cévennes;82.1
200039857;CA du Pays de Grasse;82.9
200039865;Metz Métropole;67.6
200039907;CC du Sud Messin;90.9
200039915;CA Cannes Pays de Lérins;65.7
200039931;CC Alpes d'Azur;74.1
200039949;CC Rives de Moselle;83.3
200040038;CC Saône Doubs Bresse;88
200040095;CC Isle Vern Salembre en Périgord;90.4
200040111;CC Coeur de Chartreuse;84.1
200040137;CC des Lacs de Champagne;82.8
200040178;CC de l'Outre-Forêt;87.9
200040202;CC Provence Verdon;86
200040210;CC Lacs et Gorges du Verdon;74.9
200040244;CA du Bocage Bressuirais;85.9
200040251;CC Bassée-Montois;76.7
200040277;CA Agglo du Pays de Dreux;82.4
200040293;CC du Clunisois;75.2
200040350;CC Bugey Sud;83.3
200040384;CC Isle Double Landais;86
200040392;CA Le Grand Périgueux;81
200040400;CC du Périgord Ribéracois;85.6
200040418;CC du Pays de Serres en Quercy;79.3
200040426;CC du Val de l'Oise;89
200040442;CA Luberon Monts de Vaucluse;84.3
200040459;CA Montélimar Agglomération;83.5
200040475;LBN Communauté;85.6
200040491;CC Porte de Dromardèche;86.1
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;68.6
200040558;CC Écueillé-Valençay;81.8
200040566;CA de l'Ouest Rhodanien;80
200040574;CC Beaujolais Pierres Dorées;81.3
200040590;CA Villefranche Beaujolais Saône;74.9
200040624;CC Pays d'Apt-Luberon;81.6
200040657;CC de la Matheysine;84.7
200040681;CC Enclave des Papes - Pays de Grignan;84.2
200040715;Grenoble-Alpes-Métropole;54
200040764;CC du Sud Corse;88.3
200040772;CC du Perche et Haut Vendômois;85.5
200040798;CC Val Vanoise;66.6
200040814;CC Briance Sud Haute Vienne;86.8
200040830;CC du Pays de Fénelon;86
200040889;CC de Portes Sud Périgord;80.5
200040905;CC Carmausin-Ségala;86.9
200040947;CA Coeur de Flandre;80.4
200040954;CC des Hauts de Flandre;87
200041010;CC Coeur de Savoie;85.3
200041051;CC Vallée de la Dordogne et Forêt Bessède;82.1
200041150;CC Terrassonnais Haut Périgord Noir;86.3
200041168;CC de la Vallée de l'Homme;80.2
200041283;CC de la Plaine du Rhin;91.1
200041317;CA du Niortais;80.6
200041325;CC du Pays Rhénan;84.4
200041333;CC de Parthenay-Gâtine;83.6
200041366;CC Rhône Crussol;83.4
200041416;CC Airvaudais-Val du Thouet;87.6
200041440;CC de Domme- Villefranche du Périgord;82.1
200041465;CC Val Eyrieux;80.6
200041499;CC Aunis Atlantique;89.5
200041507;CA La Riviéra du Levant;87.4
200041515;CC du Bassin de Pont-à-Mousson;79.3
200041523;CC de la Haute Saintonge;87.4
200041556;CC Portes de la Creuse en Marche;79.1
200041572;CC Dronne et Belle;84.4
200041614;CC Aunis Sud;86.3
200041622;CC Ardennes Thiérache;84.8
200041630;Ardenne Métropole;80
200041689;Vals de Saintonge Communauté;85.3
200041721;CC de la Haute Comté;84.6
200041762;CA Rochefort Océan;78
200041788;CA du Pays Nord Martinique;83.4
200041853;CC du Pays de Montbozon et du Chanois;89
200041861;CC du Triangle Vert;91.2
200041879;CC Terres de Saône;89.2
200041887;CC du Val Marnaysien;90.2
200041960;CC Pévèle-Carembault;83.9
200041994;CC Haut Val de Sèvre;83.8
200042000;CC Bruyères-Vallons des Vosges;87.6
200042174;CA Lorient Agglomération;78.6
200042182;CC du Mont des Avaloirs;83.3
