Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
200068104;CA de la Provence Verte;67.7
200068112;CC du Pays de Saverne;38.8
200068120;CA Quimper Bretagne Occidentale;8.3
200068146;CC Sarrebourg Moselle Sud;46
200068229;CC des Baronnies en Drôme Provençale;71.5
200068278;CC Berry Loire Puisaye;27.3
200068294;CC des Deux Vallées Vertes;43.3
200068369;CC de Mirecourt Dompaire;22.6
200068377;CC de la Porte des Vosges Méridionales;59.4
200068435;CC Coeur du Perche;16.1
200068443;CC Andaine - Passais;5.6
200068450;Terres d'Argentan Interco;11.6
200068468;CC des Pays de L'Aigle;20.3
200068484;CC des Causses à l'Aubrac;41.7
200068500;CA de Cambrai;2.6
200068534;CC Terroir de Caux;8.7
200068542;CC Les Balcons du Dauphiné;24
200068559;CC de l'Ouest Vosgien;43.2
200068567;CC Les Vals du Dauphiné;15.6
200068625;CC Alpes-Provence-Verdon "Sources de lumière";92.4
200068641;CA Le Muretain Agglo;7.3
200068658;CA de Chaumont;39.6
200068666;CA du Grand Saint-Dizier Der et Vallées;42.2
200068674;CA Grand Lac;41.1
200068682;CC Terre d'Eau;31.9
200068757;CA d'Epinal;46.1
200068765;CC du Sisteronais-Buëch;74.9
200068773;CC des Vosges côté Sud Ouest;42
200068781;CA Valence Romans Agglo;21.6
200068799;CC Intercom de la Vire au Noireau;6.5
200068807;CC du Bassin Auterivain Haut-Garonnais;8.5
200068815;CC Coeur de Garonne;13.7
200068831;Pays Ségali Communauté;24.2
200068856;CC des Hauts du Perche;34.4
200068864;CC de la Mossig et du Vignoble;40.5
200068872;CC Éguzon - Argenton - Vallée de la Creuse;18.7
200068880;CC Champagne Boischauts;13.3
200068914;CC La Rochefoucauld Porte du Périgord;35.9
200068922;CC du Confluent et des Coteaux de Prayssas;8.9
200068930;CC Fumel Vallée du Lot;31.4
200068948;CC Albret Communauté;28.2
200068955;CC Anjou Loir et Sarthe;20.1
200068963;CC Maine Coeur de Sarthe;8.5
200068989;CA Dinan Agglomération;8.8
200068997;CA Arlysère;79.8
200069003;CC du Barséquanais en Champagne;42.5
200069029;CA des Deux Baies en Montreuillois;14.3
200069037;CA du Pays de Saint-Omer;7.9
200069052;CA Grand Belfort;33.3
200069060;CC des Vosges du Sud;64.8
200069086;CC Leff Armor Communauté;13.8
200069094;CC Isle et Crempse en Périgord;56.6
200069102;CC Randon - Margeride;65.1
200069110;CA du Grand Chambéry;64.4
200069128;CC Mont Lozère;81
200069136;CC des Cévennes au Mont Lozère;96.6
200069144;CC des Hautes Terres de l'Aubrac;58.4
200069151;CC Gorges Causses Cévennes;89.5
200069169;CC Dômes Sancy Artense;34.3
200069177;CC Mond'Arverne Communauté;30
200069185;CC des Terres d'Apcher-Margeride-Aubrac;50.6
200069193;CC de la Dombes;12.2
200069227;CC Pays Fort Sancerrois Val de Loire;15.2
200069235;CC du Haut Pays du Montreuillois;8.2
200069250;CA Troyes Champagne Métropole;19.4
200069268;CC Aubrac Lot Causses Tarn;64.3
200069300;CA Tarbes-Lourdes-Pyrénées;39.4
200069383;Ouest Aveyron Communauté;26.1
200069391;CA Lamballe Terre et Mer;8.4
200069409;CA Saint-Brieuc Armor Agglomération;12.5
200069417;CC Pays d'Orthe et Arrigans;24.5
200069425;CA Mont-Saint-Michel-Normandie;4.4
200069433;CC de Vezouze en Piémont;50.6
200069441;CC du Pays de Bitche;50.3
200069458;CC des Vallées d'Auge et du Merlerault;11.9
200069482;CC des Campagnes de l'Artois;4.3
200069516;CC Seulles Terre et Mer;2
200069524;CC Pré-Bocage Intercom;7.2
200069532;CA Lisieux Normandie;9.6
200069540;CC Norge et Tille;11.5
200069565;CC des Lacs et Montagnes du Haut-Doubs;64.9
200069581;CC Convergence Garonne;53.1
200069599;CC Rurales de l'Entre-Deux-Mers;18.2
200069615;CC Bresse Haute Seille;35
200069623;CC Champagnole Nozeroy Jura;49.5
200069631;CC Terres de Chalosse;18.9
200069649;CC Chalosse Tursan;22.2
200069656;CC Coeur Haute Lande;81.8
200069664;CC Meuse Rognon;44.2
200069672;CC du Ternois;5.9
200069698;CC Mâconnais - Tournugeois;26.8
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;21
200069730;CC des Quatre Rivières en Bray;17.2
200069748;CC Val de Gâtine;6.2
200069755;CC Mellois en Poitou;11.2
200069763;CC du Haut Poitou;9.4
200069821;CA Fécamp Caux Littoral Agglomération;11.4
200069839;CC de la Côte d'Albâtre;5.4
200069847;CC Plateau de Caux;4.4
200069854;CU du Grand Poitiers;19
200069912;CC des Forêts du Perche;37.3
200069953;CC des Portes Euréliennes d'Ile de France;12.1
200069961;CC du Grand Châteaudun;8.6
200069995;CC Médoc Coeur de Presqu'île;37.5
200070035;CC du Civraisien en Poitou;11.4
200070043;CC Vienne et Gartempe;13.1
200070068;CC Bray-Eawy;19.4
200070092;CA du Libournais;25.3
200070100;CC du Val de Sully;41.9
200070118;CC Val de Saône Centre;5.8
200070126;CC Seine et Aube;10
