Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
200070969;CC Avre Luce Noye;9.6
200070977;CC du Grand Roye;7.4
200070985;CC de l'Est de la Somme;5.7
200070993;CA de la Baie de Somme;8.9
200071017;CC des Terres d'Auxois;19.1
200071025;CC Haute-Provence - Pays de Banon;63.8
200071033;CC Jabron-Lure-Vançon-Durance;82.4
200071041;CC du Chaourçois et du Val d'Armance;32.6
200071058;CC Les Avant-Monts;40.4
200071066;CA de Saint-Dié-des-Vosges;70.4
200071074;CC Les Portes de l'Ile de France;20.5
200071082;CA Montluçon Communauté;12.4
200071116;CA ECLA (Espace Communautaire Lons Agglomération);34.1
200071140;CA Moulins Communauté;18.2
200071165;CA Les Sables d'Olonne Agglomération;8.6
200071173;CC du Pays Arnay Liernais;26.4
200071181;CC Somme Sud-Ouest;12.7
200071199;CC Plaine Limagne;12.5
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;27.9
200071215;CC Chavanon Combrailles et Volcans;37.1
200071223;CC Nièvre et Somme;14
200071298;CC des Terres du Lauragais;1.8
200071314;CC des Hauts-Tolosans;11.2
200071363;CA Vichy Communauté;36.6
200071371;CC Bresse et Saône;8.7
200071389;CC Saint-Pourçain Sioule Limagne;17.3
200071405;CC Ardèche Rhône Coiron;61.8
200071413;CA Privas Centre Ardèche;70.7
200071454;CA Evreux Portes de Normandie;20.9
200071470;CC Entr'Allier Besbre et Loire;9.2
200071496;CC du Bocage Bourbonnais;12.2
200071504;CC des Collines du Perche Normand;14.6
200071512;CC Commentry Montmarault Néris Communauté;11.1
200071520;CC Domfront Tinchebray Interco;11
200071538;CC Terres de Bresse;16.9
200071546;CC Sud Retz Atlantique;5.2
200071553;CC Loire Layon Aubance;8.1
200071579;CC Bresse Louhannaise Intercom';18.9
200071587;CC Loches Sud Touraine;20.5
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;46
200071629;CC Challans-Gois Communauté;1.2
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;28.5
200071652;CC du Pays Fertois et du Bocage Carrougien;22.2
200071678;CA Cholet Agglomération;6.4
200071751;CA du Bassin de Bourg-en-Bresse;24.3
200071769;CC Picardie des Châteaux;40.5
200071777;CC d'Arcis, Mailly, Ramerupt;17.6
200071785;CA Chauny Tergnier La Fère;28.4
200071819;CC du Périgord Nontronnais;49.5
200071827;CA du Grand Angoulême;26.7
200071843;CC du Vexin Normand;10.4
200071850;CC du Pithiverais-Gâtinais;9.6
200071868;CC des Vallées du Haut-Anjou;4.9
200071876;CA Saumur Val de Loire;23.8
200071884;CC Le Grand Charolais;17
200071892;CA du Saint-Quentinois;7.9
200071900;CC Vendée Grand Littoral;6.5
200071918;CC du Pays de Saint-Fulgent - Les Essarts;4
200071926;CC du Limouxin;55.2
200071934;CC du Pays de Fontenay-Vendée;11.8
200071942;CC Haut Limousin en Marche;11.5
200071967;CC Pays d'Evian Vallée d'Abondance;69.7
200071983;CC Thiérache Sambre et Oise;6.6
200071991;CC Retz en Valois;37.5
200072007;CC Montagne d'Ardèche;77.5
200072015;CA Annonay Rhône Agglo;46.2
200072023;CC Coeur de Charente;15.4
200072031;CA de la Région de Château-Thierry;25.7
200072049;CC de Charente Limousine;20.1
200072056;CC Porte du Jura;39.4
200072064;CC Val-de-Cher-Controis;28.2
200072072;CA Territoires Vendômois;12.8
200072080;CC du Pays de Saint-Eloy;22.1
200072098;CC Combrailles Sioule et Morge;31.8
200072106;CC Adour Madiran;19.4
200072130;CA du Pays de Meaux;17
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;91.9
200072312;CA Seine Normandie Agglomération;24.8
200072320;CC Val de Gers;15.1
200072346;CA du Pays de Fontainebleau;59.4
200072452;CA Fougères Agglomération;4.3
200072460;CA de Béthune-Bruay, Artois-Lys Romane;5.5
200072478;CC Pays d'Opale;15.1
200072544;CC des Deux Morin;12.9
200072635;CC Pyrénées Haut Garonnaises;83.6
200072643;CC Coeur et Coteaux du Comminges;19
200072650;CC Touraine Vallée de l'Indre;28.6
200072668;CC Touraine Val de Vienne;18.4
200072676;CC Maine Saosnois;10.2
200072684;CC Le Gesnois Bilurien;24.1
200072692;CC des Vallées de la Braye et de l'Anille;18.3
200072700;CC Haute Sarthe Alpes Mancelles;8.4
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;12.6
200072726;CC Châteaubriant-Derval;9
200072734;CC Estuaire et Sillon;3.2
200072825;CC Mirebellois et Fontenois;28.8
200072874;CC Val Briard;30.1
200072882;CC de Vie et Boulogne;2.8
200072981;CC Touraine Ouest Val de Loire;41.5
200072999;CC du Grand Langres;22.1
200073013;CC Carnelle Pays-de-France;33.1
200073096;CA Arche Agglo;34.7
200073104;CC de l'Ile-Rousse - Balagne;87.1
200073112;CC Sud Sarthe;27.4
200073120;CC Nebbiu - Conca d'Oro;88.2
200073138;CC Pasquale Paoli;96.7
200073146;CC Cagire Garonne Salat;50.6
200073161;CC Touraine-Est Vallées;18
200073237;CC de Gâtine-Racan;22.6
200073245;CC du Bassin d'Aubenas;73.6
200073252;CC de la Castagniccia-Casinca;76
200073260;CC Sud Vendée Littoral;4.4
200073344;CA Rambouillet Territoires;45.6
200073393;CC des Rives du Haut Allier;51.4
200073401;CC Mézenc-Loire-Meygal;32.9
200073419;CA du Puy-en-Velay;37.3
200073427;CC Marches du Velay-Rochebaron;44.1
200077014;CA Vienne Condrieu;27.1
200083392;CA Laval Agglomération;6
200084952;Le Havre Seine Métropole;7
200085728;CC Brioude Sud Auvergne;41
200085751;CC Entre Bièvre et Rhône;20.8
200089456;CA Seine-Eure;32.2
200090504;CA Coulommiers Pays de Brie;22.7
200090561;CC Vierzon-Sologne-Berry;39.2
200090579;CC Terre d'Émeraude Communauté;56.5
200090751;CA Grand Calais Terres et Mers;2.7
200093201;Métropole Européenne de Lille;1
200096634;CC des Hautes Vosges;71.8
200096642;CC Gérardmer Hautes Vosges;72.7
200096675;CC Baud Communauté;20.6
200096683;CC Centre Morbihan Communauté;13.4
200096956;CA Agglomération d'Agen;6.9
240100610;CC de la Côtière à Montluel;26
240100750;CA du Pays de Gex;56.9
240100800;CC de Miribel et du Plateau;8.3
240100883;CC de la Plaine de l'Ain;41.3
240100891;CC Terre Valserhône (CCTV);69.7
240200444;CC de la Thiérache du Centre;11.3
240200469;CC du Pays de la Serre;4.1
240200477;GrandSoissons Agglomération;21.3
240200493;CC du Pays du Vermandois;4.4
240200501;CC du Val de l'Aisne;26.1
240200519;CC du Canton d'Oulchy-le-Château;17.6
240200576;CC de la Champagne Picarde;21.6
240200584;CC du Canton de Charly-sur-Marne;26.5
240200592;CC du Chemin des Dames;34.9
240200600;CC des Trois Rivières;25.3
240200634;CC des Portes de la Thiérache;2.6
240300491;CC du Pays de Lapalisse;17.2
240300558;CC du Pays de Tronçais;30.3
240300566;CC du Val de Cher;16.9
240300657;CC du Pays d'Huriel;7.3
240400440;CC Pays Forcalquier et Montagne de Lure;68
240500439;CC du Briançonnais;95.6
240500462;CC du Pays des Ecrins;96.1
240600551;CA de la Riviera Française;93.9
240600585;CA de Sophia Antipolis;74.3
240600593;CC du Pays des Paillons;86.3
240700302;CC du Pays Beaume-Drobie;84
240700617;CC Val de Ligne;74.1
240700716;CC du Val d'Ay;61
240700815;CC Berg et Coiron;59.8
240700864;CC du Rhône aux Gorges de l'Ardèche;64.3
240800821;CC Ardenne, Rives de Meuse;75.9
240800847;CC des Portes du Luxembourg;25.3
240800862;CC des Crêtes Préardennaises;22
240800920;CC de l'Argonne Ardennaise;23.5
240900431;CC du Pays de Tarascon;86.8
240900464;CC du Pays d'Olmes;76.3
241000223;CC Forêts, Lacs, Terres en Champagne;14.8
241000405;CC de la Région de Bar sur Aube;47.5
241000447;CC du Pays d'Othe;37.4
241000488;CC de l'Orvin et de l'Ardusson;9.9
241100593;CA Le Grand Narbonne;30.2
241200187;CA Rodez Agglomération;13.3
241200542;CC du Réquistanais;25.1
241200567;CC de Millau Grands Causses;67.5
241200625;CC du Pays Rignacois;17.7
241200641;CC Conques-Marcillac;43.1
241200658;CC du Pays de Salars;17.2
241200674;CC du Plateau de Montbazens;16.1
241200765;CC de Lévézou Pareloup;14.2
241200807;CC Aveyron Bas Ségala Viaur;25.5
241200906;CC Larzac et Vallées;68.2
241200914;CC de la Muse et des Raspes du Tarn;47.9
241300375;CC Vallée des Baux-Alpilles (CC VBA);39.6
241300417;CA d'Arles-Crau-Camargue-Montagnette;12.6
241400415;CC Coeur Côte Fleurie;26.8
241400514;CC du Pays de Falaise;10.3
241400555;CC de Bayeux Intercom;0.9
241400860;CC Coeur de Nacre;1.3
241400878;CC Terre d'Auge;5.2
241500230;Aurillac Agglomération;27.5
241500255;CC du Pays Gentiane;44
241500271;CC du Pays de Mauriac;26.9
241501055;CC Sumène - Artense;39.8
241501089;CC Cère et Goul en Carladès;45.1
241501139;CC du Pays de Salers;43.6
241600303;CC du Rouillacais;8.1
241700434;CA de La Rochelle;2
241700459;CC de l'Ile de Ré;17.4
241700517;CC Coeur de Saintonge;15.9
241700624;CC de l'Ile d'Oléron;24.7
241700632;CC de Gémozac et de la Saintonge Viticole;16.9
241700640;CA Royan Atlantique;18.6
241700699;CC du Bassin de Marennes;4.7
241800374;CC la Septaine;14.6
241800424;CC le Dunois;16.9
241800432;CC les Trois Provinces;13.8
241800457;CC FerCher;25.9
241800507;CA Bourges Plus;8.2
241900133;CC de Ventadour - Egletons - Monédières;69.2
241927201;CA Tulle Agglo;43.5
241927243;CC du Pays d'Uzerche;21.4
242000354;CA de Bastia;71
242000495;CC de l'Alta Rocca;92
242000503;CC Celavu-Prunelli;90.1
242010056;CA du Pays Ajaccien;69.5
242010130;CC du Sartenais Valinco Taravo;79.2
242020071;CC du Centre Corse;96.5
242020105;CC de Calvi Balagne;88.5
242100154;CC des Vallées de la Tille et de l'Ignon;46.6
242100410;Dijon Métropole;22
242101434;CC du Pays Châtillonnais;48
242101442;CC de Saulieu-Morvan;45.6
242101459;CC du Pays d'Alésia et de la Seine;26
242101491;CC du Montbardois;41.7
242101509;CC Rives de Saône;27.7
242200715;CC du Kreiz-Breizh (CCKB);12.7
242300135;CC du Pays Sostranien;9.6
242320000;CC de Bénévent Grand Bourg;30.5
242320109;CC du Pays Dunois;15.7
242400752;CC Périgord-Limousin;39.9
242400935;CC du Pays de Saint Aulaye;52.2
242401024;CC Isle-Loue-Auvézère en Périgord;38.1
242500320;CC Entre Doubs et Loue;40.3
242500338;CC du Grand Pontarlier;39.9
242500361;CU Grand Besançon Métropole;41.3
242504116;CC du Val de Morteau;40.9
242504181;CC des Portes du Haut-Doubs;38.6
242504355;CC du Plateau de Russey;39.5
242504371;CC du Pays de Sancey-Belleherbe;41.6
242504447;CC du Doubs Baumois;43.9
242504488;CC Altitude 800;47
242504496;CC du Plateau de Frasne et du Val de Drugeon;38.3
242600252;CC du Val de Drôme en Biovallée;53.9
242600492;CC Dieulefit-Bourdeaux;67.9
242600534;CC du Diois;81.8
242700276;CC du Pays de Conches;32.3
242700607;CC du Pays du Neubourg;13.6
242852465;CC du Bonnevalais;6.1
242900074;CC du Pays d'Iroise;5
242900314;Brest Métropole;10
242900553;CC du Pays des Abers;3.3
242900561;CC de Haute Cornouaille;10.5
242900629;CC Cap Sizun - Pointe du Raz;16.3
242900645;CC Douarnenez Communauté;6.9
242900660;CC du Pays Fouesnantais;10
242900694;CA Quimperlé Communauté;17.3
242900702;CC du Pays Bigouden Sud;12.3
242900710;CC du Haut Pays Bigouden;7.1
242900744;CC Poher Communauté;13.2
242900751;CC du Pays de Landivisiau;11.7
242900769;CA Concarneau Cornouaille Agglomération;8.5
242900793;CC Communauté Lesneven Côte des Légendes;4.2
242900801;CA du Pays de Landerneau-Daoulas;17.6
242900835;CA Morlaix Communauté;19.7
243000270;CC du Pays Viganais;88
243000296;CC du Pays de Sommières;41.7
243000569;CC Rhony, Vistre, Vidourle;19.4
243000585;CC Beaucaire Terre d'Argence;6
243000593;CC de Petite Camargue;3.2
243000643;CA de Nîmes Métropole;28.6
243000650;CC Terre de Camargue;4.2
243000684;CC du Pont du Gard;39.2
243100518;Toulouse Métropole;6.4
243100567;CC Aux sources du Canal du Midi;23.7
243100633;CA du Sicoval;5.8
243100732;CC des Coteaux du Girou;5.8
243100773;CC Val'Aïgo;16.1
243100781;Le Grand Ouest Toulousain agglomération;13.1
243100815;CC des Coteaux Bellevue;13.5
243200391;CC de la Lomagne Gersoise;3.1
243200409;CC du Bas Armagnac;13.9
243200417;CC de la Tenarèze;4.8
243200425;CC Coeur d'Astarac en Gascogne;14.6
243200458;CC du Grand Armagnac;16.9
243200508;CC Bastides et Vallons du Gers;9.3
243200599;CC du Saves;2.4
243200607;CC Artagnan de Fezensac;6.2
243300316;Bordeaux Métropole;24.5
243300563;CA Bassin d'Arcachon Sud (COBAS);69.9
243300811;CC de l'Estuaire;13.2
243301165;CC Jalle-Eau-Bourde;69.8
243301181;CC Latitude Nord Gironde;43.1
243301215;CC du Créonnais;29.6
243301223;CC du Grand Cubzaguais;9.8
243301249;CC Les Rives de la Laurence;7.2
243301264;CC de Montesquieu;63.3
243301355;CC les Coteaux Bordelais;20.6
243301371;CC du Pays Foyen;14.4
243301389;CC Médullienne;87.4
243301397;CC du Fronsadais;9.6
243301405;CC du Val de l'Eyre;83.2
243301439;CC des Portes de l'Entre-Deux-Mers;15.5
243301447;CC Médoc Estuaire;32.1
243301454;CC Castillon/Pujols;12.6
243301504;CA du Bassin d'Arcachon Nord (COBAN);79.9
243400017;Montpellier Méditerranée Métropole;23.9
243400355;CC du Clermontais;46
243400470;CA du Pays de l'Or;4.6
243400488;CC la Domitienne;7.8
243400520;CA Lunel Agglo;9.2
243400694;CC Vallée de l'Hérault;59.7
243400736;CC des Cévennes Gangeoises et Suménoises;86.9
243400769;CA de Béziers-Méditerranée;4.1
243400819;CA Hérault-Méditerranée;8
243500139;Rennes Métropole;2.7
243500550;CC Montfort Communauté;7.7
243500618;CC Brocéliande Communauté;35.3
243500634;Roche aux Fées Communauté;4.8
243500659;CC Pays de Châteaugiron Communauté;1.2
243500667;CC Val d'Ille-Aubigné;5.9
243500725;CC Côte d'Emeraude;5.9
243500733;CC Bretagne Romantique;10.4
243500741;CA Redon Agglomération;11.8
243500774;CC Liffré-Cormier Communauté;27.7
243500782;CA du Pays de Saint Malo Agglomération;5.8
243600202;CC Chabris - Pays de Bazelle;12.1
243600236;CC du Pays d'Issoudun;13.4
243600293;CC Levroux Boischaut Champagne;11.7
243600301;CC Val de l'Indre - Brenne;28.7
243600319;CC Brenne - Val de Creuse;22.2
243600327;CA Châteauroux Métropole;23
243600343;CC Coeur de Brenne;21.4
243600350;CC de la Châtre et Sainte-Sévère;7.1
243700499;CC du Castelrenaudais;24.1
243700754;Tours Métropole Val de Loire;17.6
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;23.8
243800604;CA Porte de l'Isère (CAPI);15.8
243800745;CC de l'Oisans;95.4
243800935;CC Lyon-Saint-Exupéry en Dauphiné;13.5
243800984;CA du Pays Voironnais;31.5
243801024;CC du Massif du Vercors;74.2
243801073;CC de Bièvre Est;26
243801255;CC Collines Isère Nord Communauté;16
243900354;CC de la Station des Rousses-Haut Jura;67.4
243900420;CC du Val d'Amour;57.1
243900479;CC Haut-Jura Arcade Communauté;75.4
243900560;CC Jura Nord;46.9
243900610;CC la Grandvallière;62.8
243901089;CC de la Plaine Jurassienne;23.3
244000543;CC de Mimizan;88.7
244000659;CC du Seignanx;51
244000675;CA du Grand Dax;55.2
244000691;CC du Pays Morcenais;83.1
244000766;CC du Pays Tarusate;66.1
244000774;CC du Pays de Villeneuve en Armagnac Landais;40.8
244000808;CA Mont de Marsan Agglomération;67.4
244000824;CC du Pays Grenadois;26.1
244000857;CC Côte Landes Nature;87.7
244000865;CC Maremne Adour Côte Sud;60.1
244000873;CC des Grands Lacs;73.4
244000881;CC Coteaux et Vallées des Luys;22.6
244100293;CC des Collines du Perche;8.3
244100780;CC de la Sologne des Etangs;55.1
244100798;CC du Grand Chambord;58.3
244100806;CC de la Sologne des Rivières;72.2
244200614;CC des Vals d'Aix et Isable;20.9
244200622;CC des Monts du Pilat;58.2
244200630;CC du Pays Entre Loire et Rhône;12.7
244200770;Saint-Étienne Métropole;29.2
244200820;CC du Pays d'Urfé;46.5
244200895;CC du Pilat Rhodanien;37.6
244300307;CC Haut Pays du Velay;57.2
244301016;CC des Sucs;40.9
244301099;CC Auzon Communauté;54
244301107;CC du Haut Lignon;43.2
244301123;CC des Pays de Cayres et de Pradelles;32.7
244301131;CC Loire et Semène;42.7
244400404;Nantes Métropole;4.4
244400438;Grand Lieu Communauté;2.8
244400453;CC du Pays de Blain;24.5
244400503;CC d'Erdre et Gesvres;3.2
244400537;CC de Nozay;5.6
244400552;CC du Pays d'Ancenis;5.8
244400586;CC du Sud Estuaire;3
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);7.8
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);1.7
244500203;CA Montargoise et Rives du Loing (AME);25.3
244500211;CC Giennoises;39.6
244500419;CC des Quatre Vallées;15.2
244500427;CC des Loges;46.4
244500468;Orléans Métropole;22.9
244500484;CC de la Forêt;31.3
244500542;CC de la Plaine du Nord Loiret;0.7
244600433;CC de la Vallée du Lot et du Vignoble;46.4
244600482;CC Quercy - Bouriane;48.2
244600532;CC du Pays de Lalbenque-Limogne;54.4
244600573;CC du Causse de Labastide Murat;50.8
244700449;CC du Pays de Duras;13.4
244700464;CC du Pays de Lauzun;9.2
244701355;CC des Coteaux et Landes de Gascogne;72.2
244701405;CC Lot et Tolzac;9.3
244800405;CC Coeur de Lozère;68.4
244800470;CC du Gévaudan;55.6
244900015;CU Angers Loire Métropole;8.3
244900809;CC Anjou Bleu Communauté;5
244900882;CC Baugeois Vallée;22.3
245100615;CC de la Grande Vallée de la Marne;41.9
245100888;CC de la Brie Champenoise;19
245100979;CC du Sud Marnais;4.4
245200597;CC des Trois Forêts;53
245300223;CC du Pays de Meslay-Grez;2.5
245300355;CC de l'Ernée;4.8
245300389;CC du Bocage Mayennais;1.3
245300447;CC du Pays de Château-Gontier;3.8
245400171;CC Moselle et Madon;48.1
245400189;CC des Pays du Sel et du Vermois;14.1
245400262;Agglomération du Grand Longwy;32
245400510;CC du Pays de Colombey et du Sud Toulois;46.1
245400601;CC du Bassin de Pompey;56.9
245400676;Métropole du Grand Nancy;21
245400759;CC du Pays du Sanon;23.5
245500327;CC du Sammiellois;49.9
245501176;CC du Territoire de Fresnes-en-Woëvre;30.2
245501184;CC du Pays de Revigny-sur-Ornain;28.4
245501242;CC du Pays d'Étain;22.7
245501259;CC du Pays de Montmédy;31.2
245600440;CC Blavet Bellevue Océan;28.5
245600465;CC de Belle Ile en Mer;27.3
245614383;CC Questembert Communauté;20.1
245614417;CC Roi Morvan Communauté;17.8
245614433;CC Pontivy Communauté;10.1
245700133;CC du District Urbain de Faulquemont (DUF);23.1
245700372;CA de Forbach Porte de France;28.7
245700398;CC de Freyming-Merlebach;22.6
245700695;CC de Cattenom et Environs;24.6
245700950;CC du Pays de Phalsbourg;51.2
245701164;CC du Warndt;50.2
245701206;CC du Saulnois;20
245701222;CA du Val de Fensch;46.6
245701271;CC du Pays Orne Moselle;43.8
245701354;CC de l'Arc Mosellan;33.2
245701362;CA Portes de France-Thionville;29.7
245701404;CC du Pays Haut Val d'Alzette;35.5
245801063;CC Loire et Allier;20.1
245804406;CA de Nevers;15.9
245804497;CC du Nivernais Bourbonnais;26.6
245900428;CU de Dunkerque;6.5
245900758;CC Flandre Lys;0.1
245901038;CC du Pays Solesmois;0.2
245901152;CA Coeur d'Ostrevent;10.2
245901160;CA Valenciennes Métropole;9.2
246000129;CC du Liancourtois;46.3
246000376;CC du Clermontois;23.6
246000566;CC du Plateau Picard;6.9
246000582;CC des Sablons;16.3
246000707;CC du Vexin-Thelle;14.3
246000749;CC des Lisières de l'Oise;41.3
246000756;CC du Pays Noyonnais;25.5
246000764;CC de l'Aire Cantilienne;50.4
246000772;CC des Deux Vallées;43.4
246000848;CC de la Picardie Verte;8.6
246000855;CC du Pays des Sources;18.3
246000871;CC du Pays de Valois;23
246000897;CC de la Plaine d'Estrées;12.1
246000913;CC du Pays de Bray;19.3
246000921;CC des Pays d'Oise et d'Halatte;35
246100390;CC du Val d'Orne;6.1
246100663;CU d'Alençon;20.3
246200299;CA d'Hénin-Carvin;3.3
246200364;CA de Lens - Liévin;6.8
246200380;CC de la Terre des Deux Caps;5.6
246200729;CA du Boulonnais;27.2
246200844;CC de la Région d'Audruicq;3.2
246201016;CC du Pays de Lumbres;11.1
246300701;Clermont Auvergne Métropole;27.1
246300966;CC du Massif du Sancy;57.8
246301097;CC Entre Dore et Allier;17.7
246400337;CC de la Vallée d'Ossau;83.6
246401756;CC Pays de Nay;43.8
246500482;CC de la Haute-Bigorre;70.6
246500573;CC Aure Louron;91.5
246600282;CC Sud-Roussillon;1.4
246600373;CC du Vallespir;68.6
246600399;CC Pyrénées Cerdagne;84.3
246600415;CC Roussillon-Conflent;64
246600423;CC Agly Fenouillèdes;69.6
246600449;CC des Aspres;45.2
246600464;CC Pyrénées Catalanes;82.5
246600548;CC du Haut Vallespir;93.1
246700306;CC de la Vallée de la Bruche;85.3
246700488;Eurométropole de Strasbourg;12.2
246700744;CC des Portes de Rosheim;68.1
246700777;CC de la Vallée de Villé;72.2
246700843;CC de la Basse-Zorn;18.1
246700926;CC du Pays de Wissembourg;32.4
246700959;CC du Pays de la Zorn;2.7
246700967;CC de Sélestat;33.9
246701064;CC de la Région de Molsheim-Mutzig;38.4
246701080;CC du Pays de Sainte-Odile;9.5
246701098;CC du Pays de Niederbronn-les-Bains;57.8
246800205;CC de la Vallée de Saint-Amarin;85.8
246800395;CC du Val d'Argent;79.5
246800445;CC du Centre du Haut-Rhin;23.4
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;42.5
246800551;CC de la Vallée de Kaysersberg;63.7
246800569;CC de la Région de Guebwiller;64.4
246800577;CC du Pays de Ribeauvillé;43.9
246800585;CC de la Vallée de Munster;78.6
246800676;CC de la Vallée de la Doller et du Soultzbach;66.6
246800726;CA Colmar Agglomération;26.3
246900575;CC de l'Est Lyonnais (CCEL);3.4
246900625;CC du Pays de l'Arbresle (CCPA);20.1
246900724;CC des Vallons du Lyonnais (CCVL);25.7
246900740;CC du Pays Mornantais (COPAMO);12.9
246900757;CC de la Vallée du Garon (CCVG);11.8
246900765;CC du Pays de l'Ozon;11.9
247000011;CA de Vesoul;30.1
247000367;CC des Combes;43.7
247000623;CC des Quatre Rivières;33.3
247000664;CC du Pays de Lure;44.9
247000698;CC des Monts de Gy;41.1
247000706;CC du Pays Riolais;46.2
247000714;CC du Pays de Villersexel;41.5
247000722;CC du Pays d'Héricourt;54.8
247000755;CC du Pays de Luxeuil;50.8
247000821;CC Rahin et Chérimont;72.3
247000854;CC des 1000 étangs;69.1
247100290;CU Le Creusot Montceau-les-Mines;18.6
247100589;CA Le Grand Chalon;27
247100639;CC de Marcigny;5.4
247100647;CC Bresse Nord Intercom';17.7
247103765;CC Entre Saône et Grosne;29.6
247103864;CC de Semur en Brionnais;12.1
247104094;CC Sud Côte Chalonnaise;23.8
247200090;CC du Pays Sabolien;13.1
247200132;CU Le Mans Métropole;11.6
247200348;CC du Pays Fléchois;26.3
247200421;CC du Sud Est Manceau;42.9
247200447;CC Orée de Bercé - Belinois;24.5
247200629;CC du Val de Sarthe;22.2
247200686;Communauté de communes du Perche Emeraude;10.6
247300015;CC des Vallées d'Aigueblanche;87.3
247300254;CC de Haute-Tarentaise;93.9
247300262;CC de Yenne;46.6
247300361;CC du Canton de La Chambre;90.8
247300452;CC Maurienne Galibier;95.6
247300528;CC Val Guiers;24.7
247300668;CC du Lac d'Aiguebelette (CCLA);40.3
247300676;CC Porte de Maurienne;82.7
247300817;CC Les Versants d'Aime;87.8
247400047;CC de la Vallée Verte;57.4
247400112;CC du Pays de Cruseilles;34
247400567;CC Fier et Usses;26.9
247400583;CC Arve et Salève;31.1
247400617;CC des Vallées de Thônes;81.6
247400666;CC des Quatre Rivières;57.2
247400682;CC du Haut Chablais;83.8
247400690;CC du Genevois;27.3
247400724;CC du Pays Rochois;26.2
247400740;CC Rumilly Terre de Savoie;27.2
247400773;CC des Sources du Lac d'Annecy;75.1
247600505;CC Campagne-de-Caux;2.5
247600588;CC des Villes Soeurs;14
247600604;CC de Londinières;12
247600620;CC Yvetot Normandie;7.9
247600646;CC Caux - Austreberthe;12
247600729;CC Falaises du Talou;13.1
247600786;CA de la Région Dieppoise;14.3
247700032;CC Moret Seine et Loing;31.4
247700057;CA Melun Val de Seine;25.5
247700065;CC du Pays de l'Ourcq;21.6
247700107;CC Pays de Montereau;23.2
247700339;CA Val d'Europe Agglomération;28.5
247700594;CA Marne et Gondoire;30.9
247700644;CC l'Orée de la Brie;13.1
247700701;CC Brie Nangissienne;18
247800550;CC du Pays Houdanais (CCPH);17.8
247800584;CA Versailles Grand Parc (CAVGP);25.3
247800618;CC Coeur d'Yvelines;21.9
247900798;CC du Thouarsais;8.6
248000499;CC du Val de Somme;5
248000531;CA Amiens Métropole;10
248000747;CC du Pays du Coquelicot;4.8
248100158;CC du Sor et de l'Agout;15.6
248100430;CA de Castres Mazamet;45.2
248100497;CC Val 81;33
248100737;CA de l'Albigeois (C2A);4.8
248100745;CC Thoré Montagne Noire;67
248200016;CC des Deux Rives;9.1
248200057;CC du Quercy Caussadais;14.5
248200065;CC de la Lomagne Tarn-et-Garonnaise;7.7
248200099;CA Grand Montauban;7.6
248200107;Quercy Rouergue et des Gorges de l'Aveyron;43.1
248300394;CA Sud Sainte Baume;69.5
248300410;CC de la Vallée du Gapeau;61.6
248300493;Dracénie Provence Verdon Agglomération;70.8
248300543;Métropole Toulon-Provence-Méditerranée;39
248300550;CC Coeur du Var;63.9
248400053;CA Ventoux-Comtat-Venaissin (COVE);42.6
248400160;CC Aygues-Ouvèze en Provence (CCAOP);18.6
248400236;Pays d'Orange en Provence;7.7
248400251;CA du Grand Avignon (COGA);18.4
248400285;Communauté de Communes Sud Luberon;48
248400293;CA des Sorgues du Comtat;3.8
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;19.8
248400335;CC Vaison Ventoux;43.7
248500191;CC de l'Ile de Noirmoutier;10.3
248500258;CC Océan Marais de Monts;10.8
248500340;CC Pays de Chantonnay;6.5
248500415;CC du Pays de la Châtaigneraie;2.1
248500464;CC du Pays de Pouzauges;3.1
248500530;CC du Pays des Achards;2.5
248500563;CC Vendée, Sèvre, Autise;3.5
248500589;CA La Roche-sur-Yon - Agglomération;3.6
248500621;CC du Pays des Herbiers;6.2
248500662;CC du Pays de Mortagne;2.9
248600413;CA Grand Châtellerault;24.8
248600447;CC du Pays Loudunais;17.4
248700189;CC du Pays de Saint Yrieix;25.5
248719262;CC Gartempe - Saint Pardoux;26.5
248719288;CC du Val de Vienne;17.2
248719312;CU Limoges Métropole;21.7
248719338;CC Briance-Combade;32.9
248719353;CC des Portes de Vassivière;55.6
248719361;CC de Noblat;28
248900334;CA du Grand Sénonais;28
248900383;CC de l'Agglomération Migennoise;9.6
248900524;CC de l'Aillantais en Bourgogne;27.3
248900664;CC de la Vanne et du Pays d'Othe;27.5
248900748;CC du Gâtinais en Bourgogne;17.8
248900896;CC Yonne Nord;15.7
248900938;CC du Jovinien;39.7
249000241;CC du Sud Territoire;37.2
249100074;CC du Pays de Limours (CCPL);25.4
249100157;CC des 2 Vallées;36.4
249100546;CC du Val d'Essonne (CCVE);25.6
